id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"import java.util.Objects;

public class StringArrayUtils {
    /**
     * 修剪给定字符串数组的元素，对每个元素调用 <code>String.trim()</code> 方法。
     * @param array 原始字符串数组
     * @return 包含修剪后的元素的结果数组（大小相同）
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] result = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i] == null ? null : array[i].trim();
        }
        return result;
    }
}",none,english,none,
6367670b1a6d9265ec017a00,"package org.apache.commons.lang3;

/**
 * ArrayUtils class containing array manipulation methods.
 */
public class ArrayUtils {

    /**
     * <p>检查两个数组是否具有相同的长度，将 <code>null</code> 数组视为长度 <code>0</code>。</p>
     * @param array1 第一个数组，可以为 <code>null</code>
     * @param array2 第二个数组，可以为 <code>null</code>
     * @return 如果数组的长度匹配则返回<code>true</code>，将 <code>null</code> 视为一个空数组
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        if (array1 == null && array2 == null) {
            return true;
        }
        if (array1 == null) {
            return array2.length == 0;
        }
        if (array2 == null) {
            return array1.length == 0;
        }
        return array1.length == array2.length;
    }
}",none,english,none,
636766a91a6d9265ec0175c2,"public class Stack {
    private int[] stack;
    private int top;
    private static final int DEFAULT_SIZE = 1000;

    public Stack() {
        stack = new int[DEFAULT_SIZE];
        top = -1;
    }

    /**
     * 从输出帧栈中弹出一个抽象类型并返回其值。
     * @return 从输出帧栈中弹出的抽象类型。
     * @throws RuntimeException 当栈为空时抛出异常
     */
    private int pop() {
        if (top < 0) {
            throw new RuntimeException(""Stack is empty"");
        }
        return stack[top--];
    }
}",none,english,none,
636767081a6d9265ec017989,"package org.apache.commons.lang3;

/**
 * Utility class for Boolean operations.
 */
public class BooleanUtils {

    /**
     * <p>将一个由对象类型 Boolean 组成的数组转换为基本类型 boolean 数组。</p>
     * <p>对于 <code>null</code> 输入数组，此方法返回 <code>null</code>。</p>
     * 
     * @param array  一个 <code>Boolean</code> 数组，可以为 <code>null</code>
     * @return 一个 <code>boolean</code> 数组，如果输入数组为 null 则返回 <code>null</code>
     * @throws NullPointerException 如果数组内容为 <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        
        final boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i].booleanValue();
        }
        return result;
    }
}",none,english,none,
6367672d1a6d9265ec017c73,"import java.util.*;

class Logger {
    private Map<String, Integer> messageTimestamps;
    private static final int THROTTLE_WINDOW = 10; // 10 seconds window
    
    public Logger() {
        messageTimestamps = new HashMap<>();
    }
    
    public boolean shouldPrintMessage(int timestamp, String message) {
        // If message not seen before or last timestamp was more than 10 seconds ago
        if (!messageTimestamps.containsKey(message) || 
            timestamp - messageTimestamps.get(message) >= THROTTLE_WINDOW) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        return false;
    }
}",english,english,none,
636766f81a6d9265ec01775c,"package org.apache.commons.lang3;

/**
 * Utility class for Object operations.
 */
public class ObjectUtils {

    /**
     * <p>获取一个 <code>Object</code> 的 <code>toString</code> 值，如果输入为 <code>null</code> 则返回空字符串 ("""")。</p> 
     * <pre> 
     * ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  要调用 <code>toString</code> 的对象，可以为 null
     * @return 传入对象的 toString 结果，如果输入为 <code>null</code> 则返回空字符串
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }
}",none,english,none,
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;
import java.nio.charset.CharacterCodingException;
import java.nio.charset.CharsetDecoder;
import java.nio.charset.CodingErrorAction;
import java.nio.charset.StandardCharsets;

public class UTF8Decoder {

    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        try {
            CharsetDecoder decoder = StandardCharsets.UTF_8.newDecoder()
                    .onMalformedInput(CodingErrorAction.REPLACE)
                    .onUnmappableCharacter(CodingErrorAction.REPLACE);

            // Mark current position
            bb.mark();
            
            // Create temporary buffer for decoding
            ByteBuffer temp = ByteBuffer.allocate(4);
            
            // Read up to 4 bytes for UTF-8 character
            int count = 0;
            while (count < 4 && bb.hasRemaining()) {
                byte b = bb.get();
                temp.put(b);
                count++;
                
                // Check if we have a complete UTF-8 character
                if ((b & 0xC0) != 0x80) {
                    break;
                }
            }
            
            temp.flip();
            
            // Decode bytes to characters
            CharBuffer charBuffer = decoder.decode(temp);
            sb.append(charBuffer);
            
            // Reset position to marked position
            bb.reset();
            
            // Advance position by number of bytes read
            bb.position(bb.position() + count);
            
            return i + count;
            
        } catch (CharacterCodingException e) {
            // On error, skip one byte and append replacement character
            bb.position(bb.position() + 1);
            sb.append('\uFFFD');
            return i + 1;
        }
    }
}",english,english,none,
636766aa1a6d9265ec0175ce,"import org.objectweb.asm.Label;

public class StackMapFrameVisitor {
    private int[] currentFrame;
    private int currentFrameIndex;
    
    /**
     * 开始访问一个新的栈映射帧，该帧存储在 {@link #currentFrame} 中。
     * @param offset   与该帧对应的指令的字节码偏移量。
     * @param numLocal 当前帧中的局部变量数量。
     * @param numStack 当前帧中的栈元素数量。
     * @return 下一个要写入该帧的元素的索引。
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // 计算帧大小 = 偏移量(1) + 局部变量数量(1) + 栈元素数量(1) + 实际元素数量
        int frameSize = 3 + numLocal + numStack;
        
        // 初始化或扩展currentFrame数组
        if (currentFrame == null || currentFrame.length < frameSize) {
            currentFrame = new int[frameSize];
        }
        
        // 存储帧信息
        currentFrame[0] = offset;
        currentFrame[1] = numLocal;
        currentFrame[2] = numStack;
        
        // 重置当前索引到局部变量区域开始处
        currentFrameIndex = 3;
        
        return currentFrameIndex;
    }
}",chinese,english,none,
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int count;
    
    /**
     * 扩展此字节向量，以便能够接收 'size' 个额外的字节。
     * @param size 此字节向量应该能够接收的额外字节数。
     */
    private void enlarge(final int size) {
        int length = data.length;
        int newLength = length + size;
        
        // 如果新长度超过最大数组大小,则设置为最大值
        if (newLength > Integer.MAX_VALUE - 8) {
            newLength = Integer.MAX_VALUE - 8;
        }
        
        // 创建新数组并复制原有数据
        data = Arrays.copyOf(data, newLength);
    }
}",chinese,english,none,
636767821a6d9265ec0183a0,"import java.io.File;

public class FileUtils {
    /**
     * 如果指定的文件存在，则删除该文件
     */
    protected static void deleteFile(String fileName) {
        if (fileName == null || fileName.isEmpty()) {
            return;
        }
        
        File file = new File(fileName);
        if (file.exists() && file.isFile()) {
            file.delete();
        }
    }
}",none,english,none,
