id,prompt,summary,code,translation,correction,correction_tag,generated_code
6367676d1a6d9265ec018229,"/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
",Trim each element in the given string array and return the resulting array.,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * 修剪给定字符串数组的元素，对每个元素调用 <code>String.trim()</code> 方法。
 * @param array 原始字符串数组
 * @return 结果数组（大小相同）包含修剪后的元素
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}","/** 
 * 修剪给定字符串数组的元素，对每个元素调用 <code>String.trim()</code> 方法。
 * @param array 原始字符串数组
 * @return 包含修剪后的元素的结果数组（大小相同）
 */

public static String[] trimArrayElements(String[] array)",grammar,"import java.util.Objects;

public class StringArrayUtils {
    /**
     * 修剪给定字符串数组的元素，对每个元素调用 <code>String.trim()</code> 方法。
     * @param array 原始字符串数组
     * @return 包含修剪后的元素的结果数组（大小相同）
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] result = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i] == null ? null : array[i].trim();
        }
        return result;
    }
}"
6367670b1a6d9265ec017a00,"/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */

public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
",Check whether the length of the given two byte arrays is the same.,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>检查两个数组是否具有相同的长度，将 <code>null</code> 数组视为长度 <code>0</code>。</p>
 * @param array1 第一个数组，可以为 <code>null</code>
 * @param array2 第二个数组，可以为 <code>null</code>
 * @return <code>true</code> 如果数组的长度匹配，将 <code>null</code> 视为一个空数组
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2) {
  if (array1 == null && array2 != null && array2.length > 0 || 
      array2 == null && array1 != null && array1.length > 0 || 
      array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}","/** 
 * <p>检查两个数组是否具有相同的长度，将 <code>null</code> 数组视为长度 <code>0</code>。</p>
 * @param array1 第一个数组，可以为 <code>null</code>
 * @param array2 第二个数组，可以为 <code>null</code>
 * @return 如果数组的长度匹配则返回<code>true</code>，将 <code>null</code> 视为一个空数组
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2) ",grammar,"package org.apache.commons.lang3;

/**
 * ArrayUtils class containing array manipulation methods.
 */
public class ArrayUtils {

    /**
     * <p>检查两个数组是否具有相同的长度，将 <code>null</code> 数组视为长度 <code>0</code>。</p>
     * @param array1 第一个数组，可以为 <code>null</code>
     * @param array2 第二个数组，可以为 <code>null</code>
     * @return 如果数组的长度匹配则返回<code>true</code>，将 <code>null</code> 视为一个空数组
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        if (array1 == null && array2 == null) {
            return true;
        }
        if (array1 == null) {
            return array2.length == 0;
        }
        if (array2 == null) {
            return array1.length == 0;
        }
        return array1.length == array2.length;
    }
}"
636766a91a6d9265ec0175c2,"/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
",Pop an abstract type from the output frame stack and return its value.,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/** 
 * 从输出帧栈中弹出一个抽象类型并返回其值。
 * @return 从输出帧栈中弹出的抽象类型。
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
  else {
    return STACK_KIND | -(--outputStackStart);
  }
}","/** 
 * 从输出帧栈中弹出一个抽象类型并返回其值。
 * @return 从输出帧栈中弹出的抽象类型。
 */

private int pop()",,"public class Stack {
    private int[] stack;
    private int top;
    private static final int DEFAULT_SIZE = 1000;

    public Stack() {
        stack = new int[DEFAULT_SIZE];
        top = -1;
    }

    /**
     * 从输出帧栈中弹出一个抽象类型并返回其值。
     * @return 从输出帧栈中弹出的抽象类型。
     * @throws IllegalStateException 如果栈为空
     */
    private int pop() {
        if (top < 0) {
            throw new IllegalStateException(""Stack is empty"");
        }
        return stack[top--];
    }
}"
636767081a6d9265ec017989,"/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>将对象布尔数组转换为原始类型。</p> <p>对于 <code>null</code> 输入数组，此方法返回 <code>null</code>。</p>
 * @param array  一个 <code>Boolean</code> 数组，可以为 <code>null</code>
 * @return 一个 <code>boolean</code> 数组，如果输入数组为 null 则返回 <code>null</code>
 * @throws NullPointerException 如果数组内容为 <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
  else if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result = new boolean[array.length];
  for (int i = 0; i < array.length; i++) {
    result[i] = array[i].booleanValue();
  }
  return result;
}","/** 
 * <p>将一个由对象类型 Boolean 组成的数组转换为基本类型 boolean 数组。</p> <p>对于 <code>null</code> 输入数组，此方法返回 <code>null</code>。</p>
 * @param array  一个 <code>Boolean</code> 数组，可以为 <code>null</code>
 * @return 一个 <code>boolean</code> 数组，如果输入数组为 null 则返回 <code>null</code>
 * @throws NullPointerException 如果数组内容为 <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)",translation_error,"package org.apache.commons.lang3;

/**
 * Utility class for handling Boolean arrays.
 */
public class BooleanUtils {

    /**
     * <p>将一个由对象类型 Boolean 组成的数组转换为基本类型 boolean 数组。</p>
     * <p>对于 <code>null</code> 输入数组，此方法返回 <code>null</code>。</p>
     * 
     * @param array 一个 <code>Boolean</code> 数组，可以为 <code>null</code>
     * @return 一个 <code>boolean</code> 数组，如果输入数组为 null 则返回 <code>null</code>
     * @throws NullPointerException 如果数组内容为 <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        
        final boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i].booleanValue();
        }
        return result;
    }
}"
6367672d1a6d9265ec017c73,"/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */

public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * 如果在给定的时间戳下应该打印消息，则返回true，否则返回false。如果此方法返回false，则消息将不会被打印。时间戳的粒度为秒。
 */

public boolean shouldPrintMessage(int timestamp, String message) {
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message, timestamp);
      return true;
    } else {
      return false;
    }
  } else {
    messages.put(message, timestamp);
    return true;
  }
}","/** 
 * 如果在给定的时间戳下应该打印消息，则返回真，否则返回假。如果此方法返回假，则消息将不会被打印。时间戳的粒度为秒。
 */

public boolean shouldPrintMessage(int timestamp, String message) ",translation_error,"import java.util.*;

class Logger {
    private Map<String, Integer> messageTimestamps;
    private static final int THROTTLE_SECONDS = 10;
    
    public Logger() {
        messageTimestamps = new HashMap<>();
    }
    
    public boolean shouldPrintMessage(int timestamp, String message) {
        // If message not seen before or last timestamp was more than 10 seconds ago
        if (!messageTimestamps.containsKey(message) || 
            timestamp - messageTimestamps.get(message) >= THROTTLE_SECONDS) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        return false;
    }
}"
636766f81a6d9265ec01775c,"/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","Return the string representation of the given object, return an empty string if the object is null.","public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/**
 * <p>获取一个 <code>Object</code> 的 <code>toString</code> 方法，如果输入为 <code>null</code> 则返回空字符串 ("""")。</p> 
 * <pre> 
 * ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
 * </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  要调用 <code>toString</code> 的对象，可以为 null
 * @return 传入对象的 toString 方法的结果，如果输入为 <code>null</code> 则返回空字符串
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}","/**
 * <p>获取一个 <code>Object</code> 的 <code>toString</code> 值，如果输入为 <code>null</code> 则返回空字符串 ("""")。</p> 
 * <pre> 
 * ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
 * </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  要调用 <code>toString</code> 的对象，可以为 null
 * @return 传入对象的 toString 结果，如果输入为 <code>null</code> 则返回空字符串
 * @since 2.0
 */

public static String toString(Object obj)",translation_error,"package org.apache.commons.lang3;

/**
 * Utility class for Object operations.
 */
public class ObjectUtils {

    /**
     * <p>获取一个 <code>Object</code> 的 <code>toString</code> 值，如果输入为 <code>null</code> 则返回空字符串 ("""")。</p> 
     * <pre> 
     * ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  要调用 <code>toString</code> 的对象，可以为 null
     * @return 传入对象的 toString 结果，如果输入为 <code>null</code> 则返回空字符串
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }
}"
6367667f1a6d9265ec017457,"/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */

private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * 使用 UTF-8 解码将字节解码为字符，并将字符附加到 StringBuffer 中。
 * @return 下一个未检查字符在字符串中的索引，以进行解码
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  } else {
    CharBuffer cb = UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}","/** 
 * 使用 UTF-8 解码将字节解码为字符，并将字符附加到 StringBuffer 中。
 * @return 下一个未检查字符在待解码字符串中的索引
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) ",grammar,"import java.nio.ByteBuffer;
import java.nio.charset.CharacterCodingException;
import java.nio.charset.CharsetDecoder;
import java.nio.charset.CodingErrorAction;
import java.nio.charset.StandardCharsets;

public class UTF8Decoder {

    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        try {
            CharsetDecoder decoder = StandardCharsets.UTF_8.newDecoder()
                    .onMalformedInput(CodingErrorAction.REPLACE)
                    .onUnmappableCharacter(CodingErrorAction.REPLACE);

            // Mark current position
            bb.mark();
            
            // Create a new byte buffer for the current character
            ByteBuffer slice = bb.slice();
            
            // Try to decode one character
            char[] chars = new char[1];
            java.nio.CharBuffer cb = java.nio.CharBuffer.wrap(chars);
            
            decoder.decode(slice, cb, true);
            decoder.flush(cb);
            
            // Append decoded character
            sb.append(chars[0]);
            
            // Calculate how many bytes were consumed
            int bytesConsumed = slice.position();
            
            // Reset to marked position and skip consumed bytes
            bb.reset();
            bb.position(bb.position() + bytesConsumed);
            
            return i + bytesConsumed;
            
        } catch (CharacterCodingException e) {
            // On error, skip one byte and append replacement character
            bb.get();
            sb.append('\ufffd');
            return i + 1;
        }
    }
}"
636766aa1a6d9265ec0175ce,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */

int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * 开始访问一个新的栈映射帧，该帧存储在 {@link #currentFrame} 中。
 * @param offset   与该帧对应的指令的字节码偏移量。
 * @param numLocal 当前帧中的局部变量数量。
 * @param numStack 当前帧中的栈元素数量。
 * @return 下一个要写入该帧的元素的索引。
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack) {
  int frameLength = 3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame = new int[frameLength];
  }
  currentFrame[0] = offset;
  currentFrame[1] = numLocal;
  currentFrame[2] = numStack;
  return 3;
}","/** 
 * 开始访问一个新的栈映射帧，该帧存储在 {@link #currentFrame} 中。
 * @param offset   与该帧对应的指令的字节码偏移量。
 * @param numLocal 当前帧中的局部变量数量。
 * @param numStack 当前帧中的栈元素数量。
 * @return 下一个要写入该帧的元素的索引。
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack) ",,"import org.objectweb.asm.Label;

public class StackMapFrameVisitor {
    private int[] currentFrame;
    private int currentFrameIndex;
    
    /**
     * 开始访问一个新的栈映射帧，该帧存储在 {@link #currentFrame} 中。
     * @param offset   与该帧对应的指令的字节码偏移量。
     * @param numLocal 当前帧中的局部变量数量。
     * @param numStack 当前帧中的栈元素数量。
     * @return 下一个要写入该帧的元素的索引。
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // 计算帧大小 = 偏移量(1) + 局部变量数量(1) + 栈元素数量(1) + 实际元素数量
        int frameSize = 3 + numLocal + numStack;
        
        // 初始化或扩展currentFrame数组
        if (currentFrame == null || currentFrame.length < frameSize) {
            currentFrame = new int[frameSize];
        }
        
        // 存储帧信息
        currentFrame[0] = offset;
        currentFrame[1] = numLocal;
        currentFrame[2] = numStack;
        
        // 重置当前索引到局部变量区域开始处
        currentFrameIndex = 3;
        
        return currentFrameIndex;
    }
}"
636767191a6d9265ec017c0f,"/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */

private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","Enlarge the byte vector data, by increasing it by the given size.","private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/**
 * 扩展此字节向量，以便能够接收 'size' 个额外的字节。
 * @param size 此字节向量应该能够接收的额外字节数。
 */

private void enlarge(final int size){
  int doubleCapacity = 2 * data.length;
  int minimalCapacity = length + size;
  byte[] newData = new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data, 0, newData, 0, length);
  data = newData;
}","/**
 * 扩展此字节向量，以便能够接收 'size' 个额外的字节。
 * @param size 此字节向量应该能够接收的额外字节数。
 */

private void enlarge(final int size)",,"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int count;
    
    /**
     * 扩展此字节向量，以便能够接收 'size' 个额外的字节。
     * @param size 此字节向量应该能够接收的额外字节数。
     */
    private void enlarge(final int size) {
        int length = data.length;
        int newLength = length + size;
        
        // 如果新长度超过最大数组大小,则设置为最大值
        if (newLength > Integer.MAX_VALUE - 8) {
            newLength = Integer.MAX_VALUE - 8;
        }
        
        // 创建新数组并复制原有数据
        data = Arrays.copyOf(data, newLength);
    }
}"
636767821a6d9265ec0183a0,"/** 
 * Delete's the specified file if it exists 
 */

protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
",Delete the given file if it exists,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * 如果指定的文件存在，则删除该文件 
 */

protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}","/** 
 * 如果指定的文件存在，则删除该文件 
 */

protected static void deleteFile(String fileName)",,"import java.io.File;

public class FileUtils {
    /**
     * 如果指定的文件存在，则删除该文件
     */
    protected static void deleteFile(String fileName) {
        if (fileName == null || fileName.isEmpty()) {
            return;
        }
        
        File file = new File(fileName);
        if (file.exists() && file.isFile()) {
            file.delete();
        }
    }
}"
