id,generated_code,comments,identifiers,literals,notes
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
    """"""
    将纳秒转换为固定格式的时间。
    用于处理 `Time` 和 `LocalTime` 值的转换器。

    :param nanoseconds: 纳秒时间戳
    :param tz: 时区信息,默认为None
    :return: 格式化的时间字符串
    """"""
    from datetime import datetime, timezone, timedelta
    
    # 将纳秒转换为秒
    seconds = nanoseconds / 1e9
    
    # 创建datetime对象
    dt = datetime.fromtimestamp(seconds)
    
    # 处理时区
    if tz is not None:
        if isinstance(tz, str):
            # 如果tz是字符串,假设是UTC偏移量格式如'+08:00'
            offset = int(tz[1:3]) * 3600 + int(tz[4:6]) * 60
            if tz[0] == '-':
                offset = -offset
            tz = timezone(timedelta(seconds=offset))
        dt = dt.astimezone(tz)
    
    # 格式化输出,包含纳秒精度
    microseconds = int((nanoseconds % 1e9) / 1e3)
    time_str = dt.strftime('%H:%M:%S.{:06d}'.format(microseconds))
    
    return time_str",chinese,english,none,
62e60f3bd76274f8a4026e10,"def dehydrate_timedelta(value):
    """"""
    使用 `timedelta` 的值来生成 `Structure` 类。
    用于 `time` 值的转换器。

    :param value: 
    :type value: timedelta
    :return: 
    """"""
    if not value:
        return None
        
    days = value.days
    seconds = value.seconds
    microseconds = value.microseconds
    
    hours = seconds // 3600
    minutes = (seconds % 3600) // 60
    seconds = seconds % 60
    
    return {
        'days': days,
        'hours': hours,
        'minutes': minutes,
        'seconds': seconds,
        'microseconds': microseconds
    }",none,english,english,
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
    """"""
    在 Time 类中使用 ticks 来生成 Structure 类。
    用于 `time` 值的转换器。

    :param value: Time对象
    :type value: Time 
    :return: 包含ticks的Structure对象
    """"""
    from structure import Structure
    
    if value is None:
        return None
        
    if not hasattr(value, 'ticks'):
        raise ValueError(""Input value must be a Time object with 'ticks' attribute"")
        
    return Structure(ticks=value.ticks)",none,english,english,
62e60f33d76274f8a4026de9,"def dehydrate_point(value):
    """"""
    结构类是根据值的长度生成的。
    用于处理 Point 数据的转换器

    :param value: 
    :type value: Point 
    :return:
    """"""
    if value is None:
        return None
        
    # Convert Point object to list of coordinates
    try:
        coords = [value.x, value.y]
        # Add z coordinate if it exists
        if hasattr(value, 'z'):
            coords.append(value.z)
        return coords
    except AttributeError:
        # If value is already a list/tuple of coordinates, return as is
        if isinstance(value, (list, tuple)):
            return list(value)
        raise ValueError(""Input must be a Point object or sequence of coordinates"")",english,english,english,
62e60ed4d76274f8a4026da0,"def keys(self):
    """"""
    以List格式返回类的 __keys 属性
    返回记录的键。

    :return: 键名列表
    """"""
    return list(self.__keys)",none,english,none,
62e60ecfd76274f8a4026d6a,"def protocol_handlers(cls, protocol_version=None):
    # 定义支持的协议版本和对应的处理程序类
    available_handlers = {
        (3, 0): BoltProtocolV3,
        (4, 0): BoltProtocolV4, 
        (4, 1): BoltProtocolV4_1,
        (4, 2): BoltProtocolV4_2,
        (4, 3): BoltProtocolV4_3,
        (4, 4): BoltProtocolV4_4,
        (5, 0): BoltProtocolV5
    }

    # 如果没有指定版本,返回所有可用的处理程序
    if protocol_version is None:
        return available_handlers

    # 检查协议版本参数类型
    if not isinstance(protocol_version, tuple):
        raise TypeError(""Protocol version must be a tuple, got %r"" % protocol_version)

    # 如果指定了版本,只返回该版本的处理程序(如果存在)
    if protocol_version in available_handlers:
        return {protocol_version: available_handlers[protocol_version]}
    
    # 如果指定的版本不存在,返回空字典
    return {}",chinese,english,english,
62e60e49d76274f8a4026d25,"def unit_of_work(metadata=None, timeout=None):
    def decorator(f):
        def wrapper(*args, **kwargs):
            # Store the metadata and timeout settings
            wrapper.metadata = metadata
            wrapper.timeout = timeout
            return f(*args, **kwargs)
        
        # Copy function metadata
        from functools import update_wrapper
        update_wrapper(wrapper, f)
        
        # Add metadata and timeout attributes
        wrapper.metadata = metadata
        wrapper.timeout = timeout
        
        return wrapper
    return decorator",english,english,none,
62e60e05d76274f8a4026cfd,"def index(self, key):
    """"""
    以整数形式返回键。
    返回给定项的索引。

    :param key: 一个键
    :return: 索引
    :rtype: int
    """"""
    try:
        return self.keys().index(key)
    except ValueError:
        raise KeyError(f""Key {key} not found"")",none,english,english,
62e60da4d76274f8a4026cf1,"def values(self, *keys):
    """"""
    以列表的形式返回通过 `self.index` 过滤的键。
    返回记录的值，可以选择性地通过索引或键进行过滤，仅包含特定的值。

    :param keys: 要包含的项目的索引或键；如果未提供任何参数，则包含所有值
    :return: 值的列表
    :rtype: list
    """"""
    if not keys:
        # 如果没有提供键，返回所有值
        return list(self.index.values())
    
    result = []
    for key in keys:
        # 如果key是整数，按索引获取值
        if isinstance(key, int):
            try:
                result.append(list(self.index.values())[key])
            except IndexError:
                continue
        # 否则按键获取值
        else:
            if key in self.index:
                result.append(self.index[key])
    
    return result",chinese,english,none,
62e60b10d76274f8a4026ccd,"def data(self, *keys):
    """"""
    返回由 `RecordExporter` 类的 `transform` 方法处理的键。
    将此记录的键和值以字典形式返回，并可选择按索引或键筛选特定值。对于提供的键，如果记录中不存在，则会以 None 作为默认值插入；如果提供的索引超出范围，则会触发 IndexError。

    :param keys: 要包含的条目的索引或键；如果未提供，将包含所有值
    :return: 一个以字段名称为键的值字典 
    :raises: :exc: 如果指定了超出范围的索引，则会抛出`IndexError`
    """"""
    result = {}
    
    # 如果没有提供keys,返回所有数据
    if not keys:
        return self._data
        
    # 处理提供的keys
    for key in keys:
        if isinstance(key, int):
            # 处理索引
            if key < 0 or key >= len(self._data):
                raise IndexError(f""Index {key} is out of range"")
            field_name = list(self._data.keys())[key]
            result[field_name] = self._data[field_name]
        else:
            # 处理键名
            result[key] = self._data.get(key, None)
            
    return result",both,english,english,
62e6087bd76274f8a4026bfa,"def pop_u16(self):
    """"""
    在 `self.data` 中移除最后两个元素并返回
    移除数据中的最后两个字节，并将它们以大端序的16位无符号整数返回。
    """"""
    # 取出最后两个字节
    b1 = self.data.pop()
    b2 = self.data.pop()
    
    # 按大端序组合成16位无符号整数
    # b2为高字节,b1为低字节
    return (b2 << 8) | b1",chinese,english,none,
