id,prompt,summary,code,translation,correction,correction_tag,generated_code
6367676d1a6d9265ec018229,"/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */

public static String[] trimArrayElements(String[] array)",Trim each element in the given string array and return the resulting array.,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
 * @param array l'array di Stringhe originale
 * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}","/** 
 * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
 * @param array l'array di Stringhe originale
 * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
 */

public static String[] trimArrayElements(String[] array)",,"public class StringArrayTrimmer {
    /**
     * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
     * @param array l'array di Stringhe originale
     * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] trimmedArray = new String[array.length];
        
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                trimmedArray[i] = array[i].trim();
            } else {
                trimmedArray[i] = null;
            }
        }
        
        return trimmedArray;
    }
}"
6367670b1a6d9265ec017a00,"/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */

public static boolean isSameLength(final byte[] array1,final byte[] array2)",Check whether the length of the given two byte arrays is the same.,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
 * @param array1 il primo array, può essere <code>null</code>
 * @param array2 il secondo array, può essere <code>null</code>
 * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2) {
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}","/** 
 * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
 * @param array1 il primo array, può essere <code>null</code>
 * @param array2 il secondo array, può essere <code>null</code>
 * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2)",,"package org.apache.commons.lang3;

public class ArrayUtils {
    /**
     * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
     * @param array1 il primo array, può essere <code>null</code>
     * @param array2 il secondo array, può essere <code>null</code>
     * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        if (array1 == null && array2 == null) {
            return true;
        }
        if (array1 == null) {
            return array2.length == 0;
        }
        if (array2 == null) {
            return array1.length == 0;
        }
        return array1.length == array2.length;
    }
}"
636766a91a6d9265ec0175c2,"/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */

private int pop()",Pop an abstract type from the output frame stack and return its value.,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/**
 * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
 * @return il tipo astratto che è stato estratto dallo stack del frame di output.
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}","/**
 * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
 * @return il tipo astratto che è stato estratto dallo stack del frame di output.
 */

private int pop()",,"import java.util.Stack;

public class FrameStack {
    private Stack<Integer> outputStack;

    public FrameStack() {
        outputStack = new Stack<>();
    }

    /**
     * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
     * @return il tipo astratto che è stato estratto dallo stack del frame di output.
     */
    private int pop() {
        if (!outputStack.isEmpty()) {
            return outputStack.pop();
        } else {
            throw new IllegalStateException(""Stack is empty"");
        }
    }
}"
636767081a6d9265ec017989,"/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>Converte un array di oggetti Boolean in primitivi.</p> 
 * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
 * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
 * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
 * @throws NullPointerException se il contenuto dell'array è <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
  else if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result = new boolean[array.length];
  for (int i = 0; i < array.length; i++) {
    result[i] = array[i].booleanValue();
  }
  return result;
}","/** 
 * <p>Converte un array di oggetti Boolean in primitivi.</p> 
 * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
 * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
 * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
 * @throws NullPointerException se il contenuto dell'array è <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)",,"package org.apache.commons.lang3;

/**
 * Utility class for Boolean operations.
 */
public class BooleanUtils {

    /**
     * <p>Converte un array di oggetti Boolean in primitivi.</p>
     * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
     * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
     * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
     * @throws NullPointerException se il contenuto dell'array è <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        
        final boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i].booleanValue();
        }
        return result;
    }
}"
6367672d1a6d9265ec017c73,"/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */

public boolean shouldPrintMessage(int timestamp,String message)"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false. Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi. 
 */

public boolean shouldPrintMessage(int timestamp, String message) {
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message, timestamp);
      return true;
    } else {
      return false;
    }
  } else {
    messages.put(message, timestamp);
    return true;
  }
}","/** 
 * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false. Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi. 
 */

public boolean shouldPrintMessage(int timestamp, String message)",,"import java.util.HashMap;
import java.util.Map;

class Logger {
    private Map<String, Integer> messageTimestamps;
    private static final int THROTTLE_WINDOW = 10; // 10 seconds window
    
    public Logger() {
        messageTimestamps = new HashMap<>();
    }
    
    /**
     * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false.
     * Se questo metodo restituisce false, il messaggio non verrà stampato.
     * Il timestamp è in granularità di secondi.
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        // Se il messaggio non è mai stato stampato prima, stampalo
        if (!messageTimestamps.containsKey(message)) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        // Controlla se sono passati almeno 10 secondi dall'ultima stampa
        int lastPrinted = messageTimestamps.get(message);
        if (timestamp - lastPrinted >= THROTTLE_WINDOW) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        return false;
    }
}"
636766f81a6d9265ec01775c,"/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */

public static String toString(Object obj)","Return the string representation of the given object, return an empty string if the object is null.","public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
 * <pre> ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  l'oggetto da <code>toString</code>, può essere null
 * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}","/** 
 * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
 * <pre> ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  l'oggetto da <code>toString</code>, può essere null
 * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj)",,"package org.apache.commons.lang3;

/**
 * Utility class for Object operations.
 */
public class ObjectUtils {

    /**
     * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p>
     * <pre>
     * ObjectUtils.toString(null)         = """"
     * ObjectUtils.toString("""")           = """"
     * ObjectUtils.toString(""bat"")        = ""bat""
     * ObjectUtils.toString(Boolean.TRUE) = ""true""
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj l'oggetto da <code>toString</code>, può essere null
     * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }
}"
6367667f1a6d9265ec017457,"/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */

private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb)","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri a un StringBuffer.
 * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  } else {
    CharBuffer cb = UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}","/** 
 * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri ad uno oggetto StringBuffer.
 * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb)",[grammar],"import java.nio.ByteBuffer;

public class UTF8Decoder {

    /**
     * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri ad uno oggetto StringBuffer.
     * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        int b1 = bb.get(i) & 0xFF;
        
        // Single byte character (0-127)
        if ((b1 & 0x80) == 0) {
            sb.append((char)b1);
            return i + 1;
        }
        
        // 2 byte character (128-2047)
        if ((b1 & 0xE0) == 0xC0) {
            int b2 = bb.get(i + 1) & 0xFF;
            int ch = ((b1 & 0x1F) << 6) | (b2 & 0x3F);
            sb.append((char)ch);
            return i + 2;
        }
        
        // 3 byte character (2048-65535)
        if ((b1 & 0xF0) == 0xE0) {
            int b2 = bb.get(i + 1) & 0xFF;
            int b3 = bb.get(i + 2) & 0xFF;
            int ch = ((b1 & 0x0F) << 12) | ((b2 & 0x3F) << 6) | (b3 & 0x3F);
            sb.append((char)ch);
            return i + 3;
        }
        
        // 4 byte character (65536-1114111)
        if ((b1 & 0xF8) == 0xF0) {
            int b2 = bb.get(i + 1) & 0xFF;
            int b3 = bb.get(i + 2) & 0xFF;
            int b4 = bb.get(i + 3) & 0xFF;
            int ch = ((b1 & 0x07) << 18) | ((b2 & 0x3F) << 12) | 
                    ((b3 & 0x3F) << 6) | (b4 & 0x3F);
            
            // Convert to surrogate pair for characters above U+FFFF
            ch -= 0x10000;
            sb.append((char)((ch >>> 10) + 0xD800));
            sb.append((char)((ch & 0x3FF) + 0xDC00));
            return i + 4;
        }
        
        // Invalid UTF-8 byte
        sb.append('?');
        return i + 1;
    }
}"
636766aa1a6d9265ec0175ce,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */

int visitFrameStart(final int offset,final int numLocal,final int numStack)","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
 * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
 * @param numLocal il numero di variabili locali nel frame.
 * @param numStack il numero di elementi nello stack nel frame.
 * @return l'indice del prossimo elemento da scrivere in questo frame.
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack) {
  int frameLength = 3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame = new int[frameLength];
  }
  currentFrame[0] = offset;
  currentFrame[1] = numLocal;
  currentFrame[2] = numStack;
  return 3;
}","/** 
 * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
 * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
 * @param numLocal il numero di variabili locali nel frame.
 * @param numStack il numero di elementi nello stack nel frame.
 * @return l'indice del prossimo elemento da scrivere in questo frame.
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack)",,"import java.util.ArrayList;
import java.util.List;

public class StackMapFrameVisitor {
    private Frame currentFrame;
    private List<Frame> frames;
    
    public StackMapFrameVisitor() {
        frames = new ArrayList<>();
    }
    
    private static class Frame {
        int offset;
        int numLocal;
        int numStack;
        int nextIndex;
        
        Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal;
            this.numStack = numStack;
            this.nextIndex = 0;
        }
    }
    
    int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        currentFrame = new Frame(offset, numLocal, numStack);
        frames.add(currentFrame);
        return currentFrame.nextIndex;
    }
}"
636767191a6d9265ec017c0f,"/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */

private void enlarge(final int size)","Enlarge the byte vector data, by increasing it by the given size.","private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/**
 * Ingrossa questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
 * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
 */

private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}","/**
 * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
 * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
 */

private void enlarge(final int size)",[FixTranslation],"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int capacity;
    private int size;
    
    /**
     * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
     * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
     */
    private void enlarge(final int size) {
        if (size <= 0) {
            return;
        }
        
        int newCapacity = capacity + size;
        byte[] newData = Arrays.copyOf(data, newCapacity);
        
        data = newData;
        capacity = newCapacity;
    }
}"
636767821a6d9265ec0183a0,"/** 
 * Delete's the specified file if it exists 
 */

protected static void deleteFile(String fileName)",Delete the given file if it exists,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Elimina il file specificato se esiste 
 */

protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}","/** 
 * Elimina il file specificato se esiste 
 */

protected static void deleteFile(String fileName)",,"import java.io.File;

public class FileUtils {

    /**
     * Elimina il file specificato se esiste
     */
    protected static void deleteFile(String fileName) {
        if (fileName != null) {
            File file = new File(fileName);
            if (file.exists()) {
                file.delete();
            }
        }
    }
}"
