id,generated_code,comments,identifiers,literals,notes
ClassEval_0::filter,"def filter(self, request):
    """"""
    Filtra la solicitud entrante en función de ciertas reglas y condiciones.
    :param request: dict, los detalles de la solicitud entrante
    :return: bool, True si la solicitud está permitida, False en caso contrario
    >>> filter = AccessGatewayFilter()
    >>> filter.filter({'path': '/login', 'method': 'POST'})
    True

    """"""
    # Define allowed paths and methods
    allowed_routes = {
        '/login': ['POST', 'GET'],
        '/register': ['POST'],
        '/public': ['GET'],
        '/api/public': ['GET', 'POST'],
        '/health': ['GET'],
        '/': ['GET']
    }
    
    # Extract path and method from request
    path = request.get('path', '')
    method = request.get('method', '')
    
    # Check if path is in allowed routes
    if path in allowed_routes:
        # Check if method is allowed for this path
        if method in allowed_routes[path]:
            return True
    
    # Check for public paths (paths starting with /public)
    if path.startswith('/public'):
        return True
    
    # Default: deny access
    return False",english,english,english,
ClassEval_0::is_start_with,"def is_start_with(self, request_uri):
    """"""
    Verifica si la URI de la solicitud comienza con ciertos prefijos.
    Actualmente, los prefijos que se están verificando son ""/api"" y ""/login"".
    :param request_uri: str, la URI de la solicitud
    :return: bool, True si la URI comienza con ciertos prefijos, False en caso contrario
    >>> filter = AccessGatewayFilter()
    >>> filter.is_start_with('/api/data')
    True

    """"""
    prefixes = [""/api"", ""/login""]
    return any(request_uri.startswith(prefix) for prefix in prefixes)",none,english,english,
ClassEval_0::get_jwt_user,"def get_jwt_user(self, request):
    """"""
    Obtiene la información del usuario del token JWT en la solicitud.
    :param request: dict, los detalles de la solicitud entrante
    :return: dict o None, la información del usuario si el token es válido, None en caso contrario
    >>> filter = AccessGatewayFilter()
    >>> filter.get_jwt_user({'headers': {'Authorization': {'user': {'name': 'user1'}, 'jwt': 'user1'+str(datetime.date.today())}}})
    {'user': {'name': 'user1'}

    """"""
    import datetime
    
    if not request or 'headers' not in request:
        return None
    
    headers = request.get('headers', {})
    authorization = headers.get('Authorization')
    
    if not authorization:
        return None
    
    # Si Authorization es un diccionario con información de usuario y JWT
    if isinstance(authorization, dict):
        # Verificar si tiene JWT válido
        jwt_token = authorization.get('jwt')
        if jwt_token:
            # Validar que el JWT contenga la fecha de hoy
            today_str = str(datetime.date.today())
            if today_str in jwt_token:
                # Retornar la información del usuario
                user_info = authorization.get('user')
                if user_info:
                    return {'user': user_info}
    
    return None",spanish,english,english,
ClassEval_0::set_current_user_info_and_log,"def set_current_user_info_and_log(self, user):
    """"""
    Establece la información del usuario actual y registra el acceso.
    :param user: dict, la información del usuario
    :return: None
    >>> filter = AccessGatewayFilter()
    >>> user = {'name': 'user1', 'address': '127.0.0.1'}
    >>> filter.set_current_user_info_and_log(user)

    """"""
    self.current_user_info = user
    self.log_access(user)",none,english,none,
ClassEval_1::calculate_circle_area,"import math

def calculate_circle_area(self):
    """"""
    calcula el área del círculo basado en self.radius
    :return: área del círculo, float
    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_circle_area()
    12.566370614359172
    """"""
    return math.pi * self.radius ** 2",none,english,none,
ClassEval_1::calculate_sphere_area,"def calculate_sphere_area(self):
    """"""
    calcula el área de la esfera basada en self.radius
    :return: área de la esfera, float
    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_sphere_area()
    50.26548245743669
    """"""
    import math
    return 4 * math.pi * self.radius ** 2",none,english,none,
ClassEval_1::calculate_cylinder_area,"def calculate_cylinder_area(self, height):
    """"""
    calcula el área del cilindro basado en self.radius y height
    :param height: altura del cilindro, float
    :return: área del cilindro, float
    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_cylinder_area(3)
    62.83185307179586
    """"""
    import math
    # Área del cilindro = 2πr² + 2πrh = 2πr(r + h)
    return 2 * math.pi * self.radius * (self.radius + height)",spanish,english,none,
ClassEval_1::calculate_sector_area,"def calculate_sector_area(self, angle):
    """"""
    calcula el área del sector basado en self.radius y el ángulo
    :param angle: ángulo del sector, float
    :return: área del sector, float
    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_sector_area(math.pi)
    6.283185307179586
    """"""
    return 0.5 * self.radius ** 2 * angle",none,english,none,
ClassEval_1::calculate_annulus_area,"import math

def calculate_annulus_area(self, inner_radius, outer_radius):
    """"""
    calcula el área del anillo basado en inner_radius y outer_radius
    :param inner_radius: radio interno del sector, float
    :param outer_radius: radio externo del sector, float
    :return: área del anillo, float
    >>> areaCalculator.calculate_annulus_area(2, 3)
    15.707963267948966
    """"""
    outer_area = math.pi * outer_radius ** 2
    inner_area = math.pi * inner_radius ** 2
    annulus_area = outer_area - inner_area
    return annulus_area",none,english,none,
ClassEval_2::parse_arguments,"def parse_arguments(self, command_string):
    """"""
    Analiza la cadena de argumentos de línea de comandos dada e invoca _convert_type para almacenar el resultado analizado en un tipo específico en el diccionario de argumentos.
    Verifica si faltan argumentos requeridos, si los hay, y devuelve False con los nombres de los argumentos faltantes; de lo contrario, devuelve True.
    :param command_string: str, cadena de argumentos de línea de comandos, formateada como ""python script.py --arg1=value1 -arg2 value2 --option1 -option2""
    :return tuple: (True, None) si el análisis es exitoso, (False, missing_args) si el análisis falla,
        donde missing_args es un conjunto de los nombres de los argumentos faltantes que son str.
    >>> parser.parse_arguments(""python script.py --arg1=value1 -arg2 value2 --option1 -option2"")
    (True, None)
    >>> parser.arguments
    {'arg1': 'value1', 'arg2': 'value2', 'option1': True, 'option2': True}
    """"""
    # Split the command string into tokens
    tokens = command_string.split()
    
    # Skip the first two tokens (python script.py)
    if len(tokens) >= 2:
        tokens = tokens[2:]
    
    # Initialize arguments dictionary
    self.arguments = {}
    
    i = 0
    while i < len(tokens):
        token = tokens[i]
        
        # Check if token starts with -- or -
        if token.startswith('--') or token.startswith('-'):
            # Remove leading dashes
            arg_name = token.lstrip('-')
            
            # Check if argument has = format (--arg=value)
            if '=' in arg_name:
                parts = arg_name.split('=', 1)
                arg_name = parts[0]
                value = parts[1]
                self.arguments[arg_name] = self._convert_type(value)
                i += 1
            else:
                # Check if next token exists and is not an argument
                if i + 1 < len(tokens) and not tokens[i + 1].startswith('-'):
                    # Next token is the value
                    value = tokens[i + 1]
                    self.arguments[arg_name] = self._convert_type(value)
                    i += 2
                else:
                    # It's a flag/option (boolean)
                    self.arguments[arg_name] = True
                    i += 1
        else:
            i += 1
    
    # Check for missing required arguments
    if hasattr(self, 'required_args'):
        missing_args = set()
        for req_arg in self.required_args:
            if req_arg not in self.arguments:
                missing_args.add(req_arg)
        
        if missing_args:
            return (False, missing_args)
    
    return (True, None)",english,english,english,
ClassEval_2::get_argument,"def get_argument(self, key):
    """"""
    Recupera el valor del argumento especificado del diccionario de argumentos y lo devuelve.
    :param key: str, nombre del argumento
    :return: El valor del argumento, o None si el argumento no existe.
    >>> parser.arguments
    {'arg1': 'value1', 'arg2': 'value2', 'option1': True, 'option2': True}
    >>> parser.get_argument('arg2')
    'value2'
    """"""
    return self.arguments.get(key)",none,english,none,
ClassEval_2::add_argument,"def add_argument(self, arg, required=False, arg_type=str):
    """"""
    Agrega un argumento a self.types y self.required.
    Verifica si es un argumento requerido y almacena el tipo de argumento.
    Si el argumento se establece como requerido, se añadirá al conjunto de requeridos.
    El tipo y el nombre del argumento se almacenan en el diccionario types como pares clave-valor.
    :param arg: str, nombre del argumento
    :param required: bool, si el argumento es requerido, por defecto es False
    :param arg_type: str, tipo de argumento, por defecto es str
    >>> parser.add_argument('arg1', True, 'int')
    >>> parser.required
    {'arg1'}
    >>> parser.types
    {'arg1': 'int'}
    """"""
    if required:
        self.required.add(arg)
    self.types[arg] = arg_type",none,english,none,
ClassEval_2::_convert_type,"def _convert_type(self, arg, value):
    """"""
    Intenta convertir el tipo del valor de entrada buscando en self.types.
    :param value: str, el valor de entrada en la línea de comandos
    :return: devuelve el valor correspondiente en self.types si se convierte con éxito, o el valor de entrada en caso contrario
    >>> parser.types
    {'arg1': int}
    >>> parser._convert_type('arg1', '21')
    21
    """"""
    if hasattr(self, 'types') and arg in self.types:
        try:
            return self.types[arg](value)
        except (ValueError, TypeError):
            return value
    return value",none,english,none,
ClassEval_3::count,"def count(n, m=None):
    """"""
    Cuenta el número de arreglos posibles al elegir m elementos de n elementos (permutaciones).
    Si m no se proporciona o n es igual a m, devuelve factorial(n).
    :param n: int, el número total de elementos.
    :param m: int, el número de elementos a elegir (por defecto=None).
    :return: int, el conteo de arreglos.
    >>> ArrangementCalculator.count(5, 3)
    60

    """"""
    import math
    
    if m is None or m == n:
        return math.factorial(n)
    
    # Permutaciones: P(n, m) = n! / (n - m)!
    return math.factorial(n) // math.factorial(n - m)",spanish,english,none,
ClassEval_3::count_all,"@staticmethod
def count_all(n):
    """"""
    Cuenta el número total de posibles arreglos al elegir al menos 1 artículo y como máximo n artículos de n artículos.
    :param n: int, el número total de artículos.
    :return: int, el conteo de todas las disposiciones.
    >>> ArrangementCalculator.count_all(4)
    64

    """"""
    import math
    
    total = 0
    for k in range(1, n + 1):
        # P(n, k) = n! / (n-k)!
        total += math.perm(n, k)
    
    return total",none,english,none,
ClassEval_3::select,"def select(self, m=None):
    """"""
    Genera una lista de arreglos seleccionando m elementos de los datos internos.
    Si no se proporciona m, selecciona todos los elementos.
    :param m: int, el número de elementos a elegir (por defecto=None).
    :return: List, una lista de arreglos.
    >>> ac = ArrangementCalculator([1, 2, 3, 4])
    >>> ac.select(2)
    [[1, 2], [1, 3], [1, 4], [2, 1], [2, 3], [2, 4], [3, 1], [3, 2], [3, 4], [4, 1], [4, 2], [4, 3]]

    """"""
    from itertools import permutations
    
    if m is None:
        m = len(self.data)
    
    result = []
    for perm in permutations(self.data, m):
        result.append(list(perm))
    
    return result",none,english,none,
ClassEval_3::select_all,"def select_all(self):
    """"""
    Genera una lista de todos los arreglos seleccionando al menos 1 elemento y como máximo el número de datos internos.
    :return: Lista, una lista de todos los arreglos.
    >>> ac = ArrangementCalculator([1, 2, 3])
    >>> ac.select_all()
    [[1], [2], [3], [1, 2], [1, 3], [2, 1], [2, 3], [3, 1], [3, 2], [1, 2, 3], [1, 3, 2], [2, 1, 3], [2, 3, 1], [3, 1, 2], [3, 2, 1]]

    """"""
    from itertools import permutations
    
    result = []
    n = len(self.data)
    
    # Generate permutations for each length from 1 to n
    for r in range(1, n + 1):
        for perm in permutations(self.data, r):
            result.append(list(perm))
    
    return result",english,english,none,
ClassEval_3::factorial,"@staticmethod
def factorial(n):
    """"""
    Calcula el factorial de un número dado.
    :param n: int, el número para calcular el factorial.
    :return: int, el factorial del número dado.
    >>> ArrangementCalculator.factorial(4)
    24

    """"""
    if n < 0:
        raise ValueError(""El factorial no está definido para números negativos"")
    if n == 0 or n == 1:
        return 1
    result = 1
    for i in range(2, n + 1):
        result *= i
    return result",none,english,spanish,
