id,prompt,summary,code,translation,correction,correction_tag,generated_code,generated_code_4
62e60f43d76274f8a4026e28,"Convert nanoseconds to a time in fixed format.
def hydrate_time(nanoseconds, tz=None):

Hydrator for `Time` and `LocalTime` values.

:param nanoseconds:
:param tz:
:return: Time",Convert nanoseconds to a time in fixed format.,"def hydrate_time(nanoseconds, tz=None):
","नैनोसेकंड को एक निश्चित प्रारूप में समय में परिवर्तित करें।  
```python
def hydrate_time(nanoseconds, tz=None):
```

`Time` और `LocalTime` मानों के लिए हाइड्रेटर।  

**पैरामीटर (Parameters):**  
- **nanoseconds:** नैनोसेकंड में समय मान।  
- **tz:** वैकल्पिक टाइम ज़ोन (यदि लागू हो)।  

**वापसी मान (Return):**  
- `Time` (समय)।  ","def hydrate_time(nanoseconds, tz=None):
""""""
`Time` और `LocalTime` मानों के लिए हाइड्रेटर।  

पैरामीटर (Parameters):
-nanoseconds: 
- tz: 

वापसी मान:
- समय 
""""""","Formatting, Remove-text","def hydrate_time(nanoseconds, tz=None):
    """"""
    `Time` और `LocalTime` मानों के लिए हाइड्रेटर।  

    पैरामीटर (Parameters):
    -nanoseconds: 
    - tz: 

    वापसी मान:
    - समय 
    """"""
    # Convert nanoseconds to hours, minutes, seconds, nanoseconds
    total_seconds = nanoseconds // 1_000_000_000
    remaining_nanos = nanoseconds % 1_000_000_000
    
    hours = total_seconds // 3600
    minutes = (total_seconds % 3600) // 60
    seconds = total_seconds % 60

    # Format time components
    if tz is None:
        # Return time without timezone
        time_str = f""{hours:02d}:{minutes:02d}:{seconds:02d}.{remaining_nanos:09d}""
    else:
        # Return time with timezone
        time_str = f""{hours:02d}:{minutes:02d}:{seconds:02d}.{remaining_nanos:09d} {tz}""

    return time_str",
62e60f3bd76274f8a4026e10,"Use the value in timedelta to generate the Structure class.
def dehydrate_timedelta(value):

Dehydrator for `timedelta` values.

:param value:
:type value: timedelta
:return:",Use the value in timedelta to generate the Structure class.,"def dehydrate_timedelta(value):
","`timedelta` का उपयोग करके Structure क्लास को जनरेट करें।  
```python
def dehydrate_timedelta(value):
```

`timedelta` मानों के लिए डिहाइड्रेटर।  

:param value:  
:type value: timedelta  
:return:  ","def dehydrate_timedelta(value):
""""""
`timedelta` मानों के लिए डिहाइड्रेटर।  

:param value:  
:type value: timedelta  
:return:  
""""""",Formatting,"def dehydrate_timedelta(value):
    """"""
    `timedelta` मानों के लिए डिहाइड्रेटर।  

    :param value:  
    :type value: timedelta  
    :return:  
    """"""
    if value is None:
        return None
        
    # Convert timedelta to total seconds
    total_seconds = int(value.total_seconds())
    
    # Convert to hours, minutes, seconds format
    hours = total_seconds // 3600
    minutes = (total_seconds % 3600) // 60
    seconds = total_seconds % 60
    
    # Format as string HH:MM:SS
    return f""{hours:02d}:{minutes:02d}:{seconds:02d}""",
62e60f37d76274f8a4026dfd,"Use ticks in the Time class to generate the Structure class.
def dehydrate_time(value):

Dehydrator for `time` values.

:param value:
:type value: Time
:return:",Use ticks in the Time class to generate the Structure class.,"def dehydrate_time(value):
","समय वर्ग में टिक का उपयोग करके संरचना वर्ग उत्पन्न करें।  
```python
def dehydrate_time(value):
```

`time` मानों के लिए डिहाइड्रेटर।  

:param value:  
:type value: Time  
:return:  ","def dehydrate_time(value):
""""""

`time` मानों के लिए डिहाइड्रेटर।  

:param value:  
:type value: Time  
:return:  
""""""",Formatting,"def dehydrate_time(value):
    """"""
    `time` मानों के लिए डिहाइड्रेटर।  

    :param value:  
    :type value: Time  
    :return:  
    """"""
    if value is None:
        return None
        
    # Format time as HH:MM:SS
    return value.strftime('%H:%M:%S')",
62e60f33d76274f8a4026de9,"The structure class is generated based on the value length.
def dehydrate_point(value):

Dehydrator for Point data.

:param value:
:type value: Point
:return:",The structure class is generated based on the value length.,"def dehydrate_point(value):
","संरचना वर्ग को मान की लंबाई के आधार पर उत्पन्न किया जाता है।  
```python
def dehydrate_point(value):
```

**पॉइंट डेटा के लिए डिहाइड्रेटर।**

**:param value:**  
**:type value:** Point  
**:return:**  ","def dehydrate_point(value):
""""""
पॉइंट डेटा के लिए डिहाइड्रेटर।

:param value:
:type value: Point  
:return:
""""""",Formatting,"def dehydrate_point(value):
    """"""
    पॉइंट डेटा के लिए डिहाइड्रेटर।

    :param value:
    :type value: Point
    :return:
    """"""
    if value is None:
        return None
        
    return {
        'x': value.x,
        'y': value.y
    }",
62e60ed4d76274f8a4026da0,"Returns the __keys property of a class as a List
def keys(self):

Return the keys of the record.

:return: list of key names",Returns the __keys property of a class as a List,"def keys(self):
","कक्षा के __keys प्रॉपर्टी को एक सूची (List) के रूप में लौटाता है।  
```python
def keys(self):
```

रिकॉर्ड की कुंजियों (keys) को लौटाता है।  

**:return:** कुंजी नामों (key names) की सूची (list)।","def keys(self):
""""""

रिकॉर्ड की कुंजियों (keys) को लौटाता है।  

:return: कुंजी नामों (key names) की सूची (list)।
""""""",Formatting,"def keys(self):
    """"""
    रिकॉर्ड की कुंजियों (keys) को लौटाता है।  

    :return: कुंजी नामों (key names) की सूची (list)।
    """"""
    return list(self.__dict__.keys())",
62e60ecfd76274f8a4026d6a,"Different forms of Bolt protocol handlers are returned based on the value of protocol_version.
def protocol_handlers(cls, protocol_version=None):

Return a dictionary of available Bolt protocol handlers,
keyed by version tuple. If an explicit protocol version is
provided, the dictionary will contain either zero or one items,
depending on whether that version is supported. If no protocol
version is provided, all available versions will be returned.

:param protocol_version: tuple identifying a specific protocol
    version (e.g. (3, 5)) or None
:return: dictionary of version tuple to handler class for all
    relevant and supported protocol versions
:raise TypeError: if protocol version is not passed in a tuple",Different forms of Bolt protocol handlers are returned based on the value of protocol_version.,"def protocol_handlers(cls, protocol_version=None):
","सॉफ़्टवेयर विकास परियोजना के लिए हिंदी में अनुवाद:

प्रोटोकॉल संस्करण के मान के आधार पर विभिन्न प्रकार के बोल्ट प्रोटोकॉल हैंडलर लौटाए जाते हैं।

```python
def protocol_handlers(cls, protocol_version=None):
```

यह फ़ंक्शन उपलब्ध बोल्ट प्रोटोकॉल हैंडलर्स की एक डिक्शनरी लौटाता है, जो संस्करण ट्यूपल (version tuple) द्वारा कुंजीबद्ध (keyed) होती है। यदि एक विशिष्ट प्रोटोकॉल संस्करण प्रदान किया गया है, तो डिक्शनरी में या तो शून्य (zero) या एक (one) आइटम होगा, यह इस बात पर निर्भर करता है कि वह संस्करण समर्थित (supported) है या नहीं। यदि कोई प्रोटोकॉल संस्करण प्रदान नहीं किया गया है, तो सभी उपलब्ध संस्करण लौटाए जाएंगे।

**पैरामीटर (Parameters):**
- `protocol_version`: एक ट्यूपल जो किसी विशिष्ट प्रोटोकॉल संस्करण (जैसे (3, 5)) को पहचानता है, या `None`।

**वापसी मान (Return):**
- एक डिक्शनरी जो संस्करण ट्यूपल को हैंडलर क्लास से मैप करती है, और सभी प्रासंगिक (relevant) और समर्थित (supported) प्रोटोकॉल संस्करणों के लिए होती है।

**त्रुटि (Exception):**
- `TypeError`: यदि प्रोटोकॉल संस्करण ट्यूपल के रूप में पास नहीं किया गया है।","def protocol_handlers(cls, protocol_version=None):
""""""

यह फ़ंक्शन उपलब्ध बोल्ट प्रोटोकॉल हैंडलर्स की एक डिक्शनरी लौटाता है, जो संस्करण ट्यूपल (version tuple) द्वारा कुंजीबद्ध (keyed) होती है। यदि एक विशिष्ट प्रोटोकॉल संस्करण प्रदान किया गया है, तो डिक्शनरी में या तो शून्य (zero) या एक (one) आइटम होगा, यह इस बात पर निर्भर करता है कि वह संस्करण समर्थित (supported) है या नहीं। यदि कोई प्रोटोकॉल संस्करण प्रदान नहीं किया गया है, तो सभी उपलब्ध संस्करण लौटाए जाएंगे।

पैरामीटर (Parameters):
- `protocol_version`: एक ट्यूपल जो किसी विशिष्ट प्रोटोकॉल संस्करण (जैसे (3, 5)) को पहचानता है, या `None`।

वापसी मान (Return):
- एक डिक्शनरी जो संस्करण ट्यूपल को हैंडलर क्लास से मैप करती है, और सभी प्रासंगिक (relevant) और समर्थित (supported) प्रोटोकॉल संस्करणों के लिए होती है।

त्रुटि (Exception):
- `TypeError`: यदि प्रोटोकॉल संस्करण ट्यूपल के रूप में पास नहीं किया गया है।
""""""","Formatting, Remove-text","def protocol_handlers(cls, protocol_version=None):
    # Dictionary to store all available protocol handlers
    handlers = {
        (3, 0): ""BoltProtocolV3_0"",
        (3, 5): ""BoltProtocolV3_5"", 
        (4, 0): ""BoltProtocolV4_0"",
        (4, 1): ""BoltProtocolV4_1"",
        (4, 2): ""BoltProtocolV4_2"",
        (4, 3): ""BoltProtocolV4_3"",
        (4, 4): ""BoltProtocolV4_4""
    }

    # If no specific version requested, return all handlers
    if protocol_version is None:
        return handlers

    # Type check for protocol_version
    if not isinstance(protocol_version, tuple):
        raise TypeError(""Protocol version must be a tuple"")

    # If specific version requested, return only that handler if supported
    filtered_handlers = {}
    if protocol_version in handlers:
        filtered_handlers[protocol_version] = handlers[protocol_version]
    
    return filtered_handlers",
62e60e49d76274f8a4026d25,"Returns a decorator with metadata and timeout attributes.
def unit_of_work(metadata=None, timeout=None):

This function is a decorator for transaction functions that allows extra control over how the transaction is carried out.

For example, a timeout may be applied::

    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadata:
    a dictionary with metadata.
    Specified metadata will be attached to the executing transaction and visible in the output of ``dbms.listQueries`` and ``dbms.listTransactions`` procedures.
    It will also get logged to the ``query.log``.
    This functionality makes it easier to tag transactions and is equivalent to ``dbms.setTXMetaData`` procedure, see https://neo4j.com/docs/operations-manual/current/reference/procedures/ for procedure reference.
:type metadata: dict

:param timeout:
    the transaction timeout in seconds.
    Transactions that execute longer than the configured timeout will be terminated by the database.
    This functionality allows to limit query/transaction execution time.
    Specified timeout overrides the default timeout configured in the database using ``dbms.transaction.timeout`` setting.
    Value should not represent a negative duration.
    A zero duration will make the transaction execute indefinitely.
    None will use the default timeout configured in the database.
:type timeout: float or :const:`None`",Returns a decorator with metadata and timeout attributes.,"def unit_of_work(metadata=None, timeout=None):
","मेटाडेटा और टाइमआउट विशेषताओं के साथ एक डेकोरेटर लौटाता है।
```python
def unit_of_work(metadata=None, timeout=None):
```

यह फ़ंक्शन ट्रांज़ेक्शन फ़ंक्शन्स के लिए एक डेकोरेटर है, जो यह नियंत्रित करने की अतिरिक्त सुविधा प्रदान करता है कि ट्रांज़ेक्शन कैसे निष्पादित किया जाए।

उदाहरण के लिए, एक टाइमआउट लागू किया जा सकता है::

```python
from neo4j import unit_of_work

@unit_of_work(timeout=100)
def count_people_tx(tx):
    result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
    record = result.single()
    return record[""persons""]
```

**:param metadata:**  
    मेटाडेटा के साथ एक डिक्शनरी।  
    निर्दिष्ट मेटाडेटा निष्पादित ट्रांज़ेक्शन से जुड़ा होगा और ``dbms.listQueries`` और ``dbms.listTransactions`` प्रक्रियाओं के आउटपुट में दिखाई देगा।  
    यह ``query.log`` में भी लॉग किया जाएगा।  
    यह सुविधा ट्रांज़ेक्शन्स को टैग करना आसान बनाती है और ``dbms.setTXMetaData`` प्रक्रिया के समकक्ष है।  
    प्रक्रिया संदर्भ के लिए देखें: [https://neo4j.com/docs/operations-manual/current/reference/procedures/](https://neo4j.com/docs/operations-manual/current/reference/procedures/)।  
**:type metadata:** `dict`

**:param timeout:**  
    ट्रांज़ेक्शन का टाइमआउट (सेकंड में)।  
    जो ट्रांज़ेक्शन्स निर्दिष्ट टाइमआउट से अधिक समय तक चलते हैं, उन्हें डेटाबेस द्वारा समाप्त कर दिया जाएगा।  
    यह सुविधा क्वेरी/ट्रांज़ेक्शन निष्पादन समय को सीमित करने की अनुमति देती है।  
    निर्दिष्ट टाइमआउट डेटाबेस में कॉन्फ़िगर किए गए डिफ़ॉल्ट टाइमआउट (``dbms.transaction.timeout`` सेटिंग) को ओवरराइड करता है।  
    मान नकारात्मक अवधि का प्रतिनिधित्व नहीं करना चाहिए।  
    शून्य अवधि (0) ट्रांज़ेक्शन को अनिश्चित काल तक चलने देगी।  
    `None` का उपयोग डेटाबेस में कॉन्फ़िगर किए गए डिफ़ॉल्ट टाइमआउट का उपयोग करेगा।  
**:type timeout:** `float` या `:const:None`","def unit_of_work(metadata=None, timeout=None):
""""""

यह फ़ंक्शन ट्रांज़ेक्शन फ़ंक्शन्स के लिए एक डेकोरेटर है, जो यह नियंत्रित करने की अतिरिक्त सुविधा प्रदान करता है कि ट्रांज़ेक्शन कैसे निष्पादित किया जाए।

उदाहरण के लिए, एक टाइमआउट लागू किया जा सकता है::


from neo4j import unit_of_work

@unit_of_work(timeout=100)
def count_people_tx(tx):
    result = tx.run(""""MATCH (a:Person) RETURN count(a) AS persons"""")
    record = result.single()
    return record[""""persons""""]

:param metadata: 
    मेटाडेटा के साथ एक डिक्शनरी।  
    निर्दिष्ट मेटाडेटा निष्पादित ट्रांज़ेक्शन से जुड़ा होगा और ``dbms.listQueries`` और ``dbms.listTransactions`` प्रक्रियाओं के आउटपुट में दिखाई देगा।  
    यह ``query.log`` में भी लॉग किया जाएगा।  
    यह सुविधा ट्रांज़ेक्शन्स को टैग करना आसान बनाती है और ``dbms.setTXMetaData`` प्रक्रिया के समकक्ष है।  
    प्रक्रिया संदर्भ के लिए देखें: [https://neo4j.com/docs/operations-manual/current/reference/procedures/](https://neo4j.com/docs/operations-manual/current/reference/procedures/)।  
:type metadata: `dict`

:param timeout: 
    ट्रांज़ेक्शन का टाइमआउट (सेकंड में)।  
    जो ट्रांज़ेक्शन्स निर्दिष्ट टाइमआउट से अधिक समय तक चलते हैं, उन्हें डेटाबेस द्वारा समाप्त कर दिया जाएगा।  
    यह सुविधा क्वेरी/ट्रांज़ेक्शन निष्पादन समय को सीमित करने की अनुमति देती है।  
    निर्दिष्ट टाइमआउट डेटाबेस में कॉन्फ़िगर किए गए डिफ़ॉल्ट टाइमआउट (``dbms.transaction.timeout`` सेटिंग) को ओवरराइड करता है।  
    मान नकारात्मक अवधि का प्रतिनिधित्व नहीं करना चाहिए।  
    शून्य अवधि (0) ट्रांज़ेक्शन को अनिश्चित काल तक चलने देगी।  
    `None` का उपयोग डेटाबेस में कॉन्फ़िगर किए गए डिफ़ॉल्ट टाइमआउट का उपयोग करेगा।  
:type timeout: `float` या `:const:None`""
""""""",Formatting,"def unit_of_work(metadata=None, timeout=None):
    def decorator(f):
        def wrapper(*args, **kwargs):
            # Store the metadata and timeout values
            wrapper.metadata = metadata
            wrapper.timeout = timeout
            
            # Call the original transaction function
            return f(*args, **kwargs)
            
        # Copy function metadata
        wrapper.__name__ = f.__name__
        wrapper.__doc__ = f.__doc__
        
        return wrapper
        
    # Handle case where decorator is used without parameters
    if callable(metadata):
        f = metadata
        metadata = None
        return decorator(f)
        
    return decorator",
62e60e05d76274f8a4026cfd,"Returns the key in the form of int.
def index(self, key):

Return the index of the given item.

:param key: a key
:return: index
:rtype: int",Returns the key in the form of int.,"def index(self, key):
","कुंजी को पूर्णांक (int) के रूप में लौटाता है।  
```python
def index(self, key):
    """"""
    दिए गए आइटम का इंडेक्स (स्थान) लौटाता है।

    :param key: एक कुंजी (key)
    :return: इंडेक्स (स्थान)
    :rtype: int
    """"""
```","def index(self, key):
""""""    
    दिए गए आइटम का इंडेक्स (स्थान) लौटाता है।

    :param key: एक कुंजी 
    :return: इंडेक्स 
    :rtype: int
""""""","Formatting, Remove-text","def index(self, key):
    """"""    
    दिए गए आइटम का इंडेक्स (स्थान) लौटाता है।

    :param key: एक कुंजी 
    :return: इंडेक्स 
    :rtype: int
    """"""
    for i in range(len(self)):
        if self[i] == key:
            return i
    raise ValueError(f""{key} is not in list"")",
62e60da4d76274f8a4026cf1,"Returns the key filtered by self.index in the form of a list.
def values(self, *keys):

Return the values of the record, optionally filtering to
include only certain values by index or key.

:param keys: indexes or keys of the items to include; if none
             are provided, all values will be included
:return: list of values
:rtype: list",Returns the key filtered by self.index in the form of a list.,"def values(self, *keys):
","स्वयं की `index` द्वारा फ़िल्टर की गई कुंजी को सूची (list) के रूप में लौटाता है।  
```python
def values(self, *keys):
```

रिकॉर्ड के मान (values) लौटाता है, और वैकल्पिक रूप से केवल कुछ विशिष्ट मानों को शामिल करने के लिए इंडेक्स या कुंजी द्वारा फ़िल्टर करता है।

**पैरामीटर (Parameters):**  
- **keys:** उन आइटम्स के इंडेक्स या कुंजियाँ (keys) जिन्हें शामिल करना है; यदि कोई कुंजी प्रदान नहीं की जाती है, तो सभी मान (values) शामिल किए जाएंगे।  

**वापसी (Return):**  
- मानों (values) की सूची।  

**वापसी प्रकार (Return Type):**  
- सूची (list)","def values(self, *keys):
""""""

रिकॉर्ड के मान (values) लौटाता है, और वैकल्पिक रूप से केवल कुछ विशिष्ट मानों को शामिल करने के लिए इंडेक्स या कुंजी द्वारा फ़िल्टर करता है।

पैरामीटर (Parameters): 
- keys: उन आइटम्स के इंडेक्स या कुंजियाँ (keys) जिन्हें शामिल करना है; यदि कोई कुंजी प्रदान नहीं की जाती है, तो सभी मान (values) शामिल किए जाएंगे।  

वापसी (Return):
- मानों (values) की सूची।  

वापसी प्रकार (Return Type):
- सूची (list)
""""""",Formatting,"def values(self, *keys):
    # If no keys provided, return all values
    if not keys:
        return list(self._data.values())
    
    # If keys provided, return values for those keys only
    result = []
    for key in keys:
        # Handle both index and key access
        if isinstance(key, int):
            # Get value by index
            try:
                result.append(list(self._data.values())[key])
            except IndexError:
                continue
        else:
            # Get value by key
            if key in self._data:
                result.append(self._data[key])
    
    return result",
62e60b10d76274f8a4026ccd,"Returns the keys processed by the transform method of the RecordExporter class.
def data(self, *keys):

Return the keys and values of this record as a dictionary,
optionally including only certain values by index or key. Keys
provided in the items that are not in the record will be
inserted with a value of :const:`None`; indexes provided
that are out of bounds will trigger an :exc:`IndexError`.

:param keys: indexes or keys of the items to include; if none
              are provided, all values will be included
:return: dictionary of values, keyed by field name
:raises: :exc:`IndexError` if an out-of-bounds index is specified",Returns the keys processed by the transform method of the RecordExporter class.,"def data(self, *keys):
","रिकॉर्डएक्सपोर्टर (RecordExporter) क्लास के ट्रांसफॉर्म (transform) मेथड द्वारा प्रोसेस की गई कुंजियों (keys) को लौटाता है।  
```python
def data(self, *keys):
```

यह मेथड इस रिकॉर्ड की कुंजियों और मानों (keys and values) को एक डिक्शनरी (dictionary) के रूप में लौटाता है। आप वैकल्पिक रूप से केवल कुछ विशेष मानों को इंडेक्स (index) या कुंजी (key) के आधार पर शामिल कर सकते हैं। जो कुंजियाँ प्रदान की गई हैं लेकिन रिकॉर्ड में मौजूद नहीं हैं, उन्हें :const:`None` मान के साथ सम्मिलित किया जाएगा। यदि कोई इंडेक्स सीमा से बाहर है, तो :exc:`IndexError` उत्पन्न होगा।

**पैरामीटर (Parameters):**  
- **keys:** उन आइटम्स के इंडेक्स या कुंजियाँ जिन्हें शामिल करना है; यदि कोई कुंजी प्रदान नहीं की गई है, तो सभी मान शामिल किए जाएंगे।  

**वापसी मान (Return):**  
- फ़ील्ड नाम (field name) द्वारा कुंजीबद्ध मानों की डिक्शनरी।  

**अपवाद (Raises):**  
- :exc:`IndexError` यदि कोई सीमा से बाहर का इंडेक्स निर्दिष्ट किया गया है।","def data(self, *keys):
""""""

यह मेथड इस रिकॉर्ड की कुंजियों और मानों (keys and values) को एक डिक्शनरी (dictionary) के रूप में लौटाता है। आप वैकल्पिक रूप से केवल कुछ विशेष मानों को इंडेक्स (index) या कुंजी (key) के आधार पर शामिल कर सकते हैं। जो कुंजियाँ प्रदान की गई हैं लेकिन रिकॉर्ड में मौजूद नहीं हैं, उन्हें :const:`None` मान के साथ सम्मिलित किया जाएगा। यदि कोई इंडेक्स सीमा से बाहर है, तो :exc:`IndexError` उत्पन्न होगा।

पैरामीटर (Parameters): 
- keys: उन आइटम्स के इंडेक्स या कुंजियाँ जिन्हें शामिल करना है; यदि कोई कुंजी प्रदान नहीं की गई है, तो सभी मान शामिल किए जाएंगे।  

वापसी मान (Return): 
-मानों का शब्दकोश, फ़ील्ड नाम द्वारा कुंजीबद्ध

अपवाद (Raises): 
- :exc:`IndexError` यदि कोई सीमा से बाहर का इंडेक्स निर्दिष्ट किया गया है।
""""""","Formatting, Remove-text","def data(self, *keys):
    # If no keys provided, return all data
    if not keys:
        return dict(zip(self._fields, self))
        
    # Initialize result dictionary
    result = {}
    
    # Process each requested key
    for key in keys:
        try:
            # Handle numeric index
            if isinstance(key, int):
                if 0 <= key < len(self):
                    result[self._fields[key]] = self[key]
                else:
                    raise IndexError(f""Index {key} is out of range"")
            # Handle string field name
            else:
                try:
                    index = self._fields.index(key)
                    result[key] = self[index]
                except ValueError:
                    result[key] = None
                    
        except IndexError:
            raise IndexError(f""Index {key} is out of range"")
            
    return result",
