language,model,iteration,id,nloc,ccn,token_count,param_count,length,top_nesting_level,flake8,pylint
english,gpt,0,ClassEval_0::filter,7,3,43,2,16,1,2,8
english,gpt,0,ClassEval_0::get_jwt_user,5,2,36,2,13,1,3,5
english,gpt,0,ClassEval_0::is_start_with,2,1,19,2,11,1,2,4
english,gpt,0,ClassEval_0::set_current_user_info_and_log,2,1,15,2,10,1,2,5
english,gpt,0,ClassEval_10::calculate_binary_info,7,2,75,1,14,1,5,10
english,gpt,0,ClassEval_10::clean_non_binary_chars,2,1,28,1,9,1,3,5
english,gpt,0,ClassEval_10::convert_to_ascii,2,1,12,1,8,1,2,5
english,gpt,0,ClassEval_10::convert_to_utf8,7,2,61,1,13,1,2,6
english,gpt,0,ClassEval_11::add,3,1,22,2,13,1,4,6
english,gpt,0,ClassEval_11::check,4,4,28,1,14,1,2,5
english,gpt,0,ClassEval_11::has,3,1,24,2,12,1,4,6
english,gpt,0,ClassEval_11::remove,3,1,23,2,13,1,4,7
english,gpt,0,ClassEval_12::calculate_hand_value,16,6,75,2,27,1,6,7
english,gpt,0,ClassEval_12::check_winner,11,4,51,3,22,1,5,9
english,gpt,0,ClassEval_12::create_deck,6,3,69,1,16,1,9,6
english,gpt,0,ClassEval_13::add_book,5,2,37,3,10,1,2,7
english,gpt,0,ClassEval_13::remove_book,8,5,67,3,14,1,3,9
english,gpt,0,ClassEval_13::view_book_quantity,2,1,19,2,11,1,2,6
english,gpt,0,ClassEval_13::view_inventory,2,1,10,1,11,1,2,5
english,gpt,0,ClassEval_14::add_book,3,1,31,3,12,1,3,8
english,gpt,0,ClassEval_14::borrow_book,3,1,28,2,9,1,2,7
english,gpt,0,ClassEval_14::create_table,3,1,21,1,8,1,3,7
english,gpt,0,ClassEval_14::remove_book,3,1,28,2,9,1,2,7
english,gpt,0,ClassEval_14::return_book,3,1,28,2,9,1,3,7
english,gpt,0,ClassEval_14::search_books,3,1,22,1,10,1,3,6
english,gpt,0,ClassEval_15::bad_character_heuristic,11,3,93,1,18,1,3,14
english,gpt,0,ClassEval_15::match_in_pattern,5,3,44,2,13,1,2,6
english,gpt,0,ClassEval_15::mismatch_in_text,5,4,56,2,13,1,4,10
english,gpt,0,ClassEval_16::apply_operator,7,1,56,3,16,1,2,6
english,gpt,0,ClassEval_16::calculate,21,10,156,2,29,1,5,12
english,gpt,0,ClassEval_16::precedence,8,4,31,2,18,1,3,6
english,gpt,0,ClassEval_17::add_event,2,1,16,2,10,1,3,7
english,gpt,0,ClassEval_17::get_available_slots,13,5,129,2,22,1,6,8
english,gpt,0,ClassEval_17::get_events,2,3,33,2,12,1,5,8
english,gpt,0,ClassEval_17::get_upcoming_events,7,3,46,2,18,1,6,9
english,gpt,0,ClassEval_17::is_available,5,4,36,3,15,1,5,7
english,gpt,0,ClassEval_17::remove_event,3,2,23,2,12,1,3,8
english,gpt,0,ClassEval_18::::delitem::,2,1,20,2,12,1,1,6
english,gpt,0,ClassEval_18::::getitem::,2,1,20,2,11,1,1,6
english,gpt,0,ClassEval_18::::iter::,2,1,13,1,12,1,1,5
english,gpt,0,ClassEval_18::::len::,2,1,13,1,12,1,1,5
