id,prompt,summary,code,translation,correction,correction_tag,generated_code
6367676d1a6d9265ec018229,"/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */

public static String[] trimArrayElements(String[] array)",Trim each element in the given string array and return the resulting array.,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
 * @param array l'array di Stringhe originale
 * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}","/** 
 * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
 * @param array l'array di Stringhe originale
 * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
 */

public static String[] trimArrayElements(String[] array)",,"public class StringArrayTrimmer {
    
    /** 
     * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
     * @param array l'array di Stringhe originale
     * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            trimmedArray[i] = array[i] != null ? array[i].trim() : null;
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] originalArray = {""  Hello  "", ""  World  "", null, ""  Java  ""};
        String[] trimmedArray = trimArrayElements(originalArray);
        
        for (String str : trimmedArray) {
            System.out.println(str);
        }
    }
}"
6367670b1a6d9265ec017a00,"/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */

public static boolean isSameLength(final byte[] array1,final byte[] array2)",Check whether the length of the given two byte arrays is the same.,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
 * @param array1 il primo array, può essere <code>null</code>
 * @param array2 il secondo array, può essere <code>null</code>
 * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2) {
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}","/** 
 * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
 * @param array1 il primo array, può essere <code>null</code>
 * @param array2 il secondo array, può essere <code>null</code>
 * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2)",,"public class ArrayLengthChecker {

    /** 
     * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
     * @param array1 il primo array, può essere <code>null</code>
     * @param array2 il secondo array, può essere <code>null</code>
     * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        // Test cases
        System.out.println(isSameLength(null, null)); // true
        System.out.println(isSameLength(new byte[]{1, 2, 3}, new byte[]{4, 5, 6})); // true
        System.out.println(isSameLength(new byte[]{1}, new byte[]{2, 3})); // false
        System.out.println(isSameLength(null, new byte[]{})); // true
        System.out.println(isSameLength(new byte[]{}, new byte[]{1})); // false
    }
}"
636766a91a6d9265ec0175c2,"/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */

private int pop()",Pop an abstract type from the output frame stack and return its value.,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/**
 * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
 * @return il tipo astratto che è stato estratto dallo stack del frame di output.
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}","/**
 * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
 * @return il tipo astratto che è stato estratto dallo stack del frame di output.
 */

private int pop()",,"public class StackFrame {
    private int[] stack;
    private int top;

    public StackFrame(int size) {
        stack = new int[size];
        top = -1;
    }

    public void push(int value) {
        if (top < stack.length - 1) {
            stack[++top] = value;
        } else {
            throw new StackOverflowError(""Stack is full"");
        }
    }

    /**
     * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
     * @return il tipo astratto che è stato estratto dallo stack del frame di output.
     */
    private int pop() {
        if (top >= 0) {
            return stack[top--];
        } else {
            throw new IllegalStateException(""Stack is empty"");
        }
    }

    public static void main(String[] args) {
        StackFrame frame = new StackFrame(5);
        frame.push(10);
        frame.push(20);
        System.out.println(""Popped value: "" + frame.pop()); // Should print 20
        System.out.println(""Popped value: "" + frame.pop()); // Should print 10
    }
}"
636767081a6d9265ec017989,"/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>Converte un array di oggetti Boolean in primitivi.</p> 
 * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
 * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
 * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
 * @throws NullPointerException se il contenuto dell'array è <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
  else if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result = new boolean[array.length];
  for (int i = 0; i < array.length; i++) {
    result[i] = array[i].booleanValue();
  }
  return result;
}","/** 
 * <p>Converte un array di oggetti Boolean in primitivi.</p> 
 * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
 * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
 * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
 * @throws NullPointerException se il contenuto dell'array è <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)",,"import java.util.Objects;

public class BooleanArrayConverter {

    /** 
     * <p>Converte un array di oggetti Boolean in primitivi.</p> 
     * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
     * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
     * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
     * @throws NullPointerException se il contenuto dell'array è <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] primitiveArray = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] == null) {
                throw new NullPointerException(""Element at index "" + i + "" is null"");
            }
            primitiveArray[i] = array[i];
        }
        return primitiveArray;
    }

    public static void main(String[] args) {
        Boolean[] booleanArray = {true, false, null, true};
        try {
            boolean[] result = toPrimitive(booleanArray);
        } catch (NullPointerException e) {
            System.out.println(e.getMessage());
        }
    }
}"
6367672d1a6d9265ec017c73,"/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */

public boolean shouldPrintMessage(int timestamp,String message)"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false. Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi. 
 */

public boolean shouldPrintMessage(int timestamp, String message) {
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message, timestamp);
      return true;
    } else {
      return false;
    }
  } else {
    messages.put(message, timestamp);
    return true;
  }
}","/** 
 * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false. Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi. 
 */

public boolean shouldPrintMessage(int timestamp, String message)",,"import java.util.HashMap;
import java.util.Map;

public class MessagePrinter {
    private Map<String, Integer> messageTimestamps;

    public MessagePrinter() {
        messageTimestamps = new HashMap<>();
    }

    /** 
     * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, 
     * altrimenti restituisce false. Se questo metodo restituisce false, il messaggio 
     * non verrà stampato. Il timestamp è in granularità di secondi. 
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (!messageTimestamps.containsKey(message)) {
            messageTimestamps.put(message, timestamp);
            return true;
        }

        int lastTimestamp = messageTimestamps.get(message);
        if (timestamp - lastTimestamp >= 10) {
            messageTimestamps.put(message, timestamp);
            return true;
        }

        return false;
    }

    public static void main(String[] args) {
        MessagePrinter printer = new MessagePrinter();
        System.out.println(printer.shouldPrintMessage(1, ""Hello"")); // true
        System.out.println(printer.shouldPrintMessage(2, ""Hello"")); // false
        System.out.println(printer.shouldPrintMessage(11, ""Hello"")); // true
    }
}"
636766f81a6d9265ec01775c,"/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */

public static String toString(Object obj)","Return the string representation of the given object, return an empty string if the object is null.","public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
 * <pre> ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  l'oggetto da <code>toString</code>, può essere null
 * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}","/** 
 * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
 * <pre> ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  l'oggetto da <code>toString</code>, può essere null
 * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj)",,"public class ObjectUtils {

    /** 
     * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
     * <pre> ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  l'oggetto da <code>toString</code>, può essere null
     * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : String.valueOf(obj);
    }

    public static void main(String[] args) {
        System.out.println(ObjectUtils.toString(null));         // Output: """"
        System.out.println(ObjectUtils.toString(""""));           // Output: """"
        System.out.println(ObjectUtils.toString(""bat""));        // Output: ""bat""
        System.out.println(ObjectUtils.toString(Boolean.TRUE));  // Output: ""true""
    }
}"
6367667f1a6d9265ec017457,"/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */

private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb)","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri a un StringBuffer.
 * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  } else {
    CharBuffer cb = UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}","/** 
 * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri ad uno oggetto StringBuffer.
 * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb)",[grammar],"import java.nio.ByteBuffer;

public class OctetDecoder {

    /** 
     * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri ad uno oggetto StringBuilder.
     * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        while (i < bb.limit()) {
            int b = bb.get(i) & 0xFF; // Get the byte and convert to unsigned
            if ((b & 0x80) == 0) { // 1-byte character (ASCII)
                sb.append((char) b);
                i++;
            } else if ((b & 0xE0) == 0xC0) { // 2-byte character
                if (i + 1 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                sb.append((char) (((b & 0x1F) << 6) | (b2 & 0x3F)));
                i += 2;
            } else if ((b & 0xF0) == 0xE0) { // 3-byte character
                if (i + 2 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                int b3 = bb.get(i + 2) & 0xFF;
                sb.append((char) (((b & 0x0F) << 12) | ((b2 & 0x3F) << 6) | (b3 & 0x3F)));
                i += 3;
            } else if ((b & 0xF8) == 0xF0) { // 4-byte character
                if (i + 3 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                int b3 = bb.get(i + 2) & 0xFF;
                int b4 = bb.get(i + 3) & 0xFF;
                int codePoint = (((b & 0x07) << 18) | ((b2 & 0x3F) << 12) | ((b3 & 0x3F) << 6) | (b4 & 0x3F));
                // Handle code points outside the Basic Multilingual Plane (BMP)
                if (codePoint > 0xFFFF) {
                    codePoint -= 0x10000;
                    sb.append((char) (0xD800 | (codePoint >> 10)));
                    sb.append((char) (0xDC00 | (codePoint & 0x3FF)));
                } else {
                    sb.append((char) codePoint);
                }
                i += 4;
            } else {
                // Invalid byte sequence, break
                break;
            }
        }
        return i; // Return the index of the next unchecked character
    }
}"
636766aa1a6d9265ec0175ce,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */

int visitFrameStart(final int offset,final int numLocal,final int numStack)","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
 * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
 * @param numLocal il numero di variabili locali nel frame.
 * @param numStack il numero di elementi nello stack nel frame.
 * @return l'indice del prossimo elemento da scrivere in questo frame.
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack) {
  int frameLength = 3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame = new int[frameLength];
  }
  currentFrame[0] = offset;
  currentFrame[1] = numLocal;
  currentFrame[2] = numStack;
  return 3;
}","/** 
 * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
 * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
 * @param numLocal il numero di variabili locali nel frame.
 * @param numStack il numero di elementi nello stack nel frame.
 * @return l'indice del prossimo elemento da scrivere in questo frame.
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack)",,"public class FrameVisitor {
    private int currentFrame;

    /**
     * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
     * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
     * @param numLocal il numero di variabili locali nel frame.
     * @param numStack il numero di elementi nello stack nel frame.
     * @return l'indice del prossimo elemento da scrivere in questo frame.
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Logica per iniziare la visita del frame
        currentFrame = offset; // Memorizza l'offset nel frame corrente
        // Potresti voler gestire numLocal e numStack qui, ad esempio:
        // inizializza le variabili locali e lo stack in base a numLocal e numStack

        // Restituisce l'indice del prossimo elemento da scrivere
        return numLocal + numStack; // Esempio di calcolo dell'indice
    }

    public static void main(String[] args) {
        FrameVisitor visitor = new FrameVisitor();
        int nextIndex = visitor.visitFrameStart(10, 5, 3);
        System.out.println(""Next index to write: "" + nextIndex);
    }
}"
636767191a6d9265ec017c0f,"/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */

private void enlarge(final int size)","Enlarge the byte vector data, by increasing it by the given size.","private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/**
 * Ingrossa questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
 * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
 */

private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}","/**
 * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
 * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
 */

private void enlarge(final int size)",[FixTranslation],"import java.util.Arrays;

public class ByteArrayEnlarger {
    private byte[] byteArray;

    public ByteArrayEnlarger(int initialSize) {
        byteArray = new byte[initialSize];
    }

    /**
     * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
     * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
     */
    private void enlarge(final int size) {
        int currentLength = byteArray.length;
        int newLength = currentLength + size;
        byteArray = Arrays.copyOf(byteArray, newLength);
    }

    public byte[] getByteArray() {
        return byteArray;
    }

    public static void main(String[] args) {
        ByteArrayEnlarger enlarger = new ByteArrayEnlarger(5);
        System.out.println(""Initial length: "" + enlarger.getByteArray().length);
        enlarger.enlarge(10);
        System.out.println(""New length after enlargement: "" + enlarger.getByteArray().length);
    }
}"
636767821a6d9265ec0183a0,"/** 
 * Delete's the specified file if it exists 
 */

protected static void deleteFile(String fileName)",Delete the given file if it exists,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Elimina il file specificato se esiste 
 */

protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}","/** 
 * Elimina il file specificato se esiste 
 */

protected static void deleteFile(String fileName)",,"import java.io.File;

public class FileUtils {

    /** 
     * Elimina il file specificato se esiste 
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""File deleted successfully: "" + fileName);
            } else {
                System.out.println(""Failed to delete the file: "" + fileName);
            }
        } else {
            System.out.println(""File does not exist: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Example usage
        deleteFile(""example.txt"");
    }
}"
