module,error_ids,error_messages,count
62b43425903eeb48555d3ea1,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43425903eeb48555d3ea1"" doesn't conform to snake_case naming style | Unused argument 'self'",4
62b43426903eeb48555d3ea2,"missing-final-newline, missing-module-docstring, invalid-name, undefined-variable, protected-access, undefined-variable, unused-argument","Final newline missing | Missing module docstring | Module name ""62b43426903eeb48555d3ea2"" doesn't conform to snake_case naming style | Undefined variable '_converting' | Access to a protected member _Converter of a client class | Undefined variable '_converting' | Unused argument 'self'",7
62b43427903eeb48555d3ea5,"line-too-long, line-too-long, line-too-long, line-too-long, missing-final-newline, missing-module-docstring, invalid-name, redefined-builtin, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, no-else-return, unused-argument","Line too long (105/100) | Line too long (116/100) | Line too long (123/100) | Line too long (127/100) | Final newline missing | Missing module docstring | Module name ""62b43427903eeb48555d3ea5"" doesn't conform to snake_case naming style | Redefining built-in 'format' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"" | Unused argument 'self'",25
62b43428903eeb48555d3eaa,"trailing-whitespace, trailing-whitespace, line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, undefined-variable, unused-argument, unused-variable","Trailing whitespace | Trailing whitespace | Line too long (105/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b43428903eeb48555d3eaa"" doesn't conform to snake_case naming style | Missing function or method docstring | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'Iterable' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'Iterable' | Undefined variable 'Sequence' | Undefined variable 'Any' | Undefined variable 'Tuple' | Undefined variable 'AnyStr' | Undefined variable 'Union' | Undefined variable 'List' | Undefined variable 'Dict' | Undefined variable 'Union' | Undefined variable 'Any' | Undefined variable 'List' | Undefined variable 'Sequence' | Undefined variable 'Any' | Unused argument 'self' | Unused variable 'i'",29
62b438a266fea644fe22cc2c,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2c"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",5
62b438a266fea644fe22cc2d,"line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (104/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2d"" doesn't conform to snake_case naming style",6
62b438a266fea644fe22cc2e,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name","Line too long (259/100) | Final newline missing | Missing module docstring | Module name ""62b438a266fea644fe22cc2e"" doesn't conform to snake_case naming style",4
62b438b566fea644fe22cc70,"trailing-whitespace, line-too-long, trailing-whitespace, trailing-whitespace, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel, import-outside-toplevel","Trailing whitespace | Line too long (113/100) | Trailing whitespace | Trailing whitespace | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b566fea644fe22cc70"" doesn't conform to snake_case naming style | Import outside toplevel (argparse) | Import outside toplevel (sys)",11
62b438b666fea644fe22cc72,"line-too-long, missing-final-newline, line-too-long, missing-module-docstring, invalid-name, protected-access","Line too long (102/100) | Final newline missing | Line too long (102/100) | Missing module docstring | Module name ""62b438b666fea644fe22cc72"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class",6
62b438b666fea644fe22cc78,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438b666fea644fe22cc78"" doesn't conform to snake_case naming style",5
62b438ba66fea644fe22cca2,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, import-error, import-outside-toplevel","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b438ba66fea644fe22cca2"" doesn't conform to snake_case naming style | Missing function or method docstring | Unable to import 'ruamel.yaml.nodes' | Import outside toplevel (ruamel.yaml.nodes.ScalarNode, ruamel.yaml.nodes.MappingNode)",8
62b45665d7d32e5b55cc8363,"trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, import-outside-toplevel","Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8363"" doesn't conform to snake_case naming style | Import outside toplevel (argparse)",5
62b45665d7d32e5b55cc8364,"line-too-long, trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Line too long (104/100) | Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8364"" doesn't conform to snake_case naming style",6
62b45665d7d32e5b55cc8365,"line-too-long, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name, unused-variable","Line too long (237/100) | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b45665d7d32e5b55cc8365"" doesn't conform to snake_case naming style | Unused variable 'subparsers'",6
62b45679d7d32e5b55cc83a9,"missing-final-newline, line-too-long, missing-module-docstring, invalid-name, protected-access, protected-access","Final newline missing | Line too long (109/100) | Missing module docstring | Module name ""62b45679d7d32e5b55cc83a9"" doesn't conform to snake_case naming style | Access to a protected member _actions of a client class | Access to a protected member _actions of a client class",6
62b4567ad7d32e5b55cc83af,"trailing-whitespace, trailing-whitespace, missing-final-newline, missing-module-docstring, invalid-name","Trailing whitespace | Trailing whitespace | Final newline missing | Missing module docstring | Module name ""62b4567ad7d32e5b55cc83af"" doesn't conform to snake_case naming style",5
62b4567ed7d32e5b55cc83d9,"missing-final-newline, missing-module-docstring, invalid-name, missing-function-docstring, import-error, import-outside-toplevel","Final newline missing | Missing module docstring | Module name ""62b4567ed7d32e5b55cc83d9"" doesn't conform to snake_case naming style | Missing function or method docstring | Unable to import 'ruamel.yaml.nodes' | Import outside toplevel (ruamel.yaml.nodes.ScalarNode, ruamel.yaml.nodes.MappingNode)",6
62b45b396decaeff903e1001,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45b396decaeff903e1001"" doesn't conform to snake_case naming style | Unused argument 'self'",4
62b45df05108cfac7f2109ce,"missing-final-newline, missing-module-docstring, invalid-name, broad-exception-caught, simplifiable-if-statement, no-else-return, missing-function-docstring, unused-argument, unused-argument, missing-function-docstring, unused-argument, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45df05108cfac7f2109ce"" doesn't conform to snake_case naming style | Catching too general exception Exception | The if statement can be replaced with 'return bool(test)' | Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it | Missing function or method docstring | Unused argument 'self' | Unused argument 'path' | Missing function or method docstring | Unused argument 'self' | Unused argument 'path'",12
62b45df15108cfac7f2109dc,"line-too-long, missing-final-newline, missing-module-docstring, invalid-name, unused-argument","Line too long (102/100) | Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dc"" doesn't conform to snake_case naming style | Unused argument 'self'",5
62b45df15108cfac7f2109dd,"missing-final-newline, missing-module-docstring, invalid-name, duplicate-code, duplicate-code, duplicate-code, duplicate-code, duplicate-code","Final newline missing | Missing module docstring | Module name ""62b45df15108cfac7f2109dd"" doesn't conform to snake_case naming style | Similar lines in 2 files
==62b8d23948ba5a41d1c3f498:[15:29]
==62b8d23b48ba5a41d1c3f49a:[15:29]
            if key in cache:
                cache.move_to_end(key)
                return cache[key]
            result = func(*args, **kwargs)
            cache[key] = result
            if len(cache) > maxsize:
                cache.popitem(last=False)
            return result

        wrapper.cache_clear = cache.clear
        wrapper.cache_info = lambda: (len(cache), maxsize)
        return wrapper

    return decorator | Similar lines in 2 files
==62b8b4baeb7e40a82d2d1136:[45:56]
==62b8b4baeb7e40a82d2d1137:[46:57]
    for attr in required_attributes:
        if not hasattr(candidate, attr):
            errors.append(f""{candidate} is missing required attribute {attr}"")

    if errors:
        if len(errors) == 1:
            raise Invalid(errors[0])
        else:
            raise Invalid(errors)

    return True | Similar lines in 2 files
==62b8b4baeb7e40a82d2d1136:[37:44]
==62b8b4baeb7e40a82d2d1137:[36:41]
    for method in required_methods:
        if not hasattr(candidate, method):
            errors.append(f""{candidate} is missing required method {method}"")
        else:
            method_signature = signature(getattr(candidate, method)) | Similar lines in 2 files
==62b8d22548ba5a41d1c3f472:[23:28]
==62b8d27a48ba5a41d1c3f4c6:[13:18]
                result = func(*args, **kwargs)
                cache[cache_key] = result
                return result
        return wrapper
    return decorator | Similar lines in 2 files
==62b8d22548ba5a41d1c3f472:[15:21]
==62b8d27a48ba5a41d1c3f4c6:[11:16]
                    if cache_key in cache:
                        return cache[cache_key]
                    # Call the function and cache the result
                    result = func(*args, **kwargs)
                    cache[cache_key] = result
                    return result",8
62b45e135108cfac7f2109f4,"missing-final-newline, missing-module-docstring, invalid-name, unused-argument, unused-argument","Final newline missing | Missing module docstring | Module name ""62b45e135108cfac7f2109f4"" doesn't conform to snake_case naming style | Unused argument 'self' | Unused argument 'identifier'",5
