id,generated_code,comments,identifiers,literals,notes
ClassEval_0::filter,"def filter(self, request):
    """"""
        कुछ नियमों और शर्तों के आधार पर आने वाले अनुरोध को फ़िल्टर करें।
        :param request: dict, आने वाले अनुरोध का विवरण
        :return: bool, यदि अनुरोध की अनुमति है तो True, अन्यथा False
        >>> filter = AccessGatewayFilter()
        >>> filter.filter({'path': '/login', 'method': 'POST'})
        True

        """"""
    if not self.is_start_with(request.get('path', '')):
        return False
    if request.get('path', '').startswith('/login'):
        return request.get('method') == 'POST'
    if request.get('path', '').startswith('/api'):
        headers = request.get('headers', {})
        if 'Authorization' not in headers:
            return False
        user_info = self.get_jwt_user(request)
        if user_info is None:
            return False
        self.set_current_user_info_and_log(user_info.get('user', {}))
        return True
    return False",,english,,
ClassEval_0::is_start_with,"def is_start_with(self, request_uri):
    """"""
        जांचें कि क्या अनुरोध URI कुछ उपसर्गों से शुरू होता है।
        वर्तमान में, जांचे जा रहे उपसर्ग ""/api"" और ""/login"" हैं।
        :param request_uri: str, अनुरोध का URI
        :return: bool, यदि URI कुछ उपसर्गों से शुरू होता है तो True, अन्यथा False
        >>> filter = AccessGatewayFilter()
        >>> filter.is_start_with('/api/data')
        True
        """"""
    prefixes = ['/api', '/login']
    return any((request_uri.startswith(prefix) for prefix in prefixes))",,english,,
ClassEval_0::get_jwt_user,"def get_jwt_user(self, request):
    """"""
        अनुरोध में JWT टोकन से उपयोगकर्ता की जानकारी प्राप्त करें।
        :param request: dict, आने वाले अनुरोध का विवरण
        :return: dict या None, यदि टोकन मान्य है तो उपयोगकर्ता की जानकारी, अन्यथा None
        >>> filter = AccessGatewayFilter()
        >>> filter.get_jwt_user({'headers': {'Authorization': {'user': {'name': 'user1'}, 'jwt': 'user1'+str(datetime.date.today())}}})
        {'user': {'name': 'user1'}}
        """"""
    try:
        if 'headers' in request and 'Authorization' in request['headers']:
            auth_data = request['headers']['Authorization']
            if isinstance(auth_data, dict) and 'user' in auth_data:
                return {'user': auth_data['user']}
    except:
        return None
    return None",,english,,
ClassEval_0::set_current_user_info_and_log,"def set_current_user_info_and_log(self, user):
    """"""
        वर्तमान उपयोगकर्ता की जानकारी सेट करें और पहुंच को लॉग करें।
        :param user: dict, उपयोगकर्ता की जानकारी
        :return: None
        >>> filter = AccessGatewayFilter()
        >>> user = {'name': 'user1', 'address': '127.0.0.1'}
        >>> filter.set_current_user_info_and_log(user)

        """"""
    logging.info(f""User {user['name']} from {user.get('address', 'unknown')} accessed the system"")",,english,,
ClassEval_1::calculate_circle_area,"def calculate_circle_area(self):
    """"""
        self.radius के आधार पर वृत्त का क्षेत्रफल निकालें
        :return: वृत्त का क्षेत्रफल, float
        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_circle_area()
        12.566370614359172
        """"""
    return math.pi * self.radius ** 2",,english,,
ClassEval_1::calculate_sphere_area,"def calculate_sphere_area(self):
    """"""
        self.radius के आधार पर गोले का एरिया कैलकुलेट करें।

        :return: sphereArea, float

        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_sphere_area()
        50.26548245743669
        """"""
    return 4 * math.pi * self.radius ** 2",,english,,
ClassEval_1::calculate_cylinder_area,"def calculate_cylinder_area(self, height):
    """"""
        सिलेंडर का क्षेत्रफल self.radius और height के आधार पर गणना करें
        :param height: सिलेंडर की ऊँचाई, फ्लोट
        :return: सिलेंडर का क्षेत्रफल, फ्लोट
        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_cylinder_area(3)
        62.83185307179586
        """"""
    return 2 * math.pi * self.radius * (self.radius + height)",,english,,
ClassEval_1::calculate_sector_area,"def calculate_sector_area(self, angle):
    """"""
        self.radius और angle के आधार पर सेक्टर का एरिया कैलकुलेट करें।

        :param angle: सेक्टर का एंगल, float
        :return: सेक्टर का एरिया, float

        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_sector_area(math.pi)
        6.283185307179586
        """"""
    return 0.5 * self.radius ** 2 * angle",,english,,
ClassEval_1::calculate_annulus_area,"def calculate_annulus_area(self, inner_radius, outer_radius):
    """"""
        inner_radius और outer_radius के आधार पर एनलस का एरिया कैलकुलेट करें।

        :param inner_radius: सेक्टर का इनर रेडियस, float
        :param outer_radius: सेक्टर का आउटर रेडियस, float
        :return: एनलस का एरिया, float

        >>> areaCalculator.calculate_annulus_area(2, 3)
        15.707963267948966
        """"""
    return math.pi * (outer_radius ** 2 - inner_radius ** 2)",,english,,
ClassEval_2::parse_arguments,"def parse_arguments(self, command_string):
    """"""
        दिए गए कमांड लाइन तर्क स्ट्रिंग का विश्लेषण करता है और _convert_type को कॉल करता है ताकि विश्लेषित परिणाम को तर्कों की शब्दकोश में विशिष्ट प्रकार में संग्रहीत किया जा सके।
        यदि कोई आवश्यक तर्क गायब है, तो इसकी जांच करता है और गायब तर्क नामों के साथ False लौटाता है, अन्यथा True लौटाता है।
        :param command_string: str, कमांड लाइन तर्क स्ट्रिंग, इस तरह से स्वरूपित ""python script.py --arg1=value1 -arg2 value2 --option1 -option2""
        :return tuple: (True, None) यदि विश्लेषण सफल है, (False, missing_args) यदि विश्लेषण विफल होता है,
            जहाँ missing_args गायब तर्क नामों का एक सेट है जो str हैं।
        >>> parser.parse_arguments(""python script.py --arg1=value1 -arg2 value2 --option1 -option2"")
        (True, None)
        >>> parser.arguments
        {'arg1': 'value1', 'arg2': 'value2', 'option1': True, 'option2': True}
        """"""
    self.arguments = {}
    parts = command_string.split()
    i = 0
    while i < len(parts):
        part = parts[i]
        if part.startswith('--') and '=' in part:
            arg_name = part[2:].split('=')[0]
            arg_value = part.split('=')[1]
            self.arguments[arg_name] = self._convert_type(arg_name, arg_value)
            i += 1
        elif part.startswith('--'):
            arg_name = part[2:]
            if i + 1 < len(parts) and (not parts[i + 1].startswith('-')):
                arg_value = parts[i + 1]
                self.arguments[arg_name] = self._convert_type(arg_name, arg_value)
                i += 2
            else:
                self.arguments[arg_name] = True
                i += 1
        elif part.startswith('-') and (not part.startswith('--')):
            arg_name = part[1:]
            if i + 1 < len(parts) and (not parts[i + 1].startswith('-')):
                arg_value = parts[i + 1]
                self.arguments[arg_name] = self._convert_type(arg_name, arg_value)
                i += 2
            else:
                self.arguments[arg_name] = True
                i += 1
        else:
            i += 1
    missing_args = set()
    for req_arg in self.required:
        if req_arg not in self.arguments:
            missing_args.add(req_arg)
    if missing_args:
        return (False, missing_args)
    else:
        return (True, None)",,english,,
ClassEval_2::get_argument,"def get_argument(self, key):
    """"""
        निर्दिष्ट तर्क का मान तर्कों की शब्दकोश से प्राप्त करता है और इसे लौटाता है।
        :param key: str, तर्क का नाम
        :return: तर्क का मान, या None यदि तर्क मौजूद नहीं है।
        >>> parser.arguments
        {'arg1': 'value1', 'arg2': 'value2', 'option1': True, 'option2': True}
        >>> parser.get_argument('arg2')
        'value2'
        """"""
    return self.arguments.get(key)",,english,,
ClassEval_2::add_argument,"def add_argument(self, arg, required=False, arg_type=str):
    """"""
        self.types और self.required में एक तर्क जोड़ता है।
        यह जांचता है कि क्या यह एक आवश्यक तर्क है और तर्क प्रकार को संग्रहीत करता है।
        यदि तर्क को आवश्यक के रूप में सेट किया गया है, तो इसे आवश्यक सेट में जोड़ा जाएगा।
        तर्क प्रकार और नाम को types शब्दकोश में कुंजी-मूल्य जोड़ों के रूप में संग्रहीत किया जाता है।
        :param arg: str, तर्क का नाम
        :param required: bool, क्या तर्क आवश्यक है, डिफ़ॉल्ट False है
        :param arg_type:str, तर्क प्रकार, डिफ़ॉल्ट str है
        >>> parser.add_argument('arg1', True, 'int')
        >>> parser.required
        {'arg1'}
        >>> parser.types
        {'arg1': 'int'}
        """"""
    if required:
        self.required.add(arg)
    self.types[arg] = arg_type",,english,,
ClassEval_2::_convert_type,"def _convert_type(self, arg, value):
    """"""
        इनपुट मान के प्रकार को self.types में खोजकर परिवर्तित करने का प्रयास करें।
        :param value: str, कमांड लाइन में इनपुट मान
        :return: यदि सफलतापूर्वक परिवर्तित हो जाए तो self.types में संबंधित मान लौटाएं, अन्यथा इनपुट मान लौटाएं
        >>> parser.types
        {'arg1': int}
        >>> parser._convert_type('arg1', '21')
        21
        """"""
    if arg not in self.types:
        return value
    arg_type = self.types[arg]
    try:
        if arg_type == int:
            return int(value)
        elif arg_type == float:
            return float(value)
        elif arg_type == bool:
            if value.lower() in ('true', '1', 'yes'):
                return True
            elif value.lower() in ('false', '0', 'no'):
                return False
            else:
                return bool(value)
        elif arg_type == str:
            return str(value)
        else:
            return arg_type(value)
    except (ValueError, TypeError):
        return value",,english,,
ClassEval_3::count,"@staticmethod
def count(n, m=None):
    """"""
        n आइटम में से m आइटम चुनकर व्यवस्थाओं की संख्या गिनता है (परम्यूटेशन)।
        यदि m प्रदान नहीं किया गया है या n, m के बराबर है, तो factorial(n) लौटाता है।
        :param n: int, आइटम की कुल संख्या।
        :param m: int, चुने जाने वाले आइटम की संख्या (डिफ़ॉल्ट=None)।
        :return: int, व्यवस्थाओं की संख्या।
        >>> ArrangementCalculator.count(5, 3)
        60

        """"""
    if m is None or n == m:
        return ArrangementCalculator.factorial(n)
    if m > n or m < 0:
        return 0
    return ArrangementCalculator.factorial(n) // ArrangementCalculator.factorial(n - m)",,english,,
