id,generated_code,comments,identifiers,literals,notes
ClassEval_0::filter,"def filter(self, request):
    """"""
    कुछ नियमों और शर्तों के आधार पर आने वाले अनुरोध को फ़िल्टर करें।
    :param request: dict, आने वाले अनुरोध का विवरण
    :return: bool, यदि अनुरोध की अनुमति है तो True, अन्यथा False
    >>> filter = AccessGatewayFilter()
    >>> filter.filter({'path': '/login', 'method': 'POST'})
    True

    """"""
    if not request or not isinstance(request, dict):
        return False
    
    # अनुमत पथ और विधियाँ
    allowed_paths = ['/login', '/register', '/public', '/health']
    allowed_methods = ['GET', 'POST', 'PUT', 'DELETE']
    
    path = request.get('path', '')
    method = request.get('method', '')
    
    # यदि पथ अनुमत सूची में है या सार्वजनिक है
    if path in allowed_paths:
        return True
    
    # यदि विधि अनुमत है
    if method in allowed_methods:
        # अतिरिक्त जाँच - यदि पथ /api/ से शुरू होता है
        if path.startswith('/api/'):
            return True
    
    return False",hindi,english,,
ClassEval_0::is_start_with,"def is_start_with(self, request_uri):
    """"""
    जांचें कि क्या अनुरोध URI कुछ उपसर्गों से शुरू होता है।
    वर्तमान में, जांचे जा रहे उपसर्ग ""/api"" और ""/login"" हैं।
    :param request_uri: str, अनुरोध का URI
    :return: bool, यदि URI कुछ उपसर्गों से शुरू होता है तो True, अन्यथा False
    >>> filter = AccessGatewayFilter()
    >>> filter.is_start_with('/api/data')
    True

    """"""
    prefixes = [""/api"", ""/login""]
    return any(request_uri.startswith(prefix) for prefix in prefixes)",,english,english,
ClassEval_0::get_jwt_user,"import datetime

def get_jwt_user(self, request):
    """"""
    अनुरोध में JWT टोकन से उपयोगकर्ता की जानकारी प्राप्त करें।
    :param request: dict, आने वाले अनुरोध का विवरण
    :return: dict या None, यदि टोकन मान्य है तो उपयोगकर्ता की जानकारी, अन्यथा None
    >>> filter = AccessGatewayFilter()
    >>> filter.get_jwt_user({'headers': {'Authorization': {'user': {'name': 'user1'}, 'jwt': 'user1'+str(datetime.date.today())}}})
    {'user': {'name': 'user1'}
    """"""
    try:
        # अनुरोध से headers प्राप्त करें
        headers = request.get('headers')
        if not headers:
            return None
        
        # Authorization header प्राप्त करें
        authorization = headers.get('Authorization')
        if not authorization:
            return None
        
        # JWT टोकन और उपयोगकर्ता जानकारी प्राप्त करें
        jwt_token = authorization.get('jwt')
        user_info = authorization.get('user')
        
        if not jwt_token or not user_info:
            return None
        
        # JWT टोकन को मान्य करें
        # उदाहरण के अनुसार, टोकन username + आज की तारीख होना चाहिए
        username = user_info.get('name')
        expected_token = username + str(datetime.date.today())
        
        if jwt_token == expected_token:
            return {'user': user_info}
        else:
            return None
            
    except Exception:
        return None",hindi,english,,
ClassEval_0::set_current_user_info_and_log,"def set_current_user_info_and_log(self, user):
    """"""
    वर्तमान उपयोगकर्ता की जानकारी सेट करें और पहुंच को लॉग करें।
    :param user: dict, उपयोगकर्ता की जानकारी
    :return: None
    >>> filter = AccessGatewayFilter()
    >>> user = {'name': 'user1', 'address': '127.0.0.1'}
    >>> filter.set_current_user_info_and_log(user)

    """"""
    self.current_user_info = user
    print(f""User {user.get('name')} logged in from {user.get('address')}"")",,english,english,
ClassEval_1::calculate_circle_area,"import math

def calculate_circle_area(self):
    """"""
    self.radius के आधार पर वृत्त का क्षेत्रफल निकालें
    :return: वृत्त का क्षेत्रफल, float
    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_circle_area()
    12.566370614359172
    """"""
    return math.pi * self.radius ** 2",,english,,
ClassEval_1::calculate_sphere_area,"def calculate_sphere_area(self):
    """"""
    self.radius के आधार पर गोले का एरिया कैलकुलेट करें।

    :return: sphereArea, float

    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_sphere_area()
    50.26548245743669
    """"""
    import math
    return 4 * math.pi * self.radius ** 2",,english,,
ClassEval_1::calculate_cylinder_area,"def calculate_cylinder_area(self, height):
    """"""
    सिलेंडर का क्षेत्रफल self.radius और height के आधार पर गणना करें
    :param height: सिलेंडर की ऊँचाई, फ्लोट
    :return: सिलेंडर का क्षेत्रफल, फ्लोट
    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_cylinder_area(3)
    62.83185307179586
    """"""
    import math
    # Cylinder surface area = 2πr² + 2πrh = 2πr(r + h)
    return 2 * math.pi * self.radius * (self.radius + height)",english,english,,
ClassEval_1::calculate_sector_area,"import math

def calculate_sector_area(self, angle):
    """"""
    self.radius और angle के आधार पर सेक्टर का एरिया कैलकुलेट करें।

    :param angle: सेक्टर का एंगल, float
    :return: सेक्टर का एरिया, float

    >>> areaCalculator = AreaCalculator(2)
    >>> areaCalculator.calculate_sector_area(math.pi)
    6.283185307179586
    """"""
    return 0.5 * self.radius ** 2 * angle",,english,,
ClassEval_1::calculate_annulus_area,"import math

def calculate_annulus_area(self, inner_radius, outer_radius):
    """"""
    inner_radius और outer_radius के आधार पर एनलस का एरिया कैलकुलेट करें।

    :param inner_radius: सेक्टर का इनर रेडियस, float
    :param outer_radius: सेक्टर का आउटर रेडियस, float
    :return: एनलस का एरिया, float

    >>> areaCalculator.calculate_annulus_area(2, 3)
    15.707963267948966
    """"""
    # Annulus area = π * (outer_radius² - inner_radius²)
    return math.pi * (outer_radius ** 2 - inner_radius ** 2)",,english,,
ClassEval_2::parse_arguments,"def parse_arguments(self, command_string):
    """"""
    दिए गए कमांड लाइन तर्क स्ट्रिंग का विश्लेषण करता है और _convert_type को कॉल करता है ताकि विश्लेषित परिणाम को तर्कों की शब्दकोश में विशिष्ट प्रकार में संग्रहीत किया जा सके।
    यदि कोई आवश्यक तर्क गायब है, तो इसकी जांच करता है और गायब तर्क नामों के साथ False लौटाता है, अन्यथा True लौटाता है।
    :param command_string: str, कमांड लाइन तर्क स्ट्रिंग, इस तरह से स्वरूपित ""python script.py --arg1=value1 -arg2 value2 --option1 -option2""
    :return tuple: (True, None) यदि विश्लेषण सफल है, (False, missing_args) यदि विश्लेषण विफल होता है,
        जहाँ missing_args गायब तर्क नामों का एक सेट है जो str हैं।
    >>> parser.parse_arguments(""python script.py --arg1=value1 -arg2 value2 --option1 -option2"")
    (True, None)
    >>> parser.arguments
    {'arg1': 'value1', 'arg2': 'value2', 'option1': True, 'option2': True}
    """"""
    # Split the command string into tokens
    tokens = command_string.split()
    
    # Skip the first two tokens (python script.py)
    if len(tokens) >= 2:
        tokens = tokens[2:]
    
    # Initialize arguments dictionary
    self.arguments = {}
    
    i = 0
    while i < len(tokens):
        token = tokens[i]
        
        # Check if token starts with -- or -
        if token.startswith('--') or token.startswith('-'):
            # Remove leading dashes
            arg_name = token.lstrip('-')
            
            # Check if it's in format --arg=value
            if '=' in arg_name:
                parts = arg_name.split('=', 1)
                arg_name = parts[0]
                value = parts[1]
                # Convert type and store
                self.arguments[arg_name] = self._convert_type(arg_name, value)
                i += 1
            else:
                # Check if next token exists and is not an argument
                if i + 1 < len(tokens) and not tokens[i + 1].startswith('-'):
                    # Next token is the value
                    value = tokens[i + 1]
                    self.arguments[arg_name] = self._convert_type(arg_name, value)
                    i += 2
                else:
                    # It's a flag/option (boolean)
                    self.arguments[arg_name] = True
                    i += 1
        else:
            i += 1
    
    # Check for missing required arguments
    if hasattr(self, 'required_args'):
        missing_args = set()
        for req_arg in self.required_args:
            if req_arg not in self.arguments:
                missing_args.add(req_arg)
        
        if missing_args:
            return (False, missing_args)
    
    return (True, None)",english,english,,
