id,generated_code,comments,identifiers,literals,notes
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
    """"""
    `Time` और `LocalTime` मानों के लिए हाइड्रेटर।  

    पैरामीटर (Parameters):
    -nanoseconds: 
    - tz: 

    वापसी मान:
    - समय 
    """"""
    # Convert nanoseconds to hours, minutes, seconds, nanoseconds
    total_seconds = nanoseconds // 1_000_000_000
    remaining_nanos = nanoseconds % 1_000_000_000
    
    hours = total_seconds // 3600
    minutes = (total_seconds % 3600) // 60
    seconds = total_seconds % 60

    # Format time components
    if tz is None:
        # Return time without timezone
        time_str = f""{hours:02d}:{minutes:02d}:{seconds:02d}.{remaining_nanos:09d}""
    else:
        # Return time with timezone
        time_str = f""{hours:02d}:{minutes:02d}:{seconds:02d}.{remaining_nanos:09d} {tz}""

    return time_str",english,english,none,
62e60f3bd76274f8a4026e10,"def dehydrate_timedelta(value):
    """"""
    `timedelta` मानों के लिए डिहाइड्रेटर।  

    :param value:  
    :type value: timedelta  
    :return:  
    """"""
    if value is None:
        return None
        
    # Convert timedelta to total seconds
    total_seconds = int(value.total_seconds())
    
    # Convert to hours, minutes, seconds format
    hours = total_seconds // 3600
    minutes = (total_seconds % 3600) // 60
    seconds = total_seconds % 60
    
    # Format as string HH:MM:SS
    return f""{hours:02d}:{minutes:02d}:{seconds:02d}""",english,english,none,
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
    """"""
    `time` मानों के लिए डिहाइड्रेटर।  

    :param value:  
    :type value: Time  
    :return:  
    """"""
    if value is None:
        return None
        
    # Format time as HH:MM:SS
    return value.strftime('%H:%M:%S')",english,english,none,
62e60f33d76274f8a4026de9,"def dehydrate_point(value):
    """"""
    पॉइंट डेटा के लिए डिहाइड्रेटर।

    :param value:
    :type value: Point
    :return:
    """"""
    if value is None:
        return None
        
    return {
        'x': value.x,
        'y': value.y
    }",none,english,none,
62e60ed4d76274f8a4026da0,"def keys(self):
    """"""
    रिकॉर्ड की कुंजियों (keys) को लौटाता है।  

    :return: कुंजी नामों (key names) की सूची (list)।
    """"""
    return list(self.__dict__.keys())",none,english,none,
62e60ecfd76274f8a4026d6a,"def protocol_handlers(cls, protocol_version=None):
    # Dictionary to store all available protocol handlers
    handlers = {
        (3, 0): BoltProtocolV3_0,
        (4, 0): BoltProtocolV4_0,
        (4, 1): BoltProtocolV4_1,
        (4, 2): BoltProtocolV4_2,
        (4, 3): BoltProtocolV4_3,
        (4, 4): BoltProtocolV4_4,
        (5, 0): BoltProtocolV5_0
    }

    # If no specific version requested, return all handlers
    if protocol_version is None:
        return handlers

    # Type check for protocol_version
    if not isinstance(protocol_version, tuple):
        raise TypeError(""Protocol version must be a tuple"")

    # If specific version requested, return only that handler if supported
    if protocol_version in handlers:
        return {protocol_version: handlers[protocol_version]}
    
    # Return empty dict if requested version not supported
    return {}",english,english,english,
62e60e49d76274f8a4026d25,"def unit_of_work(metadata=None, timeout=None):
    def decorator(f):
        def wrapper(*args, **kwargs):
            # Store the metadata and timeout values
            wrapper.metadata = metadata
            wrapper.timeout = timeout
            
            # Call the original transaction function
            return f(*args, **kwargs)
            
        # Copy function metadata
        wrapper.__name__ = f.__name__
        wrapper.__doc__ = f.__doc__
        
        return wrapper
        
    # Handle case where decorator is used without parameters
    if callable(metadata):
        f = metadata
        metadata = None
        return decorator(f)
        
    return decorator",english,english,none,
62e60e05d76274f8a4026cfd,"def index(self, key):
    """"""    
    दिए गए आइटम का इंडेक्स (स्थान) लौटाता है।

    :param key: एक कुंजी 
    :return: इंडेक्स 
    :rtype: int
    """"""
    for i in range(len(self)):
        if self[i] == key:
            return i
    raise ValueError(f""{key} is not in list"")",none,english,english,
62e60da4d76274f8a4026cf1,"def values(self, *keys):
    # If no keys provided, return all values
    if not keys:
        return list(self._data.values())
    
    # If keys provided, return values for those keys only
    result = []
    for key in keys:
        # Handle both index and key access
        if isinstance(key, int):
            # Get value by index
            try:
                result.append(list(self._data.values())[key])
            except IndexError:
                continue
        else:
            # Get value by key
            if key in self._data:
                result.append(self._data[key])
    
    return result",english,english,none,
62e60b10d76274f8a4026ccd,"def data(self, *keys):
    # If no keys provided, return all data
    if not keys:
        return dict(zip(self._fields, self))
        
    # Initialize result dictionary
    result = {}
    
    # Process each requested key
    for key in keys:
        try:
            # Handle numeric index
            if isinstance(key, int):
                if 0 <= key < len(self):
                    result[self._fields[key]] = self[key]
                else:
                    raise IndexError(f""Index {key} is out of range"")
            # Handle string field name
            else:
                try:
                    index = self._fields.index(key)
                    result[key] = self[index]
                except ValueError:
                    result[key] = None
                    
        except IndexError:
            raise IndexError(f""Index {key} is out of range"")
            
    return result",english,english,english,
62e6087bd76274f8a4026bfa,"def pop_u16(self):
    """"""
    self.data के अंतिम दो बाइट्स को हटाएं और उन्हें एक बिग-एंडियन 16-बिट अनसाइनड इंटीजर के रूप में वापस करें।
    """"""
    if len(self.data) < 2:
        raise ValueError(""Not enough bytes to pop u16"")
        
    # Get last 2 bytes
    bytes_data = self.data[-2:]
    
    # Remove last 2 bytes from self.data
    self.data = self.data[:-2]
    
    # Convert bytes to big-endian 16-bit unsigned int
    value = int.from_bytes(bytes_data, byteorder='big', signed=False)
    
    return value",english,english,none,
62e6087ad76274f8a4026bf2,"def discard(self, n=-1, qid=-1, dehydration_hooks=None, 
            hydration_hooks=None, **handlers):
    """"""
    आउटपुट कतार (output queue) में एक DISCARD संदेश जोड़ता है।

    :param n: डिस्कार्ड करने के लिए रिकॉर्ड्स की संख्या, डिफ़ॉल्ट = -1 (सभी)
    :param qid: उस क्वेरी ID के लिए डिस्कार्ड करना है, डिफ़ॉल्ट = -1 (अंतिम क्वेरी)
    :param dehydration_hooks:
        प्रकारों को डीहाइड्रेट (dehydrate) करने के लिए हुक्स (hooks) 
        (क्लास से डीहाइड्रेशन फ़ंक्शन तक का डिक्शनरी)। 
        डीहाइड्रेशन फ़ंक्शन वैल्यू प्राप्त करता है और 
        पैकस्ट्रीम (packstream) द्वारा समझे जाने वाले प्रकार की 
        ऑब्जेक्ट को लौटाता है।
    :param hydration_hooks:
        प्रकारों को हाइड्रेट (hydrate) करने के लिए हुक्स 
        (क्लास से हाइड्रेशन फ़ंक्शन तक का मैपिंग)। 
        हाइड्रेशन फ़ंक्शन पैकस्ट्रीम द्वारा समझे जाने वाले प्रकार 
        की वैल्यू प्राप्त करता है और कुछ भी लौटाने के लिए स्वतंत्र है।
    :param handlers: हैंडलर फ़ंक्शन जो लौटाए गए Response ऑब्जेक्ट में पास किए जाते हैं।
    """"""
    # Create message parameters
    parameters = {
        ""n"": n,
        ""qid"": qid if qid >= 0 else self._last_qid
    }
    
    # Create message with DISCARD type
    message = Message(""DISCARD"", parameters)
    
    # Create response object with hooks and handlers
    response = Response(
        message,
        dehydration_hooks or {},
        hydration_hooks or {},
        **handlers
    )
    
    # Add response to output queue
    self._responses.append(response)
    
    return response",english,english,none,
62e60879d76274f8a4026bec,"def begin(self, mode=None, bookmarks=None, metadata=None, timeout=None,
              db=None, imp_user=None, dehydration_hooks=None,
              hydration_hooks=None, **handlers):
    
    # Set default mode to WRITE if not specified
    if mode is None:
        mode = ""WRITE""
    
    # Validate mode
    if mode not in (""READ"", ""WRITE""):
        raise ValueError(""Mode must be either 'READ' or 'WRITE'"")

    # Initialize parameters dict
    parameters = {}
    
    # Add mode
    parameters[""mode""] = mode

    # Add optional parameters if provided
    if bookmarks is not None:
        parameters[""bookmarks""] = list(bookmarks)
    
    if metadata is not None:
        parameters[""metadata""] = metadata
        
    if timeout is not None:
        parameters[""timeout""] = timeout
        
    if db is not None:
        parameters[""db""] = db
        
    if imp_user is not None:
        parameters[""imp_user""] = imp_user

    # Create message dict
    message = {
        ""type"": ""BEGIN"",
        ""parameters"": parameters
    }

    # Add hooks if provided
    if dehydration_hooks is not None:
        message[""dehydration_hooks""] = dehydration_hooks
        
    if hydration_hooks is not None:
        message[""hydration_hooks""] = hydration_hooks

    # Add message to output queue
    self._append(message, **handlers)

    # Return Response object
    return Response(self, **handlers)",english,english,none,
62e60723d76274f8a4026b75,"def round_half_to_even(n):
    """"""
    Rounds a number according to round-half-to-even rules.
    For numbers exactly halfway between two integers, rounds to the nearest even number.
    For all other numbers, rounds to the nearest integer.
    
    >>> round_half_to_even(3)
    3
    >>> round_half_to_even(3.2) 
    3
    >>> round_half_to_even(3.5)
    4
    >>> round_half_to_even(3.7)
    4
    >>> round_half_to_even(4)
    4
    >>> round_half_to_even(4.2)
    4
    >>> round_half_to_even(4.5)
    4
    >>> round_half_to_even(4.7)
    5
    
    :param n: Number to round
    :return: Rounded number according to round-half-to-even rules
    """"""
    # Get the decimal part
    decimal = abs(n - int(n))
    
    # If exactly 0.5
    if decimal == 0.5:
        # Round to nearest even number
        floor = int(n)
        if floor % 2 == 0:
            return floor
        else:
            return floor + 1
    # Otherwise use regular rounding
    else:
        return round(n)",english,english,none,
