id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"public class StringArrayTrimmer {
    
    /** 
     * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
     * @param array l'array di Stringhe originale
     * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            trimmedArray[i] = array[i] != null ? array[i].trim() : null;
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] originalArray = {""  Hello  "", ""  World  "", null, ""  Java  ""};
        String[] trimmedArray = trimArrayElements(originalArray);
        
        for (String str : trimmedArray) {
            System.out.println(""'"" + str + ""'"");
        }
    }
}",none,english,none,
6367670b1a6d9265ec017a00,"public class ArrayLengthChecker {

    /** 
     * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
     * @param array1 il primo array, può essere <code>null</code>
     * @param array2 il secondo array, può essere <code>null</code>
     * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        byte[] array1 = {1, 2, 3};
        byte[] array2 = {4, 5, 6};
        byte[] array3 = null;

        System.out.println(isSameLength(array1, array2)); // true
        System.out.println(isSameLength(array1, array3)); // false
        System.out.println(isSameLength(array3, array3)); // true
    }
}",none,english,none,true e false
636766a91a6d9265ec0175c2,"public class StackFrame {
    private int[] stack;
    private int top;

    public StackFrame(int size) {
        stack = new int[size];
        top = -1;
    }

    public void push(int value) {
        if (top < stack.length - 1) {
            stack[++top] = value;
        } else {
            throw new StackOverflowError(""Stack is full"");
        }
    }

    /**
     * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
     * @return il tipo astratto che è stato estratto dallo stack del frame di output.
     */
    private int pop() {
        if (top >= 0) {
            return stack[top--];
        } else {
            throw new IllegalStateException(""Stack is empty"");
        }
    }

    public static void main(String[] args) {
        StackFrame frame = new StackFrame(5);
        frame.push(10);
        frame.push(20);
        System.out.println(""Popped value: "" + frame.pop()); // Should print 20
        System.out.println(""Popped value: "" + frame.pop()); // Should print 10
    }
}",english,english,english,
636767081a6d9265ec017989,"import java.util.Objects;

public class BooleanArrayConverter {

    /** 
     * <p>Converte un array di oggetti Boolean in primitivi.</p> 
     * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
     * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
     * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
     * @throws NullPointerException se il contenuto dell'array è <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] primitiveArray = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] == null) {
                throw new NullPointerException(""Element at index "" + i + "" is null"");
            }
            primitiveArray[i] = array[i];
        }
        return primitiveArray;
    }

    public static void main(String[] args) {
        Boolean[] booleanArray = {true, false, null, true};
        try {
            boolean[] result = toPrimitive(booleanArray);
        } catch (NullPointerException e) {
            System.out.println(e.getMessage());
        }
    }
}",none,english,english,
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

public class MessagePrinter {
    private Map<String, Integer> messageTimestamps;

    public MessagePrinter() {
        messageTimestamps = new HashMap<>();
    }

    /** 
     * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, 
     * altrimenti restituisce false. Se questo metodo restituisce false, il messaggio 
     * non verrà stampato. Il timestamp è in granularità di secondi. 
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (!messageTimestamps.containsKey(message)) {
            messageTimestamps.put(message, timestamp);
            return true;
        }

        int lastTimestamp = messageTimestamps.get(message);
        if (timestamp - lastTimestamp >= 10) {
            messageTimestamps.put(message, timestamp);
            return true;
        }

        return false;
    }

    public static void main(String[] args) {
        MessagePrinter printer = new MessagePrinter();
        System.out.println(printer.shouldPrintMessage(1, ""foo"")); // true
        System.out.println(printer.shouldPrintMessage(2, ""foo"")); // false
        System.out.println(printer.shouldPrintMessage(11, ""foo"")); // true
    }
}",none,english,none,true e false
636766f81a6d9265ec01775c,"public class ObjectUtils {

    /** 
     * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
     * <pre> ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  l'oggetto da <code>toString</code>, può essere null
     * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : String.valueOf(obj);
    }

    public static void main(String[] args) {
        System.out.println(ObjectUtils.toString(null));         // Output: """"
        System.out.println(ObjectUtils.toString(""""));           // Output: """"
        System.out.println(ObjectUtils.toString(""bat""));        // Output: ""bat""
        System.out.println(ObjectUtils.toString(Boolean.TRUE));  // Output: ""true""
    }
}",none,english,none,output
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;
import java.nio.charset.StandardCharsets;

public class OctetDecoder {

    /** 
     * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri ad uno oggetto StringBuffer.
     * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        while (i < bb.remaining()) {
            byte b = bb.get(i);
            if ((b & 0x80) == 0) { // 1-byte character
                sb.append((char) b);
                i++;
            } else if ((b & 0xE0) == 0xC0) { // 2-byte character
                if (i + 1 < bb.remaining()) {
                    sb.append(new String(new byte[]{b, bb.get(i + 1)}, StandardCharsets.UTF_8));
                    i += 2;
                } else {
                    break; // incomplete character
                }
            } else if ((b & 0xF0) == 0xE0) { // 3-byte character
                if (i + 2 < bb.remaining()) {
                    sb.append(new String(new byte[]{b, bb.get(i + 1), bb.get(i + 2)}, StandardCharsets.UTF_8));
                    i += 3;
                } else {
                    break; // incomplete character
                }
            } else if ((b & 0xF8) == 0xF0) { // 4-byte character
                if (i + 3 < bb.remaining()) {
                    sb.append(new String(new byte[]{b, bb.get(i + 1), bb.get(i + 2), bb.get(i + 3)}, StandardCharsets.UTF_8));
                    i += 4;
                } else {
                    break; // incomplete character
                }
            } else {
                // Invalid UTF-8 byte, skip it
                i++;
            }
        }
        return i;
    }
}",english,english,none,
636766aa1a6d9265ec0175ce,"public class FrameVisitor {
    private int currentFrame;

    /**
     * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
     * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
     * @param numLocal il numero di variabili locali nel frame.
     * @param numStack il numero di elementi nello stack nel frame.
     * @return l'indice del prossimo elemento da scrivere in questo frame.
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Logica per iniziare la visita del frame
        currentFrame = offset; // Esempio di memorizzazione dell'offset nel frame corrente
        // Potrebbe essere necessario gestire numLocal e numStack in base alla logica dell'applicazione
        return numLocal + numStack; // Restituisce l'indice del prossimo elemento da scrivere
    }

    public static void main(String[] args) {
        FrameVisitor visitor = new FrameVisitor();
        int nextIndex = visitor.visitFrameStart(10, 5, 3);
        System.out.println(""Next index to write: "" + nextIndex);
    }
}",italian,english,english,
636767191a6d9265ec017c0f,"public class ByteArrayEnlarger {
    
    private byte[] byteArray;

    public ByteArrayEnlarger(int initialSize) {
        this.byteArray = new byte[initialSize];
    }

    /**
     * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
     * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
     */
    private void enlarge(final int size) {
        if (size < 0) {
            throw new IllegalArgumentException(""Size must be non-negative"");
        }
        int newSize = byteArray.length + size;
        byte[] newByteArray = new byte[newSize];
        System.arraycopy(byteArray, 0, newByteArray, 0, byteArray.length);
        byteArray = newByteArray;
    }

    public byte[] getByteArray() {
        return byteArray;
    }

    public static void main(String[] args) {
        ByteArrayEnlarger enlarger = new ByteArrayEnlarger(10);
        System.out.println(""Initial size: "" + enlarger.getByteArray().length);
        enlarger.enlarge(5);
        System.out.println(""New size after enlargement: "" + enlarger.getByteArray().length);
    }
}",none,english,english,
636767821a6d9265ec0183a0,"import java.io.File;

public class FileUtils {

    /** 
     * Elimina il file specificato se esiste 
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""File deleted successfully: "" + fileName);
            } else {
                System.out.println(""Failed to delete the file: "" + fileName);
            }
        } else {
            System.out.println(""File does not exist: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Example usage
        deleteFile(""example.txt"");
    }
}",english,english,english,
