id,generated_code,comments,identifiers,literals,notes
ClassEval_0::filter,"def filter(self, request):
    """"""
        Filter the incoming request based on certain rules and conditions.
        :param request: dict, the incoming request details
        :return: bool, True if the request is allowed, False otherwise
        >>> filter = AccessGatewayFilter()
        >>> filter.filter({'path': '/login', 'method': 'POST'})
        True

        """"""
    if not self.is_start_with(request.get('path', '')):
        return False
    if request.get('path', '').startswith('/api'):
        if 'headers' not in request or 'Authorization' not in request['headers']:
            return False
        user_info = self.get_jwt_user(request)
        if user_info is None:
            return False
        self.set_current_user_info_and_log(user_info.get('user', {}))
    return True",,,,
ClassEval_0::is_start_with,"def is_start_with(self, request_uri):
    """"""
        Check if the request URI starts with certain prefixes.
        Currently, the prefixes being checked are ""/api"" and ""/login"".
        :param request_uri: str, the URI of the request
        :return: bool, True if the URI starts with certain prefixes, False otherwise
        >>> filter = AccessGatewayFilter()
        >>> filter.is_start_with('/api/data')
        True
        """"""
    return request_uri.startswith('/api') or request_uri.startswith('/login')",,,,
ClassEval_0::get_jwt_user,"def get_jwt_user(self, request):
    """"""
        Get the user information from the JWT token in the request.
        :param request: dict, the incoming request details
        :return: dict or None, the user information if the token is valid, None otherwise
        >>> filter = AccessGatewayFilter()
        >>> filter.get_jwt_user({'headers': {'Authorization': {'user': {'name': 'user1'}, 'jwt': 'user1'+str(datetime.date.today())}}})
        {'user': {'name': 'user1'}}
        """"""
    try:
        auth_header = request.get('headers', {}).get('Authorization', {})
        if isinstance(auth_header, dict) and 'user' in auth_header:
            return {'user': auth_header['user']}
        return None
    except:
        return None",,,,
ClassEval_0::set_current_user_info_and_log,"def set_current_user_info_and_log(self, user):
    """"""
        Set the current user information and log the access.
        :param user: dict, the user information
        :return: None
        >>> filter = AccessGatewayFilter()
        >>> user = {'name': 'user1', 'address': '127.0.0.1'}
        >>> filter.set_current_user_info_and_log(user)
        """"""
    logging.info(f""User {user['name']} from {user.get('address', 'unknown')} accessed the system"")",,,,
ClassEval_1::calculate_circle_area,"def calculate_circle_area(self):
    """"""
        calculate the area of circle based on self.radius
        :return: area of circle, float
        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_circle_area()
        12.566370614359172
        """"""
    return math.pi * self.radius ** 2",,,,
ClassEval_1::calculate_sphere_area,"def calculate_sphere_area(self):
    """"""
        calculate the area of sphere based on self.radius
        :return: area of sphere, float
        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_sphere_area()
        50.26548245743669
        """"""
    return 4 * math.pi * self.radius ** 2",,,,
ClassEval_1::calculate_cylinder_area,"def calculate_cylinder_area(self, height):
    """"""
        calculate the area of cylinder based on self.radius and height
        :param height: height of cylinder, float
        :return: area of cylinder, float
        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_cylinder_area(3)
        62.83185307179586
        """"""
    return 2 * math.pi * self.radius * (self.radius + height)",,,,
ClassEval_1::calculate_sector_area,"def calculate_sector_area(self, angle):
    """"""
        calculate the area of sector based on self.radius and angle
        :param angle: angle of sector, float
        :return: area of sector, float
        >>> areaCalculator = AreaCalculator(2)
        >>> areaCalculator.calculate_sector_area(math.pi)
        6.283185307179586
        """"""
    return 0.5 * self.radius ** 2 * angle",,,,
ClassEval_1::calculate_annulus_area,"def calculate_annulus_area(self, inner_radius, outer_radius):
    """"""
        calculate the area of annulus based on inner_radius and out_radius
        :param inner_radius: inner radius of sector, float
        :param outer_radius: outer radius of sector, float
        :return: area of annulus, float
        >>> areaCalculator.calculate_annulus_area(2, 3)
        15.707963267948966
        """"""
    return math.pi * (outer_radius ** 2 - inner_radius ** 2)",,,,
ClassEval_2::parse_arguments,"def parse_arguments(self, command_string):
    """"""
        Parses the given command line argument string and invoke _convert_type to stores the parsed result in specific type in the arguments dictionary.
        Checks for missing required arguments, if any, and returns False with the missing argument names, otherwise returns True.
        :param command_string: str, command line argument string, formatted like ""python script.py --arg1=value1 -arg2 value2 --option1 -option2""
        :return tuple: (True, None) if parsing is successful, (False, missing_args) if parsing fails,
            where missing_args is a set of the missing argument names which are str.
        >>> parser.parse_arguments(""python script.py --arg1=value1 -arg2 value2 --option1 -option2"")
        (True, None)
        >>> parser.arguments
        {'arg1': 'value1', 'arg2': 'value2', 'option1': True, 'option2': True}
        """"""
    self.arguments = {}
    tokens = command_string.split()
    i = 0
    while i < len(tokens):
        token = tokens[i]
        if token.startswith('--'):
            if '=' in token:
                arg_name, arg_value = token[2:].split('=', 1)
                arg_name = arg_name.strip()
                arg_value = arg_value.strip()
                converted_value = self._convert_type(arg_name, arg_value)
                self.arguments[arg_name] = converted_value
            else:
                arg_name = token[2:]
                self.arguments[arg_name] = True
        elif token.startswith('-'):
            arg_name = token[1:]
            if i + 1 < len(tokens) and (not (tokens[i + 1].startswith('-') or tokens[i + 1].startswith('--'))):
                arg_value = tokens[i + 1]
                converted_value = self._convert_type(arg_name, arg_value)
                self.arguments[arg_name] = converted_value
                i += 1
            else:
                self.arguments[arg_name] = True
        i += 1
    missing_args = self.required - set(self.arguments.keys())
    if missing_args:
        return (False, missing_args)
    else:
        return (True, None)",,,,
ClassEval_2::get_argument,"def get_argument(self, key):
    """"""
        Retrieves the value of the specified argument from the arguments dictionary and returns it.
        :param key: str, argument name
        :return: The value of the argument, or None if the argument does not exist.
        >>> parser.arguments
        {'arg1': 'value1', 'arg2': 'value2', 'option1': True, 'option2': True}
        >>> parser.get_argument('arg2')
        'value2'
        """"""
    return self.arguments.get(key, None)",,,,
ClassEval_2::add_argument,"def add_argument(self, arg, required=False, arg_type=str):
    """"""
        Adds an argument to self.types and self.required.
        Check if it is a required argument and store the argument type.
        If the argument is set as required, it wull be added to the required set.
        The argument type and name are stored in the types dictionary as key-value pairs.
        :param arg: str, argument name
        :param required: bool, whether the argument is required, default is False
        :param arg_type:str, Argument type, default is str
        >>> parser.add_argument('arg1', True, 'int')
        >>> parser.required
        {'arg1'}
        >>> parser.types
        {'arg1': 'int'}
        """"""
    if required:
        self.required.add(arg)
    self.types[arg] = arg_type",,,,
ClassEval_2::_convert_type,"def _convert_type(self, arg, value):
    """"""
        Try to convert the type of input value by searching in self.types.
        :param value: str, the input value in command line
        :return: return corresponding value in self.types if convert successfully, or the input value oherwise
        >>> parser.types
        {'arg1': int}
        >>> parser._convert_type('arg1', '21')
        21
        """"""
    if arg in self.types:
        try:
            return self.types[arg](value)
        except (ValueError, TypeError):
            return value
    return value",,,,
ClassEval_3::count,"@staticmethod
def count(n, m=None):
    """"""
        Counts the number of arrangements by choosing m items from n items (permutations).
        If m is not provided or n equals m, returns factorial(n).
        :param n: int, the total number of items.
        :param m: int, the number of items to be chosen (default=None).
        :return: int, the count of arrangements.
        >>> ArrangementCalculator.count(5, 3)
        60

        """"""
    if m is None or n == m:
        return ArrangementCalculator.factorial(n)
    if m > n or m < 0:
        return 0
    result = 1
    for i in range(n, n - m, -1):
        result *= i
    return result",,,,
