id,prompt,summary,code,generated_code
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
""""""
Hydrator for `Time` and `LocalTime` values.

:param nanoseconds:
:param tz:
:return: Time
""""""",Convert nanoseconds to a time in fixed format.,"def hydrate_time(nanoseconds, tz=None):
",
62e60f3bd76274f8a4026e10,"def dehydrate_timedelta(value):
""""""
Dehydrator for `timedelta` values.

:param value:
:type value: timedelta
:return:
""""""",Use the value in timedelta to generate the Structure class.,"def dehydrate_timedelta(value):
",
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
""""""
Dehydrator for `time` values.

:param value:
:type value: Time
:return:
""""""",Use ticks in the Time class to generate the Structure class.,"def dehydrate_time(value):
",
62e60f33d76274f8a4026de9,"def dehydrate_point(value):
""""""
Dehydrator for Point data.

:param value:
:type value: Point
:return:
""""""",The structure class is generated based on the value length.,"def dehydrate_point(value):
",
62e60ed4d76274f8a4026da0,"def keys(self):
""""""
Return the keys of the record.

:return: list of key names
""""""",Returns the __keys property of a class as a List,"def keys(self):
",
62e60ecfd76274f8a4026d6a,"def protocol_handlers(cls, protocol_version=None):
""""""
Return a dictionary of available Bolt protocol handlers,
keyed by version tuple. If an explicit protocol version is
provided, the dictionary will contain either zero or one items,
depending on whether that version is supported. If no protocol
version is provided, all available versions will be returned.

:param protocol_version: tuple identifying a specific protocol
    version (e.g. (3, 5)) or None
:return: dictionary of version tuple to handler class for all
    relevant and supported protocol versions
:raise TypeError: if protocol version is not passed in a tuple
""""""",Different forms of Bolt protocol handlers are returned based on the value of protocol_version.,"def protocol_handlers(cls, protocol_version=None):
",
62e60e49d76274f8a4026d25,"def unit_of_work(metadata=None, timeout=None):
""""""
This function is a decorator for transaction functions that allows extra control over how the transaction is carried out.

For example, a timeout may be applied::

    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadata:
    a dictionary with metadata.
    Specified metadata will be attached to the executing transaction and visible in the output of ``dbms.listQueries`` and ``dbms.listTransactions`` procedures.
    It will also get logged to the ``query.log``.
    This functionality makes it easier to tag transactions and is equivalent to ``dbms.setTXMetaData`` procedure, see https://neo4j.com/docs/operations-manual/current/reference/procedures/ for procedure reference.
:type metadata: dict

:param timeout:
    the transaction timeout in seconds.
    Transactions that execute longer than the configured timeout will be terminated by the database.
    This functionality allows to limit query/transaction execution time.
    Specified timeout overrides the default timeout configured in the database using ``dbms.transaction.timeout`` setting.
    Value should not represent a negative duration.
    A zero duration will make the transaction execute indefinitely.
    None will use the default timeout configured in the database.
:type timeout: float or :const:`None`
""""""",Returns a decorator with metadata and timeout attributes.,"def unit_of_work(metadata=None, timeout=None):
",
62e60e05d76274f8a4026cfd,"def index(self, key):
""""""
Return the index of the given item.

:param key: a key
:return: index
:rtype: int
""""""",Returns the key in the form of int.,"def index(self, key):
",
62e60da4d76274f8a4026cf1,"def values(self, *keys):
""""""
Return the values of the record, optionally filtering to
include only certain values by index or key.

:param keys: indexes or keys of the items to include; if none
             are provided, all values will be included
:return: list of values
:rtype: list
""""""",Returns the key filtered by self.index in the form of a list.,"def values(self, *keys):
",
62e60b10d76274f8a4026ccd,"def data(self, *keys):
""""""
Return the keys and values of this record as a dictionary,
optionally including only certain values by index or key. Keys
provided in the items that are not in the record will be
inserted with a value of :const:`None`; indexes provided
that are out of bounds will trigger an :exc:`IndexError`.

:param keys: indexes or keys of the items to include; if none
              are provided, all values will be included
:return: dictionary of values, keyed by field name
:raises: :exc:`IndexError` if an out-of-bounds index is specified
""""""",Returns the keys processed by the transform method of the RecordExporter class.,"def data(self, *keys):
",
62e6087bd76274f8a4026bfa,"def pop_u16(self):
""""""
Remove the last two bytes of data, returning them as a big-endian
16-bit unsigned integer.
""""""",Remove the last two elements in self.data and return,"def pop_u16(self):
",
62e6087ad76274f8a4026bf2,"def discard(self, n=-1, qid=-1, dehydration_hooks=None,
                hydration_hooks=None, **handlers):
""""""
Appends a DISCARD message to the output queue.

:param n: number of records to discard, default = -1 (ALL)
:param qid: query ID to discard for, default = -1 (last query)
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object
""""""","Appends a DISCARD message to the output queue.

:param n: number of records to discard, default = -1 (ALL)
:param qid: query ID to discard for, default = -1 (last query)
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object","def discard(self, n=-1, qid=-1, dehydration_hooks=None,
                hydration_hooks=None, **handlers):
",
62e60879d76274f8a4026bec,"def begin(self, mode=None, bookmarks=None, metadata=None, timeout=None,
              db=None, imp_user=None, dehydration_hooks=None,
              hydration_hooks=None, **handlers):
""""""
Appends a BEGIN message to the output queue.

:param mode: access mode for routing - ""READ"" or ""WRITE"" (default)
:param bookmarks: iterable of bookmark values after which this transaction should begin
:param metadata: custom metadata dictionary to attach to the transaction
:param timeout: timeout for transaction execution (seconds)
:param db: name of the database against which to begin the transaction
    Requires Bolt 4.0+.
:param imp_user: the user to impersonate
    Requires Bolt 4.4+
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object
:return: Response object
""""""","Appends a BEGIN message to the output queue.

:param mode: access mode for routing - ""READ"" or ""WRITE"" (default)
:param bookmarks: iterable of bookmark values after which this transaction should begin
:param metadata: custom metadata dictionary to attach to the transaction
:param timeout: timeout for transaction execution (seconds)
:param db: name of the database against which to begin the transaction
    Requires Bolt 4.0+.
:param imp_user: the user to impersonate
    Requires Bolt 4.4+
:param dehydration_hooks:
    Hooks to dehydrate types (dict from type (class) to dehydration
    function). Dehydration functions receive the value and returns an
    object of type understood by packstream.
:param hydration_hooks:
    Hooks to hydrate types (mapping from type (class) to
    dehydration function). Dehydration functions receive the value of
    type understood by packstream and are free to return anything.
:param handlers: handler functions passed into the returned Response object
:return: Response object","def begin(self, mode=None, bookmarks=None, metadata=None, timeout=None,
              db=None, imp_user=None, dehydration_hooks=None,
              hydration_hooks=None, **handlers):
",
62e60723d76274f8a4026b75,"def round_half_to_even(n):
""""""
>>> round_half_to_even(3)
    3
    >>> round_half_to_even(3.2)
    3
    >>> round_half_to_even(3.5)
    4
    >>> round_half_to_even(3.7)
    4
    >>> round_half_to_even(4)
    4
    >>> round_half_to_even(4.2)
    4
    >>> round_half_to_even(4.5)
    4
    >>> round_half_to_even(4.7)
    5

:param n:
:return:
""""""",Round a floating-point number,"def round_half_to_even(n):
",
62e60707d76274f8a4026b69,"def point_type(name, fields, srid_map):
""""""
Dynamically create a Point subclass.
""""""",Dynamically Generating Point Class,"def point_type(name, fields, srid_map):
",
62e5dc9ed76274f8a4026b5b,"def deprecated(message):
""""""
Decorator for deprecating functions and methods.

::

    @deprecated(""'foo' has been deprecated in favour of 'bar'"")
    def foo(x):
        pass
""""""",Return a decorator function for deprecating functions and methods.,"def deprecated(message):
",
62e4fc3c85ea98643089041e,"def _inline_r_setup(code: str) -> str:
""""""
Some behaviour of R cannot be configured via env variables, but can
only be configured via R options once R has started. These are set here.
""""""","Some behaviour of R cannot be configured via env variables, but can
only be configured via R options once R has started. These are set here.","def _inline_r_setup(code: str) -> str:
",
62e4fbda85ea986430890405,"def xargs(
        cmd: tuple[str, ...],
        varargs: Sequence[str],
        *,
        color: bool = False,
        target_concurrency: int = 1,
        _max_length: int = _get_platform_max_length(),
        **kwargs: Any,
) -> tuple[int, bytes]:
""""""
A simplified implementation of xargs.

color: Make a pty if on a platform that supports it
target_concurrency: Target number of partitions to run concurrently
""""""",Simplified Implementation of Xargs in Linux,"def xargs(
        cmd: tuple[str, ...],
        varargs: Sequence[str],
        *,
        color: bool = False,
        target_concurrency: int = 1,
        _max_length: int = _get_platform_max_length(),
        **kwargs: Any,
) -> tuple[int, bytes]:
",
62e4fbda85ea986430890403,"def _shuffled(seq: Sequence[str]) -> list[str]:
""""""
Deterministically shuffle
""""""",Shuffle a given seq with the given FIXED_RANDOM_SEED,"def _shuffled(seq: Sequence[str]) -> list[str]:
",
62e4fb6585ea98643089032b,"def parse_version(s: str) -> tuple[int, ...]:
""""""
poor man's version comparison
""""""",Converts a string concatenated by dot to a tuple consisting of integers.,"def parse_version(s: str) -> tuple[int, ...]:
",
62e4fb4d85ea9864308902e7,"def normalize_cmd(cmd: tuple[str, ...]) -> tuple[str, ...]:
""""""
Fixes for the following issues on windows
- https://bugs.python.org/issue8557
- windows does not parse shebangs

This function also makes deep-path shebangs work just fine
""""""",Complement the full path to exe and return it in its original form,"def normalize_cmd(cmd: tuple[str, ...]) -> tuple[str, ...]:
",
62b8d27a48ba5a41d1c3f4c6,"def cached(cache, key=hashkey, lock=None):
""""""
Decorator to wrap a function with a memoizing callable that saves
results in a cache.
""""""",Returns a decorator function that saves the results in the cache,"def cached(cache, key=hashkey, lock=None):
",
62b8d24048ba5a41d1c3f49f,"def ttl_cache(maxsize=128, ttl=600, timer=time.monotonic, typed=False):
""""""
Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm with a per-item time-to-live (TTL) value.
""""""","Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm with a per-item time-to-live (TTL) value.","def ttl_cache(maxsize=128, ttl=600, timer=time.monotonic, typed=False):
",
62b8d23b48ba5a41d1c3f49a,"def mru_cache(maxsize=128, typed=False):
""""""
Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Most Recently Used (MRU)
algorithm.
""""""","Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Most Recently Used (MRU)
algorithm.","def mru_cache(maxsize=128, typed=False):
",
62b8d23948ba5a41d1c3f498,"def lru_cache(maxsize=128, typed=False):
""""""
Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm.
""""""","Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Recently Used (LRU)
algorithm.","def lru_cache(maxsize=128, typed=False):
",
62b8d23748ba5a41d1c3f496,"def lfu_cache(maxsize=128, typed=False):
""""""
Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Frequently Used (LFU)
algorithm.
""""""","Decorator to wrap a function with a memoizing callable that saves
up to `maxsize` results based on a Least Frequently Used (LFU)
algorithm.","def lfu_cache(maxsize=128, typed=False):
",
62b8d22f48ba5a41d1c3f488,"def popitem(self):
""""""
Remove and return the `(key, value)` pair first inserted.
""""""",Remove the value corresponding to the first inserted key and returns the key and value in tuple format.,"def popitem(self):
",
62b8d22a48ba5a41d1c3f47e,"def setdefault(self, key, default=None):
""""""
D.setdefault(k[,d]) -> D.get(k,d), also set D[k]=d if k not in D
""""""","If a key exists in the class, the value corresponding to the key is returned. Otherwise, the value corresponding to the key is set to default.","def setdefault(self, key, default=None):
",
62b8d22948ba5a41d1c3f47c,"def get(self, key, default=None):
""""""
D.get(k[,d]) -> D[k] if k in D, else d.  d defaults to None.
""""""","If a key exists in the class, the value corresponding to the key is returned. Otherwise, default is returned.","def get(self, key, default=None):
",
62b8d22548ba5a41d1c3f472,"def cachedmethod(cache, key=hashkey, lock=None):
""""""
Decorator to wrap a class or instance method with a memoizing
callable that saves results in a cache.
""""""",Returns a decorator function that can call a result in the cache.,"def cachedmethod(cache, key=hashkey, lock=None):
",
62b8c517e0d34b282c18122e,"def extostr(cls, e, max_level=30, max_path_level=5):
""""""
Format an exception.
:param e: Any exception instance.
:type e: Exception
:param max_level: Maximum call stack level (default 30)
:type max_level: int
:param max_path_level: Maximum path level (default 5)
:type max_path_level: int
:return The exception readable string
:rtype str
""""""",Format the exception as a string,"def extostr(cls, e, max_level=30, max_path_level=5):
",
