id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"public class ArrayTrimmer {
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                trimmedArray[i] = array[i].trim();
            } else {
                trimmedArray[i] = null;
            }
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] array = {""  hello "", ""  world  "", null, ""  java  ""};
        String[] trimmedArray = trimArrayElements(array);
        for (String str : trimmedArray) {
            System.out.println(str);
        }
    }
}",english,english,none,
6367670b1a6d9265ec017a00,"/**
 * <p>जांचता है कि क्या दो ऐरे की लंबाई समान है, <code>null</code> ऐरे को लंबाई <code>0</code> के रूप में मानते हुए।</p>
 * @param array1 पहला ऐरे, <code>null</code> हो सकता है
 * @param array2 दूसरा ऐरे, <code>null</code> हो सकता है
 * @return <code>true</code> यदि ऐरे की लंबाई मेल खाती है, <code>null</code> को एक खाली ऐरे के रूप में मानते हुए
 */
public static boolean isSameLength(final byte[] array1, final byte[] array2) {
    int length1 = (array1 == null) ? 0 : array1.length;
    int length2 = (array2 == null) ? 0 : array2.length;
    return length1 == length2;
}",none,english,none,
636766a91a6d9265ec0175c2,"import java.util.Stack;

public class FrameStack {
    private Stack<Integer> outputFrameStack;

    public FrameStack() {
        outputFrameStack = new Stack<>();
    }

    /**
     * आउटपुट फ्रेम स्टैक से एक अमूर्त प्रकार को पॉप करता है और इसका मान लौटाता है।
     * @return वह अमूर्त प्रकार जो आउटपुट फ्रेम स्टैक से पॉप किया गया है।
     */
    private int pop() {
        if (outputFrameStack.isEmpty()) {
            throw new IllegalStateException(""Stack is empty"");
        }
        return outputFrameStack.pop();
    }
}",none,english,english,
636767081a6d9265ec017989,"import java.util.Objects;

public class BooleanArrayConverter {

    /**
     * <p>एक ऑब्जेक्ट बूलियन के ऐरे को प्राइमिटिव में परिवर्तित करता है।</p>
     * <p>यह विधि <code>null</code> इनपुट ऐरे के लिए <code>null</code> लौटाती है।</p>
     * @param array  एक <code>Boolean</code> ऐरे, यह <code>null</code> हो सकता है
     * @return एक <code>boolean</code> ऐरे, यदि इनपुट ऐरे <code>null</code> है तो <code>null</code>
     * @throws NullPointerException यदि ऐरे की सामग्री <code>null</code> है
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = Objects.requireNonNull(array[i], ""Array element cannot be null"");
        }
        return result;
    }

    public static void main(String[] args) {
        Boolean[] testArray = {true, false, true};
        boolean[] primitiveArray = toPrimitive(testArray);
        for (boolean b : primitiveArray) {
            System.out.println(b);
        }
    }
}",none,english,english,
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

public class MessageLogger {
    private Map<String, Integer> messageTimestamps;

    public MessageLogger() {
        messageTimestamps = new HashMap<>();
    }

    /**
     * यदि संदेश को दिए गए टाइमस्टैम्प में प्रिंट किया जाना चाहिए, तो true लौटाता है, अन्यथा false लौटाता है।
     * यदि यह विधि false लौटाती है, तो संदेश प्रिंट नहीं किया जाएगा। टाइमस्टैम्प सेकंड की ग्रैन्युलैरिटी में है।
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (messageTimestamps.containsKey(message)) {
            int lastTimestamp = messageTimestamps.get(message);
            if (timestamp - lastTimestamp >= 10) {
                messageTimestamps.put(message, timestamp);
                return true;
            } else {
                return false;
            }
        } else {
            messageTimestamps.put(message, timestamp);
            return true;
        }
    }

    public static void main(String[] args) {
        MessageLogger logger = new MessageLogger();
        System.out.println(logger.shouldPrintMessage(1, ""foo"")); // true
        System.out.println(logger.shouldPrintMessage(2, ""bar"")); // true
        System.out.println(logger.shouldPrintMessage(3, ""foo"")); // false
        System.out.println(logger.shouldPrintMessage(11, ""foo"")); // true
    }
}",english,english,english,
636766f81a6d9265ec01775c,"public class ObjectUtils {

    /**
     * <p>एक <code>Object</code> का <code>toString</code> प्राप्त करता है, यदि <code>null</code> इनपुट हो तो खाली स्ट्रिंग ("""") लौटाता है।</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  वह Object जिसे <code>toString</code> किया जाना है, यह null हो सकता है
     * @return पास किए गए Object का toString, या nullStr यदि <code>null</code> इनपुट हो
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }

    public static void main(String[] args) {
        // Test cases
        System.out.println(ObjectUtils.toString(null));         // Output: """"
        System.out.println(ObjectUtils.toString(""""));           // Output: """"
        System.out.println(ObjectUtils.toString(""bat""));        // Output: ""bat""
        System.out.println(ObjectUtils.toString(Boolean.TRUE)); // Output: ""true""
    }
}",english,english,english,
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;
import java.nio.charset.StandardCharsets;

public class UTF8Decoder {

    /**
     * UTF-8 डिकोडिंग का उपयोग करके ऑक्टेट्स को कैरेक्टर में डिकोड करता है और कैरेक्टर को एक StringBuffer में जोड़ता है।
     * @param i स्ट्रिंग में डिकोड करने के लिए अगले अनचेक किए गए कैरेक्टर का इंडेक्स
     * @param bb ऑक्टेट्स को रखने वाला ByteBuffer
     * @param sb डिकोड किए गए कैरेक्टर को जोड़ने के लिए StringBuilder
     * @return स्ट्रिंग में डिकोड करने के लिए अगले अनचेक किए गए कैरेक्टर का इंडेक्स
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        if (bb.remaining() < 1) {
            return i;
        }

        byte firstByte = bb.get();
        int codePoint;

        if ((firstByte & 0x80) == 0) {
            codePoint = firstByte & 0x7F;
        } else if ((firstByte & 0xE0) == 0xC0) {
            if (bb.remaining() < 1) {
                return i;
            }
            byte secondByte = bb.get();
            codePoint = ((firstByte & 0x1F) << 6) | (secondByte & 0x3F);
        } else if ((firstByte & 0xF0) == 0xE0) {
            if (bb.remaining() < 2) {
                return i;
            }
            byte secondByte = bb.get();
            byte thirdByte = bb.get();
            codePoint = ((firstByte & 0x0F) << 12) | ((secondByte & 0x3F) << 6) | (thirdByte & 0x3F);
        } else if ((firstByte & 0xF8) == 0xF0) {
            if (bb.remaining() < 3) {
                return i;
            }
            byte secondByte = bb.get();
            byte thirdByte = bb.get();
            byte fourthByte = bb.get();
            codePoint = ((firstByte & 0x07) << 18) | ((secondByte & 0x3F) << 12) | ((thirdByte & 0x3F) << 6) | (fourthByte & 0x3F);
        } else {
            // Invalid UTF-8 sequence
            return i;
        }

        sb.appendCodePoint(codePoint);
        return i + 1;
    }

    public static void main(String[] args) {
        ByteBuffer bb = ByteBuffer.wrap(new byte[]{(byte) 0xE0, (byte) 0xA4, (byte) 0xB9}); // Example UTF-8 bytes for 'ह'
        StringBuilder sb = new StringBuilder();
        int index = decodeOctets(0, bb, sb);
        System.out.println(""Decoded String: "" + sb.toString());
        System.out.println(""Next Index: "" + index);
    }
}",english,english,none,
636766aa1a6d9265ec0175ce,"import java.util.Stack;

public class FrameVisitor {
    private Stack<Frame> currentFrame;

    public FrameVisitor() {
        this.currentFrame = new Stack<>();
    }

    /**
     * एक नए स्टैक मैप फ्रेम की यात्रा शुरू करता है, जो {@link #currentFrame} में संग्रहीत है।
     * @param offset   उस निर्देश का बाइटकोड ऑफसेट, जिसके लिए फ्रेम संबंधित है।
     * @param numLocal फ्रेम में स्थानीय चर की संख्या।
     * @param numStack फ्रेम में स्टैक तत्वों की संख्या।
     * @return इस फ्रेम में लिखे जाने वाले अगले तत्व का अनुक्रमांक।
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        Frame newFrame = new Frame(offset, numLocal, numStack);
        currentFrame.push(newFrame);
        return newFrame.getNextElementIndex();
    }

    private static class Frame {
        private final int offset;
        private final int numLocal;
        private final int numStack;
        private int nextElementIndex;

        public Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal;
            this.numStack = numStack;
            this.nextElementIndex = 0; // Initialize the next element index
        }

        public int getNextElementIndex() {
            return nextElementIndex++;
        }
    }
}",english,english,none,
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int capacity;

    public ByteVector(int initialCapacity) {
        this.data = new byte[initialCapacity];
        this.capacity = initialCapacity;
    }

    private void enlarge(final int size) {
        int newCapacity = capacity + size;
        data = Arrays.copyOf(data, newCapacity);
        capacity = newCapacity;
    }

    // Example usage
    public static void main(String[] args) {
        ByteVector vector = new ByteVector(10);
        vector.enlarge(5);
        System.out.println(""New capacity: "" + vector.capacity);
    }
}",english,english,english,
636767821a6d9265ec0183a0,"import java.io.File;

/**
 * यदि निर्दिष्ट फ़ाइल मौजूद है, तो उसे हटाएं
 */
protected static void deleteFile(String fileName) {
    File file = new File(fileName);
    if (file.exists()) {
        if (file.delete()) {
            System.out.println(""फ़ाइल सफलतापूर्वक हटाई गई: "" + fileName);
        } else {
            System.out.println(""फ़ाइल हटाने में विफल: "" + fileName);
        }
    } else {
        System.out.println(""फ़ाइल मौजूद नहीं है: "" + fileName);
    }
}",none,english,hindi,
636767691a6d9265ec0181aa,"import java.util.Arrays;

public class HashCodeUtil {

    /**
     * निर्दिष्ट एरे की सामग्री के आधार पर एक हैश कोड लौटाता है। यदि <code>array</code> <code>null</code> है, तो यह विधि 0 लौटाती है।
     * @param array वह लॉन्ग एरे जिससे हैशकोड प्राप्त करना है
     * @return लॉन्ग एरे का हैशकोड, जो कि 0 हो सकता है यदि एरे null है।
     */
    public static int nullSafeHashCode(long[] array) {
        if (array == null) {
            return 0;
        }
        return Arrays.hashCode(array);
    }

    public static void main(String[] args) {
        long[] array = {1L, 2L, 3L};
        System.out.println(nullSafeHashCode(array)); // Output: 30817
        System.out.println(nullSafeHashCode(null));   // Output: 0
    }
}",english,english,none,
