id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"import java.util.Objects;

public class StringArrayTrimmer {
    
    public static String[] trimElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] result = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = Objects.nonNull(array[i]) ? array[i].trim() : null;
        }
        return result;
    }
}",none,english,none,
6367670b1a6d9265ec017a00,"package org.apache.commons.lang3;

public class ArrayUtils {
    /**
     * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
     * @param array1 the first array, may be <code>null</code>
     * @param array2 the second array, may be <code>null</code>
     * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
     */
    public static boolean isSameLength(final Object[] array1, final Object[] array2) {
        if (array1 == null && array2 == null) {
            return true;
        }
        if (array1 == null) {
            return array2.length == 0;
        }
        if (array2 == null) {
            return array1.length == 0;
        }
        return array1.length == array2.length;
    }
}",none,english,none,
636766a91a6d9265ec0175c2,"import java.util.Stack;

public class FrameStack {
    private Stack<AbstractType> outputFrameStack;

    public FrameStack() {
        outputFrameStack = new Stack<>();
    }

    public AbstractType pop() {
        if (outputFrameStack.isEmpty()) {
            throw new IllegalStateException(""Output frame stack is empty"");
        }
        return outputFrameStack.pop();
    }
}

// Abstract type class for type safety
abstract class AbstractType {
    // Base class for abstract types
}",english,english,english,
636767081a6d9265ec017989,"package org.apache.commons.lang3;

public class BooleanUtils {
    /**
     * <p>Converts an array of object Booleans to primitives.</p>
     * <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
     * 
     * @param array  a <code>Boolean</code> array, may be <code>null</code>
     * @return a <code>boolean</code> array, <code>null</code> if null array input
     * @throws NullPointerException if array content is <code>null</code>
     */
    public static boolean[] toPrimitive(Boolean[] array) {
        if (array == null) {
            return null;
        }

        boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i].booleanValue();
        }
        return result;
    }
}",none,english,none,
6367672d1a6d9265ec017c73,"class Logger {
    private Map<String, Integer> messageMap;
    private static final int RATE_LIMIT = 10; // 10 seconds

    public Logger() {
        messageMap = new HashMap<>();
    }
    
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (!messageMap.containsKey(message)) {
            messageMap.put(message, timestamp);
            return true;
        }
        
        int lastPrinted = messageMap.get(message);
        if (timestamp - lastPrinted >= RATE_LIMIT) {
            messageMap.put(message, timestamp);
            return true;
        }
        
        return false;
    }
}",none,english,none,
636766f81a6d9265ec01775c,"package org.apache.commons.lang3;

public class ObjectUtils {
    /**
     * <p>Gets the <code>toString</code> of an <code>Object</code> returning
     * an empty string ("""") if <code>null</code> input.</p>
     *
     * <pre>
     * ObjectUtils.toString(null)         = """"
     * ObjectUtils.toString("""")           = """"
     * ObjectUtils.toString(""bat"")        = ""bat""
     * ObjectUtils.toString(Boolean.TRUE) = ""true""
     * </pre>
     *
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  the Object to <code>toString</code>, may be null
     * @return the passed in Object's toString, or nullStr if <code>null</code> input
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }
}",none,english,none,
6367667f1a6d9265ec017457,"import java.nio.charset.StandardCharsets;

public class UTF8Decoder {
    
    /**
     * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
     * @param bytes The byte array containing UTF-8 encoded data
     * @param offset The starting offset in the byte array
     * @param length The number of bytes to decode
     * @param buffer The StringBuffer to append decoded characters to
     * @return the index to the next unchecked character in the string to decode
     */
    public static int decodeUTF8(byte[] bytes, int offset, int length, StringBuffer buffer) {
        int end = offset + length;
        int i = offset;
        
        while (i < end) {
            int byte1 = bytes[i] & 0xFF;
            
            if (byte1 <= 0x7F) {
                // Single byte character
                buffer.append((char)byte1);
                i++;
            }
            else if ((byte1 & 0xE0) == 0xC0) {
                // Two byte character
                if (i + 1 >= end) break;
                int byte2 = bytes[i + 1] & 0xFF;
                if ((byte2 & 0xC0) != 0x80) break;
                
                int codePoint = ((byte1 & 0x1F) << 6) | (byte2 & 0x3F);
                buffer.append((char)codePoint);
                i += 2;
            }
            else if ((byte1 & 0xF0) == 0xE0) {
                // Three byte character
                if (i + 2 >= end) break;
                int byte2 = bytes[i + 1] & 0xFF;
                int byte3 = bytes[i + 2] & 0xFF;
                if ((byte2 & 0xC0) != 0x80 || (byte3 & 0xC0) != 0x80) break;
                
                int codePoint = ((byte1 & 0x0F) << 12) | ((byte2 & 0x3F) << 6) | (byte3 & 0x3F);
                buffer.append((char)codePoint);
                i += 3;
            }
            else if ((byte1 & 0xF8) == 0xF0) {
                // Four byte character
                if (i + 3 >= end) break;
                int byte2 = bytes[i + 1] & 0xFF;
                int byte3 = bytes[i + 2] & 0xFF;
                int byte4 = bytes[i + 3] & 0xFF;
                if ((byte2 & 0xC0) != 0x80 || (byte3 & 0xC0) != 0x80 || (byte4 & 0xC0) != 0x80) break;
                
                int codePoint = ((byte1 & 0x07) << 18) | ((byte2 & 0x3F) << 12) | 
                               ((byte3 & 0x3F) << 6) | (byte4 & 0x3F);
                buffer.append(Character.highSurrogate(codePoint));
                buffer.append(Character.lowSurrogate(codePoint));
                i += 4;
            }
            else {
                // Invalid UTF-8 byte
                break;
            }
        }
        
        return i;
    }
}",english,english,none,
636766aa1a6d9265ec0175ce,"import org.objectweb.asm.Label;
import org.objectweb.asm.Frame;

public class StackMapFrameVisitor {
    private Frame currentFrame;
    private int[] locals;
    private int[] stack;
    
    public int startFrame(final int offset, final int numLocal, final int numStack) {
        // Create arrays to store local variables and stack elements
        locals = new int[numLocal]; 
        stack = new int[numStack];
        
        // Create new Frame object to store frame state
        currentFrame = new Frame(offset);
        currentFrame.setLocal(numLocal, locals);
        currentFrame.setStack(numStack, stack);
        
        // Return index where next element should be written (start at 0)
        return 0;
    }
}",english,english,none,
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] buffer;
    private int size;
    private static final int DEFAULT_CAPACITY = 64;

    public ByteVector() {
        buffer = new byte[DEFAULT_CAPACITY];
        size = 0;
    }

    public void enlarge(final int size) {
        if (size <= 0) {
            return;
        }
        
        int newCapacity = buffer.length;
        int minCapacity = size + this.size;

        // If current capacity is not enough
        if (minCapacity > newCapacity) {
            // Double the capacity until it's large enough
            while (newCapacity < minCapacity) {
                newCapacity = newCapacity * 2;
            }
            
            // Create new array and copy contents
            buffer = Arrays.copyOf(buffer, newCapacity);
        }
    }
}",english,english,none,
636767821a6d9265ec0183a0,"import java.io.File;
import java.io.IOException;

public class FileDeleter {
    /**
     * Delete's the specified file if it exists
     * @param filePath The path to the file to delete
     * @return true if file was deleted successfully, false if file doesn't exist or couldn't be deleted
     */
    public boolean deleteFile(String filePath) {
        File fileToDelete = new File(filePath);
        if (fileToDelete.exists()) {
            return fileToDelete.delete();
        }
        return false;
    }
}",none,english,none,
