id,prompt,generated_code,comments,identifiers,literals
62e60ecfd76274f8a4026d6a,"def gestori_protocollo(cls, versione_protocollo=None):
""""""

Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

:param versione_protocoll: tupla che identifica una specifica versione del protocollo
    (ad esempio, (3, 5)) oppure None
:return: dizionario che associa tuple di versione alla classe del gestore per tutte
    le versioni del protocollo rilevanti e supportate
:raise TypeError: se la versione del protocollo non è passata come una tupla
""""""","def gestori_protocollo(cls, versione_protocollo=None):
    """"""
    Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

    :param versione_protocollo: tupla che identifica una specifica versione del protocollo
        (ad esempio, (3, 5)) oppure None
    :return: dizionario che associa tuple di versione alla classe del gestore per tutte
        le versioni del protocollo rilevanti e supportate
    :raise TypeError: se la versione del protocollo non è passata come una tupla
    """"""
    if versione_protocollo is not None and not isinstance(versione_protocollo, tuple):
        raise TypeError(""La versione del protocollo deve essere passata come una tupla"")

    gestori = {
        (3, 0): ""GestoreV3_0"",
        (3, 5): ""GestoreV3_5"",
        (4, 0): ""GestoreV4_0"",
        # Aggiungere altri gestori se necessario
    }

    if versione_protocollo is not None:
        return {versione_protocollo: gestori.get(versione_protocollo)} if versione_protocollo in gestori else {}

    return gestori",i,i,i
62e60e49d76274f8a4026d25,"def unita_di_lavoro(metadato=None, tempo_limite=None):
""""""

Questa funzione è un decorator per funzioni di transazione che consente un controllo aggiuntivo su come viene eseguita la transazione.

Ad esempio, è possibile applicare un tempo_limite::

    from neo4j import unita_di_lavoro

    @ unita_di_lavoro(tempo_limite=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadato:  
    un dizionario con metadati.  
    I metadati specificati saranno associati alla transazione in esecuzione e visibili nell'output delle procedure ``dbms.listQueries`` e ``dbms.listTransactions``.  
    Saranno inoltre registrati nel file ``query.log``.  
    Questa funzionalità semplifica l'etichettatura delle transazioni ed è equivalente alla procedura ``dbms.setTXMetaData``. Per riferimento alla procedura, consultare https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
:type metadata: dict  

:param timeout:  
    il timeout della transazione in secondi.  
    Le transazioni che vengono eseguite per un tempo superiore al tempo_limite configurato saranno terminate dal database.  
    Questa funzionalità consente di limitare il tempo di esecuzione delle query/transazioni.  
    Il tempo_limite specificato sovrascrive il tempo_limite predefinito configurato nel database utilizzando l'impostazione ``dbms.transaction.timeout``.  
    Il valore non deve rappresentare una durata negativa.  
    Una durata pari a zero consentirà alla transazione di essere eseguita indefinitamente.  
    Un valore ``None`` utilizzerà il timeout predefinito configurato nel database.  
:type timeout: float o :const:`None`  
""""""","def unita_di_lavoro(metadato=None, tempo_limite=None):
    def decorator(funzione):
        def wrapper(*args, **kwargs):
            # Imposta i metadati se forniti
            if metadato is not None:
                # Logica per impostare i metadati nella transazione
                pass
            
            # Imposta il tempo limite se fornito
            if tempo_limite is not None:
                # Logica per impostare il tempo limite nella transazione
                pass
            
            # Esegui la funzione originale
            return funzione(*args, **kwargs)
        
        return wrapper
    
    return decorator",i,b,n
62e60707d76274f8a4026b69,"
def tipo_di_punto(nome, campi, srid_map):
""""""

Crea dinamicamente una sottoclasse di Point.
""""""","def tipo_di_punto(nome, campi, srid_map):
    """"""
    Crea dinamicamente una sottoclasse di Point.
    """"""
    from shapely.geometry import Point

    class Punto(Point):
        def __init__(self, *args, **kwargs):
            super().__init__(*args, **kwargs)
            self.nome = nome
            for campo in campi:
                setattr(self, campo, kwargs.get(campo, None))
            self.srid = srid_map.get(nome, None)

        def __repr__(self):
            return f""{self.nome}({self.x}, {self.y}, SRID={self.srid})""

    return Punto",n,i,n
62e5dc9ed76274f8a4026b5b,"def deprecato(messaggio):
""""""

Decorator per deprecare funzioni e metodi.

Esempio di utilizzo:

```python
@deprecato(“'foo' è stato deprecato a favore di 'bar'"")
def foo(x):
    pass
""""""","def deprecato(messaggio):
    """"""
    Decorator per deprecare funzioni e metodi.

    Esempio di utilizzo:",n,i,n
62e4fbda85ea986430890403,"
def _mischia(seq: Sequenza[str]) -> list[str]:

""""""Mescolamento deterministico""""""","def _mischia(seq: Sequenza[str]) -> list[str]:
    import random
    random.seed(0)  # Imposta un seme per il mescolamento deterministico
    lista_mischiata = list(seq)
    random.shuffle(lista_mischiata)
    return lista_mischiata",i,i,n
62b8bbbfe0d34b282c181210,"def aggiungi_testo_al_file(nome_file, buffer_testo, codifica, sovrascrivi=False):
""""""

Scrive nel file specificato il buffer di testo fornito.  
Crea il file se necessario.  
:param nome_file: Nome del file.  
:type nome_file: str  
:param buffer_testo: Buffer di testo da scrivere.  
:type buffer_testo: str  
:param codifica: La codifica da utilizzare.  
:type codifica: str  
:param sovrascrivi: Se impostato a True, il file viene sovrascritto.  
:type sovrascrivi: bool  
:return: Il numero di byte scritti o un valore inferiore a 0 in caso di errore.  
:rtype int  
""""""","def aggiungi_testo_al_file(nome_file, buffer_testo, codifica, sovrascrivi=False):
    """"""
    Scrive nel file specificato il buffer di testo fornito.  
    Crea il file se necessario.  
    :param nome_file: Nome del file.  
    :type nome_file: str  
    :param buffer_testo: Buffer di testo da scrivere.  
    :type buffer_testo: str  
    :param codifica: La codifica da utilizzare.  
    :type codifica: str  
    :param sovrascrivi: Se impostato a True, il file viene sovrascritto.  
    :type sovrascrivi: bool  
    :return: Il numero di byte scritti o un valore inferiore a 0 in caso di errore.  
    :rtype int  
    """"""
    modalità = 'w' if sovrascrivi else 'a'
    try:
        with open(nome_file, modalità, encoding=codifica) as file:
            byte_scritti = file.write(buffer_testo)
            return byte_scritti
    except Exception as errore:
        return -1",n,i,n
62b8bbbce0d34b282c18120d,"
def se_file_esiste(nome_file):
""""""
Controlla se il nome del file esiste.
:param nome_file: Nome del file.
:type nome_file: str
:return: Restituisce True (esiste), False (non esiste o nome del file non valido).
:rtype: bool
""""""","def se_file_esiste(nome_file):
    """"""
    Controlla se il nome del file esiste.
    :param nome_file: Nome del file.
    :type nome_file: str
    :return: Restituisce True (esiste), False (non esiste o nome del file non valido).
    :rtype: bool
    """"""
    import os
    return os.path.isfile(nome_file)",n,i,n
62b8b58deb7e40a82d2d1269,"
def direttamenteFornitoDa(oggetto):  # pylint:disable=redefined-builtin
    """"""Restituisce le interfacce direttamente fornite dall'oggetto dato.

    Il valore restituito è un `~zope.interface.interfaces.IDeclaration`.
    """"""
    fornisce = getattr(oggetto, ""__provides__"", None)
    if (
            fornisce is None  # nessuna specifica
            # Potremmo aver ottenuto la specifica ""implements"", come
            # ottimizzazione. In tal caso, è come avere una sola base, che
            # escludiamo per evitare dichiarazioni fornite dalla classe:
""""""","def direttamenteFornitoDa(oggetto):  # pylint:disable=redefined-builtin
    """"""Restituisce le interfacce direttamente fornite dall'oggetto dato.

    Il valore restituito è un `~zope.interface.interfaces.IDeclaration`.
    """"""
    fornisce = getattr(oggetto, ""__provides__"", None)
    if fornisce is None:  # nessuna specifica
        return None  # Nessuna interfaccia fornita

    # Se abbiamo una specifica ""implements"", la escludiamo
    if isinstance(fornisce, list) and len(fornisce) == 1:
        return fornisce[0]  # Restituisce la prima interfaccia

    return fornisce  # Restituisce le interfacce fornite",i,i,n
62b8b4b9eb7e40a82d2d1134,"
def nomi_e_descrizioni(self, tutti=False): # pylint:disable=redefined-builtin
    """"""Restituisce i nomi e le descrizioni degli attributi definiti dall'interfaccia.""""""
    if not all:


","def nomi_e_descrizioni(self, tutti=False): # pylint:disable=redefined-builtin
    """"""Restituisce i nomi e le descrizioni degli attributi definiti dall'interfaccia.""""""
    if not tutti:
        return {nome: descrizione for nome, descrizione in self.attributi.items() if descrizione is not None}
    else:
        return self.attributi",n,i,n
62b8b3d6eb7e40a82d2d111c,"def _normalizza_argomenti(sequenza, output=None):
    """"""
    Normalizza gli argomenti della dichiarazione

    Gli argomenti di normalizzazione possono contenere Dichiarazioni, tuple o singole
    interfacce.

    Qualsiasi cosa diversa da interfacce individuali o specifiche di implementazione verrà espansa.
    """"""
","def _normalizza_argomenti(sequenza, output=None):
    """"""
    Normalizza gli argomenti della dichiarazione

    Gli argomenti di normalizzazione possono contenere Dichiarazioni, tuple o singole
    interfacce.

    Qualsiasi cosa diversa da interfacce individuali o specifiche di implementazione verrà espansa.
    """"""
    if output is None:
        output = []

    for argomento in sequenza:
        if isinstance(argomento, tuple):
            for elemento in argomento:
                output.append(elemento)
        elif isinstance(argomento, list):
            output.extend(argomento)
        else:
            output.append(argomento)

    return output",n,b,n
