filename,error_ids,error_messages,count
./Data/generation/python_hindi_deepseek/iter_0/files/62b43425903eeb48555d3ea1.py,D100 ; E302 ; F821 ; D400 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; undefined name 'Pattern' ; First line should end with a period ; no newline at end of file",5
./Data/generation/python_hindi_deepseek/iter_0/files/62b43426903eeb48555d3ea2.py,D100 ; F821 ; D400 ; F821 ; W292,Missing docstring in public module ; undefined name '_converting' ; First line should end with a period ; undefined name '_converting' ; no newline at end of file,5
./Data/generation/python_hindi_deepseek/iter_0/files/62b43427903eeb48555d3ea5.py,CCR001 ; D100 ; D103 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; B007 ; B007 ; F541 ; W292,"Cognitive complexity is too high (13 > 7) ; Missing docstring in public module ; Missing docstring in public function ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; Loop control variable 'value' not used within the loop body. If this is intended, start the name with an underscore. ; Loop control variable 'i' not used within the loop body. If this is intended, start the name with an underscore. ; f-string is missing placeholders ; no newline at end of file",22
./Data/generation/python_hindi_deepseek/iter_0/files/62b43428903eeb48555d3eaa.py,D100 ; D103 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; E501 ; W292,Missing docstring in public module ; Missing docstring in public function ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Iterable' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Iterable' ; undefined name 'Sequence' ; line too long (90 > 79 characters) ; undefined name 'Any' ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'List' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'List' ; undefined name 'Sequence' ; undefined name 'Any' ; line too long (81 > 79 characters) ; line too long (84 > 79 characters) ; no newline at end of file,25
./Data/generation/python_hindi_deepseek/iter_0/files/62b438a266fea644fe22cc2c.py,D100 ; E302 ; D200 ; D400 ; E501 ; W293 ; W293 ; W293 ; E501 ; W293 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; One-line docstring should fit on one line with quotes ; First line should end with a period ; line too long (86 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; line too long (80 > 79 characters) ; blank line contains whitespace ; no newline at end of file",11
./Data/generation/python_hindi_deepseek/iter_0/files/62b438a266fea644fe22cc2d.py,D100 ; E302 ; D205 ; D400 ; E501 ; W291 ; E501 ; W291 ; W291 ; E501 ; E501 ; W293 ; W293 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (93 > 79 characters) ; trailing whitespace ; line too long (92 > 79 characters) ; trailing whitespace ; trailing whitespace ; line too long (104 > 79 characters) ; line too long (100 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file",14
./Data/generation/python_hindi_deepseek/iter_0/files/62b438a266fea644fe22cc2e.py,D100 ; E302 ; D200 ; D400 ; E501 ; E501 ; F841 ; E501 ; E501 ; E501 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; One-line docstring should fit on one line with quotes ; First line should end with a period ; line too long (259 > 79 characters) ; line too long (81 > 79 characters) ; local variable 'subparsers' is assigned to but never used ; line too long (84 > 79 characters) ; line too long (88 > 79 characters) ; line too long (86 > 79 characters) ; no newline at end of file",11
./Data/generation/python_hindi_deepseek/iter_0/files/62b438b566fea644fe22cc70.py,D100 ; D205 ; D400 ; W291 ; E501 ; E501 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; trailing whitespace ; line too long (99 > 79 characters) ; line too long (268 > 79 characters) ; no newline at end of file,7
./Data/generation/python_hindi_deepseek/iter_0/files/62b438b666fea644fe22cc72.py,D100 ; D205 ; D400 ; E501 ; W291 ; E501 ; E501 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (95 > 79 characters) ; trailing whitespace ; line too long (102 > 79 characters) ; line too long (102 > 79 characters) ; no newline at end of file,8
./Data/generation/python_hindi_deepseek/iter_0/files/62b438b666fea644fe22cc78.py,D100 ; E302 ; D205 ; D400 ; E501 ; W291 ; E501 ; W293 ; W293 ; W293 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (88 > 79 characters) ; trailing whitespace ; line too long (91 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file",11
./Data/generation/python_hindi_deepseek/iter_0/files/62b438ba66fea644fe22cca2.py,CCR001 ; D100 ; D103 ; W293 ; W293 ; W293 ; F821 ; E501 ; F821 ; W293 ; W293 ; E501 ; W293 ; F821 ; E501 ; W293 ; F821 ; E501 ; E501 ; W293 ; F821 ; E501 ; W293 ; W292,Cognitive complexity is too high (9 > 7) ; Missing docstring in public module ; Missing docstring in public function ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; undefined name 'ruamel' ; line too long (136 > 79 characters) ; undefined name 'ruamel' ; blank line contains whitespace ; blank line contains whitespace ; line too long (83 > 79 characters) ; blank line contains whitespace ; undefined name 'ruamel' ; line too long (136 > 79 characters) ; blank line contains whitespace ; undefined name 'ruamel' ; line too long (108 > 79 characters) ; line too long (97 > 79 characters) ; blank line contains whitespace ; undefined name 'ruamel' ; line too long (113 > 79 characters) ; blank line contains whitespace ; no newline at end of file,24
