id,prompt,summary,code,translation,correction,correction_tag,generated_code
62e60f43d76274f8a4026e28,"Convert nanoseconds to a time in fixed format.
def hydrate_time(nanoseconds, tz=None):

Hydrator for `Time` and `LocalTime` values.

:param nanoseconds:
:param tz:
:return: Time",Convert nanoseconds to a time in fixed format.,"def hydrate_time(nanoseconds, tz=None):
","Converti i nanosecondi in un orario in formato fisso.
```python
def hydrate_time(nanoseconds, tz=None):
```

Idratatore per valori di `Time` e `LocalTime`.

:param nanoseconds:  
:param tz:  
:return: Time","def hydrate_time(nanoseconds, tz=None):
""""""
Idratatore per valori di `Time` e `LocalTime`.

:param nanoseconds:  
:param tz:  
:return: Time
""""""",[formatting],"from datetime import datetime, time, timedelta
import pytz

def hydrate_time(nanoseconds, tz=None):
    """"""
    Idratatore per valori di `Time` e `LocalTime`.

    :param nanoseconds: Il tempo in nanosecondi.
    :param tz: Il fuso orario (opzionale).
    :return: Un oggetto `datetime.time` rappresentante il tempo.
    """"""
    # Convert nanoseconds to seconds
    seconds = nanoseconds / 1e9
    
    # Create a timedelta object from the seconds
    delta = timedelta(seconds=seconds)
    
    # Create a datetime object starting from epoch (1970-01-01)
    epoch = datetime(1970, 1, 1)
    dt = epoch + delta
    
    # Extract the time part
    time_obj = dt.time()
    
    # If a timezone is provided, localize the time
    if tz is not None:
        tz_obj = pytz.timezone(tz)
        dt = tz_obj.localize(dt)
        time_obj = dt.time()
    
    return time_obj"
62e60f3bd76274f8a4026e10,"Use the value in timedelta to generate the Structure class.
def dehydrate_timedelta(value):

Dehydrator for `timedelta` values.

:param value:
:type value: timedelta
:return:",Use the value in timedelta to generate the Structure class.,"def dehydrate_timedelta(value):
","Utilizzare il valore in `timedelta` per generare la classe `Structure`.  
```python
def dehydrate_timedelta(value):
```

Deidratatore per valori di tipo `timedelta`.

:param value:  
:type value: timedelta  
:return:  ","def dehydrate_timedelta(value):
""""""

Deidratatore per valori di tipo `timedelta`.

:param value:  
:type value: timedelta  
:return: 
"""""" ",[formatting],"from datetime import timedelta

def dehydrate_timedelta(value):
    """"""
    Deidratatore per valori di tipo `timedelta`.

    :param value: Il valore di tipo `timedelta` da deidratare.
    :type value: timedelta
    :return: Un dizionario contenente i giorni, secondi e microsecondi del `timedelta`.
    :rtype: dict
    """"""
    if not isinstance(value, timedelta):
        raise TypeError(""Il valore deve essere di tipo `timedelta`."")
    
    return {
        'days': value.days,
        'seconds': value.seconds,
        'microseconds': value.microseconds
    }"
62e60f37d76274f8a4026dfd,"Use ticks in the Time class to generate the Structure class.
def dehydrate_time(value):

Dehydrator for `time` values.

:param value:
:type value: Time
:return:",Use ticks in the Time class to generate the Structure class.,"def dehydrate_time(value):
","Utilizza i tick nella classe Time per generare la classe Structure.
```python
def dehydrate_time(value):
    """"""
    Disidratatore per valori di tipo `time`.

    :param value: 
    :type value: Time
    :return:
    """"""
```","def dehydrate_time(value):
    """"""
    Disidratatore per valori di tipo `time`.

    :param value: 
    :type value: Time
    :return:
    """"""
",[formatting],"from datetime import time

def dehydrate_time(value):
    """"""
    Disidratatore per valori di tipo `time`.

    :param value: Un oggetto di tipo `time` da disidratare.
    :type value: time
    :return: Una stringa rappresentante il tempo in formato HH:MM:SS.
    :rtype: str
    """"""
    if not isinstance(value, time):
        raise TypeError(""Il valore deve essere di tipo `time`."")
    
    return value.strftime(""%H:%M:%S"")"
62e60f33d76274f8a4026de9,"The structure class is generated based on the value length.
def dehydrate_point(value):

Dehydrator for Point data.

:param value:
:type value: Point
:return:",The structure class is generated based on the value length.,"def dehydrate_point(value):
","La classe `Structure` viene generata in base alla lunghezza del valore.  
```python
def dehydrate_point(value):
```

Deidratatore per i dati di tipo `Point`.

:param value:  
:type value: Point  
:return:  ","
def dehydrate_point(value):
""""""

Deidratatore per i dati di tipo `Point`.

:param value:  
:type value: Point  
:return: 
"""""" ",[formatting],"def dehydrate_point(value):
    """"""
    Deidratatore per i dati di tipo `Point`.

    :param value: Un oggetto di tipo `Point`.
    :type value: Point
    :return: Un dizionario con le coordinate x e y del punto.
    :rtype: dict
    """"""
    return {'x': value.x, 'y': value.y}"
62e60ed4d76274f8a4026da0,"Returns the __keys property of a class as a List
def keys(self):

Return the keys of the record.

:return: list of key names",Returns the __keys property of a class as a List,"def keys(self):
","Restituisce la proprietà __keys di una classe come una lista  
def keys(self):  

Restituisce le chiavi del record.  

:return: lista dei nomi delle chiavi  ","def keys(self):  
""""""
Restituisce le chiavi del record.  

:return: lista dei nomi delle chiavi  
""""""",[formatting],"def keys(self):
    """"""
    Restituisce le chiavi del record.

    :return: lista dei nomi delle chiavi
    """"""
    return list(self.__dict__.keys())"
62e60ecfd76274f8a4026d6a,"Different forms of Bolt protocol handlers are returned based on the value of protocol_version.
def protocol_handlers(cls, protocol_version=None):

Return a dictionary of available Bolt protocol handlers,
keyed by version tuple. If an explicit protocol version is
provided, the dictionary will contain either zero or one items,
depending on whether that version is supported. If no protocol
version is provided, all available versions will be returned.

:param protocol_version: tuple identifying a specific protocol
    version (e.g. (3, 5)) or None
:return: dictionary of version tuple to handler class for all
    relevant and supported protocol versions
:raise TypeError: if protocol version is not passed in a tuple",Different forms of Bolt protocol handlers are returned based on the value of protocol_version.,"def protocol_handlers(cls, protocol_version=None):
","Diverse forme di gestori del protocollo Bolt vengono restituite in base al valore di `protocol_version`.

```python
def protocol_handlers(cls, protocol_version=None):
```

Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

:param protocol_version: tupla che identifica una specifica versione del protocollo
    (ad esempio, (3, 5)) oppure None
:return: dizionario che associa tuple di versione alla classe del gestore per tutte
    le versioni del protocollo rilevanti e supportate
:raise TypeError: se la versione del protocollo non è passata come una tupla","
def protocol_handlers(cls, protocol_version=None):
""""""

Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

:param protocol_version: tupla che identifica una specifica versione del protocollo
    (ad esempio, (3, 5)) oppure None
:return: dizionario che associa tuple di versione alla classe del gestore per tutte
    le versioni del protocollo rilevanti e supportate
:raise TypeError: se la versione del protocollo non è passata come una tupla
""""""",[formatting],"def protocol_handlers(cls, protocol_version=None):
    """"""
    Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. 
    Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. 
    Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

    :param protocol_version: tupla che identifica una specifica versione del protocollo
        (ad esempio, (3, 5)) oppure None
    :return: dizionario che associa tuple di versione alla classe del gestore per tutte
        le versioni del protocollo rilevanti e supportate
    :raise TypeError: se la versione del protocollo non è passata come una tupla
    """"""
    # Esempio di gestori di protocollo disponibili
    available_handlers = {
        (3, 5): cls.BoltV3_5Handler,
        (4, 0): cls.BoltV4_0Handler,
        (4, 1): cls.BoltV4_1Handler,
    }

    if protocol_version is not None:
        if not isinstance(protocol_version, tuple):
            raise TypeError(""La versione del protocollo deve essere una tupla."")
        if protocol_version in available_handlers:
            return {protocol_version: available_handlers[protocol_version]}
        else:
            return {}
    else:
        return available_handlers"
62e60e49d76274f8a4026d25,"Returns a decorator with metadata and timeout attributes.
def unit_of_work(metadata=None, timeout=None):

This function is a decorator for transaction functions that allows extra control over how the transaction is carried out.

For example, a timeout may be applied::

    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadata:
    a dictionary with metadata.
    Specified metadata will be attached to the executing transaction and visible in the output of ``dbms.listQueries`` and ``dbms.listTransactions`` procedures.
    It will also get logged to the ``query.log``.
    This functionality makes it easier to tag transactions and is equivalent to ``dbms.setTXMetaData`` procedure, see https://neo4j.com/docs/operations-manual/current/reference/procedures/ for procedure reference.
:type metadata: dict

:param timeout:
    the transaction timeout in seconds.
    Transactions that execute longer than the configured timeout will be terminated by the database.
    This functionality allows to limit query/transaction execution time.
    Specified timeout overrides the default timeout configured in the database using ``dbms.transaction.timeout`` setting.
    Value should not represent a negative duration.
    A zero duration will make the transaction execute indefinitely.
    None will use the default timeout configured in the database.
:type timeout: float or :const:`None`",Returns a decorator with metadata and timeout attributes.,"def unit_of_work(metadata=None, timeout=None):
","Restituisce un decorator con attributi di metadati e timeout.
```python
def unit_of_work(metadata=None, timeout=None):
```

Questa funzione è un decorator per funzioni di transazione che consente un controllo aggiuntivo su come viene eseguita la transazione.

Ad esempio, è possibile applicare un timeout::

```python
    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]
```

:param metadata:  
    un dizionario con metadati.  
    I metadati specificati saranno associati alla transazione in esecuzione e visibili nell'output delle procedure ``dbms.listQueries`` e ``dbms.listTransactions``.  
    Saranno inoltre registrati nel file ``query.log``.  
    Questa funzionalità semplifica l'etichettatura delle transazioni ed è equivalente alla procedura ``dbms.setTXMetaData``. Per riferimento alla procedura, consultare https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
:type metadata: dict  

:param timeout:  
    il timeout della transazione in secondi.  
    Le transazioni che vengono eseguite per un tempo superiore al timeout configurato saranno terminate dal database.  
    Questa funzionalità consente di limitare il tempo di esecuzione delle query/transazioni.  
    Il timeout specificato sovrascrive il timeout predefinito configurato nel database utilizzando l'impostazione ``dbms.transaction.timeout``.  
    Il valore non deve rappresentare una durata negativa.  
    Una durata pari a zero consentirà alla transazione di essere eseguita indefinitamente.  
    Un valore ``None`` utilizzerà il timeout predefinito configurato nel database.  
:type timeout: float o :const:`None`  ","
def unit_of_work(metadata=None, timeout=None):
""""""

Questa funzione è un decorator per funzioni di transazione che consente un controllo aggiuntivo su come viene eseguita la transazione.

Ad esempio, è possibile applicare un timeout::

    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadata:  
    un dizionario con metadati.  
    I metadati specificati saranno associati alla transazione in esecuzione e visibili nell'output delle procedure ``dbms.listQueries`` e ``dbms.listTransactions``.  
    Saranno inoltre registrati nel file ``query.log``.  
    Questa funzionalità semplifica l'etichettatura delle transazioni ed è equivalente alla procedura ``dbms.setTXMetaData``. Per riferimento alla procedura, consultare https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
:type metadata: dict  

:param timeout:  
    il timeout della transazione in secondi.  
    Le transazioni che vengono eseguite per un tempo superiore al timeout configurato saranno terminate dal database.  
    Questa funzionalità consente di limitare il tempo di esecuzione delle query/transazioni.  
    Il timeout specificato sovrascrive il timeout predefinito configurato nel database utilizzando l'impostazione ``dbms.transaction.timeout``.  
    Il valore non deve rappresentare una durata negativa.  
    Una durata pari a zero consentirà alla transazione di essere eseguita indefinitamente.  
    Un valore ``None`` utilizzerà il timeout predefinito configurato nel database.  
:type timeout: float o :const:`None`  
""""""",[formatting],"def unit_of_work(metadata=None, timeout=None):
    def decorator(func):
        def wrapper(*args, **kwargs):
            # Extract the transaction object from the arguments
            tx = args[0] if args else kwargs.get('tx')
            if tx is None:
                raise ValueError(""Transaction object 'tx' not found in arguments."")
            
            # Apply metadata if provided
            if metadata is not None:
                if not isinstance(metadata, dict):
                    raise TypeError(""Metadata must be a dictionary."")
                tx.run(""CALL dbms.setTXMetaData($metadata)"", metadata=metadata)
            
            # Apply timeout if provided
            if timeout is not None:
                if not isinstance(timeout, (int, float)) or timeout < 0:
                    raise ValueError(""Timeout must be a non-negative number."")
                tx.run(""CALL dbms.setTransactionTimeout($timeout)"", timeout=timeout * 1000)  # Convert to milliseconds
            
            # Execute the original function
            return func(*args, **kwargs)
        return wrapper
    return decorator"
62e60e05d76274f8a4026cfd,"Returns the key in the form of int.
def index(self, key):

Return the index of the given item.

:param key: a key
:return: index
:rtype: int",Returns the key in the form of int.,"def index(self, key):
","Restituisce la chiave sotto forma di intero.  
```python
def index(self, key):
```

Restituisce l'indice dell'elemento specificato.

:param key: una chiave  
:return: indice  
:rtype: int  ","def index(self, key):
""""""

Restituisce l'indice dell'elemento specificato.

:param key: una chiave  
:return: indice  
:rtype: int
""""""  ",[formatting],"def index(self, key):
    """"""
    Restituisce l'indice dell'elemento specificato.

    :param key: una chiave  
    :return: indice  
    :rtype: int
    """"""
    try:
        return self.index(key)
    except ValueError:
        return -1"
62e60da4d76274f8a4026cf1,"Returns the key filtered by self.index in the form of a list.
def values(self, *keys):

Return the values of the record, optionally filtering to
include only certain values by index or key.

:param keys: indexes or keys of the items to include; if none
             are provided, all values will be included
:return: list of values
:rtype: list",Returns the key filtered by self.index in the form of a list.,"def values(self, *keys):
","Restituisce la chiave filtrata da self.index sotto forma di lista.

```python
def values(self, *keys):
```

Restituisce i valori del record, con la possibilità di filtrare per includere solo determinati valori in base all'indice o alla chiave.

:param keys: indici o chiavi degli elementi da includere; se non viene fornito nessun parametro, verranno inclusi tutti i valori  
:return: lista di valori  
:rtype: list","def values(self, *keys):
""""""

Restituisce i valori del record, con la possibilità di filtrare per includere solo determinati valori in base all'indice o alla chiave.

:param keys: indici o chiavi degli elementi da includere; se non viene fornito nessun parametro, verranno inclusi tutti i valori  
:return: lista di valori  
:rtype: list
""""""",[formatting],"def values(self, *keys):
    """"""
    Restituisce i valori del record, con la possibilità di filtrare per includere solo determinati valori in base all'indice o alla chiave.

    :param keys: indici o chiavi degli elementi da includere; se non viene fornito nessun parametro, verranno inclusi tutti i valori  
    :return: lista di valori  
    :rtype: list
    """"""
    if not keys:
        return list(self.__dict__.values())
    else:
        return [self.__dict__.get(key) for key in keys]"
62e60b10d76274f8a4026ccd,"Returns the keys processed by the transform method of the RecordExporter class.
def data(self, *keys):

Return the keys and values of this record as a dictionary,
optionally including only certain values by index or key. Keys
provided in the items that are not in the record will be
inserted with a value of :const:`None`; indexes provided
that are out of bounds will trigger an :exc:`IndexError`.

:param keys: indexes or keys of the items to include; if none
              are provided, all values will be included
:return: dictionary of values, keyed by field name
:raises: :exc:`IndexError` if an out-of-bounds index is specified",Returns the keys processed by the transform method of the RecordExporter class.,"def data(self, *keys):
","Restituisce le chiavi elaborate dal metodo `transform` della classe `RecordExporter`.

```python
def data(self, *keys):
```

Restituisce le chiavi e i valori di questo record come un dizionario, includendo opzionalmente solo determinati valori in base all'indice o alla chiave. Le chiavi fornite negli elementi che non sono presenti nel record verranno inserite con un valore di :const:`None`; gli indici forniti che sono fuori dai limiti genereranno un'eccezione :exc:`IndexError`.

:param keys: indici o chiavi degli elementi da includere; se non ne vengono forniti, verranno inclusi tutti i valori  
:return: dizionario dei valori, indicizzati per nome del campo  
:raises: :exc:`IndexError` se viene specificato un indice fuori dai limiti  ","def data(self, *keys):
""""""

Restituisce le chiavi e i valori di questo record come un dizionario, includendo opzionalmente solo determinati valori in base all'indice o alla chiave. Le chiavi fornite negli elementi che non sono presenti nel record verranno inserite con un valore di :const:`None`; gli indici forniti che sono fuori dai limiti genereranno un'eccezione :exc:`IndexError`.

:param keys: indici o chiavi degli elementi da includere; se non ne vengono forniti, verranno inclusi tutti i valori  
:return: dizionario dei valori, indicizzati per nome del campo  
:raises: :exc:`IndexError` se viene specificato un indice fuori dai limiti  
""""""",[formatting],"def data(self, *keys):
    """"""
    Restituisce le chiavi e i valori di questo record come un dizionario, includendo opzionalmente solo determinati valori in base all'indice o alla chiave. 
    Le chiavi fornite negli elementi che non sono presenti nel record verranno inserite con un valore di :const:`None`; 
    gli indici forniti che sono fuori dai limiti genereranno un'eccezione :exc:`IndexError`.

    :param keys: indici o chiavi degli elementi da includere; se non ne vengono forniti, verranno inclusi tutti i valori  
    :return: dizionario dei valori, indicizzati per nome del campo  
    :raises: :exc:`IndexError` se viene specificato un indice fuori dai limiti  
    """"""
    result = {}
    if not keys:
        # Se non vengono fornite chiavi, restituisci tutti i valori
        for key in self.__dict__:
            result[key] = self.__dict__[key]
    else:
        for key in keys:
            if isinstance(key, int):
                # Se la chiave è un indice, verifica che sia valido
                if key < 0 or key >= len(self.__dict__):
                    raise IndexError(""Indice fuori dai limiti"")
                # Converti l'indice in una chiave
                key = list(self.__dict__.keys())[key]
            # Aggiungi la chiave al risultato, anche se non esiste nel record
            result[key] = self.__dict__.get(key, None)
    return result"
