id,prompt,generated_code,comments,identifiers,literals,notes
62e60ecfd76274f8a4026d6a,"def gestori_protocollo(cls, versione_protocollo=None):
""""""

Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

:param versione_protocoll: tupla che identifica una specifica versione del protocollo
    (ad esempio, (3, 5)) oppure None
:return: dizionario che associa tuple di versione alla classe del gestore per tutte
    le versioni del protocollo rilevanti e supportate
:raise TypeError: se la versione del protocollo non è passata come una tupla
""""""","def gestori_protocollo(cls, versione_protocollo=None):
    """"""
    Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

    :param versione_protocollo: tupla che identifica una specifica versione del protocollo
        (ad esempio, (3, 5)) oppure None
    :return: dizionario che associa tuple di versione alla classe del gestore per tutte
        le versioni del protocollo rilevanti e supportate
    :raise TypeError: se la versione del protocollo non è passata come una tupla
    """"""
    gestori_disponibili = {
        (3, 5): cls.GestoreProtocolloV3_5,
        (4, 0): cls.GestoreProtocolloV4_0,
        (4, 1): cls.GestoreProtocolloV4_1,
    }

    if versione_protocollo is not None:
        if not isinstance(versione_protocollo, tuple):
            raise TypeError(""La versione del protocollo deve essere una tupla."")
        if versione_protocollo in gestori_disponibili:
            return {versione_protocollo: gestori_disponibili[versione_protocollo]}
        else:
            return {}
    else:
        return gestori_disponibili",n,i,i,
62e60e49d76274f8a4026d25,"def unita_di_lavoro(metadato=None, tempo_limite=None):
""""""

Questa funzione è un decorator per funzioni di transazione che consente un controllo aggiuntivo su come viene eseguita la transazione.

Ad esempio, è possibile applicare un tempo_limite::

    from neo4j import unita_di_lavoro

    @ unita_di_lavoro(tempo_limite=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadato:  
    un dizionario con metadati.  
    I metadati specificati saranno associati alla transazione in esecuzione e visibili nell'output delle procedure ``dbms.listQueries`` e ``dbms.listTransactions``.  
    Saranno inoltre registrati nel file ``query.log``.  
    Questa funzionalità semplifica l'etichettatura delle transazioni ed è equivalente alla procedura ``dbms.setTXMetaData``. Per riferimento alla procedura, consultare https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
:type metadata: dict  

:param timeout:  
    il timeout della transazione in secondi.  
    Le transazioni che vengono eseguite per un tempo superiore al tempo_limite configurato saranno terminate dal database.  
    Questa funzionalità consente di limitare il tempo di esecuzione delle query/transazioni.  
    Il tempo_limite specificato sovrascrive il tempo_limite predefinito configurato nel database utilizzando l'impostazione ``dbms.transaction.timeout``.  
    Il valore non deve rappresentare una durata negativa.  
    Una durata pari a zero consentirà alla transazione di essere eseguita indefinitamente.  
    Un valore ``None`` utilizzerà il timeout predefinito configurato nel database.  
:type timeout: float o :const:`None`  
""""""","def unita_di_lavoro(metadato=None, tempo_limite=None):
    def decoratore(funzione):
        def wrapper(*args, **kwargs):
            transazione = args[0]  # La transazione è il primo argomento
            if metadato is not None:
                transazione.set_metadata(metadato)
            if tempo_limite is not None:
                transazione.set_timeout(tempo_limite)
            return funzione(*args, **kwargs)
        return wrapper
    return decoratore",i,b,n,
62e60707d76274f8a4026b69,"
def tipo_di_punto(nome, campi, srid_map):
""""""

Crea dinamicamente una sottoclasse di Point.
""""""","def tipo_di_punto(nome, campi, srid_map):
    """"""
    Crea dinamicamente una sottoclasse di Point.

    :param nome: Nome della sottoclasse da creare.
    :param campi: Lista di campi aggiuntivi per la sottoclasse.
    :param srid_map: Dizionario che mappa i nomi dei campi ai loro SRID.
    :return: La sottoclasse creata.
    """"""
    from shapely.geometry import Point

    class PuntoPersonalizzato(Point):
        def __init__(self, *args, **kwargs):
            super().__init__(*args)
            for campo, valore in kwargs.items():
                setattr(self, campo, valore)

        def __repr__(self):
            attributi = {campo: getattr(self, campo) for campo in campi}
            return f""{nome}({super().__repr__()}, {attributi})""

    PuntoPersonalizzato.__name__ = nome
    PuntoPersonalizzato.__qualname__ = nome

    for campo in campi:
        setattr(PuntoPersonalizzato, campo, None)

    PuntoPersonalizzato.srid_map = srid_map

    return PuntoPersonalizzato",n,i,n,
62e5dc9ed76274f8a4026b5b,"def deprecato(messaggio):
""""""

Decorator per deprecare funzioni e metodi.

Esempio di utilizzo:

```python
@deprecato(“'foo' è stato deprecato a favore di 'bar'"")
def foo(x):
    pass
""""""","def deprecato(messaggio):
    """"""
    Decorator per deprecare funzioni e metodi.

    Esempio di utilizzo:",n,i,n,
62e4fbda85ea986430890403,"
def _mischia(seq: Sequenza[str]) -> list[str]:

""""""Mescolamento deterministico""""""","def _mischia(seq: Sequenza[str]) -> list[str]:
    """"""
    Mescolamento deterministico di una sequenza di stringhe.
    """"""
    lunghezza = len(seq)
    sequenza_mista = list(seq)
    
    for indice in range(lunghezza):
        nuovo_indice = (indice * 5 + 3) % lunghezza
        sequenza_mista[indice], sequenza_mista[nuovo_indice] = sequenza_mista[nuovo_indice], sequenza_mista[indice]
    
    return sequenza_mista",n,i,n,
62b8bbbfe0d34b282c181210,"def aggiungi_testo_al_file(nome_file, buffer_testo, codifica, sovrascrivi=False):
""""""

Scrive nel file specificato il buffer di testo fornito.  
Crea il file se necessario.  
:param nome_file: Nome del file.  
:type nome_file: str  
:param buffer_testo: Buffer di testo da scrivere.  
:type buffer_testo: str  
:param codifica: La codifica da utilizzare.  
:type codifica: str  
:param sovrascrivi: Se impostato a True, il file viene sovrascritto.  
:type sovrascrivi: bool  
:return: Il numero di byte scritti o un valore inferiore a 0 in caso di errore.  
:rtype int  
""""""","def aggiungi_testo_al_file(nome_file, buffer_testo, codifica, sovrascrivi=False):
    """"""
    Scrive nel file specificato il buffer di testo fornito.  
    Crea il file se necessario.  
    :param nome_file: Nome del file.  
    :type nome_file: str  
    :param buffer_testo: Buffer di testo da scrivere.  
    :type buffer_testo: str  
    :param codifica: La codifica da utilizzare.  
    :type codifica: str  
    :param sovrascrivi: Se impostato a True, il file viene sovrascritto.  
    :type sovrascrivi: bool  
    :return: Il numero di byte scritti o un valore inferiore a 0 in caso di errore.  
    :rtype int  
    """"""
    try:
        modalita = 'w' if sovrascrivi else 'a'
        with open(nome_file, modalita, encoding=codifica) as file:
            byte_scritti = file.write(buffer_testo)
            return byte_scritti
    except Exception as errore:
        print(f""Errore durante la scrittura del file: {errore}"")
        return -1",n,i,i,
62b8bbbce0d34b282c18120d,"
def se_file_esiste(nome_file):
""""""
Controlla se il nome del file esiste.
:param nome_file: Nome del file.
:type nome_file: str
:return: Restituisce True (esiste), False (non esiste o nome del file non valido).
:rtype: bool
""""""","import os

def se_file_esiste(nome_file):
    """"""
    Controlla se il nome del file esiste.
    :param nome_file: Nome del file.
    :type nome_file: str
    :return: Restituisce True (esiste), False (non esiste o nome del file non valido).
    :rtype: bool
    """"""
    if not isinstance(nome_file, str) or not nome_file:
        return False
    return os.path.exists(nome_file)",n,i,n,
62b8b58deb7e40a82d2d1269,"
def direttamenteFornitoDa(oggetto):  # pylint:disable=redefined-builtin
    """"""Restituisce le interfacce direttamente fornite dall'oggetto dato.

    Il valore restituito è un `~zope.interface.interfaces.IDeclaration`.
    """"""
    fornisce = getattr(oggetto, ""__provides__"", None)
    if (
            fornisce is None  # nessuna specifica
            # Potremmo aver ottenuto la specifica ""implements"", come
            # ottimizzazione. In tal caso, è come avere una sola base, che
            # escludiamo per evitare dichiarazioni fornite dalla classe:
""""""","def direttamenteFornitoDa(oggetto):  # pylint:disable=redefined-builtin
    """"""Restituisce le interfacce direttamente fornite dall'oggetto dato.

    Il valore restituito è un `~zope.interface.interfaces.IDeclaration`.
    """"""
    fornisce = getattr(oggetto, ""__provides__"", None)
    if (
            fornisce is None  # nessuna specifica
            # Potremmo aver ottenuto la specifica ""implements"", come
            # ottimizzazione. In tal caso, è come avere una sola base, che
            # escludiamo per evitare dichiarazioni fornite dalla classe:
            or getattr(fornisce, ""__class__"", None) is None
    ):
        return None
    return fornisce",i,i,n,
62b8b4b9eb7e40a82d2d1134,"
def nomi_e_descrizioni(self, tutti=False): # pylint:disable=redefined-builtin
    """"""Restituisce i nomi e le descrizioni degli attributi definiti dall'interfaccia.""""""
    if not all:


","def nomi_e_descrizioni(self, tutti=False): # pylint:disable=redefined-builtin
    """"""Restituisce i nomi e le descrizioni degli attributi definiti dall'interfaccia.""""""
    attributi = self.__dict__.items()
    risultato = {}
    
    for nome, valore in attributi:
        if not tutti and nome.startswith(""_""):
            continue
        descrizione = valore.__doc__ if valore.__doc__ else ""Nessuna descrizione disponibile""
        risultato[nome] = descrizione
    
    return risultato",n,i,i,
62b8b3d6eb7e40a82d2d111c,"def _normalizza_argomenti(sequenza, output=None):
    """"""
    Normalizza gli argomenti della dichiarazione

    Gli argomenti di normalizzazione possono contenere Dichiarazioni, tuple o singole
    interfacce.

    Qualsiasi cosa diversa da interfacce individuali o specifiche di implementazione verrà espansa.
    """"""
","def _normalizza_argomenti(sequenza, output=None):
    """"""
    Normalizza gli argomenti della dichiarazione

    Gli argomenti di normalizzazione possono contenere Dichiarazioni, tuple o singole
    interfacce.

    Qualsiasi cosa diversa da interfacce individuali o specifiche di implementazione verrà espansa.
    """"""
    if output is None:
        output = []
    
    for elemento in sequenza:
        if isinstance(elemento, (list, tuple)):
            _normalizza_argomenti(elemento, output)
        else:
            output.append(elemento)
    
    return output",n,i,n,
