id,generated_code,comments,identifiers,literals,notes
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
    """"""
    Idratatore per valori di `Time` e `LocalTime`.

    :param nanoseconds:  
    :param tz:  
    :return: Time
    """"""
    from datetime import datetime, timedelta, timezone

    # Convert nanoseconds to seconds
    seconds = nanoseconds / 1_000_000_000
    # Create a UTC datetime object
    utc_time = datetime(1970, 1, 1, tzinfo=timezone.utc) + timedelta(seconds=seconds)

    if tz is not None:
        # Convert to the specified timezone
        local_time = utc_time.astimezone(tz)
        return local_time
    return utc_time",english ,english ,none,
62e60f3bd76274f8a4026e10,"from datetime import timedelta

def dehydrate_timedelta(value):
    """"""
    Deidratatore per valori di tipo `timedelta`.

    :param value: 
    :type value: timedelta  
    :return: 
    """"""
    if not isinstance(value, timedelta):
        raise ValueError(""Input must be a timedelta object."")
    
    total_seconds = int(value.total_seconds())
    days = total_seconds // 86400
    hours = (total_seconds % 86400) // 3600
    minutes = (total_seconds % 3600) // 60
    seconds = total_seconds % 60
    
    return {
        'days': days,
        'hours': hours,
        'minutes': minutes,
        'seconds': seconds
    }",none,english ,english,
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
    """"""
    Disidratatore per valori di tipo `time`.

    :param value: 
    :type value: Time
    :return:
    """"""
    if value is None:
        return None
    return value.isoformat()",none,english ,none,
62e60f33d76274f8a4026de9,"def dehydrate_point(value):
    """"""
    Deidratatore per i dati di tipo `Point`.

    :param value:  
    :type value: Point  
    :return: 
    """"""
    if not isinstance(value, Point):
        raise ValueError(""Expected a Point instance"")
    
    return {
        'x': value.x,
        'y': value.y
    }",none,english ,english,
62e60ed4d76274f8a4026da0,"def keys(self):  
    """"""
    Restituisce le chiavi del record.  

    :return: lista dei nomi delle chiavi  
    """"""
    return list(self.record.keys())",none,english ,none,
62e60ecfd76274f8a4026d6a,"def protocol_handlers(cls, protocol_version=None):
    """"""
    Restituisce un dizionario dei gestori del protocollo Bolt disponibili, indicizzati da una tupla che rappresenta la versione. Se viene fornita una versione di protocollo esplicita, il dizionario conterrà zero o un elemento, a seconda che quella versione sia supportata o meno. Se non viene fornita alcuna versione di protocollo, verranno restituite tutte le versioni disponibili.

    :param protocol_version: tupla che identifica una specifica versione del protocollo
        (ad esempio, (3, 5)) oppure None
    :return: dizionario che associa tuple di versione alla classe del gestore per tutte
        le versioni del protocollo rilevanti e supportate
    :raise TypeError: se la versione del protocollo non è passata come una tupla
    """"""
    if protocol_version is not None and not isinstance(protocol_version, tuple):
        raise TypeError(""La versione del protocollo deve essere passata come una tupla"")

    # Simulazione di un dizionario di gestori del protocollo
    handlers = {
        (3, 0): ""HandlerV3_0"",
        (3, 1): ""HandlerV3_1"",
        (3, 2): ""HandlerV3_2"",
        (3, 5): ""HandlerV3_5"",
        (4, 0): ""HandlerV4_0"",
    }

    if protocol_version is not None:
        return {protocol_version: handlers.get(protocol_version)} if protocol_version in handlers else {}

    return handlers",italian,english ,italian,
62e60e49d76274f8a4026d25,"def unit_of_work(metadata=None, timeout=None):
    """"""
    Questa funzione è un decorator per funzioni di transazione che consente un controllo aggiuntivo su come viene eseguita la transazione.

    Ad esempio, è possibile applicare un timeout::

        from neo4j import unit_of_work

        @unit_of_work(timeout=100)
        def count_people_tx(tx):
            result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
            record = result.single()
            return record[""persons""]

    :param metadata:  
        un dizionario con metadati.  
        I metadati specificati saranno associati alla transazione in esecuzione e visibili nell'output delle procedure ``dbms.listQueries`` e ``dbms.listTransactions``.  
        Saranno inoltre registrati nel file ``query.log``.  
        Questa funzionalità semplifica l'etichettatura delle transazioni ed è equivalente alla procedura ``dbms.setTXMetaData``. Per riferimento alla procedura, consultare https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
    :type metadata: dict  

    :param timeout:  
        il timeout della transazione in secondi.  
        Le transazioni che vengono eseguite per un tempo superiore al timeout configurato saranno terminate dal database.  
        Questa funzionalità consente di limitare il tempo di esecuzione delle query/transazioni.  
        Il timeout specificato sovrascrive il timeout predefinito configurato nel database utilizzando l'impostazione ``dbms.transaction.timeout``.  
        Il valore non deve rappresentare una durata negativa.  
        Una durata pari a zero consentirà alla transazione di essere eseguita indefinitamente.  
        Un valore ``None`` utilizzerà il timeout predefinito configurato nel database.  
    :type timeout: float o :const:`None`  
    """"""
    def decorator(func):
        def wrapper(*args, **kwargs):
            # Implementazione della logica per gestire la transazione
            # e applicare i metadati e il timeout
            pass  # Sostituire con la logica effettiva
        return wrapper
    return decorator",italian,english,none,
62e60e05d76274f8a4026cfd,"def index(self, key):
    """"""
    Restituisce l'indice dell'elemento specificato.

    :param key: una chiave  
    :return: indice  
    :rtype: int
    """"""
    for idx, element in enumerate(self):
        if element == key:
            return idx
    raise ValueError(f""Key {key} not found in the collection."")",none,english,english,
62e60da4d76274f8a4026cf1,"def values(self, *keys):
    """"""
    Restituisce i valori del record, con la possibilità di filtrare per includere solo determinati valori in base all'indice o alla chiave.

    :param keys: indici o chiavi degli elementi da includere; se non viene fornito nessun parametro, verranno inclusi tutti i valori  
    :return: lista di valori  
    :rtype: list
    """"""
    if not keys:
        return list(self.record.values())
    
    return [self.record[key] for key in keys if key in self.record]",none,english,none,
62e60b10d76274f8a4026ccd,"def data(self, *keys):
    """"""
    Restituisce le chiavi e i valori di questo record come un dizionario, includendo opzionalmente solo determinati valori in base all'indice o alla chiave. Le chiavi fornite negli elementi che non sono presenti nel record verranno inserite con un valore di :const:`None`; gli indici forniti che sono fuori dai limiti genereranno un'eccezione :exc:`IndexError`.

    :param keys: indici o chiavi degli elementi da includere; se non ne vengono forniti, verranno inclusi tutti i valori  
    :return: dizionario dei valori, indicizzati per nome del campo  
    :raises: :exc:`IndexError` se viene specificato un indice fuori dai limiti  
    """"""
    result = {}
    for key in keys:
        if isinstance(key, int):
            if key < 0 or key >= len(self.record):
                raise IndexError(""Index out of bounds"")
            result[self.field_names[key]] = self.record[key]
        else:
            result[key] = self.record.get(key, None)
    
    if not keys:
        for i, value in enumerate(self.record):
            result[self.field_names[i]] = value
            
    return result",none,english,english,
