id,prompt,summary,code,translation,correction,correction_tag,generated_code
6367676d1a6d9265ec018229,"/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */

public static String[] trimArrayElements(String[] array)",Trim each element in the given string array and return the resulting array.,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
 * @param array l'array di Stringhe originale
 * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}","/** 
 * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
 * @param array l'array di Stringhe originale
 * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
 */

public static String[] trimArrayElements(String[] array)",,"public class ArrayUtils {

    /**
     * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
     * @param array l'array di Stringhe originale
     * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                trimmedArray[i] = array[i].trim();
            } else {
                trimmedArray[i] = null;
            }
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] array = {""  hello "", ""  world  "", null, ""  java  ""};
        String[] trimmedArray = trimArrayElements(array);
        for (String str : trimmedArray) {
            System.out.println(""'"" + str + ""'"");
        }
    }
}"
6367670b1a6d9265ec017a00,"/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */

public static boolean isSameLength(final byte[] array1,final byte[] array2)",Check whether the length of the given two byte arrays is the same.,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
 * @param array1 il primo array, può essere <code>null</code>
 * @param array2 il secondo array, può essere <code>null</code>
 * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2) {
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}","/** 
 * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
 * @param array1 il primo array, può essere <code>null</code>
 * @param array2 il secondo array, può essere <code>null</code>
 * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2)",,"public class ArrayUtils {

    /**
     * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
     * @param array1 il primo array, può essere <code>null</code>
     * @param array2 il secondo array, può essere <code>null</code>
     * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        byte[] array1 = {1, 2, 3};
        byte[] array2 = {4, 5, 6};
        byte[] array3 = null;
        byte[] array4 = {7, 8};

        System.out.println(isSameLength(array1, array2)); // true
        System.out.println(isSameLength(array1, array3)); // false
        System.out.println(isSameLength(array3, array4)); // false
    }
}"
636766a91a6d9265ec0175c2,"/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */

private int pop()",Pop an abstract type from the output frame stack and return its value.,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/**
 * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
 * @return il tipo astratto che è stato estratto dallo stack del frame di output.
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}","/**
 * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
 * @return il tipo astratto che è stato estratto dallo stack del frame di output.
 */

private int pop()",,"import java.util.Stack;

public class Frame {
    private Stack<Integer> outputFrameStack;

    public Frame() {
        this.outputFrameStack = new Stack<>();
    }

    /**
     * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
     * @return il tipo astratto che è stato estratto dallo stack del frame di output.
     */
    private int pop() {
        if (outputFrameStack.isEmpty()) {
            throw new IllegalStateException(""Lo stack del frame di output è vuoto."");
        }
        return outputFrameStack.pop();
    }
}"
636767081a6d9265ec017989,"/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>Converte un array di oggetti Boolean in primitivi.</p> 
 * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
 * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
 * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
 * @throws NullPointerException se il contenuto dell'array è <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
  else if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result = new boolean[array.length];
  for (int i = 0; i < array.length; i++) {
    result[i] = array[i].booleanValue();
  }
  return result;
}","/** 
 * <p>Converte un array di oggetti Boolean in primitivi.</p> 
 * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
 * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
 * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
 * @throws NullPointerException se il contenuto dell'array è <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)",,"public class BooleanArrayConverter {

    /**
     * <p>Converte un array di oggetti Boolean in primitivi.</p>
     * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
     * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
     * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
     * @throws NullPointerException se il contenuto dell'array è <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] == null) {
                throw new NullPointerException(""Element at index "" + i + "" is null."");
            }
            result[i] = array[i];
        }
        return result;
    }

    public static void main(String[] args) {
        // Test case
        Boolean[] testArray = { true, false, true };
        boolean[] primitiveArray = toPrimitive(testArray);
        for (boolean b : primitiveArray) {
            System.out.println(b);
        }
    }
}"
6367672d1a6d9265ec017c73,"/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */

public boolean shouldPrintMessage(int timestamp,String message)"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false. Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi. 
 */

public boolean shouldPrintMessage(int timestamp, String message) {
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message, timestamp);
      return true;
    } else {
      return false;
    }
  } else {
    messages.put(message, timestamp);
    return true;
  }
}","/** 
 * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false. Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi. 
 */

public boolean shouldPrintMessage(int timestamp, String message)",,"import java.util.HashMap;
import java.util.Map;

public class Logger {
    private Map<String, Integer> messageTimestamps;

    public Logger() {
        messageTimestamps = new HashMap<>();
    }

    /**
     * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false.
     * Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi.
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (messageTimestamps.containsKey(message)) {
            int lastTimestamp = messageTimestamps.get(message);
            if (timestamp - lastTimestamp >= 10) {
                messageTimestamps.put(message, timestamp);
                return true;
            } else {
                return false;
            }
        } else {
            messageTimestamps.put(message, timestamp);
            return true;
        }
    }
}"
636766f81a6d9265ec01775c,"/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */

public static String toString(Object obj)","Return the string representation of the given object, return an empty string if the object is null.","public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
 * <pre> ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  l'oggetto da <code>toString</code>, può essere null
 * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}","/** 
 * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p> 
 * <pre> ObjectUtils.toString(null)         = """" 
 * ObjectUtils.toString("""")           = """" 
 * ObjectUtils.toString(""bat"")        = ""bat"" 
 * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  l'oggetto da <code>toString</code>, può essere null
 * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj)",,"public class ObjectUtils {

    /**
     * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p>
     * <pre> ObjectUtils.toString(null)         = """"
     * ObjectUtils.toString("""")           = """"
     * ObjectUtils.toString(""bat"")        = ""bat""
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  l'oggetto da <code>toString</code>, può essere null
     * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }

    public static void main(String[] args) {
        // Test cases
        System.out.println(toString(null));         // Output: """"
        System.out.println(toString(""""));           // Output: """"
        System.out.println(toString(""bat""));        // Output: ""bat""
        System.out.println(toString(Boolean.TRUE)); // Output: ""true""
    }
}"
6367667f1a6d9265ec017457,"/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */

private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb)","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri a un StringBuffer.
 * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  } else {
    CharBuffer cb = UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}","/** 
 * Decodifica gli ottetti in caratteri utilizzando la decodifica UTF-8 e aggiunge i caratteri ad uno oggetto StringBuffer.
 * @return l'indice del prossimo carattere non controllato nella stringa da decodificare
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb)",[grammar],"import java.nio.ByteBuffer;
import java.nio.charset.StandardCharsets;

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
    // Ottieni il byte corrente
    byte b = bb.get(i);
    
    // Determina il numero di byte necessari per il carattere UTF-8
    int numBytes;
    if ((b & 0x80) == 0) {
        // 1 byte: 0xxxxxxx
        numBytes = 1;
    } else if ((b & 0xE0) == 0xC0) {
        // 2 byte: 110xxxxx 10xxxxxx
        numBytes = 2;
    } else if ((b & 0xF0) == 0xE0) {
        // 3 byte: 1110xxxx 10xxxxxx 10xxxxxx
        numBytes = 3;
    } else if ((b & 0xF8) == 0xF0) {
        // 4 byte: 11110xxx 10xxxxxx 10xxxxxx 10xxxxxx
        numBytes = 4;
    } else {
        // Byte non valido per UTF-8
        throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
    }

    // Verifica che ci siano abbastanza byte rimanenti nel buffer
    if (i + numBytes > bb.limit()) {
        throw new IllegalArgumentException(""Incomplete UTF-8 sequence"");
    }

    // Crea un array per contenere i byte del carattere
    byte[] charBytes = new byte[numBytes];
    for (int j = 0; j < numBytes; j++) {
        charBytes[j] = bb.get(i + j);
    }

    // Decodifica i byte in una stringa UTF-8
    String decodedChar = new String(charBytes, StandardCharsets.UTF_8);

    // Aggiungi il carattere decodificato al StringBuilder
    sb.append(decodedChar);

    // Restituisci l'indice del prossimo carattere non controllato
    return i + numBytes;
}"
636766aa1a6d9265ec0175ce,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */

int visitFrameStart(final int offset,final int numLocal,final int numStack)","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
 * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
 * @param numLocal il numero di variabili locali nel frame.
 * @param numStack il numero di elementi nello stack nel frame.
 * @return l'indice del prossimo elemento da scrivere in questo frame.
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack) {
  int frameLength = 3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame = new int[frameLength];
  }
  currentFrame[0] = offset;
  currentFrame[1] = numLocal;
  currentFrame[2] = numStack;
  return 3;
}","/** 
 * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
 * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
 * @param numLocal il numero di variabili locali nel frame.
 * @param numStack il numero di elementi nello stack nel frame.
 * @return l'indice del prossimo elemento da scrivere in questo frame.
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack)",,"public class FrameVisitor {
    private Frame currentFrame;

    public FrameVisitor(Frame currentFrame) {
        this.currentFrame = currentFrame;
    }

    /**
     * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
     * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
     * @param numLocal il numero di variabili locali nel frame.
     * @param numStack il numero di elementi nello stack nel frame.
     * @return l'indice del prossimo elemento da scrivere in questo frame.
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Inizializza il nuovo frame con i parametri forniti
        currentFrame = new Frame(offset, numLocal, numStack);

        // Restituisce l'indice del prossimo elemento da scrivere nel frame
        return currentFrame.getNextWriteIndex();
    }

    // Classe interna per rappresentare un frame
    private static class Frame {
        private final int offset;
        private final int numLocal;
        private final int numStack;
        private int nextWriteIndex;

        public Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal;
            this.numStack = numStack;
            this.nextWriteIndex = 0; // Inizialmente, il prossimo elemento da scrivere è il primo
        }

        public int getNextWriteIndex() {
            return nextWriteIndex;
        }

        public void incrementWriteIndex() {
            nextWriteIndex++;
        }
    }
}"
636767191a6d9265ec017c0f,"/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */

private void enlarge(final int size)","Enlarge the byte vector data, by increasing it by the given size.","private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/**
 * Ingrossa questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
 * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
 */

private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}","/**
 * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
 * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
 */

private void enlarge(final int size)",[FixTranslation],"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int capacity;

    public ByteVector(int initialCapacity) {
        this.data = new byte[initialCapacity];
        this.capacity = initialCapacity;
    }

    /**
     * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
     * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
     */
    private void enlarge(final int size) {
        if (size <= 0) {
            throw new IllegalArgumentException(""Size must be greater than 0"");
        }

        int newCapacity = capacity + size;
        byte[] newData = Arrays.copyOf(data, newCapacity);
        data = newData;
        capacity = newCapacity;
    }

    // Other methods of the ByteVector class...
}"
636767821a6d9265ec0183a0,"/** 
 * Delete's the specified file if it exists 
 */

protected static void deleteFile(String fileName)",Delete the given file if it exists,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Elimina il file specificato se esiste 
 */

protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}","/** 
 * Elimina il file specificato se esiste 
 */

protected static void deleteFile(String fileName)",,"import java.io.File;

public class FileDeleter {

    /**
     * Elimina il file specificato se esiste
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""File eliminato con successo: "" + fileName);
            } else {
                System.out.println(""Impossibile eliminare il file: "" + fileName);
            }
        } else {
            System.out.println(""Il file non esiste: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Esempio di utilizzo
        deleteFile(""example.txt"");
    }
}"
