id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"import java.util.Arrays;

public class TrimArray {
    /** 
     * दिए गए String array के तत्वों को ट्रिम करें, प्रत्येक पर <code>String.trim()</code> कॉल करते हुए।
     * @param array मूल String array
     * @return परिणामस्वरूप array (उसी आकार का) जिसमें ट्रिम किए गए तत्व हैं
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        return Arrays.stream(array)
                     .map(String::trim)
                     .toArray(String[]::new);
    }

    public static void main(String[] args) {
        String[] input = {""  Hello  "", ""  World  "", ""  Java  ""};
        String[] trimmed = trimArrayElements(input);
        System.out.println(Arrays.toString(trimmed)); // Output: [Hello, World, Java]
    }
}",english,english,none,
6367670b1a6d9265ec017a00,"public class ArrayLengthChecker {

    /** 
     * <p>जांचता है कि क्या दो ऐरे की लंबाई समान है, <code>null</code> ऐरे को लंबाई <code>0</code> के रूप में मानते हुए।</p>
     * @param array1 पहला ऐरे, <code>null</code> हो सकता है
     * @param array2 दूसरा ऐरे, <code>null</code> हो सकता है
     * @return <code>true</code> यदि ऐरे की लंबाई मेल खाती है, <code>null</code> को एक खाली ऐरे के रूप में मानते हुए
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        byte[] array1 = {1, 2, 3};
        byte[] array2 = {4, 5, 6};
        byte[] array3 = null;

        System.out.println(isSameLength(array1, array2)); // true
        System.out.println(isSameLength(array1, array3)); // false
        System.out.println(isSameLength(array3, array3)); // true
    }
}",english,english,none,
636766a91a6d9265ec0175c2,"import java.util.Stack;

public class OutputFrameStack {
    private Stack<Integer> stack;

    public OutputFrameStack() {
        stack = new Stack<>();
    }

    /**
     * आउटपुट फ्रेम स्टैक से एक अमूर्त प्रकार को पॉप करता है और इसका मान लौटाता है।
     * @return वह अमूर्त प्रकार जो आउटपुट फ्रेम स्टैक से पॉप किया गया है।
     */
    private int pop() {
        if (stack.isEmpty()) {
            throw new IllegalStateException(""Stack is empty"");
        }
        return stack.pop();
    }

    // Method to push an element onto the stack for testing purposes
    public void push(int value) {
        stack.push(value);
    }

    // Main method for testing
    public static void main(String[] args) {
        OutputFrameStack outputFrameStack = new OutputFrameStack();
        outputFrameStack.push(10);
        outputFrameStack.push(20);
        System.out.println(outputFrameStack.pop()); // Should print 20
        System.out.println(outputFrameStack.pop()); // Should print 10
    }
}",english,english,english,
636767081a6d9265ec017989,"import java.util.Objects;

public class BooleanArrayConverter {
    
    /** 
     * <p>एक ऑब्जेक्ट बूलियन के ऐरे को प्राइमिटिव में परिवर्तित करता है।</p> 
     * <p>यह विधि <code>null</code> इनपुट ऐरे के लिए <code>null</code> लौटाती है।</p>
     * @param array  एक <code>Boolean</code> ऐरे, यह <code>null</code> हो सकता है
     * @return एक <code>boolean</code> ऐरे, यदि इनपुट ऐरे <code>null</code> है तो <code>null</code>
     * @throws NullPointerException यदि ऐरे की सामग्री <code>null</code> है
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] primitiveArray = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] == null) {
                throw new NullPointerException(""Array element at index "" + i + "" is null"");
            }
            primitiveArray[i] = array[i];
        }
        return primitiveArray;
    }
}",none,english,english,
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

public class MessagePrinter {
    private Map<String, Integer> messageTimestamps;

    public MessagePrinter() {
        messageTimestamps = new HashMap<>();
    }

    /**
     * यदि संदेश को दिए गए टाइमस्टैम्प में प्रिंट किया जाना चाहिए, तो true लौटाता है, अन्यथा false लौटाता है। 
     * यदि यह विधि false लौटाती है, तो संदेश प्रिंट नहीं किया जाएगा। 
     * टाइमस्टैम्प सेकंड की ग्रैन्युलैरिटी में है। 
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (!messageTimestamps.containsKey(message)) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        int lastTimestamp = messageTimestamps.get(message);
        if (timestamp - lastTimestamp >= 10) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        return false;
    }

    public static void main(String[] args) {
        MessagePrinter printer = new MessagePrinter();
        System.out.println(printer.shouldPrintMessage(1, ""Hello"")); // true
        System.out.println(printer.shouldPrintMessage(2, ""Hello"")); // false
        System.out.println(printer.shouldPrintMessage(11, ""Hello"")); // true
    }
}",english,english,english,
636766f81a6d9265ec01775c,"public class ObjectUtils {

    /** 
     * <p>एक <code>Object</code> का <code>toString</code> प्राप्त करता है, यदि <code>null</code> इनपुट हो तो खाली स्ट्रिंग ("""") लौटाता है।</p> 
     * <pre> 
     * ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  वह Object जिसे <code>toString</code> किया जाना है, यह null हो सकता है
     * @return पास किए गए Object का toString, या nullStr यदि <code>null</code> इनपुट हो
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : String.valueOf(obj);
    }

    public static void main(String[] args) {
        System.out.println(toString(null));          // Output: """"
        System.out.println(toString(""""));            // Output: """"
        System.out.println(toString(""bat""));         // Output: ""bat""
        System.out.println(toString(Boolean.TRUE));  // Output: ""true""
    }
}",english,english,none,
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;

public class Utf8Decoder {

    /** 
     * UTF-8 डिकोडिंग का उपयोग करके ऑक्टेट्स को कैरेक्टर में डिकोड करता है और कैरेक्टर को एक StringBuffer में जोड़ता है।
     * @return स्ट्रिंग में डिकोड करने के लिए अगले अनचेक किए गए कैरेक्टर का इंडेक्स
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        while (i < bb.limit()) {
            int b = bb.get(i) & 0xFF; // Get the byte and convert to unsigned
            if (b < 0x80) { // 1-byte character
                sb.append((char) b);
                i++;
            } else if (b < 0xE0) { // 2-byte character
                if (i + 1 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                if ((b2 & 0xC0) != 0x80) break; // Invalid continuation byte
                sb.append((char) (((b & 0x1F) << 6) | (b2 & 0x3F)));
                i += 2;
            } else if (b < 0xF0) { // 3-byte character
                if (i + 2 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                int b3 = bb.get(i + 2) & 0xFF;
                if ((b2 & 0xC0) != 0x80 || (b3 & 0xC0) != 0x80) break; // Invalid continuation bytes
                sb.append((char) (((b & 0x0F) << 12) | ((b2 & 0x3F) << 6) | (b3 & 0x3F)));
                i += 3;
            } else { // 4-byte character
                if (i + 3 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                int b3 = bb.get(i + 2) & 0xFF;
                int b4 = bb.get(i + 3) & 0xFF;
                if ((b2 & 0xC0) != 0x80 || (b3 & 0xC0) != 0x80 || (b4 & 0xC0) != 0x80) break; // Invalid continuation bytes
                int codePoint = ((b & 0x07) << 18) | ((b2 & 0x3F) << 12) | ((b3 & 0x3F) << 6) | (b4 & 0x3F);
                sb.append(Character.toChars(codePoint));
                i += 4;
            }
        }
        return i; // Return the index of the next unchecked character
    }
}",english,english,none,
636766aa1a6d9265ec0175ce,"public class StackMapFrameVisitor {
    private int currentFrame;

    /**
     * एक नए स्टैक मैप फ्रेम की यात्रा शुरू करता है, जो {@link #currentFrame} में संग्रहीत है।
     * @param offset   उस निर्देश का बाइटकोड ऑफसेट, जिसके लिए फ्रेम संबंधित है।
     * @param numLocal फ्रेम में स्थानीय चर की संख्या।
     * @param numStack फ्रेम में स्टैक तत्वों की संख्या।
     * @return इस फ्रेम में लिखे जाने वाले अगले तत्व का अनुक्रमांक।
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Logic to handle the start of a new stack map frame
        // For demonstration, we will just update the currentFrame and return the next index
        currentFrame = offset + numLocal + numStack; // Example logic
        return currentFrame;
    }

    public static void main(String[] args) {
        StackMapFrameVisitor visitor = new StackMapFrameVisitor();
        int nextIndex = visitor.visitFrameStart(10, 2, 3);
        System.out.println(""Next index to write: "" + nextIndex);
    }
}",english,english,none,
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int currentSize;

    public ByteVector(int initialCapacity) {
        data = new byte[initialCapacity];
        currentSize = 0;
    }

    /**
     * इस बाइट वेक्टर को बड़ा करता है ताकि यह 'size' और बाइट्स प्राप्त कर सके।
     * @param size अतिरिक्त बाइट्स की संख्या जो इस बाइट वेक्टर को प्राप्त करनी चाहिए।
     */
    private void enlarge(final int size) {
        int newSize = currentSize + size;
        data = Arrays.copyOf(data, newSize);
    }

    // Additional methods for demonstration purposes
    public void add(byte b) {
        if (currentSize == data.length) {
            enlarge(1);
        }
        data[currentSize++] = b;
    }

    public byte get(int index) {
        if (index < 0 || index >= currentSize) {
            throw new IndexOutOfBoundsException(""Index: "" + index + "", Size: "" + currentSize);
        }
        return data[index];
    }

    public int size() {
        return currentSize;
    }
}",english,english,none,
636767821a6d9265ec0183a0,"import java.io.File;

public class FileUtils {

    /** 
     * यदि निर्दिष्ट फ़ाइल मौजूद है, तो उसे हटाएं 
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""File deleted successfully: "" + fileName);
            } else {
                System.out.println(""Failed to delete the file: "" + fileName);
            }
        } else {
            System.out.println(""File does not exist: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Example usage
        deleteFile(""example.txt"");
    }
}",english,english,english,
