id,prompt,summary,code,generated_code,generated_code_3
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
""""""
Hydrator for `Time` and `LocalTime` values.

:param nanoseconds:
:param tz:
:return: Time
""""""",Convert nanoseconds to a time in fixed format.,"def hydrate_time(nanoseconds, tz=None):
","def hydrate_time(nanoseconds, tz=None):
    """"""
    Hydrator for `Time` and `LocalTime` values.

    :param nanoseconds:
    :param tz:
    :return: Time
    """"""
    from datetime import time, timezone, timedelta

    # Calculate hours, minutes, seconds and microseconds from nanoseconds
    total_seconds = nanoseconds // 1_000_000_000
    remaining_nanos = nanoseconds % 1_000_000_000
    
    hours = int(total_seconds // 3600)
    minutes = int((total_seconds % 3600) // 60)
    seconds = int(total_seconds % 60)
    microseconds = int(remaining_nanos // 1000)

    # Handle timezone if provided
    if tz is not None:
        # Convert timezone offset to timedelta
        if isinstance(tz, int):
            tz = timezone(timedelta(seconds=tz))
        elif isinstance(tz, str):
            # Parse timezone string (assuming format like '+HH:MM' or '-HH:MM')
            sign = 1 if tz[0] == '+' else -1
            hours_offset = int(tz[1:3])
            minutes_offset = int(tz[4:6]) if len(tz) > 4 else 0
            tz = timezone(timedelta(hours=sign * hours_offset, 
                                  minutes=sign * minutes_offset))

    # Create and return time object
    return time(hour=hours % 24, 
               minute=minutes,
               second=seconds,
               microsecond=microseconds,
               tzinfo=tz)",
62e60f3bd76274f8a4026e10,"def dehydrate_timedelta(value):
""""""
Dehydrator for `timedelta` values.

:param value:
:type value: timedelta
:return:
""""""",Use the value in timedelta to generate the Structure class.,"def dehydrate_timedelta(value):
","def dehydrate_timedelta(value):
    """"""
    Dehydrator for `timedelta` values.

    :param value:
    :type value: timedelta 
    :return:
    """"""
    if value is None:
        return None
        
    # Convert timedelta to total seconds
    total_seconds = int(value.total_seconds())
    
    # Return string representation in format ""HH:MM:SS""
    hours = total_seconds // 3600
    minutes = (total_seconds % 3600) // 60
    seconds = total_seconds % 60
    
    return f""{hours:02d}:{minutes:02d}:{seconds:02d}""",
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
""""""
Dehydrator for `time` values.

:param value:
:type value: Time
:return:
""""""",Use ticks in the Time class to generate the Structure class.,"def dehydrate_time(value):
","def dehydrate_time(value):
    """"""
    Dehydrator for `time` values.

    :param value:
    :type value: Time 
    :return:
    """"""
    if not value:
        return None
        
    return value.strftime('%H:%M:%S')",
62e60f33d76274f8a4026de9,"def dehydrate_point(value):
""""""
Dehydrator for Point data.

:param value:
:type value: Point
:return:
""""""",The structure class is generated based on the value length.,"def dehydrate_point(value):
","def dehydrate_point(value):
    """"""
    Dehydrator for Point data.
    
    :param value: Point object to dehydrate
    :type value: Point 
    :return: Dictionary containing point coordinates
    """"""
    if value is None:
        return None
        
    return {
        'x': value.x,
        'y': value.y
    }",
62e60ed4d76274f8a4026da0,"def keys(self):
""""""
Return the keys of the record.

:return: list of key names
""""""",Returns the __keys property of a class as a List,"def keys(self):
","def keys(self):
    """"""
    Return the keys of the record.
    
    :return: list of key names
    """"""
    return list(self.__dict__.keys())",
62e60ecfd76274f8a4026d6a,"def protocol_handlers(cls, protocol_version=None):
""""""
Return a dictionary of available Bolt protocol handlers,
keyed by version tuple. If an explicit protocol version is
provided, the dictionary will contain either zero or one items,
depending on whether that version is supported. If no protocol
version is provided, all available versions will be returned.

:param protocol_version: tuple identifying a specific protocol
    version (e.g. (3, 5)) or None
:return: dictionary of version tuple to handler class for all
    relevant and supported protocol versions
:raise TypeError: if protocol version is not passed in a tuple
""""""",Different forms of Bolt protocol handlers are returned based on the value of protocol_version.,"def protocol_handlers(cls, protocol_version=None):
","def protocol_handlers(cls, protocol_version=None):
    """"""
    Return a dictionary of available Bolt protocol handlers,
    keyed by version tuple. If an explicit protocol version is
    provided, the dictionary will contain either zero or one items,
    depending on whether that version is supported. If no protocol
    version is provided, all available versions will be returned.

    :param protocol_version: tuple identifying a specific protocol
        version (e.g. (3, 5)) or None
    :return: dictionary of version tuple to handler class for all
        relevant and supported protocol versions
    :raise TypeError: if protocol version is not passed in a tuple
    """"""
    # Dictionary mapping protocol versions to their handler classes
    handlers = {
        (3, 0): BoltProtocolV3,
        (4, 0): BoltProtocolV4,
        (4, 1): BoltProtocolV4_1,
        (4, 2): BoltProtocolV4_2,
        (4, 3): BoltProtocolV4_3,
        (4, 4): BoltProtocolV4_4,
        (5, 0): BoltProtocolV5,
        (5, 1): BoltProtocolV5_1
    }

    if protocol_version is None:
        return handlers

    if not isinstance(protocol_version, tuple):
        raise TypeError(""Protocol version must be specified as a tuple"")

    return {k: v for k, v in handlers.items() if k == protocol_version}",
62e60e49d76274f8a4026d25,"def unit_of_work(metadata=None, timeout=None):
""""""
This function is a decorator for transaction functions that allows extra control over how the transaction is carried out.

For example, a timeout may be applied::

    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadata:
    a dictionary with metadata.
    Specified metadata will be attached to the executing transaction and visible in the output of ``dbms.listQueries`` and ``dbms.listTransactions`` procedures.
    It will also get logged to the ``query.log``.
    This functionality makes it easier to tag transactions and is equivalent to ``dbms.setTXMetaData`` procedure, see https://neo4j.com/docs/operations-manual/current/reference/procedures/ for procedure reference.
:type metadata: dict

:param timeout:
    the transaction timeout in seconds.
    Transactions that execute longer than the configured timeout will be terminated by the database.
    This functionality allows to limit query/transaction execution time.
    Specified timeout overrides the default timeout configured in the database using ``dbms.transaction.timeout`` setting.
    Value should not represent a negative duration.
    A zero duration will make the transaction execute indefinitely.
    None will use the default timeout configured in the database.
:type timeout: float or :const:`None`
""""""",Returns a decorator with metadata and timeout attributes.,"def unit_of_work(metadata=None, timeout=None):
","def unit_of_work(metadata=None, timeout=None):
    def decorator(f):
        def wrapper(*args, **kwargs):
            # Store the metadata and timeout as attributes on the wrapped function
            wrapper.metadata = metadata
            wrapper.timeout = timeout
            return f(*args, **kwargs)
        
        # Copy over function metadata
        wrapper.__name__ = f.__name__
        wrapper.__doc__ = f.__doc__
        
        return wrapper
        
    # Handle case where decorator is used without parameters
    if callable(metadata):
        f = metadata
        metadata = None
        return decorator(f)
        
    return decorator",
62e60e05d76274f8a4026cfd,"def index(self, key):
""""""
Return the index of the given item.

:param key: a key
:return: index
:rtype: int
""""""",Returns the key in the form of int.,"def index(self, key):
","def index(self, key):
    """"""
    Return the index of the given item.
    
    :param key: a key
    :return: index 
    :rtype: int
    """"""
    for i in range(len(self)):
        if self[i] == key:
            return i
    raise ValueError(f""{key} is not in sequence"")",
62e60da4d76274f8a4026cf1,"def values(self, *keys):
""""""
Return the values of the record, optionally filtering to
include only certain values by index or key.

:param keys: indexes or keys of the items to include; if none
             are provided, all values will be included
:return: list of values
:rtype: list
""""""",Returns the key filtered by self.index in the form of a list.,"def values(self, *keys):
","def values(self, *keys):
    """"""
    Return the values of the record, optionally filtering to
    include only certain values by index or key.

    :param keys: indexes or keys of the items to include; if none
                 are provided, all values will be included
    :return: list of values
    :rtype: list
    """"""
    if not keys:
        # If no keys specified, return all values
        return list(self._values)
    
    result = []
    for key in keys:
        if isinstance(key, int):
            # If key is integer index
            result.append(self._values[key])
        else:
            # If key is string/field name
            try:
                index = self._fields.index(key)
                result.append(self._values[index])
            except ValueError:
                raise KeyError(f""Field '{key}' not found"")
    
    return result",
62e60b10d76274f8a4026ccd,"def data(self, *keys):
""""""
Return the keys and values of this record as a dictionary,
optionally including only certain values by index or key. Keys
provided in the items that are not in the record will be
inserted with a value of :const:`None`; indexes provided
that are out of bounds will trigger an :exc:`IndexError`.

:param keys: indexes or keys of the items to include; if none
              are provided, all values will be included
:return: dictionary of values, keyed by field name
:raises: :exc:`IndexError` if an out-of-bounds index is specified
""""""",Returns the keys processed by the transform method of the RecordExporter class.,"def data(self, *keys):
","def data(self, *keys):
    """"""
    Return the keys and values of this record as a dictionary,
    optionally including only certain values by index or key. Keys
    provided in the items that are not in the record will be
    inserted with a value of :const:`None`; indexes provided
    that are out of bounds will trigger an :exc:`IndexError`.

    :param keys: indexes or keys of the items to include; if none
                  are provided, all values will be included
    :return: dictionary of values, keyed by field name
    :raises: :exc:`IndexError` if an out-of-bounds index is specified
    """"""
    if not keys:
        # If no keys specified, return all items
        return dict(zip(self._keys, self._values))
    
    result = {}
    for key in keys:
        if isinstance(key, int):
            # Handle index access
            if key < 0:
                key = len(self._keys) + key
            if key >= len(self._keys) or key < 0:
                raise IndexError(f""Index {key} is out of bounds"")
            result[self._keys[key]] = self._values[key]
        else:
            # Handle key access
            try:
                index = self._keys.index(key)
                result[key] = self._values[index]
            except ValueError:
                # Key not found, set value to None
                result[key] = None
                
    return result",
