id,prompt,summary,code,translation,correction,correction_tag,generated_code
6367676d1a6d9265ec018229,"/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */
",Trim each element in the given string array and return the resulting array.,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * दिए गए String array के तत्वों को ट्रिम करें, प्रत्येक पर <code>String.trim()</code> कॉल करते हुए।
 * @param array मूल String array
 * @return परिणामस्वरूप array (उसी आकार का) जिसमें ट्रिम किए गए तत्व हैं
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}","/** 
 * दिए गए String array के तत्वों को ट्रिम करें, प्रत्येक पर <code>String.trim()</code> कॉल करते हुए।
 * @param array मूल String array
 * @return परिणामस्वरूप array (उसी आकार का) जिसमें ट्रिम किए गए तत्व हैं
 */

public static String[] trimArrayElements(String[] array)
",Formatting,"import java.util.Objects;

public class StringArrayTrimmer {
    
    public static String[] trimElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] result = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = Objects.nonNull(array[i]) ? array[i].trim() : null;
        }
        return result;
    }
}"
6367670b1a6d9265ec017a00,"/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */


",Check whether the length of the given two byte arrays is the same.,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>जांचता है कि क्या दो ऐरे की लंबाई समान है, <code>null</code> ऐरे को लंबाई <code>0</code> के रूप में मानते हुए।</p>
 * @param array1 पहला ऐरे, <code>null</code> हो सकता है
 * @param array2 दूसरा ऐरे, <code>null</code> हो सकता है
 * @return <code>true</code> यदि ऐरे की लंबाई मेल खाती है, <code>null</code> को एक खाली ऐरे के रूप में मानते हुए
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2) {
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}","/** 
 * <p>जांचता है कि क्या दो ऐरे की लंबाई समान है, <code>null</code> ऐरे को लंबाई <code>0</code> के रूप में मानते हुए।</p>
 * @param array1 पहला ऐरे, <code>null</code> हो सकता है
 * @param array2 दूसरा ऐरे, <code>null</code> हो सकता है
 * @return <code>true</code> यदि ऐरे की लंबाई मेल खाती है, <code>null</code> को एक खाली ऐरे के रूप में मानते हुए
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2)",,"package org.apache.commons.lang3;

public class ArrayUtils {
    /**
     * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
     * @param array1 the first array, may be <code>null</code>
     * @param array2 the second array, may be <code>null</code>
     * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
     */
    public static boolean isSameLength(final Object[] array1, final Object[] array2) {
        if (array1 == null && array2 == null) {
            return true;
        }
        if (array1 == null) {
            return array2.length == 0;
        }
        if (array2 == null) {
            return array1.length == 0;
        }
        return array1.length == array2.length;
    }
}"
636766a91a6d9265ec0175c2,"/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */


",Pop an abstract type from the output frame stack and return its value.,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/** 
 * आउटपुट फ्रेम स्टैक से एक अमूर्त प्रकार को पॉप करता है और इसका मान लौटाता है।
 * @return वह अमूर्त प्रकार जो आउटपुट फ्रेम स्टैक से पॉप किया गया है।
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}","/** 
 * आउटपुट फ्रेम स्टैक से एक अमूर्त प्रकार को पॉप करता है और इसका मान लौटाता है।
 * @return वह अमूर्त प्रकार जो आउटपुट फ्रेम स्टैक से पॉप किया गया है।
 */

private int pop()",,"import java.util.Stack;

public class FrameStack {
    private Stack<AbstractType> outputFrameStack;

    public FrameStack() {
        outputFrameStack = new Stack<>();
    }

    public AbstractType pop() {
        if (outputFrameStack.isEmpty()) {
            throw new IllegalStateException(""Output frame stack is empty"");
        }
        return outputFrameStack.pop();
    }
}

// Abstract type class for type safety
abstract class AbstractType {
    // Base class for abstract types
}"
636767081a6d9265ec017989,"/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */

","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>एक ऑब्जेक्ट बूलियन के ऐरे को प्राइमिटिव में परिवर्तित करता है।</p> 
 * <p>यह विधि <code>null</code> इनपुट ऐरे के लिए <code>null</code> लौटाती है।</p>
 * @param array  एक <code>Boolean</code> ऐरे, यह <code>null</code> हो सकता है
 * @return एक <code>boolean</code> ऐरे, यदि इनपुट ऐरे <code>null</code> है तो <code>null</code>
 * @throws NullPointerException यदि ऐरे की सामग्री <code>null</code> है
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
  else if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result = new boolean[array.length];
  for (int i = 0; i < array.length; i++) {
    result[i] = array[i].booleanValue();
  }
  return result;
}","/** 
 * <p>एक ऑब्जेक्ट बूलियन के ऐरे को प्राइमिटिव में परिवर्तित करता है।</p> 
 * <p>यह विधि <code>null</code> इनपुट ऐरे के लिए <code>null</code> लौटाती है।</p>
 * @param array  एक <code>Boolean</code> ऐरे, यह <code>null</code> हो सकता है
 * @return एक <code>boolean</code> ऐरे, यदि इनपुट ऐरे <code>null</code> है तो <code>null</code>
 * @throws NullPointerException यदि ऐरे की सामग्री <code>null</code> है
 */

public static boolean[] toPrimitive(final Boolean[] array)",,"package org.apache.commons.lang3;

public class BooleanUtils {
    /**
     * <p>Converts an array of object Booleans to primitives.</p>
     * <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
     * 
     * @param array  a <code>Boolean</code> array, may be <code>null</code>
     * @return a <code>boolean</code> array, <code>null</code> if null array input
     * @throws NullPointerException if array content is <code>null</code>
     */
    public static boolean[] toPrimitive(Boolean[] array) {
        if (array == null) {
            return null;
        }

        boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i].booleanValue();
        }
        return result;
    }
}"
6367672d1a6d9265ec017c73,"/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */

"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * यदि संदेश को दिए गए टाइमस्टैम्प में प्रिंट किया जाना चाहिए, तो true लौटाता है, अन्यथा false लौटाता है। यदि यह विधि false लौटाती है, तो संदेश प्रिंट नहीं किया जाएगा। टाइमस्टैम्प सेकंड की ग्रैन्युलैरिटी में है। 
 */

public boolean shouldPrintMessage(int timestamp, String message) {
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message, timestamp);
      return true;
    } else {
      return false;
    }
  } else {
    messages.put(message, timestamp);
    return true;
  }
}","/** 
 * यदि संदेश को दिए गए टाइमस्टैम्प में प्रिंट किया जाना चाहिए, तो true लौटाता है, अन्यथा false लौटाता है। यदि यह विधि false लौटाती है, तो संदेश प्रिंट नहीं किया जाएगा। टाइमस्टैम्प सेकंड की ग्रैन्युलैरिटी में है। 
 */

public boolean shouldPrintMessage(int timestamp, String message)",,"class Logger {
    private Map<String, Integer> messageMap;
    private static final int RATE_LIMIT = 10; // 10 seconds

    public Logger() {
        messageMap = new HashMap<>();
    }
    
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (!messageMap.containsKey(message)) {
            messageMap.put(message, timestamp);
            return true;
        }
        
        int lastPrinted = messageMap.get(message);
        if (timestamp - lastPrinted >= RATE_LIMIT) {
            messageMap.put(message, timestamp);
            return true;
        }
        
        return false;
    }
}"
636766f81a6d9265ec01775c,"/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */

","Return the string representation of the given object, return an empty string if the object is null.","public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>एक <code>Object</code> का <code>toString</code> प्राप्त करता है, यदि <code>null</code> इनपुट हो तो खाली स्ट्रिंग ("""") लौटाता है।</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  वह Object जिसे <code>toString</code> किया जाना है, यह null हो सकता है
 * @return पास किए गए Object का toString, या nullStr यदि <code>null</code> इनपुट हो
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}","/** 
 * <p>एक <code>Object</code> का <code>toString</code> प्राप्त करता है, यदि <code>null</code> इनपुट हो तो खाली स्ट्रिंग ("""") लौटाता है।</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  वह Object जिसे <code>toString</code> किया जाना है, यह null हो सकता है
 * @return पास किए गए Object का toString, या nullStr यदि <code>null</code> इनपुट हो
 * @since 2.0
 */

public static String toString(Object obj)",,"package org.apache.commons.lang3;

public class ObjectUtils {
    /**
     * <p>Gets the <code>toString</code> of an <code>Object</code> returning
     * an empty string ("""") if <code>null</code> input.</p>
     *
     * <pre>
     * ObjectUtils.toString(null)         = """"
     * ObjectUtils.toString("""")           = """"
     * ObjectUtils.toString(""bat"")        = ""bat""
     * ObjectUtils.toString(Boolean.TRUE) = ""true""
     * </pre>
     *
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  the Object to <code>toString</code>, may be null
     * @return the passed in Object's toString, or nullStr if <code>null</code> input
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }
}"
6367667f1a6d9265ec017457,"/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */

","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","```java
/** 
 * UTF-8 डिकोडिंग का उपयोग करके ऑक्टेट्स को कैरेक्टर में डिकोड करता है और कैरेक्टर को एक StringBuffer में जोड़ता है।
 * @return स्ट्रिंग में डिकोड करने के लिए अगले अनचेक किए गए कैरेक्टर का इंडेक्स
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  } else {
    CharBuffer cb = UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
```","
/** 
 * UTF-8 डिकोडिंग का उपयोग करके ऑक्टेट्स को कैरेक्टर में डिकोड करता है और कैरेक्टर को एक StringBuffer में जोड़ता है।
 * @return स्ट्रिंग में डिकोड करने के लिए अगले अनचेक किए गए कैरेक्टर का इंडेक्स
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb)",Formatting,"import java.nio.charset.StandardCharsets;

public class UTF8Decoder {
    
    /**
     * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
     * @param bytes The byte array containing UTF-8 encoded data
     * @param offset The starting offset in the byte array
     * @param length The number of bytes to decode
     * @param buffer The StringBuffer to append decoded characters to
     * @return the index to the next unchecked character in the string to decode
     */
    public static int decodeUTF8(byte[] bytes, int offset, int length, StringBuffer buffer) {
        int end = offset + length;
        int i = offset;
        
        while (i < end) {
            int byte1 = bytes[i] & 0xFF;
            
            if (byte1 <= 0x7F) {
                // Single byte character
                buffer.append((char)byte1);
                i++;
            }
            else if ((byte1 & 0xE0) == 0xC0) {
                // Two byte character
                if (i + 1 >= end) break;
                int byte2 = bytes[i + 1] & 0xFF;
                if ((byte2 & 0xC0) != 0x80) break;
                
                int codePoint = ((byte1 & 0x1F) << 6) | (byte2 & 0x3F);
                buffer.append((char)codePoint);
                i += 2;
            }
            else if ((byte1 & 0xF0) == 0xE0) {
                // Three byte character
                if (i + 2 >= end) break;
                int byte2 = bytes[i + 1] & 0xFF;
                int byte3 = bytes[i + 2] & 0xFF;
                if ((byte2 & 0xC0) != 0x80 || (byte3 & 0xC0) != 0x80) break;
                
                int codePoint = ((byte1 & 0x0F) << 12) | ((byte2 & 0x3F) << 6) | (byte3 & 0x3F);
                buffer.append((char)codePoint);
                i += 3;
            }
            else if ((byte1 & 0xF8) == 0xF0) {
                // Four byte character
                if (i + 3 >= end) break;
                int byte2 = bytes[i + 1] & 0xFF;
                int byte3 = bytes[i + 2] & 0xFF;
                int byte4 = bytes[i + 3] & 0xFF;
                if ((byte2 & 0xC0) != 0x80 || (byte3 & 0xC0) != 0x80 || (byte4 & 0xC0) != 0x80) break;
                
                int codePoint = ((byte1 & 0x07) << 18) | ((byte2 & 0x3F) << 12) | 
                               ((byte3 & 0x3F) << 6) | (byte4 & 0x3F);
                buffer.append(Character.highSurrogate(codePoint));
                buffer.append(Character.lowSurrogate(codePoint));
                i += 4;
            }
            else {
                // Invalid UTF-8 byte
                break;
            }
        }
        
        return i;
    }
}"
636766aa1a6d9265ec0175ce,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */

","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * एक नए स्टैक मैप फ्रेम की यात्रा शुरू करता है, जो {@link #currentFrame} में संग्रहीत है।
 * @param offset   उस निर्देश का बाइटकोड ऑफसेट, जिसके लिए फ्रेम संबंधित है।
 * @param numLocal फ्रेम में स्थानीय चर की संख्या।
 * @param numStack फ्रेम में स्टैक तत्वों की संख्या।
 * @return इस फ्रेम में लिखे जाने वाले अगले तत्व का अनुक्रमांक।
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack) {
  int frameLength = 3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame = new int[frameLength];
  }
  currentFrame[0] = offset;
  currentFrame[1] = numLocal;
  currentFrame[2] = numStack;
  return 3;
}","/** 
 * एक नए स्टैक मैप फ्रेम की यात्रा शुरू करता है, जो {@link #currentFrame} में संग्रहीत है।
 * @param offset   उस निर्देश का बाइटकोड ऑफसेट, जिसके लिए फ्रेम संबंधित है।
 * @param numLocal फ्रेम में स्थानीय चर की संख्या।
 * @param numStack फ्रेम में स्टैक तत्वों की संख्या।
 * @return इस फ्रेम में लिखे जाने वाले अगले तत्व का अनुक्रमांक।
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack)",,"import java.util.ArrayList;
import java.util.List;

public class StackMapFrameVisitor {
    private Frame currentFrame;
    private List<Frame> frames;
    
    public StackMapFrameVisitor() {
        frames = new ArrayList<>();
    }
    
    protected int startFrame(final int offset, final int numLocal, final int numStack) {
        currentFrame = new Frame(offset, numLocal, numStack);
        frames.add(currentFrame);
        return 0;
    }
    
    // Helper Frame class to store frame data
    private static class Frame {
        private int offset;
        private int numLocal;
        private int numStack;
        
        public Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal; 
            this.numStack = numStack;
        }
    }
}"
636767191a6d9265ec017c0f,"/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */

","Enlarge the byte vector data, by increasing it by the given size.","private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/**
 * इस बाइट वेक्टर को बड़ा करता है ताकि यह 'size' और बाइट्स प्राप्त कर सके।
 * @param size अतिरिक्त बाइट्स की संख्या जो इस बाइट वेक्टर को प्राप्त करनी चाहिए।
 */

private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}","/**
 * इस बाइट वेक्टर को बड़ा करता है ताकि यह 'size' और बाइट्स प्राप्त कर सके।
 * @param size अतिरिक्त बाइट्स की संख्या जो इस बाइट वेक्टर को प्राप्त करनी चाहिए।
 */

private void enlarge(final int size)",,"import java.util.Arrays;

public class ByteVector {
    private byte[] buffer;
    private int size;
    private static final int DEFAULT_CAPACITY = 64;

    public ByteVector() {
        buffer = new byte[DEFAULT_CAPACITY];
        size = 0;
    }

    public void enlarge(final int size) {
        if (size <= 0) {
            return;
        }
        
        int currentCapacity = buffer.length;
        int requiredCapacity = this.size + size;
        
        if (requiredCapacity > currentCapacity) {
            int newCapacity = Math.max(currentCapacity * 2, requiredCapacity);
            buffer = Arrays.copyOf(buffer, newCapacity);
        }
    }
}"
636767821a6d9265ec0183a0,"/** 
 * Delete's the specified file if it exists 
 */

",Delete the given file if it exists,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * यदि निर्दिष्ट फ़ाइल मौजूद है, तो उसे हटाएं 
 */

protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}","/** 
 * यदि निर्दिष्ट फ़ाइल मौजूद है, तो उसे हटाएं 
 */

protected static void deleteFile(String fileName)",,"import java.io.File;
import java.io.IOException;

public class FileDeleter {
    /**
     * Delete's the specified file if it exists
     * @param filePath The path to the file to delete
     * @return true if file was deleted successfully, false if file doesn't exist or couldn't be deleted
     */
    public boolean deleteFile(String filePath) {
        File fileToDelete = new File(filePath);
        if (fileToDelete.exists()) {
            return fileToDelete.delete();
        }
        return false;
    }
}"
