filename,error_ids,error_messages,count
./Data/generation/python_chinese_gpt/iter_3/files/62b43425903eeb48555d3ea1.py,D100 ; E302 ; D400 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; First line should end with a period ; no newline at end of file",4
./Data/generation/python_chinese_gpt/iter_3/files/62b43426903eeb48555d3ea2.py,D100 ; F821 ; D400 ; F821 ; W292,Missing docstring in public module ; undefined name '_converting' ; First line should end with a period ; undefined name '_converting' ; no newline at end of file,5
./Data/generation/python_chinese_gpt/iter_3/files/62b43427903eeb48555d3ea5.py,D100 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; D400 ; E501 ; E501 ; W292,Missing docstring in public module ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; First line should end with a period ; line too long (285 > 79 characters) ; line too long (91 > 79 characters) ; no newline at end of file,20
./Data/generation/python_chinese_gpt/iter_3/files/62b43428903eeb48555d3eaa.py,D100 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; F821 ; D400 ; E501 ; W293 ; W292,Missing docstring in public module ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Iterable' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Iterable' ; line too long (98 > 79 characters) ; undefined name 'Sequence' ; undefined name 'Any' ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'List' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'List' ; undefined name 'Sequence' ; line too long (89 > 79 characters) ; undefined name 'Any' ; First line should end with a period ; line too long (290 > 79 characters) ; blank line contains whitespace ; no newline at end of file,26
./Data/generation/python_chinese_gpt/iter_3/files/62b438a266fea644fe22cc2c.py,D100 ; E302 ; D200 ; D400 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; One-line docstring should fit on one line with quotes ; First line should end with a period ; no newline at end of file",5
./Data/generation/python_chinese_gpt/iter_3/files/62b438a266fea644fe22cc2d.py,D100 ; D400 ; E501 ; E501 ; F401 ; E501 ; W292,Missing docstring in public module ; First line should end with a period ; line too long (110 > 79 characters) ; line too long (86 > 79 characters) ; 'argparse' imported but unused ; line too long (81 > 79 characters) ; no newline at end of file,7
./Data/generation/python_chinese_gpt/iter_3/files/62b438a266fea644fe22cc2e.py,D100 ; E302 ; D205 ; D400 ; E501 ; E501 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (83 > 79 characters) ; line too long (83 > 79 characters) ; no newline at end of file",7
./Data/generation/python_chinese_gpt/iter_3/files/62b438b566fea644fe22cc70.py,D100 ; D400 ; E501 ; E501 ; W292,Missing docstring in public module ; First line should end with a period ; line too long (82 > 79 characters) ; line too long (99 > 79 characters) ; no newline at end of file,5
./Data/generation/python_chinese_gpt/iter_3/files/62b438b666fea644fe22cc72.py,D100 ; D200 ; D400 ; E501 ; W292,Missing docstring in public module ; One-line docstring should fit on one line with quotes ; First line should end with a period ; line too long (89 > 79 characters) ; no newline at end of file,5
./Data/generation/python_chinese_gpt/iter_3/files/62b438b666fea644fe22cc78.py,D100 ; E302 ; D200 ; D400 ; W293 ; W293 ; W293 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; One-line docstring should fit on one line with quotes ; First line should end with a period ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file",8
./Data/generation/python_chinese_gpt/iter_3/files/62b438ba66fea644fe22cca2.py,CCR001 ; D100 ; D400 ; E501 ; E501 ; E501 ; E501 ; E501 ; E501 ; E501 ; E501 ; E501 ; W292,Cognitive complexity is too high (13 > 7) ; Missing docstring in public module ; First line should end with a period ; line too long (82 > 79 characters) ; line too long (83 > 79 characters) ; line too long (82 > 79 characters) ; line too long (82 > 79 characters) ; line too long (83 > 79 characters) ; line too long (82 > 79 characters) ; line too long (105 > 79 characters) ; line too long (90 > 79 characters) ; line too long (93 > 79 characters) ; no newline at end of file,13
./Data/generation/python_chinese_gpt/iter_3/files/62b45665d7d32e5b55cc8363.py,D100 ; E302 ; D400 ; W293 ; W293 ; E501 ; E501 ; W293 ; E501 ; E501 ; W293 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; First line should end with a period ; blank line contains whitespace ; blank line contains whitespace ; line too long (80 > 79 characters) ; line too long (82 > 79 characters) ; blank line contains whitespace ; line too long (80 > 79 characters) ; line too long (82 > 79 characters) ; blank line contains whitespace ; no newline at end of file",12
./Data/generation/python_chinese_gpt/iter_3/files/62b45665d7d32e5b55cc8364.py,D100 ; D400 ; E501 ; E501 ; F401 ; E501 ; W292,Missing docstring in public module ; First line should end with a period ; line too long (110 > 79 characters) ; line too long (86 > 79 characters) ; 'argparse' imported but unused ; line too long (81 > 79 characters) ; no newline at end of file,7
./Data/generation/python_chinese_gpt/iter_3/files/62b45665d7d32e5b55cc8365.py,D100 ; D400 ; E501 ; E501 ; E501 ; W292,Missing docstring in public module ; First line should end with a period ; line too long (86 > 79 characters) ; line too long (83 > 79 characters) ; line too long (83 > 79 characters) ; no newline at end of file,6
./Data/generation/python_chinese_gpt/iter_3/files/62b45679d7d32e5b55cc83a9.py,D100 ; D200 ; D400 ; E501 ; W292,Missing docstring in public module ; One-line docstring should fit on one line with quotes ; First line should end with a period ; line too long (89 > 79 characters) ; no newline at end of file,5
./Data/generation/python_chinese_gpt/iter_3/files/62b4567ad7d32e5b55cc83af.py,D100 ; E302 ; D200 ; D400 ; W293 ; W293 ; W293 ; W292,"Missing docstring in public module ; expected 2 blank lines, found 1 ; One-line docstring should fit on one line with quotes ; First line should end with a period ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file",8
./Data/generation/python_chinese_gpt/iter_3/files/62b4567ed7d32e5b55cc83d9.py,D100 ; D400 ; E501 ; E501 ; E501 ; E501 ; E501 ; E501 ; E501 ; E501 ; CCR001 ; E302 ; D401 ; F821 ; F821 ; E501 ; W292,"Missing docstring in public module ; First line should end with a period ; line too long (82 > 79 characters) ; line too long (83 > 79 characters) ; line too long (82 > 79 characters) ; line too long (82 > 79 characters) ; line too long (83 > 79 characters) ; line too long (82 > 79 characters) ; line too long (105 > 79 characters) ; line too long (93 > 79 characters) ; Cognitive complexity is too high (10 > 7) ; expected 2 blank lines, found 1 ; First line should be in imperative mood; try rephrasing ; undefined name 'MappingNode' ; undefined name 'MappingNode' ; line too long (90 > 79 characters) ; no newline at end of file",17
./Data/generation/python_chinese_gpt/iter_3/files/62b45b396decaeff903e1001.py,D100 ; D200 ; D400 ; D103 ; E302 ; W292,"Missing docstring in public module ; One-line docstring should fit on one line with quotes ; First line should end with a period ; Missing docstring in public function ; expected 2 blank lines, found 1 ; no newline at end of file",6
./Data/generation/python_chinese_gpt/iter_3/files/62b45df05108cfac7f2109ce.py,D100 ; D205 ; D400 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; no newline at end of file,4
./Data/generation/python_chinese_gpt/iter_3/files/62b45df15108cfac7f2109dc.py,D100 ; D205 ; D400 ; E501 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (92 > 79 characters) ; no newline at end of file,5
./Data/generation/python_chinese_gpt/iter_3/files/62b45df15108cfac7f2109dd.py,D100 ; D205 ; D400 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; no newline at end of file,4
./Data/generation/python_chinese_gpt/iter_3/files/62b45e135108cfac7f2109f4.py,D100 ; D205 ; D400 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; no newline at end of file,4
./Data/generation/python_chinese_gpt/iter_3/files/62b45e145108cfac7f210a07.py,D100 ; D205 ; D400 ; E501 ; D103 ; E302 ; W292,"Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (131 > 79 characters) ; Missing docstring in public function ; expected 2 blank lines, found 1 ; no newline at end of file",7
./Data/generation/python_chinese_gpt/iter_3/files/62b45e145108cfac7f210a09.py,D100 ; D200 ; D400 ; W293 ; W293 ; W292,Missing docstring in public module ; One-line docstring should fit on one line with quotes ; First line should end with a period ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,6
./Data/generation/python_chinese_gpt/iter_3/files/62b45e165108cfac7f210a16.py,D100 ; D400 ; E501 ; F821 ; E501 ; E501 ; E501 ; W292,Missing docstring in public module ; First line should end with a period ; line too long (102 > 79 characters) ; undefined name 'InventoryValidator' ; line too long (89 > 79 characters) ; line too long (89 > 79 characters) ; line too long (81 > 79 characters) ; no newline at end of file,8
./Data/generation/python_chinese_gpt/iter_3/files/62b45e165108cfac7f210a17.py,D100 ; D205 ; D400 ; W293 ; W293 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,6
./Data/generation/python_chinese_gpt/iter_3/files/62b45e175108cfac7f210a19.py,CCR001 ; D100 ; D200 ; D400 ; B007 ; W292,"Cognitive complexity is too high (8 > 7) ; Missing docstring in public module ; One-line docstring should fit on one line with quotes ; First line should end with a period ; Loop control variable 'checksum' not used within the loop body. If this is intended, start the name with an underscore. ; no newline at end of file",6
./Data/generation/python_chinese_gpt/iter_3/files/62b45e21e0d4551b0392c8ed.py,D100 ; D400 ; W293 ; W293 ; W292,Missing docstring in public module ; First line should end with a period ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,5
./Data/generation/python_chinese_gpt/iter_3/files/62b45e23e0d4551b0392c90a.py,D100 ; D400 ; W291 ; W291 ; E501 ; D103 ; E302 ; D103 ; E302 ; D103 ; E302 ; W292,"Missing docstring in public module ; First line should end with a period ; trailing whitespace ; trailing whitespace ; line too long (102 > 79 characters) ; Missing docstring in public function ; expected 2 blank lines, found 1 ; Missing docstring in public function ; expected 2 blank lines, found 1 ; Missing docstring in public function ; expected 2 blank lines, found 1 ; no newline at end of file",12
