id,generated_code,comments,identifiers,literals,notes
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
    """"""
    Idratatore per valori di `Time` e `LocalTime`.

    :param nanoseconds:  
    :param tz:  
    :return: Time
    """"""
    from datetime import datetime, timezone, timedelta

    # Convert nanoseconds to seconds and microseconds
    seconds = nanoseconds // 1_000_000_000
    microseconds = (nanoseconds % 1_000_000_000) // 1000

    # Create base datetime at epoch
    dt = datetime.fromtimestamp(0, timezone.utc)
    
    # Add the time delta
    dt = dt + timedelta(seconds=seconds, microseconds=microseconds)

    # Apply timezone if provided
    if tz is not None:
        if isinstance(tz, str):
            from zoneinfo import ZoneInfo
            dt = dt.astimezone(ZoneInfo(tz))
        else:
            dt = dt.astimezone(tz)

    return dt.time()",english,english,none,
62e60f3bd76274f8a4026e10,"def dehydrate_timedelta(value):
    """"""
    Deidratatore per valori di tipo `timedelta`.

    :param value: Valore timedelta da deidratare
    :type value: timedelta
    :return: Stringa rappresentante il timedelta in formato ISO 8601
    """"""
    days = value.days
    seconds = value.seconds
    microseconds = value.microseconds
    
    hours = seconds // 3600
    minutes = (seconds % 3600) // 60
    seconds = seconds % 60
    
    result = ""P""
    
    if days:
        result += f""{days}D""
        
    if hours or minutes or seconds or microseconds:
        result += ""T""
        
        if hours:
            result += f""{hours}H""
            
        if minutes:
            result += f""{minutes}M""
            
        if seconds:
            if microseconds:
                result += f""{seconds}.{microseconds:06d}S""
            else:
                result += f""{seconds}S""
        elif microseconds:
            result += f""0.{microseconds:06d}S""
            
    return result if result != ""P"" else ""PT0S""",none,english,none,
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
    """"""
    Disidratatore per valori di tipo `time`.

    :param value: 
    :type value: Time
    :return:
    """"""
    if value is None:
        return None
        
    return value.strftime('%H:%M:%S')",none,english,none,
62e60f33d76274f8a4026de9,"def dehydrate_point(value):
    """"""
    Deidratatore per i dati di tipo `Point`.
    
    :param value: Point object to dehydrate
    :type value: Point
    :return: Dictionary containing x,y coordinates
    """"""
    return {
        'x': value.x,
        'y': value.y
    }",none,english,none,
62e60ed4d76274f8a4026da0,"def keys(self):
    """"""
    Restituisce le chiavi del record.
    
    :return: lista dei nomi delle chiavi
    """"""
    return list(self.__dict__.keys())",none,english,none,
62e60ecfd76274f8a4026d6a,"def protocol_handlers(cls, protocol_version=None):
    # Dizionario che mappa le versioni del protocollo ai relativi gestori
    handlers = {
        (3, 0): BoltProtocolV3,
        (4, 0): BoltProtocolV4,
        (4, 1): BoltProtocolV4_1,
        (4, 2): BoltProtocolV4_2,
        (4, 3): BoltProtocolV4_3,
        (4, 4): BoltProtocolV4_4,
        (5, 0): BoltProtocolV5
    }

    # Se non è specificata una versione, restituisce tutti i gestori disponibili
    if protocol_version is None:
        return handlers

    # Verifica che la versione sia passata come tupla
    if not isinstance(protocol_version, tuple):
        raise TypeError(""La versione del protocollo deve essere una tupla"")

    # Se è specificata una versione, restituisce solo il gestore per quella versione
    # se supportata, altrimenti un dizionario vuoto
    return {protocol_version: handlers[protocol_version]} if protocol_version in handlers else {}",italian,english,italian,
62e60e49d76274f8a4026d25,"def unit_of_work(metadata=None, timeout=None):
    def decorator(f):
        def wrapper(*args, **kwargs):
            # Store the metadata and timeout values
            wrapper.metadata = metadata
            wrapper.timeout = timeout
            return f(*args, **kwargs)
        
        # Copy function metadata
        wrapper.__name__ = f.__name__
        wrapper.__doc__ = f.__doc__
        
        return wrapper
    return decorator",english,english,none,
62e60e05d76274f8a4026cfd,"def index(self, key):
    """"""
    Restituisce l'indice dell'elemento specificato.

    :param key: una chiave  
    :return: indice  
    :rtype: int
    """"""
    for i in range(len(self)):
        if self[i] == key:
            return i
    raise ValueError(f""{key} is not in list"")",none,english,english,
62e60da4d76274f8a4026cf1,"def values(self, *keys):
    """"""
    Restituisce i valori del record, con la possibilità di filtrare per includere solo determinati valori in base all'indice o alla chiave.

    :param keys: indici o chiavi degli elementi da includere; se non viene fornito nessun parametro, verranno inclusi tutti i valori
    :return: lista di valori
    :rtype: list
    """"""
    if not keys:
        # Se non sono specificate chiavi, restituisce tutti i valori
        return list(self._values)
    
    result = []
    for key in keys:
        if isinstance(key, int):
            # Se la chiave è un indice numerico
            if 0 <= key < len(self._values):
                result.append(self._values[key])
        else:
            # Se la chiave è una stringa
            try:
                index = self._fields.index(key)
                result.append(self._values[index])
            except ValueError:
                pass
    
    return result",italian,english,none,
62e60b10d76274f8a4026ccd,"def data(self, *keys):
    if not keys:
        # If no keys specified, return all fields
        return dict(zip(self.keys(), self.values()))
    
    result = {}
    for key in keys:
        if isinstance(key, int):
            # Handle numeric index
            try:
                field_name = self.keys()[key]
                result[field_name] = self.values()[key]
            except IndexError:
                raise IndexError(f""Index {key} is out of bounds"")
        else:
            # Handle field name
            result[key] = self[key] if key in self else None
            
    return result",english,english,english,
