ID,prompt,generated_code,comments,identifiers,literals
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
""""""
Idratatore per valori di `Time` e `LocalTime`.

:param nanoseconds:  
:param tz:  
:return: Time
""""""","def hydrate_time(nanoseconds, tz=None):
    """"""
    Idratatore per valori di `Time` e `LocalTime`.
    
    :param nanoseconds: Nanosecondi dall'inizio del giorno
    :param tz: Fuso orario opzionale
    :return: Time
    """"""
    # Importa le librerie necessarie
    from datetime import datetime, timezone, timedelta
    
    # Calcola ore, minuti, secondi e nanosecondi rimanenti
    ore = nanoseconds // (3600 * 1000000000)
    nanoseconds_rimanenti = nanoseconds % (3600 * 1000000000)
    
    minuti = nanoseconds_rimanenti // (60 * 1000000000)
    nanoseconds_rimanenti = nanoseconds_rimanenti % (60 * 1000000000)
    
    secondi = nanoseconds_rimanenti // 1000000000
    nanosecondi = nanoseconds_rimanenti % 1000000000
    
    # Crea la data di oggi
    oggi = datetime.now().date()
    
    # Crea l'oggetto datetime
    tempo = datetime.combine(
        oggi,
        datetime.min.time().replace(
            hour=int(ore),
            minute=int(minuti), 
            second=int(secondi),
            microsecond=int(nanosecondi // 1000)
        )
    )
    
    # Applica il fuso orario se specificato
    if tz is not None:
        if isinstance(tz, str):
            from zoneinfo import ZoneInfo
            tempo = tempo.replace(tzinfo=ZoneInfo(tz))
        else:
            tempo = tempo.replace(tzinfo=tz)
            
    return tempo",i,b,n
62e60f3bd76274f8a4026e10,"def dehydrate_timedelta(value):
""""""

Deidratatore per valori di tipo `timedelta`.

:param value:  
:type value: timedelta  
:return: 
"""""" ","def dehydrate_timedelta(value):
    """"""
    Deidratatore per valori di tipo `timedelta`.
    
    :param value: Il valore timedelta da deidratare
    :type value: timedelta
    :return: Stringa rappresentante i secondi totali del timedelta
    """"""
    # Calcola i secondi totali dal timedelta
    secondi_totali = value.total_seconds()
    
    # Converte in stringa e ritorna
    return str(int(secondi_totali))",i,b,n
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
    """"""
    Disidratatore per valori di tipo `time`.

    :param value: 
    :type value: Time
    :return:
    """"""
","def dehydrate_time(value):
    """"""
    Disidratatore per valori di tipo `time`.

    :param value: 
    :type value: Time
    :return:
    """"""
    # Se il valore è None, ritorna None
    if value is None:
        return None
        
    # Converte l'oggetto time in stringa nel formato HH:MM:SS
    ora_formattata = value.strftime(""%H:%M:%S"")
    
    return ora_formattata",i,b,n
62e60f33d76274f8a4026de9,"
def dehydrate_point(value):
""""""

Deidratatore per i dati di tipo `Point`.

:param value:  
:type value: Point  
:return: 
"""""" ","def dehydrate_point(value):
    """"""
    Deidratatore per i dati di tipo `Point`.
    
    :param value: Il punto da deidratare
    :type value: Point
    :return: Dizionario contenente le coordinate x e y del punto
    """"""
    # Controlla se il valore è None
    if value is None:
        return None
        
    # Crea un dizionario con le coordinate
    punto_deidratato = {
        'x': value.x,
        'y': value.y
    }
    
    return punto_deidratato",i,b,n
62e60ed4d76274f8a4026da0,"def keys(self):  
""""""
Restituisce le chiavi del record.  

:return: lista dei nomi delle chiavi  
""""""","def keys(self):
    """"""
    Restituisce le chiavi del record.  

    :return: lista dei nomi delle chiavi  
    """"""
    # Restituisce una lista delle chiavi del dizionario
    return list(self.__dict__.keys())",i,n,n
62e60e05d76274f8a4026cfd,"def index(self, key):
""""""

Restituisce l'indice dell'elemento specificato.

:param key: una chiave  
:return: indice  
:rtype: int
""""""  ","def index(self, key):
    """"""
    Restituisce l'indice dell'elemento specificato.
    
    :param key: una chiave
    :return: indice
    :rtype: int
    """"""
    # Inizializza il contatore dell'indice
    indice = 0
    
    # Itera attraverso gli elementi
    for elemento in self:
        if elemento == key:
            return indice
        indice += 1
        
    # Solleva un'eccezione se l'elemento non viene trovato
    raise ValueError(""Elemento non trovato nella sequenza"")",i,b,i
62e60da4d76274f8a4026cf1,"def values(self, *keys):
""""""

Restituisce i valori del record, con la possibilità di filtrare per includere solo determinati valori in base all'indice o alla chiave.

:param keys: indici o chiavi degli elementi da includere; se non viene fornito nessun parametro, verranno inclusi tutti i valori  
:return: lista di valori  
:rtype: list
""""""","def values(self, *keys):
    """"""
    Restituisce i valori del record, con la possibilità di filtrare per includere solo determinati valori in base all'indice o alla chiave.

    :param keys: indici o chiavi degli elementi da includere; se non viene fornito nessun parametro, verranno inclusi tutti i valori
    :return: lista di valori
    :rtype: list
    """"""
    # Se non vengono fornite chiavi, restituisci tutti i valori
    if not keys:
        return list(self._valori.values())
    
    # Lista per memorizzare i valori filtrati
    valori_filtrati = []
    
    # Itera sulle chiavi fornite
    for chiave in keys:
        # Se la chiave è un intero, usalo come indice
        if isinstance(chiave, int):
            # Converti il dizionario in lista per accesso tramite indice
            lista_valori = list(self._valori.values())
            # Controlla se l'indice è valido
            if 0 <= chiave < len(lista_valori):
                valori_filtrati.append(lista_valori[chiave])
        # Altrimenti usa la chiave per accedere al dizionario
        else:
            if chiave in self._valori:
                valori_filtrati.append(self._valori[chiave])
                
    return valori_filtrati",i,b,n
62e60b10d76274f8a4026ccd,"def data(self, *keys):
""""""

Restituisce le chiavi e i valori di questo record come un dizionario, includendo opzionalmente solo determinati valori in base all'indice o alla chiave. Le chiavi fornite negli elementi che non sono presenti nel record verranno inserite con un valore di :const:`None`; gli indici forniti che sono fuori dai limiti genereranno un'eccezione :exc:`IndexError`.

:param keys: indici o chiavi degli elementi da includere; se non ne vengono forniti, verranno inclusi tutti i valori  
:return: dizionario dei valori, indicizzati per nome del campo  
:raises: :exc:`IndexError` se viene specificato un indice fuori dai limiti  
""""""","def data(self, *keys):
    # Se non vengono fornite chiavi, restituisci tutti i dati
    if not keys:
        return dict(zip(self._fields, self._data))
    
    # Dizionario per memorizzare i risultati
    risultato = {}
    
    # Itera attraverso le chiavi fornite
    for chiave in keys:
        # Se la chiave è un intero, usalo come indice
        if isinstance(chiave, int):
            # Solleva IndexError se l'indice è fuori dai limiti
            if chiave >= len(self._fields):
                raise IndexError(f""Indice {chiave} fuori dai limiti"")
            nome_campo = self._fields[chiave]
            valore = self._data[chiave]
        # Altrimenti usa la chiave come nome del campo
        else:
            nome_campo = chiave
            # Trova l'indice del campo se esiste
            try:
                indice = self._fields.index(chiave)
                valore = self._data[indice]
            except ValueError:
                valore = None
                
        risultato[nome_campo] = valore
        
    return risultato",i,b,i
62e6087bd76274f8a4026bfa,"def pop_u16(self):
""""""

Rimuove gli ultimi due byte da `self.data`, restituendoli come un intero senza segno a 16 bit in formato big-endian.
""""""","def pop_u16(self):
    # Controlla se ci sono abbastanza byte da estrarre
    if len(self.data) < 2:
        raise ValueError(""Non ci sono abbastanza byte da estrarre"")
    
    # Estrae gli ultimi due byte
    byte_1 = self.data[-2]
    byte_2 = self.data[-1]
    
    # Rimuove gli ultimi due byte dai dati
    self.data = self.data[:-2]
    
    # Combina i byte in un intero a 16 bit big-endian
    valore_u16 = (byte_1 << 8) | byte_2
    
    return valore_u16",i,i,i
62e6087ad76274f8a4026bf2,"def discard(self, n=-1, qid=-1, dehydration_hooks=None,
                hydration_hooks=None, **handlers):
""""""
Aggiunge un messaggio DISCARD alla coda di output.

:param n: numero di record da scartare, valore predefinito = -1 (TUTTI)
:param qid: ID della query per cui scartare, valore predefinito = -1 (ultima query)
:param dehydration_hooks:
    Hook per disidratare i tipi (dizionario da tipo (classe) a funzione di disidratazione).
    Le funzioni di disidratazione ricevono il valore e restituiscono un oggetto di tipo
    comprensibile da packstream.
:param hydration_hooks:
    Hook per idratare i tipi (mappatura da tipo (classe) a funzione di idratazione).
    Le funzioni di idratazione ricevono il valore di un tipo comprensibile da packstream
    e possono restituire qualsiasi cosa.
:param handlers: funzioni gestore passate all'oggetto Response restituito
""""""","def discard(self, n=-1, qid=-1, dehydration_hooks=None, 
            hydration_hooks=None, **handlers):
    """"""
    Aggiunge un messaggio DISCARD alla coda di output.

    :param n: numero di record da scartare, valore predefinito = -1 (TUTTI)
    :param qid: ID della query per cui scartare, valore predefinito = -1 (ultima query)
    :param dehydration_hooks:
        Hook per disidratare i tipi (dizionario da tipo (classe) a funzione di disidratazione).
        Le funzioni di disidratazione ricevono il valore e restituiscono un oggetto di tipo
        comprensibile da packstream.
    :param hydration_hooks:
        Hook per idratare i tipi (mappatura da tipo (classe) a funzione di idratazione).
        Le funzioni di idratazione ricevono il valore di un tipo comprensibile da packstream
        e possono restituire qualsiasi cosa.
    :param handlers: funzioni gestore passate all'oggetto Response restituito
    """"""
    # Crea un nuovo messaggio DISCARD
    messaggio_discard = {
        ""tipo"": ""DISCARD"",
        ""n"": n,
        ""qid"": qid if qid >= 0 else self._ultima_qid
    }
    
    # Aggiungi gli hook se forniti
    if dehydration_hooks:
        messaggio_discard[""dehydration_hooks""] = dehydration_hooks
    if hydration_hooks:
        messaggio_discard[""hydration_hooks""] = hydration_hooks
        
    # Aggiungi i gestori personalizzati
    messaggio_discard.update(handlers)
    
    # Aggiungi il messaggio alla coda di output
    self._coda_output.append(messaggio_discard)
    
    # Crea e restituisci un oggetto Response
    risposta = Response(
        connection=self,
        hydration_hooks=hydration_hooks,
        **handlers
    )
    
    return risposta",i,b,n
