id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"import java.util.Arrays;

public class StringArrayTrimmer {
    /** 
     * 修剪给定字符串数组的元素，对每个元素调用 <code>String.trim()</code> 方法。
     * @param array 原始字符串数组
     * @return 包含修剪后的元素的结果数组（大小相同）
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        return Arrays.stream(array)
                     .map(String::trim)
                     .toArray(String[]::new);
    }

    public static void main(String[] args) {
        String[] originalArray = {""  Hello  "", ""  World  "", ""  Java  ""};
        String[] trimmedArray = trimArrayElements(originalArray);
        System.out.println(Arrays.toString(trimmedArray));
    }
}",none,english,english,
6367670b1a6d9265ec017a00,"public class ArrayLengthChecker {
    
    /** 
     * <p>检查两个数组是否具有相同的长度，将 <code>null</code> 数组视为长度 <code>0</code>。</p>
     * @param array1 第一个数组，可以为 <code>null</code>
     * @param array2 第二个数组，可以为 <code>null</code>
     * @return 如果数组的长度匹配则返回<code>true</code>，将 <code>null</code> 视为一个空数组
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        byte[] array1 = {1, 2, 3};
        byte[] array2 = {4, 5, 6};
        byte[] array3 = null;

        System.out.println(isSameLength(array1, array2)); // true
        System.out.println(isSameLength(array1, array3)); // false
        System.out.println(isSameLength(array3, array3)); // true
    }
}",english,english,none,
636766a91a6d9265ec0175c2,"public class StackExample {
    private java.util.Stack<Integer> outputFrameStack;

    public StackExample() {
        outputFrameStack = new java.util.Stack<>();
    }

    /** 
     * 从输出帧栈中弹出一个抽象类型并返回其值。
     * @return 从输出帧栈中弹出的抽象类型。
     */
    private int pop() {
        if (outputFrameStack.isEmpty()) {
            throw new java.util.EmptyStackException();
        }
        return outputFrameStack.pop();
    }

    public void push(int value) {
        outputFrameStack.push(value);
    }

    public static void main(String[] args) {
        StackExample stackExample = new StackExample();
        stackExample.push(10);
        stackExample.push(20);
        System.out.println(stackExample.pop()); // Outputs: 20
        System.out.println(stackExample.pop()); // Outputs: 10
    }
}",english,english,none,
636767081a6d9265ec017989,"public class BooleanArrayConverter {

    /** 
     * <p>将一个由对象类型 Boolean 组成的数组转换为基本类型 boolean 数组。</p> 
     * <p>对于 <code>null</code> 输入数组，此方法返回 <code>null</code>。</p>
     * @param array  一个 <code>Boolean</code> 数组，可以为 <code>null</code>
     * @return 一个 <code>boolean</code> 数组，如果输入数组为 null 则返回 <code>null</code>
     * @throws NullPointerException 如果数组内容为 <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] primitiveArray = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] == null) {
                throw new NullPointerException(""Array element at index "" + i + "" is null"");
            }
            primitiveArray[i] = array[i];
        }
        return primitiveArray;
    }

    public static void main(String[] args) {
        Boolean[] booleanArray = {true, false, null, true};
        try {
            boolean[] result = toPrimitive(booleanArray);
            for (boolean b : result) {
                System.out.println(b);
            }
        } catch (NullPointerException e) {
            System.out.println(e.getMessage());
        }
    }
}",none,english,english,
6367672d1a6d9265ec017c73,"import java.util.HashMap;

public class MessagePrinter {
    private HashMap<String, Integer> messageTimestamps;

    public MessagePrinter() {
        messageTimestamps = new HashMap<>();
    }

    /** 
     * 如果在给定的时间戳下应该打印消息，则返回真，否则返回假。如果此方法返回假，则消息将不会被打印。时间戳的粒度为秒。
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (!messageTimestamps.containsKey(message)) {
            messageTimestamps.put(message, timestamp);
            return true;
        } else {
            int lastTimestamp = messageTimestamps.get(message);
            if (timestamp - lastTimestamp >= 10) {
                messageTimestamps.put(message, timestamp);
                return true;
            } else {
                return false;
            }
        }
    }

    public static void main(String[] args) {
        MessagePrinter printer = new MessagePrinter();
        System.out.println(printer.shouldPrintMessage(1, ""foo"")); // true
        System.out.println(printer.shouldPrintMessage(2, ""bar"")); // true
        System.out.println(printer.shouldPrintMessage(3, ""foo"")); // false
        System.out.println(printer.shouldPrintMessage(8, ""bar"")); // false
        System.out.println(printer.shouldPrintMessage(10, ""foo"")); // false
        System.out.println(printer.shouldPrintMessage(11, ""foo"")); // true
    }
}",english,english,english,
636766f81a6d9265ec01775c,"public class ObjectUtils {

    /**
     * <p>获取一个 <code>Object</code> 的 <code>toString</code> 值，如果输入为 <code>null</code> 则返回空字符串 ("""")。</p> 
     * <pre> 
     * ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  要调用 <code>toString</code> 的对象，可以为 null
     * @return 传入对象的 toString 结果，如果输入为 <code>null</code> 则返回空字符串
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }

    public static void main(String[] args) {
        System.out.println(ObjectUtils.toString(null));         // Output: """"
        System.out.println(ObjectUtils.toString(""""));           // Output: """"
        System.out.println(ObjectUtils.toString(""bat""));        // Output: ""bat""
        System.out.println(ObjectUtils.toString(Boolean.TRUE));  // Output: ""true""
    }
}",english,english,english,
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;

public class Decoder {

    /** 
     * 使用 UTF-8 解码将字节解码为字符，并将字符附加到 StringBuffer 中。
     * @return 下一个未检查字符在待解码字符串中的索引
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        while (i < bb.limit()) {
            byte b = bb.get(i);
            if ((b & 0x80) == 0) { // 1-byte character
                sb.append((char) b);
                i++;
            } else if ((b & 0xE0) == 0xC0) { // 2-byte character
                if (i + 1 >= bb.limit()) break; // Not enough bytes
                char c = (char) (((b & 0x1F) << 6) | (bb.get(i + 1) & 0x3F));
                sb.append(c);
                i += 2;
            } else if ((b & 0xF0) == 0xE0) { // 3-byte character
                if (i + 2 >= bb.limit()) break; // Not enough bytes
                char c = (char) (((b & 0x0F) << 12) | ((bb.get(i + 1) & 0x3F) << 6) | (bb.get(i + 2) & 0x3F));
                sb.append(c);
                i += 3;
            } else if ((b & 0xF8) == 0xF0) { // 4-byte character
                if (i + 3 >= bb.limit()) break; // Not enough bytes
                int codePoint = ((b & 0x07) << 18) | ((bb.get(i + 1) & 0x3F) << 12) | ((bb.get(i + 2) & 0x3F) << 6) | (bb.get(i + 3) & 0x3F);
                sb.append(Character.toChars(codePoint));
                i += 4;
            } else {
                // Invalid byte, handle error if necessary
                break;
            }
        }
        return i;
    }
}",english,english,none,
636766aa1a6d9265ec0175ce,"public class FrameVisitor {
    private int currentFrame;
    
    /**
     * 开始访问一个新的栈映射帧，该帧存储在 {@link #currentFrame} 中。
     * @param offset   与该帧对应的指令的字节码偏移量。
     * @param numLocal 当前帧中的局部变量数量。
     * @param numStack 当前帧中的栈元素数量。
     * @return 下一个要写入该帧的元素的索引。
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Initialize the current frame with the provided parameters
        this.currentFrame = offset; // Assuming currentFrame is set to offset for demonstration
        // Logic to handle local variables and stack elements can be added here
        
        // Return the next index to write to the frame
        return numLocal + numStack; // Example logic to return the next index
    }
    
    public static void main(String[] args) {
        FrameVisitor visitor = new FrameVisitor();
        int nextIndex = visitor.visitFrameStart(10, 5, 3);
        System.out.println(""Next index to write: "" + nextIndex);
    }
}",english,english,english,
636767191a6d9265ec017c0f,"public class ByteVector {
    private byte[] data;
    private int currentSize;

    public ByteVector() {
        this.data = new byte[10]; // Initial capacity
        this.currentSize = 0;
    }

    /**
     * 扩展此字节向量，以便能够接收 'size' 个额外的字节。
     * @param size 此字节向量应该能够接收的额外字节数。
     */
    private void enlarge(final int size) {
        int newSize = currentSize + size;
        if (newSize > data.length) {
            int newCapacity = Math.max(data.length * 2, newSize);
            byte[] newData = new byte[newCapacity];
            System.arraycopy(data, 0, newData, 0, currentSize);
            data = newData;
        }
    }

    // Additional methods for demonstration purposes
    public void add(byte b) {
        if (currentSize >= data.length) {
            enlarge(1);
        }
        data[currentSize++] = b;
    }

    public byte get(int index) {
        if (index < 0 || index >= currentSize) {
            throw new IndexOutOfBoundsException(""Index: "" + index + "", Size: "" + currentSize);
        }
        return data[index];
    }

    public int size() {
        return currentSize;
    }
}",english,english,english,
636767821a6d9265ec0183a0,"import java.io.File;

public class FileUtils {

    /** 
     * 如果指定的文件存在，则删除该文件 
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""文件已删除: "" + fileName);
            } else {
                System.out.println(""无法删除文件: "" + fileName);
            }
        } else {
            System.out.println(""文件不存在: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // 示例用法
        deleteFile(""test.txt"");
    }
}",chinese,english,chinese,
