id,iter,italian_nloc,italian_ccn,italian_token_count,italian_param_count,italian_length,italian_top_nesting_level,italian_flake8,italian_pylint,english_nloc,english_ccn,english_token_count,english_param_count,english_length,english_top_nesting_level,english_flake8,english_pylint,chinese_nloc,chinese_ccn,chinese_token_count,chinese_param_count,chinese_length,chinese_top_nesting_level,chinese_flake8,chinese_pylint,hindi_nloc,hindi_ccn,hindi_token_count,hindi_param_count,hindi_length,hindi_top_nesting_level,hindi_flake8,hindi_pylint,spanish_nloc,spanish_ccn,spanish_token_count,spanish_param_count,spanish_length,spanish_top_nesting_level,spanish_flake8,spanish_pylint
ClassEval_0::filter,0,9,5,60,2,17,1,2,7,11,6,88,2,20,1,3,8,9,5,69,2,17,1,1,7,15,6,117,2,24,1,2,8,14,8,112,2,23,1,6,8
ClassEval_0::get_jwt_user,0,8,4,56,2,16,1,4,6,8,4,56,2,16,1,4,6,11,3,78,2,19,1,4,8,9,6,58,2,17,1,4,6,8,4,56,2,16,1,4,7
ClassEval_0::is_start_with,0,2,2,22,2,11,1,3,4,2,2,22,2,11,1,3,4,2,2,22,2,12,1,3,5,3,2,31,2,12,1,2,4,2,2,22,2,11,1,4,4
ClassEval_0::set_current_user_info_and_log,0,2,1,15,2,11,1,4,6,2,1,15,2,10,1,3,6,2,1,15,2,10,1,3,6,2,1,15,2,11,1,4,7,2,1,15,2,10,1,3,6
ClassEval_10::calculate_binary_info,0,9,2,92,1,16,1,5,11,9,2,92,1,16,1,5,11,9,2,92,1,16,1,4,10,9,2,92,1,16,1,5,11,7,2,86,1,13,1,4,10
ClassEval_10::clean_non_binary_chars,0,3,3,31,1,11,1,5,7,3,3,31,1,11,1,4,7,3,3,31,1,11,1,4,7,3,3,31,1,11,1,4,7,3,3,31,1,11,1,5,7
ClassEval_10::convert_to_ascii,0,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7
ClassEval_10::convert_to_utf8,0,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7
ClassEval_11::add,0,3,1,22,2,13,1,4,6,3,1,22,2,13,1,4,6,5,2,35,2,15,1,4,7,3,1,22,2,14,1,5,7,5,2,35,2,15,1,5,7
ClassEval_11::check,0,6,4,35,1,16,1,2,5,8,5,50,1,18,1,2,5,8,5,50,1,18,1,1,4,8,5,50,1,18,1,2,5,8,5,50,1,18,1,2,5
ClassEval_11::has,0,3,1,24,2,12,1,4,6,3,1,24,2,12,1,4,6,3,1,24,2,13,1,3,6,3,1,24,2,14,1,6,8,3,1,24,2,13,1,5,8
ClassEval_11::remove,0,3,1,23,2,13,1,4,6,3,1,23,2,13,1,4,7,3,1,23,2,13,1,3,6,3,1,23,2,14,1,5,7,3,1,23,2,13,1,4,7
ClassEval_12::calculate_hand_value,0,16,6,77,2,27,1,7,7,16,7,82,2,27,1,6,7,16,6,77,2,27,1,2,4,16,6,77,2,27,1,6,6,16,6,77,2,27,1,7,7
ClassEval_12::check_winner,0,15,8,75,3,26,1,7,11,19,9,84,3,30,1,5,11,16,8,75,3,27,1,2,8,19,9,84,3,30,1,5,11,16,7,71,3,27,1,6,12
ClassEval_12::create_deck,0,6,3,69,1,16,1,9,6,6,3,69,1,16,1,9,6,6,3,69,1,16,1,7,5,6,3,69,1,20,1,12,10,6,3,69,1,16,1,9,7
ClassEval_13::add_book,0,5,2,37,3,10,1,2,7,7,5,63,3,12,1,4,8,9,5,80,3,14,1,2,10,5,2,37,3,10,1,2,8,7,5,63,3,12,1,4,8
ClassEval_13::remove_book,0,14,7,103,3,20,1,4,11,10,6,83,3,16,1,3,11,14,7,103,3,20,1,2,11,12,7,97,3,18,1,3,11,13,7,85,3,19,1,2,9
ClassEval_13::view_book_quantity,0,2,1,19,2,11,1,2,6,2,1,19,2,11,1,2,6,2,1,19,2,11,1,1,5,2,1,19,2,11,1,2,6,2,1,19,2,11,1,2,6
ClassEval_13::view_inventory,0,2,1,10,1,11,1,2,5,2,1,10,1,11,1,2,5,2,1,10,1,11,1,1,5,2,1,10,1,11,1,1,5,2,1,10,1,11,1,2,5
ClassEval_14::add_book,0,3,1,31,3,12,1,4,8,3,1,31,3,12,1,3,8,3,1,31,3,12,1,2,7,3,1,31,3,12,1,2,7,3,1,31,3,12,1,4,8
ClassEval_14::borrow_book,0,3,1,28,2,9,1,3,7,3,1,28,2,9,1,3,7,3,1,28,2,9,1,2,7,3,1,28,2,9,1,3,8,3,1,28,2,9,1,3,7
ClassEval_14::create_table,0,3,1,21,1,8,1,2,7,3,1,21,1,8,1,3,7,3,1,21,1,8,1,2,7,3,1,21,1,8,1,3,7,3,1,21,1,8,1,2,7
ClassEval_14::remove_book,0,3,1,28,2,9,1,2,7,3,1,28,2,9,1,2,7,3,1,28,2,9,1,2,7,3,1,28,2,9,1,2,7,3,1,28,2,9,1,2,7
ClassEval_14::return_book,0,3,1,28,2,9,1,3,7,3,1,28,2,9,1,3,7,3,1,28,2,9,1,2,7,3,1,28,2,9,1,3,8,3,1,28,2,9,1,3,7
ClassEval_14::search_books,0,4,1,25,1,10,1,3,6,4,1,25,1,10,1,3,6,4,1,25,1,10,1,1,6,4,1,25,1,10,1,2,6,4,1,25,1,10,1,3,6
