id,prompt,summary,code,generated_code
6367676d1a6d9265ec018229,"/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */

public static String[] trimArrayElements(String[] array)",Trim each element in the given string array and return the resulting array.,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","public class StringArrayUtils {

    /**
     * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
     * @param array the original String array
     * @return the resulting array (of the same size) with trimmed elements
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                trimmedArray[i] = array[i].trim();
            } else {
                trimmedArray[i] = null;
            }
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] array = {""  hello "", ""  world  "", null, ""  java  ""};
        String[] trimmedArray = trimArrayElements(array);
        for (String str : trimmedArray) {
            System.out.println(""'"" + str + ""'"");
        }
    }
}"
6367670b1a6d9265ec017a00,"/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */

public static boolean isSameLength(final byte[] array1,final byte[] array2)",Check whether the length of the given two byte arrays is the same.,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","public class ArrayUtils {

    /**
     * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
     * @param array1 the first array, may be <code>null</code>
     * @param array2 the second array, may be <code>null</code>
     * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        byte[] array1 = {1, 2, 3};
        byte[] array2 = {4, 5, 6};
        byte[] array3 = null;
        byte[] array4 = {7, 8};

        System.out.println(isSameLength(array1, array2)); // true
        System.out.println(isSameLength(array1, array3)); // false
        System.out.println(isSameLength(array3, array4)); // false
    }
}"
636766a91a6d9265ec0175c2,"/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */

private int pop()",Pop an abstract type from the output frame stack and return its value.,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","import java.util.Stack;

public class FrameStack {
    private Stack<Integer> outputFrameStack;

    public FrameStack() {
        this.outputFrameStack = new Stack<>();
    }

    /**
     * Pops an abstract type from the output frame stack and returns its value.
     * @return the abstract type that has been popped from the output frame stack.
     */
    private int pop() {
        if (outputFrameStack.isEmpty()) {
            throw new IllegalStateException(""Cannot pop from an empty stack."");
        }
        return outputFrameStack.pop();
    }
}"
636767081a6d9265ec017989,"/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","import java.util.Objects;

public class BooleanUtils {

    /**
     * <p>Converts an array of object Booleans to primitives.</p>
     * <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
     * @param array  a <code>Boolean</code> array, may be <code>null</code>
     * @return a <code>boolean</code> array, <code>null</code> if null array input
     * @throws NullPointerException if array content is <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = Objects.requireNonNull(array[i], ""Array element cannot be null"");
        }
        return result;
    }
}"
6367672d1a6d9265ec017c73,"/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */

public boolean shouldPrintMessage(int timestamp,String message)"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","import java.util.HashMap;
import java.util.Map;

public class Logger {
    private Map<String, Integer> messageTimestamps;

    public Logger() {
        messageTimestamps = new HashMap<>();
    }

    /**
     * Returns true if the message should be printed in the given timestamp, otherwise returns false.
     * If this method returns false, the message will not be printed. The timestamp is in seconds granularity.
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (messageTimestamps.containsKey(message)) {
            int lastTimestamp = messageTimestamps.get(message);
            if (timestamp - lastTimestamp >= 10) {
                messageTimestamps.put(message, timestamp);
                return true;
            } else {
                return false;
            }
        } else {
            messageTimestamps.put(message, timestamp);
            return true;
        }
    }
}"
636766f81a6d9265ec01775c,"/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */

public static String toString(Object obj)","Return the string representation of the given object, return an empty string if the object is null.","public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","public class ObjectUtils {

    /**
     * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  the Object to <code>toString</code>, may be null
     * @return the passed in Object's toString, or empty string if <code>null</code> input
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }

    public static void main(String[] args) {
        System.out.println(toString(null));         // Output: """"
        System.out.println(toString(""""));           // Output: """"
        System.out.println(toString(""bat""));        // Output: ""bat""
        System.out.println(toString(Boolean.TRUE)); // Output: ""true""
    }
}"
6367667f1a6d9265ec017457,"/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */

private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb)","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","import java.nio.ByteBuffer;
import java.nio.charset.StandardCharsets;

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
    int length = bb.remaining();
    if (i >= length) {
        return i;
    }

    byte firstByte = bb.get(i);
    int codePoint;
    int bytesToRead;

    if ((firstByte & 0x80) == 0) {
        // 1-byte sequence (0xxxxxxx)
        codePoint = firstByte & 0x7F;
        bytesToRead = 1;
    } else if ((firstByte & 0xE0) == 0xC0) {
        // 2-byte sequence (110xxxxx 10xxxxxx)
        codePoint = firstByte & 0x1F;
        bytesToRead = 2;
    } else if ((firstByte & 0xF0) == 0xE0) {
        // 3-byte sequence (1110xxxx 10xxxxxx 10xxxxxx)
        codePoint = firstByte & 0x0F;
        bytesToRead = 3;
    } else if ((firstByte & 0xF8) == 0xF0) {
        // 4-byte sequence (11110xxx 10xxxxxx 10xxxxxx 10xxxxxx)
        codePoint = firstByte & 0x07;
        bytesToRead = 4;
    } else {
        // Invalid UTF-8 sequence
        throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
    }

    if (i + bytesToRead > length) {
        throw new IllegalArgumentException(""Incomplete UTF-8 sequence"");
    }

    for (int j = 1; j < bytesToRead; j++) {
        byte nextByte = bb.get(i + j);
        if ((nextByte & 0xC0) != 0x80) {
            throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
        }
        codePoint = (codePoint << 6) | (nextByte & 0x3F);
    }

    sb.append(Character.toChars(codePoint));
    return i + bytesToRead;
}"
636766aa1a6d9265ec0175ce,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */

int visitFrameStart(final int offset,final int numLocal,final int numStack)","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","import java.util.ArrayList;
import java.util.List;

public class StackMapFrameVisitor {
    private List<Object> currentFrame;

    public StackMapFrameVisitor() {
        this.currentFrame = new ArrayList<>();
    }

    /**
     * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
     * @param offset   the bytecode offset of the instruction to which the frame corresponds.
     * @param numLocal the number of local variables in the frame.
     * @param numStack the number of stack elements in the frame.
     * @return the index of the next element to be written in this frame.
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Clear the current frame to start a new one
        currentFrame.clear();

        // Add the offset, numLocal, and numStack to the frame
        currentFrame.add(offset);
        currentFrame.add(numLocal);
        currentFrame.add(numStack);

        // Return the index of the next element to be written (after offset, numLocal, and numStack)
        return currentFrame.size();
    }

    // Example usage
    public static void main(String[] args) {
        StackMapFrameVisitor visitor = new StackMapFrameVisitor();
        int nextIndex = visitor.visitFrameStart(10, 3, 2);
        System.out.println(""Next index to write: "" + nextIndex);
    }
}"
636767191a6d9265ec017c0f,"/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */

private void enlarge(final int size)","Enlarge the byte vector data, by increasing it by the given size.","private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/**
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */
private void enlarge(final int size) {
    // Assuming the byte vector is represented by a byte array named 'data'
    // and 'length' is the current length of the byte vector.
    
    // Calculate the new length required
    int newLength = length + size;
    
    // If the current array is not large enough, create a new one
    if (newLength > data.length) {
        // Double the size of the array until it can accommodate the new length
        int newCapacity = data.length * 2;
        while (newCapacity < newLength) {
            newCapacity *= 2;
        }
        
        // Create a new array with the calculated capacity
        byte[] newData = new byte[newCapacity];
        
        // Copy the existing data to the new array
        System.arraycopy(data, 0, newData, 0, length);
        
        // Update the reference to the new array
        data = newData;
    }
}"
636767821a6d9265ec0183a0,"/** 
 * Delete's the specified file if it exists 
 */

protected static void deleteFile(String fileName)",Delete the given file if it exists,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","import java.io.File;

public class FileDeleter {

    /**
     * Deletes the specified file if it exists.
     * 
     * @param fileName The name of the file to delete.
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""File deleted successfully: "" + fileName);
            } else {
                System.out.println(""Failed to delete the file: "" + fileName);
            }
        } else {
            System.out.println(""File does not exist: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Example usage
        deleteFile(""example.txt"");
    }
}"
