id,generated_code,comments,identifiers,literals,docstring
6367676d1a6d9265ec018229,"public class ArrayTrimmer {
    /**
     * Recorta los elementos del arreglo de Strings dado, llamando a <code>String.trim()</code> en cada uno de ellos.
     * @param array de Strings original
     * @return el arreglo resultante (del mismo tamaño) con elementos recortados
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] result = new String[array.length];
        
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                result[i] = array[i].trim();
            } else {
                result[i] = null;
            }
        }
        
        return result;
    }
}",none,english,none,spanish
6367670b1a6d9265ec017a00,"public class ArrayUtils {
    /**
     * <p>Verifica si dos arreglos tienen la misma longitud, tratando los arreglos <code>null</code> como longitud <code>0</code>.</p>
     * @param array1 el primer arreglo, puede ser <code>null</code>
     * @param array2 el segundo arreglo, puede ser <code>null</code>
     * @return <code>true</code> si la longitud de los arreglos coincide, tratando <code>null</code> como un arreglo vacío
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        if (array1 == null && array2 == null) {
            return true;
        }
        if (array1 == null) {
            return array2.length == 0;
        }
        if (array2 == null) {
            return array1.length == 0;
        }
        return array1.length == array2.length;
    }
}",none,english,none,spanish
636766a91a6d9265ec0175c2,"import java.util.Stack;

public class FrameStack {
    private Stack<Integer> outputFrameStack;

    public FrameStack() {
        outputFrameStack = new Stack<>();
    }

    /**
     * Extrae un tipo abstracto de la pila de marcos de salida y devuelve su valor.
     * @return el tipo abstracto que ha sido extraído de la pila de marcos de salida.
     */
    private int pop() {
        if (!outputFrameStack.isEmpty()) {
            return outputFrameStack.pop();
        }
        throw new IllegalStateException(""La pila de marcos está vacía"");
    }
}",none,english,spanish,english
636767081a6d9265ec017989,"package org.apache.commons.lang3;

/**
 * Utility class for Boolean operations.
 */
public class BooleanUtils {

    /**
     * <p>Convierte un array de objetos Boolean a primitivos.</p>
     * <p>Este método devuelve <code>null</code> para un array de entrada <code>null</code>.</p>
     * 
     * @param array  un array de <code>Boolean</code>, puede ser <code>null</code>
     * @return un array de <code>boolean</code>, <code>null</code> si el array de entrada es nulo
     * @throws NullPointerException si el contenido del array es <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        
        final boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            result[i] = array[i].booleanValue();
        }
        return result;
    }
}",none,english,none,spanish
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

public class Logger {
    private Map<String, Integer> messageTimestamps;
    private static final int THROTTLE_WINDOW = 10; // 10 second window
    
    public Logger() {
        messageTimestamps = new HashMap<>();
    }

    public boolean shouldPrintMessage(int timestamp, String message) {
        // If message has never been printed before or 10 seconds have elapsed
        if (!messageTimestamps.containsKey(message) || 
            timestamp - messageTimestamps.get(message) >= THROTTLE_WINDOW) {
            
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        return false;
    }
}",english,english,none,none
636766f81a6d9265ec01775c,"package org.apache.commons.lang3;

/**
 * Utility class for Object operations.
 */
public class ObjectUtils {

    /**
     * <p>Obtiene el <code>toString</code> de un <code>Object</code> devolviendo una cadena vacía ("""") 
     * si el argumento es <code>null</code>.</p>
     *
     * <pre>
     * ObjectUtils.toString(null)         = """"
     * ObjectUtils.toString("""")           = """"
     * ObjectUtils.toString(""bat"")        = ""bat""
     * ObjectUtils.toString(Boolean.TRUE) = ""true""
     * </pre>
     *
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  el objeto a procesar mediante <code>toString</code>, puede ser null
     * @return el resultado de aplicar la función ""toString"" al objeto pasado, o una cadena vacía si el argumento es <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }
}",none,english,none,spanish
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;

public class UTF8Decoder {

    /**
     * Decodifica octetos a caracteres utilizando la decodificación UTF-8 y agrega los caracteres a un StringBuffer.
     * @return el índice del siguiente carácter no verificado en la cadena para decodificar
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        int b1 = bb.get(i) & 0xFF;
        
        // Single byte character (ASCII)
        if (b1 <= 0x7F) {
            sb.append((char)b1);
            return i + 1;
        }
        
        // 2-byte sequence
        if ((b1 & 0xE0) == 0xC0) {
            if (i + 1 >= bb.limit()) {
                throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
            }
            int b2 = bb.get(i + 1) & 0xFF;
            if ((b2 & 0xC0) != 0x80) {
                throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
            }
            int ch = ((b1 & 0x1F) << 6) | (b2 & 0x3F);
            sb.append((char)ch);
            return i + 2;
        }
        
        // 3-byte sequence  
        if ((b1 & 0xF0) == 0xE0) {
            if (i + 2 >= bb.limit()) {
                throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
            }
            int b2 = bb.get(i + 1) & 0xFF;
            int b3 = bb.get(i + 2) & 0xFF;
            if ((b2 & 0xC0) != 0x80 || (b3 & 0xC0) != 0x80) {
                throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
            }
            int ch = ((b1 & 0x0F) << 12) | ((b2 & 0x3F) << 6) | (b3 & 0x3F);
            sb.append((char)ch);
            return i + 3;
        }
        
        // 4-byte sequence
        if ((b1 & 0xF8) == 0xF0) {
            if (i + 3 >= bb.limit()) {
                throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
            }
            int b2 = bb.get(i + 1) & 0xFF;
            int b3 = bb.get(i + 2) & 0xFF;
            int b4 = bb.get(i + 3) & 0xFF;
            if ((b2 & 0xC0) != 0x80 || (b3 & 0xC0) != 0x80 || (b4 & 0xC0) != 0x80) {
                throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
            }
            int ch = ((b1 & 0x07) << 18) | ((b2 & 0x3F) << 12) | ((b3 & 0x3F) << 6) | (b4 & 0x3F);
            // Convert to surrogate pair for characters outside BMP
            sb.append(Character.highSurrogate(ch));
            sb.append(Character.lowSurrogate(ch));
            return i + 4;
        }
        
        throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
    }
}",english,english,english,spanish
636766aa1a6d9265ec0175ce,"import java.util.ArrayList;
import java.util.List;

public class StackMapFrameVisitor {
    private Frame currentFrame;
    private List<Frame> frames;
    
    public StackMapFrameVisitor() {
        frames = new ArrayList<>();
    }
    
    private static class Frame {
        int offset;
        int numLocal;
        int numStack;
        int currentIndex;
        
        Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal; 
            this.numStack = numStack;
            this.currentIndex = 0;
        }
    }
    
    int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        currentFrame = new Frame(offset, numLocal, numStack);
        frames.add(currentFrame);
        return currentFrame.currentIndex;
    }
}",none,english,none,none
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] buffer;
    private int position;
    private static final int DEFAULT_CAPACITY = 32;

    public ByteVector() {
        buffer = new byte[DEFAULT_CAPACITY];
        position = 0;
    }

    /**
     * Aumenta este vector de bytes para que pueda recibir una cantidad adicional de bytes definida por el argumento 'size'.
     * @param size número de bytes adicionales que este vector de bytes debería poder recibir.
     */
    private void enlarge(final int size) {
        int newCapacity = Math.max(buffer.length * 2, buffer.length + size);
        buffer = Arrays.copyOf(buffer, newCapacity);
    }
}",none,english,none,spanish
636767821a6d9265ec0183a0,"import java.io.File;

public class FileUtils {

    /**
     * Elimina el archivo especificado si existe
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            file.delete();
        }
    }

}",none,english,none,spanish
