id,generated_code,comments,identifiers,literals,notes
6367676d1a6d9265ec018229,"public class ArrayUtils {

    /**
     * Rimuove gli spazi bianchi dagli elementi dell'array di Stringhe fornito, chiamando <code>String.trim()</code> su ciascuno di essi.
     * @param array l'array di Stringhe originale
     * @return l'array risultante (della stessa dimensione) con elementi privati degli spazi bianchi
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] != null) {
                trimmedArray[i] = array[i].trim();
            } else {
                trimmedArray[i] = null;
            }
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] array = {""  hello "", ""  world  "", null, ""  java  ""};
        String[] trimmedArray = trimArrayElements(array);
        for (String str : trimmedArray) {
            System.out.println(""'"" + str + ""'"");
        }
    }
}",none,english,none,
6367670b1a6d9265ec017a00,"public class ArrayUtils {

    /**
     * <p>Controlla se due array hanno la stessa lunghezza, trattando gli array <code>null</code> come lunghezza <code>0</code>.</p>
     * @param array1 il primo array, può essere <code>null</code>
     * @param array2 il secondo array, può essere <code>null</code>
     * @return <code>true</code> se la lunghezza degli array corrisponde, trattando <code>null</code> come un array vuoto
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        byte[] array1 = {1, 2, 3};
        byte[] array2 = {4, 5, 6};
        byte[] array3 = null;
        byte[] array4 = {7, 8};

        System.out.println(isSameLength(array1, array2)); // true
        System.out.println(isSameLength(array1, array3)); // false
        System.out.println(isSameLength(array3, array4)); // false
    }
}",none,english,none,true e false
636766a91a6d9265ec0175c2,"import java.util.Stack;

public class Frame {
    private Stack<Integer> outputFrameStack;

    public Frame() {
        this.outputFrameStack = new Stack<>();
    }

    /**
     * Estrae un tipo astratto dallo stack del frame di output e restituisce il suo valore.
     * @return il tipo astratto che è stato estratto dallo stack del frame di output.
     */
    private int pop() {
        if (outputFrameStack.isEmpty()) {
            throw new IllegalStateException(""Lo stack del frame di output è vuoto."");
        }
        return outputFrameStack.pop();
    }
}",none,english,italian,
636767081a6d9265ec017989,"public class BooleanArrayConverter {

    /**
     * <p>Converte un array di oggetti Boolean in primitivi.</p>
     * <p>Questo metodo restituisce <code>null</code> per un array di input <code>null</code>.</p>
     * @param array  un array di <code>Boolean</code>, può essere <code>null</code>
     * @return un array di <code>boolean</code>, <code>null</code> se l'array di input è nullo
     * @throws NullPointerException se il contenuto dell'array è <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] result = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] == null) {
                throw new NullPointerException(""Element at index "" + i + "" is null."");
            }
            result[i] = array[i];
        }
        return result;
    }

    public static void main(String[] args) {
        // Test case
        Boolean[] testArray = { true, false, true };
        boolean[] primitiveArray = toPrimitive(testArray);
        for (boolean b : primitiveArray) {
            System.out.println(b);
        }
    }
}",none,english,english,test case
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

public class Logger {
    private Map<String, Integer> messageTimestamps;

    public Logger() {
        messageTimestamps = new HashMap<>();
    }

    /**
     * Restituisce true se il messaggio deve essere stampato nel timestamp fornito, altrimenti restituisce false.
     * Se questo metodo restituisce false, il messaggio non verrà stampato. Il timestamp è in granularità di secondi.
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (messageTimestamps.containsKey(message)) {
            int lastTimestamp = messageTimestamps.get(message);
            if (timestamp - lastTimestamp >= 10) {
                messageTimestamps.put(message, timestamp);
                return true;
            } else {
                return false;
            }
        } else {
            messageTimestamps.put(message, timestamp);
            return true;
        }
    }
}",none,english,none,
636766f81a6d9265ec01775c,"public class ObjectUtils {

    /**
     * <p>Restituisce il <code>toString</code> di un <code>Object</code> restituendo una stringa vuota ("""") se l'input è <code>null</code>.</p>
     * <pre> ObjectUtils.toString(null)         = """"
     * ObjectUtils.toString("""")           = """"
     * ObjectUtils.toString(""bat"")        = ""bat""
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  l'oggetto da <code>toString</code>, può essere null
     * @return il toString dell'oggetto passato, o una stringa vuota se l'input è <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : obj.toString();
    }

    public static void main(String[] args) {
        // Test cases
        System.out.println(toString(null));         // Output: """"
        System.out.println(toString(""""));           // Output: """"
        System.out.println(toString(""bat""));        // Output: ""bat""
        System.out.println(toString(Boolean.TRUE)); // Output: ""true""
    }
}",none,english,none,output e test cases
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;
import java.nio.charset.StandardCharsets;

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
    // Ottieni il byte corrente
    byte b = bb.get(i);
    
    // Determina il numero di byte necessari per il carattere UTF-8
    int numBytes;
    if ((b & 0x80) == 0) {
        // 1 byte: 0xxxxxxx
        numBytes = 1;
    } else if ((b & 0xE0) == 0xC0) {
        // 2 byte: 110xxxxx 10xxxxxx
        numBytes = 2;
    } else if ((b & 0xF0) == 0xE0) {
        // 3 byte: 1110xxxx 10xxxxxx 10xxxxxx
        numBytes = 3;
    } else if ((b & 0xF8) == 0xF0) {
        // 4 byte: 11110xxx 10xxxxxx 10xxxxxx 10xxxxxx
        numBytes = 4;
    } else {
        // Byte non valido per UTF-8
        throw new IllegalArgumentException(""Invalid UTF-8 sequence"");
    }

    // Verifica che ci siano abbastanza byte rimanenti nel buffer
    if (i + numBytes > bb.limit()) {
        throw new IllegalArgumentException(""Incomplete UTF-8 sequence"");
    }

    // Crea un array per contenere i byte del carattere
    byte[] charBytes = new byte[numBytes];
    for (int j = 0; j < numBytes; j++) {
        charBytes[j] = bb.get(i + j);
    }

    // Decodifica i byte in una stringa UTF-8
    String decodedChar = new String(charBytes, StandardCharsets.UTF_8);

    // Aggiungi il carattere decodificato al StringBuilder
    sb.append(decodedChar);

    // Restituisci l'indice del prossimo carattere non controllato
    return i + numBytes;
}",italian,english,english,
636766aa1a6d9265ec0175ce,"public class FrameVisitor {
    private Frame currentFrame;

    public FrameVisitor(Frame currentFrame) {
        this.currentFrame = currentFrame;
    }

    /**
     * Inizia la visita di un nuovo frame della mappa dello stack, memorizzato in {@link #currentFrame}.
     * @param offset   l'offset del bytecode dell'istruzione a cui corrisponde il frame.
     * @param numLocal il numero di variabili locali nel frame.
     * @param numStack il numero di elementi nello stack nel frame.
     * @return l'indice del prossimo elemento da scrivere in questo frame.
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        // Inizializza il nuovo frame con i parametri forniti
        currentFrame = new Frame(offset, numLocal, numStack);

        // Restituisce l'indice del prossimo elemento da scrivere nel frame
        return currentFrame.getNextWriteIndex();
    }

    // Classe interna per rappresentare un frame
    private static class Frame {
        private final int offset;
        private final int numLocal;
        private final int numStack;
        private int nextWriteIndex;

        public Frame(int offset, int numLocal, int numStack) {
            this.offset = offset;
            this.numLocal = numLocal;
            this.numStack = numStack;
            this.nextWriteIndex = 0; // Inizialmente, il prossimo elemento da scrivere è il primo
        }

        public int getNextWriteIndex() {
            return nextWriteIndex;
        }

        public void incrementWriteIndex() {
            nextWriteIndex++;
        }
    }
}",italian,english,none,
636767191a6d9265ec017c0f,"import java.util.Arrays;

public class ByteVector {
    private byte[] data;
    private int capacity;

    public ByteVector(int initialCapacity) {
        this.data = new byte[initialCapacity];
        this.capacity = initialCapacity;
    }

    /**
     * Aumenta la taglia di questo vettore di byte in modo che possa ricevere 'size' byte aggiuntivi.
     * @param size numero di byte aggiuntivi che questo vettore di byte dovrebbe essere in grado di ricevere.
     */
    private void enlarge(final int size) {
        if (size <= 0) {
            throw new IllegalArgumentException(""Size must be greater than 0"");
        }

        int newCapacity = capacity + size;
        byte[] newData = Arrays.copyOf(data, newCapacity);
        data = newData;
        capacity = newCapacity;
    }

    // Other methods of the ByteVector class...
}",english,english,english,
636767821a6d9265ec0183a0,"import java.io.File;

public class FileDeleter {

    /**
     * Elimina il file specificato se esiste
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""File eliminato con successo: "" + fileName);
            } else {
                System.out.println(""Impossibile eliminare il file: "" + fileName);
            }
        } else {
            System.out.println(""Il file non esiste: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Esempio di utilizzo
        deleteFile(""example.txt"");
    }
}",italian,english,italian,
