language,model,n,nloc_mean,ccn_mean,token_count_mean,length_mean,top_nesting_level_mean,flake8_mean,pylint_mean,nloc_std,ccn_std,token_count_std,length_std,top_nesting_level_std,flake8_std,pylint_std
chinese,claude,4100,9.667,4.029,69.687,23.077,1.067,4.561,9.882,9.417,4.815,75.568,16.347,0.264,4.063,6.801
chinese,deepseek,410,7.844,3.295,58.795,16.954,1.005,2.554,7.761,6.564,2.947,50.309,7.844,0.07,1.701,3.415
chinese,gpt,410,5.976,2.588,48.69,14.878,1.002,2.393,7.295,4.491,1.989,39.207,5.575,0.049,1.617,2.929
english,claude,4100,8.896,3.663,64.136,21.755,1.032,5.048,9.729,8.012,3.535,59.56,14.038,0.191,3.836,5.457
english,deepseek,410,7.89,3.29,58.934,17.0,1.007,3.4,8.095,6.824,2.905,51.414,8.341,0.11,2.093,3.481
english,gpt,410,6.012,2.6,48.598,14.924,1.002,3.2,7.688,4.647,2.089,40.318,5.734,0.049,1.859,3.038
hindi,claude,4100,9.527,3.953,69.299,23.097,1.04,5.576,10.322,8.942,4.214,72.38,15.517,0.218,4.365,6.262
hindi,deepseek,410,7.841,3.249,58.673,17.115,1.01,3.532,8.39,6.526,2.869,51.32,7.853,0.156,2.339,3.773
hindi,gpt,410,5.983,2.585,48.12,15.102,1.005,3.276,7.81,4.487,2.044,37.882,5.899,0.07,2.001,3.163
italian,claude,4100,9.095,3.724,65.216,22.284,1.034,5.341,9.931,8.466,3.84,65.264,15.455,0.194,4.041,5.659
italian,deepseek,410,8.029,3.366,60.468,17.11,1.005,3.659,8.373,7.261,3.368,58.374,8.366,0.099,2.447,3.955
italian,gpt,410,5.995,2.627,48.734,14.927,1.002,3.371,7.766,4.494,2.022,38.423,5.579,0.049,2.053,3.124
spanish,claude,4100,9.428,3.84,67.168,22.669,1.031,5.509,10.138,9.086,4.16,69.966,15.396,0.182,4.162,6.141
spanish,deepseek,410,7.946,3.278,59.466,17.007,1.002,3.7,8.373,6.949,3.105,54.135,7.939,0.049,2.229,3.811
spanish,gpt,410,6.002,2.622,48.856,14.9,1.002,3.329,7.785,4.573,2.098,40.317,5.692,0.049,1.945,3.054
