filename,error_ids,error_messages,count
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_0__filter.py,W293 ; W293 ; W293 ; W293 ; W293 ; W293 ; W293 ; W292,blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,8
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_0__get_jwt_user.py,E501 ; W293 ; W293 ; W293 ; W293 ; W293 ; W293 ; W293 ; E501 ; W293 ; W293 ; W292,line too long (135 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; line too long (83 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,12
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_0__is_start_with.py,W293 ; W292,blank line contains whitespace ; no newline at end of file,2
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_0__set_current_user_info_and_log.py,W293 ; W293 ; E501 ; W292,blank line contains whitespace ; blank line contains whitespace ; line too long (81 > 79 characters) ; no newline at end of file,4
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_10__calculate_binary_info.py,E501 ; W293 ; E501 ; W293 ; W293 ; W293 ; W293 ; W293 ; W292,line too long (81 > 79 characters) ; blank line contains whitespace ; line too long (84 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,9
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_10__clean_non_binary_chars.py,E501 ; W293 ; E501 ; W292,line too long (88 > 79 characters) ; blank line contains whitespace ; line too long (89 > 79 characters) ; no newline at end of file,4
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_10__convert_to_ascii.py,E501 ; W293 ; W293 ; W293 ; W292,line too long (81 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,5
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_10__convert_to_utf8.py,E501 ; W293 ; W293 ; W292,line too long (81 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,4
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_11__add.py,W293 ; W293 ; W292,blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,3
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_11__check.py,W292,no newline at end of file,1
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_11__has.py,W293 ; W292,blank line contains whitespace ; no newline at end of file,2
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_11__remove.py,W293 ; W292,blank line contains whitespace ; no newline at end of file,2
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_12__calculate_hand_value.py,E501 ; W293 ; W293 ; W293 ; W293 ; W292,line too long (80 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,6
/Users/saimaafrin/Projects/Project_multilingual/ReplicationPackage-2/data/rebuttal/classeval_generation/python_chinese_claude/iter_8/files/ClassEval_12__check_winner.py,E501 ; W293 ; W292,line too long (104 > 79 characters) ; blank line contains whitespace ; no newline at end of file,3
