id,iter,italian_nloc,italian_ccn,italian_token_count,italian_param_count,italian_length,italian_top_nesting_level,italian_flake8,italian_pylint,english_nloc,english_ccn,english_token_count,english_param_count,english_length,english_top_nesting_level,english_flake8,english_pylint,chinese_nloc,chinese_ccn,chinese_token_count,chinese_param_count,chinese_length,chinese_top_nesting_level,chinese_flake8,chinese_pylint,hindi_nloc,hindi_ccn,hindi_token_count,hindi_param_count,hindi_length,hindi_top_nesting_level,hindi_flake8,hindi_pylint,spanish_nloc,spanish_ccn,spanish_token_count,spanish_param_count,spanish_length,spanish_top_nesting_level,spanish_flake8,spanish_pylint
ClassEval_0::filter,0,7,3,43,2,16,1,3,8,7,3,43,2,16,1,2,8,7,3,43,2,16,1,2,8,7,3,43,2,16,1,2,8,7,3,43,2,16,1,4,8
ClassEval_0::get_jwt_user,0,5,2,39,2,13,1,3,5,5,2,36,2,13,1,3,5,7,2,57,2,15,1,2,5,7,2,54,2,15,1,3,5,5,2,39,2,13,1,3,6
ClassEval_0::is_start_with,0,2,1,19,2,11,1,2,4,2,1,19,2,11,1,2,4,2,1,19,2,11,1,1,4,2,1,19,2,11,1,2,4,2,1,19,2,11,1,3,4
ClassEval_0::set_current_user_info_and_log,0,2,1,15,2,10,1,3,5,2,1,15,2,10,1,2,5,2,1,15,2,10,1,2,5,2,1,15,2,10,1,2,5,2,1,15,2,10,1,3,5
ClassEval_10::calculate_binary_info,0,7,2,75,1,13,1,4,9,7,2,75,1,14,1,5,10,7,2,75,1,13,1,3,8,7,2,71,1,13,1,4,9,5,1,52,1,11,1,4,9
ClassEval_10::clean_non_binary_chars,0,2,1,28,1,9,1,4,5,2,1,28,1,9,1,3,5,2,1,28,1,9,1,3,5,2,1,28,1,9,1,3,5,2,1,28,1,9,1,4,5
ClassEval_10::convert_to_ascii,0,7,2,61,1,14,1,3,7,2,1,12,1,8,1,2,5,7,2,61,1,13,1,2,6,7,2,61,1,14,1,3,7,7,2,61,1,14,1,3,7
ClassEval_10::convert_to_utf8,0,7,2,61,1,13,1,2,6,7,2,61,1,13,1,2,6,7,2,61,1,13,1,2,6,7,2,61,1,13,1,2,6,7,2,61,1,13,1,2,6
ClassEval_11::add,0,3,1,22,2,13,1,4,6,3,1,22,2,13,1,4,6,3,1,22,2,13,1,3,6,3,1,22,2,14,1,5,7,3,1,22,2,13,1,4,6
ClassEval_11::check,0,6,4,35,1,16,1,2,5,4,4,28,1,14,1,2,5,4,4,28,1,14,1,1,4,4,4,28,1,14,1,2,5,4,4,28,1,14,1,2,5
ClassEval_11::has,0,3,1,24,2,13,1,5,7,3,1,24,2,12,1,4,6,3,1,24,2,13,1,3,6,3,1,24,2,14,1,6,8,3,1,24,2,13,1,5,8
ClassEval_11::remove,0,3,1,23,2,13,1,4,6,3,1,23,2,13,1,4,7,3,1,23,2,13,1,3,6,3,1,23,2,14,1,5,7,3,1,23,2,13,1,4,7
ClassEval_12::calculate_hand_value,0,16,6,75,2,27,1,7,7,16,6,75,2,27,1,6,7,16,6,75,2,27,1,2,4,16,6,75,2,27,1,6,6,16,6,75,2,27,1,6,7
ClassEval_12::check_winner,0,15,7,69,3,26,1,5,11,11,4,51,3,22,1,5,9,11,4,51,3,22,1,2,8,11,4,51,3,22,1,5,9,13,6,62,3,24,1,5,11
ClassEval_12::create_deck,0,6,3,69,1,16,1,9,6,6,3,69,1,16,1,9,6,6,3,69,1,16,1,7,5,6,3,69,1,20,1,12,10,6,3,69,1,16,1,9,7
