id,prompt,summary,code,generated_code
62e60f43d76274f8a4026e28,"def hydrate_time(nanoseconds, tz=None):
""""""
Hydrator for `Time` and `LocalTime` values.

:param nanoseconds:
:param tz:
:return: Time
""""""",Convert nanoseconds to a time in fixed format.,"def hydrate_time(nanoseconds, tz=None):
","def hydrate_time(nanoseconds, tz=None):
    """"""
    Hydrator for `Time` and `LocalTime` values.

    :param nanoseconds: The time in nanoseconds to be converted.
    :param tz: Optional timezone information.
    :return: Time
    """"""
    from datetime import datetime, timezone, timedelta

    # Convert nanoseconds to seconds
    seconds = nanoseconds / 1_000_000_000

    # Create a UTC datetime object
    utc_time = datetime.fromtimestamp(seconds, tz=timezone.utc)

    if tz is not None:
        # Convert to the specified timezone
        local_time = utc_time.astimezone(tz)
        return local_time
    return utc_time"
62e60f3bd76274f8a4026e10,"def dehydrate_timedelta(value):
""""""
Dehydrator for `timedelta` values.

:param value:
:type value: timedelta
:return:
""""""",Use the value in timedelta to generate the Structure class.,"def dehydrate_timedelta(value):
","from datetime import timedelta

def dehydrate_timedelta(value):
    """"""
    Dehydrator for `timedelta` values.

    :param value: A timedelta object to be dehydrated.
    :type value: timedelta
    :return: A dictionary representation of the timedelta.
    """"""
    if not isinstance(value, timedelta):
        raise ValueError(""The value must be a timedelta object."")
    
    total_seconds = int(value.total_seconds())
    days = total_seconds // 86400
    hours = (total_seconds % 86400) // 3600
    minutes = (total_seconds % 3600) // 60
    seconds = total_seconds % 60
    
    return {
        'days': days,
        'hours': hours,
        'minutes': minutes,
        'seconds': seconds
    }"
62e60f37d76274f8a4026dfd,"def dehydrate_time(value):
""""""
Dehydrator for `time` values.

:param value:
:type value: Time
:return:
""""""",Use ticks in the Time class to generate the Structure class.,"def dehydrate_time(value):
","def dehydrate_time(value):
    """"""
    Dehydrator for `time` values.

    :param value: A time object to be dehydrated.
    :type value: Time
    :return: A string representation of the time in 'HH:MM:SS' format.
    """"""
    if value is None:
        return None
    return value.strftime('%H:%M:%S')"
62e60f33d76274f8a4026de9,"def dehydrate_point(value):
""""""
Dehydrator for Point data.

:param value:
:type value: Point
:return:
""""""",The structure class is generated based on the value length.,"def dehydrate_point(value):
","def dehydrate_point(value):
    """"""
    Dehydrator for Point data.

    :param value: A Point object to be dehydrated
    :type value: Point
    :return: A dictionary representation of the Point
    """"""
    if not isinstance(value, Point):
        raise ValueError(""Expected a Point instance"")
    
    return {
        'x': value.x,
        'y': value.y,
        'z': value.z
    }"
62e60ed4d76274f8a4026da0,"def keys(self):
""""""
Return the keys of the record.

:return: list of key names
""""""",Returns the __keys property of a class as a List,"def keys(self):
","def keys(self):
    """"""
    Return the keys of the record.

    :return: list of key names
    """"""
    return list(self.__dict__.keys())"
62e60ecfd76274f8a4026d6a,"def protocol_handlers(cls, protocol_version=None):
""""""
Return a dictionary of available Bolt protocol handlers,
keyed by version tuple. If an explicit protocol version is
provided, the dictionary will contain either zero or one items,
depending on whether that version is supported. If no protocol
version is provided, all available versions will be returned.

:param protocol_version: tuple identifying a specific protocol
    version (e.g. (3, 5)) or None
:return: dictionary of version tuple to handler class for all
    relevant and supported protocol versions
:raise TypeError: if protocol version is not passed in a tuple
""""""",Different forms of Bolt protocol handlers are returned based on the value of protocol_version.,"def protocol_handlers(cls, protocol_version=None):
","def protocol_handlers(cls, protocol_version=None):
    """"""
    Return a dictionary of available Bolt protocol handlers,
    keyed by version tuple. If an explicit protocol version is
    provided, the dictionary will contain either zero or one items,
    depending on whether that version is supported. If no protocol
    version is provided, all available versions will be returned.

    :param protocol_version: tuple identifying a specific protocol
        version (e.g. (3, 5)) or None
    :return: dictionary of version tuple to handler class for all
        relevant and supported protocol versions
    :raise TypeError: if protocol version is not passed in a tuple
    """"""
    if protocol_version is not None and not isinstance(protocol_version, tuple):
        raise TypeError(""protocol_version must be a tuple"")

    handlers = {
        (3, 0): ""HandlerFor3_0"",
        (3, 1): ""HandlerFor3_1"",
        (3, 2): ""HandlerFor3_2"",
        (3, 3): ""HandlerFor3_3"",
        (3, 4): ""HandlerFor3_4"",
        (3, 5): ""HandlerFor3_5"",
    }

    if protocol_version is not None:
        return {protocol_version: handlers.get(protocol_version)} if protocol_version in handlers else {}

    return handlers"
62e60e49d76274f8a4026d25,"def unit_of_work(metadata=None, timeout=None):
""""""
This function is a decorator for transaction functions that allows extra control over how the transaction is carried out.

For example, a timeout may be applied::

    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadata:
    a dictionary with metadata.
    Specified metadata will be attached to the executing transaction and visible in the output of ``dbms.listQueries`` and ``dbms.listTransactions`` procedures.
    It will also get logged to the ``query.log``.
    This functionality makes it easier to tag transactions and is equivalent to ``dbms.setTXMetaData`` procedure, see https://neo4j.com/docs/operations-manual/current/reference/procedures/ for procedure reference.
:type metadata: dict

:param timeout:
    the transaction timeout in seconds.
    Transactions that execute longer than the configured timeout will be terminated by the database.
    This functionality allows to limit query/transaction execution time.
    Specified timeout overrides the default timeout configured in the database using ``dbms.transaction.timeout`` setting.
    Value should not represent a negative duration.
    A zero duration will make the transaction execute indefinitely.
    None will use the default timeout configured in the database.
:type timeout: float or :const:`None`
""""""",Returns a decorator with metadata and timeout attributes.,"def unit_of_work(metadata=None, timeout=None):
","def unit_of_work(metadata=None, timeout=None):
    """"""
    This function is a decorator for transaction functions that allows extra control over how the transaction is carried out.

    For example, a timeout may be applied::

        from neo4j import unit_of_work

        @unit_of_work(timeout=100)
        def count_people_tx(tx):
            result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
            record = result.single()
            return record[""persons""]

    :param metadata:
        a dictionary with metadata.
        Specified metadata will be attached to the executing transaction and visible in the output of ``dbms.listQueries`` and ``dbms.listTransactions`` procedures.
        It will also get logged to the ``query.log``.
        This functionality makes it easier to tag transactions and is equivalent to ``dbms.setTXMetaData`` procedure, see https://neo4j.com/docs/operations-manual/current/reference/procedures/ for procedure reference.
    :type metadata: dict

    :param timeout:
        the transaction timeout in seconds.
        Transactions that execute longer than the configured timeout will be terminated by the database.
        This functionality allows to limit query/transaction execution time.
        Specified timeout overrides the default timeout configured in the database using ``dbms.transaction.timeout`` setting.
        Value should not represent a negative duration.
        A zero duration will make the transaction execute indefinitely.
        None will use the default timeout configured in the database.
    :type timeout: float or :const:`None`
    """"""
    def decorator(func):
        def wrapper(*args, **kwargs):
            # Here you would typically start a transaction and apply the metadata and timeout
            # This is a placeholder for the actual transaction handling logic
            print(f""Starting transaction with metadata: {metadata} and timeout: {timeout}"")
            # Call the original function
            result = func(*args, **kwargs)
            # Here you would typically commit the transaction
            print(""Transaction completed."")
            return result
        return wrapper
    return decorator"
62e60e05d76274f8a4026cfd,"def index(self, key):
""""""
Return the index of the given item.

:param key: a key
:return: index
:rtype: int
""""""",Returns the key in the form of int.,"def index(self, key):
","def index(self, key):
    """"""
    Return the index of the given item.

    :param key: a key
    :return: index
    :rtype: int
    """"""
    try:
        return self.items.index(key)
    except ValueError:
        return -1  # Return -1 if the key is not found"
62e60da4d76274f8a4026cf1,"def values(self, *keys):
""""""
Return the values of the record, optionally filtering to
include only certain values by index or key.

:param keys: indexes or keys of the items to include; if none
             are provided, all values will be included
:return: list of values
:rtype: list
""""""",Returns the key filtered by self.index in the form of a list.,"def values(self, *keys):
","def values(self, *keys):
    """"""
    Return the values of the record, optionally filtering to
    include only certain values by index or key.

    :param keys: indexes or keys of the items to include; if none
                 are provided, all values will be included
    :return: list of values
    :rtype: list
    """"""
    if not keys:
        return list(self.record.values())
    
    return [self.record[key] for key in keys if key in self.record]"
62e60b10d76274f8a4026ccd,"def data(self, *keys):
""""""
Return the keys and values of this record as a dictionary,
optionally including only certain values by index or key. Keys
provided in the items that are not in the record will be
inserted with a value of :const:`None`; indexes provided
that are out of bounds will trigger an :exc:`IndexError`.

:param keys: indexes or keys of the items to include; if none
              are provided, all values will be included
:return: dictionary of values, keyed by field name
:raises: :exc:`IndexError` if an out-of-bounds index is specified
""""""",Returns the keys processed by the transform method of the RecordExporter class.,"def data(self, *keys):
","def data(self, *keys):
    """"""
    Return the keys and values of this record as a dictionary,
    optionally including only certain values by index or key. Keys
    provided in the items that are not in the record will be
    inserted with a value of :const:`None`; indexes provided
    that are out of bounds will trigger an :exc:`IndexError`.

    :param keys: indexes or keys of the items to include; if none
                  are provided, all values will be included
    :return: dictionary of values, keyed by field name
    :raises: :exc:`IndexError` if an out-of-bounds index is specified
    """"""
    record_dict = {}
    for key in keys:
        if isinstance(key, int):
            if key < 0 or key >= len(self):
                raise IndexError(""Index out of bounds"")
            record_dict[self.keys()[key]] = self.values()[key]
        else:
            record_dict[key] = self.get(key, None)
    
    if not keys:
        return dict(zip(self.keys(), self.values()))
    
    return record_dict"
