id,prompt,summary,code,translation,correction,correction_tag,generated_code
62e60f43d76274f8a4026e28,"Convert nanoseconds to a time in fixed format.
def hydrate_time(nanoseconds, tz=None):

Hydrator for `Time` and `LocalTime` values.

:param nanoseconds:
:param tz:
:return: Time",Convert nanoseconds to a time in fixed format.,"def hydrate_time(nanoseconds, tz=None):
","Convertir nanosegundos a un tiempo en formato fijo.
```python
def hydrate_time(nanoseconds, tz=None):
```

Hidratador para valores de `Time` y `LocalTime`.

:param nanoseconds:  
:param tz:  
:return: Tiempo","def hydrate_time(nanoseconds, tz=None):
""""""
Hidratador para valores de `Time` y `LocalTime`.

:param nanoseconds:  
:param tz:  
:return: Time
""""""","['RemoveProgrammingLanguageContext', 'RollbackPartialVarTranslation']",
62e60f3bd76274f8a4026e10,"Use the value in timedelta to generate the Structure class.
def dehydrate_timedelta(value):

Dehydrator for `timedelta` values.

:param value:
:type value: timedelta
:return:",Use the value in timedelta to generate the Structure class.,"def dehydrate_timedelta(value):
","Usa el valor en `timedelta` para generar la clase `Structure`.
```python
def dehydrate_timedelta(value):
```

Deshidratador para valores de `timedelta`.

:param value:  
:type value: timedelta  
:return:  ","def dehydrate_timedelta(value):
""""""
Deshidratador para valores de `timedelta`.

:param value:  
:type value: timedelta  
:return:  
""""""",['RemoveProgrammingLanguageContext'],
62e60f37d76274f8a4026dfd,"Use ticks in the Time class to generate the Structure class.
def dehydrate_time(value):

Dehydrator for `time` values.

:param value:
:type value: Time
:return:",Use ticks in the Time class to generate the Structure class.,"def dehydrate_time(value):
","Usa ticks en la clase Time para generar la clase Structure.
def dehydrate_time(value):
```

Deshidratador para valores de tipo `time`.

:param value:  
:type value: Time  
:return:  ","def dehydrate_time(value):
""""""
Deshidratador para valores de tipo `time`.

:param value:  
:type value: Time  
:return:  
""""""","['RemoveProgrammingLanguageContext', 'AddQuotesForEnglishWordsInText']",
62e60f33d76274f8a4026de9,"The structure class is generated based on the value length.
def dehydrate_point(value):

Dehydrator for Point data.

:param value:
:type value: Point
:return:",The structure class is generated based on the value length.,"def dehydrate_point(value):
","La clase de estructura se genera en función de la longitud del valor.  
def dehydrate_point(value):  

Deshidratador para datos de tipo Point.  

:param value:  
:type value: Point  
:return:  ","def dehydrate_point(value):  
""""""
Deshidratador para datos de tipo `Point`.  

:param value:  
:type value: Point  
:return:  
""""""","['RemoveEncodedAccentInText', 'AddQuotesForEnglishWordsInText', 'FixTranslation']",
62e60ed4d76274f8a4026da0,"Returns the __keys property of a class as a List
def keys(self):

Return the keys of the record.

:return: list of key names",Returns the __keys property of a class as a List,"def keys(self):
","Devuelve la propiedad __keys de una clase como una Lista  
def keys(self):  

Devuelve las claves del registro.  

:return: lista de nombres de claves  ","def keys(self):
""""""
Devuelve las claves del registro.

:return: lista de nombres de claves
""""""","['AddQuotesForEnglishWordsInText', 'RemoveExtraWhitespaces']",
62e60ecfd76274f8a4026d6a,"Different forms of Bolt protocol handlers are returned based on the value of protocol_version.
def protocol_handlers(cls, protocol_version=None):

Return a dictionary of available Bolt protocol handlers,
keyed by version tuple. If an explicit protocol version is
provided, the dictionary will contain either zero or one items,
depending on whether that version is supported. If no protocol
version is provided, all available versions will be returned.

:param protocol_version: tuple identifying a specific protocol
    version (e.g. (3, 5)) or None
:return: dictionary of version tuple to handler class for all
    relevant and supported protocol versions
:raise TypeError: if protocol version is not passed in a tuple",Different forms of Bolt protocol handlers are returned based on the value of protocol_version.,"def protocol_handlers(cls, protocol_version=None):
","Diferentes formas de manejadores del protocolo Bolt se devuelven según el valor de `protocol_version`.

```python
def protocol_handlers(cls, protocol_version=None):
```

Devuelve un diccionario de los manejadores disponibles del protocolo Bolt, indexados por una tupla de versión. Si se proporciona una versión de protocolo explícita, el diccionario contendrá cero o un elemento, dependiendo de si esa versión es compatible. Si no se proporciona ninguna versión de protocolo, se devolverán todas las versiones disponibles.

:param protocol_version: tupla que identifica una versión específica del protocolo 
    (por ejemplo, (3, 5)) o None
:return: diccionario que mapea una tupla de versión a la clase del manejador para 
    todas las versiones relevantes y compatibles del protocolo
:raise TypeError: si la versión del protocolo no se pasa como una tupla","def protocol_handlers(cls, protocol_version=None):
""""""
Devuelve un diccionario de los manejadores disponibles del protocolo Bolt, indexados por una tupla de versión. Si se proporciona una versión de protocolo explícita, el diccionario contendrá cero o un elemento, dependiendo de si esa versión es soportada. Si no se proporciona ninguna versión de protocolo, se devolverán todas las versiones disponibles.

:param protocol_version: tupla que identifica una versión específica del protocolo 
    (por ejemplo, (3, 5)) o None
:return: diccionario que mapea una tupla de versión a la clase del manejador para 
    todas las versiones relevantes y compatibles del protocolo
:raise TypeError: si la versión del protocolo no se pasa como una tupla
""""""","['RemoveProgrammingLanguageContext', 'RemoveEncodedAccentInText', 'FixTranslation']",
62e60e49d76274f8a4026d25,"Returns a decorator with metadata and timeout attributes.
def unit_of_work(metadata=None, timeout=None):

This function is a decorator for transaction functions that allows extra control over how the transaction is carried out.

For example, a timeout may be applied::

    from neo4j import unit_of_work

    @unit_of_work(timeout=100)
    def count_people_tx(tx):
        result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
        record = result.single()
        return record[""persons""]

:param metadata:
    a dictionary with metadata.
    Specified metadata will be attached to the executing transaction and visible in the output of ``dbms.listQueries`` and ``dbms.listTransactions`` procedures.
    It will also get logged to the ``query.log``.
    This functionality makes it easier to tag transactions and is equivalent to ``dbms.setTXMetaData`` procedure, see https://neo4j.com/docs/operations-manual/current/reference/procedures/ for procedure reference.
:type metadata: dict

:param timeout:
    the transaction timeout in seconds.
    Transactions that execute longer than the configured timeout will be terminated by the database.
    This functionality allows to limit query/transaction execution time.
    Specified timeout overrides the default timeout configured in the database using ``dbms.transaction.timeout`` setting.
    Value should not represent a negative duration.
    A zero duration will make the transaction execute indefinitely.
    None will use the default timeout configured in the database.
:type timeout: float or :const:`None`",Returns a decorator with metadata and timeout attributes.,"def unit_of_work(metadata=None, timeout=None):
","Devuelve un decorador con atributos de metadatos y tiempo de espera (timeout).  
`def unit_of_work(metadata=None, timeout=None):`

Esta función es un decorador para funciones de transacción que permite un control adicional sobre cómo se lleva a cabo la transacción.

Por ejemplo, se puede aplicar un tiempo de espera (timeout)::

```python
from neo4j import unit_of_work

@unit_of_work(timeout=100)
def count_people_tx(tx):
    result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
    record = result.single()
    return record[""persons""]
```

**:param metadata:**  
Un diccionario con metadatos.  
Los metadatos especificados se adjuntarán a la transacción en ejecución y serán visibles en la salida de los procedimientos ``dbms.listQueries`` y ``dbms.listTransactions``.  
También se registrarán en el archivo ``query.log``.  
Esta funcionalidad facilita etiquetar transacciones y es equivalente al procedimiento ``dbms.setTXMetaData``. Consulte la referencia del procedimiento en: https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
**:type metadata:** dict  

**:param timeout:**  
El tiempo de espera de la transacción en segundos.  
Las transacciones que se ejecuten durante más tiempo que el tiempo de espera configurado serán terminadas por la base de datos.  
Esta funcionalidad permite limitar el tiempo de ejecución de consultas/transacciones.  
El tiempo de espera especificado sobrescribe el tiempo de espera predeterminado configurado en la base de datos mediante la configuración ``dbms.transaction.timeout``.  
El valor no debe representar una duración negativa.  
Una duración de cero hará que la transacción se ejecute indefinidamente.  
Un valor de `None` utilizará el tiempo de espera predeterminado configurado en la base de datos.  
**:type timeout:** float o :const:`None`","def unit_of_work(metadata=None, timeout=None):`
""""""
Esta función es un decorador para funciones de transacción que permite un control adicional sobre cómo se lleva a cabo la transacción.

Por ejemplo, se puede aplicar un tiempo de espera (timeout)::

from neo4j import unit_of_work

@unit_of_work(timeout=100)
def count_people_tx(tx):
    result = tx.run(""MATCH (a:Person) RETURN count(a) AS persons"")
    record = result.single()
    return record[""persons""]

:param metadata:
Un diccionario con metadatos.  
Los metadatos especificados se adjuntarán a la transacción en ejecución y serán visibles en la salida de los procedimientos ``dbms.listQueries`` y ``dbms.listTransactions``.  
También se registrarán en el archivo ``query.log``.  
Esta funcionalidad facilita etiquetar transacciones y es equivalente al procedimiento ``dbms.setTXMetaData``. Consulte la referencia del procedimiento en: https://neo4j.com/docs/operations-manual/current/reference/procedures/.  
:type metadata: dict  

:param timeout:  
El tiempo de espera de la transacción en segundos.  
Las transacciones que se ejecuten durante más tiempo que el tiempo de espera configurado serán terminadas por la base de datos.  
Esta funcionalidad permite limitar el tiempo de ejecución de consultas/transacciones.  
El tiempo de espera especificado sobrescribe el tiempo de espera predeterminado configurado en la base de datos mediante la configuración ``dbms.transaction.timeout``.  
El valor no debe representar una duración negativa.  
Una duración de cero hará que la transacción se ejecute indefinidamente.  
Un valor de `None` utilizará el tiempo de espera predeterminado configurado en la base de datos.  
:type timeout: float o :const:`None`
""""""","['RemoveEncodedAccentInText', 'RemoveProgrammingLanguageContext']",
62e60e05d76274f8a4026cfd,"Returns the key in the form of int.
def index(self, key):

Return the index of the given item.

:param key: a key
:return: index
:rtype: int",Returns the key in the form of int.,"def index(self, key):
","Devuelve la clave en forma de entero.  
```python
def index(self, key):
```

Devuelve el índice del elemento dado.

:param key: una clave  
:return: índice  
:rtype: int  ","def index(self, key):
""""""
Devuelve el índice del elemento dado.

:param key: una clave  
:return: index  
:rtype: int
""""""","['RemoveEncodedAccentInText', 'RemoveProgrammingLanguageContext', 'RollbackPartialVarTranslation']",
62e60da4d76274f8a4026cf1,"Returns the key filtered by self.index in the form of a list.
def values(self, *keys):

Return the values of the record, optionally filtering to
include only certain values by index or key.

:param keys: indexes or keys of the items to include; if none
             are provided, all values will be included
:return: list of values
:rtype: list",Returns the key filtered by self.index in the form of a list.,"def values(self, *keys):
","Devuelve la clave filtrada por `self.index` en forma de una lista.

```python
def values(self, *keys):
```

Devuelve los valores del registro, opcionalmente filtrando para incluir solo ciertos valores por índice o clave.

:param keys: índices o claves de los elementos a incluir; si no se proporcionan, se incluirán todos los valores  
:return: lista de valores  
:rtype: list","def values(self, *keys):
""""""
Devuelve los valores del registro, filtrando opcionalmente para incluir solo ciertos valores por índice o clave.

:param keys: índices o claves de los elementos a incluir; si no se proporcionan, se incluirán todos los valores  
:return: lista de valores  
:rtype: list
""""""","['RemoveEncodedAccentInText', 'RemoveProgrammingLanguageContext', 'FixTranslation']",
62e60b10d76274f8a4026ccd,"Returns the keys processed by the transform method of the RecordExporter class.
def data(self, *keys):

Return the keys and values of this record as a dictionary,
optionally including only certain values by index or key. Keys
provided in the items that are not in the record will be
inserted with a value of :const:`None`; indexes provided
that are out of bounds will trigger an :exc:`IndexError`.

:param keys: indexes or keys of the items to include; if none
              are provided, all values will be included
:return: dictionary of values, keyed by field name
:raises: :exc:`IndexError` if an out-of-bounds index is specified",Returns the keys processed by the transform method of the RecordExporter class.,"def data(self, *keys):
","Devuelve las claves procesadas por el método `transform` de la clase `RecordExporter`.

```python
def data(self, *keys):
```

Devuelve las claves y valores de este registro como un diccionario, opcionalmente incluyendo solo ciertos valores por índice o clave. Las claves proporcionadas en los elementos que no están en el registro se insertarán con un valor de :const:`None`; los índices proporcionados que estén fuera de los límites generarán una excepción :exc:`IndexError`.

:param keys: índices o claves de los elementos a incluir; si no se proporciona ninguno, se incluirán todos los valores.  
:return: diccionario de valores, indexado por el nombre del campo.  
:raises: :exc:`IndexError` si se especifica un índice fuera de los límites.  ","def data(self, *keys):
""""""
Devuelve las claves y valores de este registro como un diccionario, opcionalmente incluyendo solo ciertos valores por índice o clave. Las claves proporcionadas en los elementos que no están en el registro se insertarán con un valor de :const:`None`; los índices proporcionados que están fuera de los límites generarán una excepción :exc:`IndexError`.

:param keys: índices o claves de los elementos a incluir; si no se proporciona ninguno, se incluirán todos los valores.
:return: diccionario de valores, indexado por el nombre del campo.  
:raises: :exc:`IndexError` si se especifica un índice fuera de los límites.  
""""""","['RemoveEncodedAccentInText', 'RemoveProgrammingLanguageContext']",
