filename,error_ids,error_messages,count
./Data/generation/python_english_claude/iter_9/files/62b43425903eeb48555d3ea1.py,D100 ; F821 ; F821 ; W292,Missing docstring in public module ; undefined name 'Pattern' ; undefined name 're' ; no newline at end of file,4
./Data/generation/python_english_claude/iter_9/files/62b43426903eeb48555d3ea2.py,D100 ; F821 ; F821 ; C812 ; W292,Missing docstring in public module ; undefined name '_converting' ; undefined name '_converting' ; missing trailing comma ; no newline at end of file,5
./Data/generation/python_english_claude/iter_9/files/62b43427903eeb48555d3ea5.py,CCR001 ; D100 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; D205 ; D400 ; E501 ; E501 ; W293 ; F821 ; W293 ; W293 ; W293 ; W293 ; W293 ; W293 ; W293 ; W292,Cognitive complexity is too high (22 > 7) ; Missing docstring in public module ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Sequence' ; undefined name 'Any' ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (86 > 79 characters) ; line too long (90 > 79 characters) ; blank line contains whitespace ; undefined name 'Sequence' ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,31
./Data/generation/python_english_claude/iter_9/files/62b43428903eeb48555d3eaa.py,D100 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; F821 ; E501 ; D205 ; D400 ; E501 ; E501 ; E501 ; W293 ; E501 ; W293 ; W292,Missing docstring in public module ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'Iterable' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'Iterable' ; undefined name 'Sequence' ; line too long (90 > 79 characters) ; undefined name 'Any' ; undefined name 'Tuple' ; undefined name 'AnyStr' ; undefined name 'Union' ; undefined name 'List' ; undefined name 'Dict' ; undefined name 'Union' ; undefined name 'Any' ; undefined name 'List' ; undefined name 'Sequence' ; undefined name 'Any' ; line too long (81 > 79 characters) ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (94 > 79 characters) ; line too long (83 > 79 characters) ; line too long (98 > 79 characters) ; blank line contains whitespace ; line too long (96 > 79 characters) ; blank line contains whitespace ; no newline at end of file,31
./Data/generation/python_english_claude/iter_9/files/62b438a266fea644fe22cc2c.py,D100 ; D200 ; W293 ; E501 ; W293 ; W293 ; W291 ; W293 ; F841 ; W293 ; W292,Missing docstring in public module ; One-line docstring should fit on one line with quotes ; blank line contains whitespace ; line too long (81 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; trailing whitespace ; blank line contains whitespace ; local variable 'list_parser' is assigned to but never used ; blank line contains whitespace ; no newline at end of file,11
./Data/generation/python_english_claude/iter_9/files/62b438a266fea644fe22cc2d.py,D100 ; D205 ; D400 ; E501 ; E501 ; E501 ; E501 ; W293 ; B001 ; E722 ; W293 ; W292,"Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (91 > 79 characters) ; line too long (97 > 79 characters) ; line too long (81 > 79 characters) ; line too long (96 > 79 characters) ; blank line contains whitespace ; Do not use bare `except:`, it also catches unexpected events like memory errors, interrupts, system exit, and so on.  Prefer excepting specific exceptions  If you're sure what you're doing, be explicit and write `except BaseException:`. ; do not use bare 'except' ; blank line contains whitespace ; no newline at end of file",12
./Data/generation/python_english_claude/iter_9/files/62b438a266fea644fe22cc2e.py,D100 ; D205 ; D400 ; E501 ; E501 ; E501 ; W293 ; E501 ; W293 ; W293 ; E501 ; E501 ; W293 ; E501 ; W293 ; E501 ; W293 ; W293 ; C812 ; W293 ; C812 ; C812 ; W293 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (99 > 79 characters) ; line too long (95 > 79 characters) ; line too long (80 > 79 characters) ; blank line contains whitespace ; line too long (87 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; line too long (87 > 79 characters) ; line too long (89 > 79 characters) ; blank line contains whitespace ; line too long (91 > 79 characters) ; blank line contains whitespace ; line too long (80 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; missing trailing comma ; blank line contains whitespace ; missing trailing comma ; missing trailing comma ; blank line contains whitespace ; no newline at end of file,24
./Data/generation/python_english_claude/iter_9/files/62b438b566fea644fe22cc70.py,D100 ; D205 ; D400 ; E501 ; E501 ; W293 ; E501 ; E501 ; E501 ; E501 ; E501 ; W292 ; E501,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (92 > 79 characters) ; line too long (115 > 79 characters) ; blank line contains whitespace ; line too long (112 > 79 characters) ; line too long (112 > 79 characters) ; line too long (109 > 79 characters) ; line too long (89 > 79 characters) ; line too long (103 > 79 characters) ; no newline at end of file ; line too long (1456 > 79 characters),13
./Data/generation/python_english_claude/iter_9/files/62b438b666fea644fe22cc72.py,D100 ; D205 ; D400 ; E501 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (93 > 79 characters) ; no newline at end of file,5
./Data/generation/python_english_claude/iter_9/files/62b438b666fea644fe22cc78.py,D100 ; D205 ; D400 ; E501 ; W293 ; E501 ; W293 ; E501 ; W293 ; W293 ; W292,Missing docstring in public module ; 1 blank line required between summary line and description ; First line should end with a period ; line too long (99 > 79 characters) ; blank line contains whitespace ; line too long (80 > 79 characters) ; blank line contains whitespace ; line too long (97 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file,11
./Data/generation/python_english_claude/iter_9/files/62b438ba66fea644fe22cca2.py,CCR001 ; D100 ; D103 ; W293 ; E501 ; W293 ; W293 ; W293 ; E129 ; E501 ; W293 ; E231 ; E231 ; E501 ; E231 ; E231 ; W293 ; W293 ; W293 ; E501 ; W293 ; W293 ; W292,"Cognitive complexity is too high (14 > 7) ; Missing docstring in public module ; Missing docstring in public function ; blank line contains whitespace ; line too long (90 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; visually indented line with same indent as next logical line ; line too long (86 > 79 characters) ; blank line contains whitespace ; missing whitespace after ',' ; missing whitespace after ',' ; line too long (81 > 79 characters) ; missing whitespace after ',' ; missing whitespace after ',' ; blank line contains whitespace ; blank line contains whitespace ; blank line contains whitespace ; line too long (94 > 79 characters) ; blank line contains whitespace ; blank line contains whitespace ; no newline at end of file",23
