id,generated_code,comments,identifiers,literals,docstring,Notes
6367676d1a6d9265ec018229,"public class StringArrayTrimmer {
    
    /** 
     * Recorta los elementos del arreglo de Strings dado, llamando a <code>String.trim()</code> en cada uno de ellos.
     * @param arreglo de Strings original
     * @return el arreglo resultante (del mismo tamaño) con elementos recortados
     */
    public static String[] trimArrayElements(String[] array) {
        if (array == null) {
            return null;
        }
        
        String[] trimmedArray = new String[array.length];
        for (int i = 0; i < array.length; i++) {
            trimmedArray[i] = array[i] != null ? array[i].trim() : null;
        }
        return trimmedArray;
    }

    public static void main(String[] args) {
        String[] originalArray = {""  Hello  "", ""  World  "", null, ""  Java  ""};
        String[] trimmedArray = trimArrayElements(originalArray);
        
        for (String str : trimmedArray) {
            System.out.println(str);
        }
    }
}",none,english,english,spanish,
6367670b1a6d9265ec017a00,"public class ArrayLengthChecker {
    
    /** 
     * <p>Verifica si dos arreglos tienen la misma longitud, tratando los arreglos <code>null</code> como longitud <code>0</code>.</p>
     * @param array1 el primer arreglo, puede ser <code>null</code>
     * @param array2 el segundo arreglo, puede ser <code>null</code>
     * @return <code>true</code> si la longitud de los arreglos coincide, tratando <code>null</code> como un arreglo vacío
     */
    public static boolean isSameLength(final byte[] array1, final byte[] array2) {
        int length1 = (array1 == null) ? 0 : array1.length;
        int length2 = (array2 == null) ? 0 : array2.length;
        return length1 == length2;
    }

    public static void main(String[] args) {
        // Ejemplos de uso
        byte[] arr1 = {1, 2, 3};
        byte[] arr2 = {4, 5, 6};
        byte[] arr3 = null;

        System.out.println(isSameLength(arr1, arr2)); // true
        System.out.println(isSameLength(arr1, arr3)); // false
        System.out.println(isSameLength(arr3, arr3)); // true
    }
}",none,english,none,spanish,
636766a91a6d9265ec0175c2,"public class StackFrame {
    private int[] stack;
    private int top;

    public StackFrame(int size) {
        stack = new int[size];
        top = -1;
    }

    public void push(int value) {
        if (top < stack.length - 1) {
            stack[++top] = value;
        } else {
            throw new RuntimeException(""Stack overflow"");
        }
    }

    /** 
     * Extrae un tipo abstracto de la pila de marcos de salida y devuelve su valor.
     * @return el tipo abstracto que ha sido extraído de la pila de marcos de salida.
     */
    private int pop() {
        if (top >= 0) {
            return stack[top--];
        } else {
            throw new RuntimeException(""Stack underflow"");
        }
    }

    public static void main(String[] args) {
        StackFrame stackFrame = new StackFrame(5);
        stackFrame.push(10);
        stackFrame.push(20);
        System.out.println(""Popped value: "" + stackFrame.pop()); // Should print 20
        System.out.println(""Popped value: "" + stackFrame.pop()); // Should print 10
    }
}",none,english,english,spanish,
636767081a6d9265ec017989,"public class BooleanArrayConverter {

    /** 
     * <p>Convierte un array de objetos Boolean a primitivos.</p> 
     * <p>Este método devuelve <code>null</code> para un array de entrada <code>null</code>.</p>
     * @param array  un array de <code>Boolean</code>, puede ser <code>null</code>
     * @return un array de <code>boolean</code>, <code>null</code> si el array de entrada es nulo
     * @throws NullPointerException si el contenido del array es <code>null</code>
     */
    public static boolean[] toPrimitive(final Boolean[] array) {
        if (array == null) {
            return null;
        }
        boolean[] primitiveArray = new boolean[array.length];
        for (int i = 0; i < array.length; i++) {
            if (array[i] == null) {
                throw new NullPointerException(""El contenido del array no puede ser nulo"");
            }
            primitiveArray[i] = array[i];
        }
        return primitiveArray;
    }

    public static void main(String[] args) {
        Boolean[] booleanArray = {true, false, null, true};
        try {
            boolean[] result = toPrimitive(booleanArray);
            for (boolean b : result) {
                System.out.println(b);
            }
        } catch (NullPointerException e) {
            System.out.println(e.getMessage());
        }
    }
}",none,english,spanish,spanish,
6367672d1a6d9265ec017c73,"import java.util.HashMap;
import java.util.Map;

public class MessagePrinter {
    private Map<String, Integer> messageTimestamps;

    public MessagePrinter() {
        messageTimestamps = new HashMap<>();
    }

    /** 
     * Devuelve ""true"" si el mensaje debe imprimirse en la tiempo dada, de lo contrario devuelve falso. 
     * Si este método devuelve falso, el mensaje no se imprimirá. El tiempo está en segundos. 
     */
    public boolean shouldPrintMessage(int timestamp, String message) {
        if (!messageTimestamps.containsKey(message)) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        int lastTimestamp = messageTimestamps.get(message);
        if (timestamp - lastTimestamp >= 10) {
            messageTimestamps.put(message, timestamp);
            return true;
        }
        
        return false;
    }

    public static void main(String[] args) {
        MessagePrinter printer = new MessagePrinter();
        System.out.println(printer.shouldPrintMessage(1, ""Hello"")); // true
        System.out.println(printer.shouldPrintMessage(2, ""Hello"")); // false
        System.out.println(printer.shouldPrintMessage(11, ""Hello"")); // true
        System.out.println(printer.shouldPrintMessage(12, ""Hello"")); // false
    }
}",none,english,english,spanish,
636766f81a6d9265ec01775c,"public class ObjectUtils {

    /** 
     * <p>Obtiene el <code>toString</code> de un <code>Object</code> devolviendo una cadena vacía ("""") si el argumento es <code>null</code>.</p> 
     * <pre> 
     * ObjectUtils.toString(null)         = """" 
     * ObjectUtils.toString("""")           = """" 
     * ObjectUtils.toString(""bat"")        = ""bat"" 
     * ObjectUtils.toString(Boolean.TRUE) = ""true"" 
     * </pre>
     * @see StringUtils#defaultString(String)
     * @see String#valueOf(Object)
     * @param obj  el objeto a procesar mediante <code>toString</code>, puede ser null
     * @return el resultado de aplicar la función ""toString"" al objeto pasado, o una cadena vacía si el argumento es <code>null</code>
     * @since 2.0
     */
    public static String toString(Object obj) {
        return obj == null ? """" : String.valueOf(obj);
    }

    public static void main(String[] args) {
        System.out.println(toString(null));         // Output: """"
        System.out.println(toString(""""));           // Output: """"
        System.out.println(toString(""bat""));        // Output: ""bat""
        System.out.println(toString(Boolean.TRUE)); // Output: ""true""
    }
}",english,english,none,spanish,
6367667f1a6d9265ec017457,"import java.nio.ByteBuffer;

public class Decoder {

    /** 
     * Decodifica octetos a caracteres utilizando la decodificación UTF-8 y agrega los caracteres a un StringBuffer.
     * @return el índice del siguiente carácter no verificado en la cadena para decodificar
     */
    private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
        while (i < bb.limit()) {
            int b = bb.get(i) & 0xFF; // Get the byte and convert to unsigned
            if ((b & 0x80) == 0) { // 1-byte character (ASCII)
                sb.append((char) b);
                i++;
            } else if ((b & 0xE0) == 0xC0) { // 2-byte character
                if (i + 1 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                if ((b2 & 0xC0) != 0x80) break; // Invalid continuation byte
                sb.append((char) (((b & 0x1F) << 6) | (b2 & 0x3F)));
                i += 2;
            } else if ((b & 0xF0) == 0xE0) { // 3-byte character
                if (i + 2 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                int b3 = bb.get(i + 2) & 0xFF;
                if ((b2 & 0xC0) != 0x80 || (b3 & 0xC0) != 0x80) break; // Invalid continuation bytes
                sb.append((char) (((b & 0x0F) << 12) | ((b2 & 0x3F) << 6) | (b3 & 0x3F)));
                i += 3;
            } else if ((b & 0xF8) == 0xF0) { // 4-byte character
                if (i + 3 >= bb.limit()) break; // Check for enough bytes
                int b2 = bb.get(i + 1) & 0xFF;
                int b3 = bb.get(i + 2) & 0xFF;
                int b4 = bb.get(i + 3) & 0xFF;
                if ((b2 & 0xC0) != 0x80 || (b3 & 0xC0) != 0x80 || (b4 & 0xC0) != 0x80) break; // Invalid continuation bytes
                int codePoint = (((b & 0x07) << 18) | ((b2 & 0x3F) << 12) | ((b3 & 0x3F) << 6) | (b4 & 0x3F)) - 0x10000;
                sb.append((char) (0xD800 | (codePoint >> 10)));
                sb.append((char) (0xDC00 | (codePoint & 0x3FF)));
                i += 4;
            } else {
                break; // Invalid byte
            }
        }
        return i; // Return the index of the next unprocessed byte
    }
}",english,english,none,spanish,
636766aa1a6d9265ec0175ce,"public class StackMapFrameVisitor {
    private StackMapFrame currentFrame;
    private int nextIndex;

    public StackMapFrameVisitor() {
        this.currentFrame = new StackMapFrame();
        this.nextIndex = 0;
    }

    /**
     * Inicia la visita de un nuevo ""stack map frame"", almacenado en {@link #currentFrame}.
     * @param offset   el desplazamiento de bytecode de la instrucción a la que corresponde el ""frame"".
     * @param numLocal el número de variables locales en el ""frame"".
     * @param numStack el número de elementos apilados en el ""frame"".
     * @return el índice del siguiente elemento que se escribirá en este ""frame"".
     */
    public int visitFrameStart(final int offset, final int numLocal, final int numStack) {
        currentFrame.setOffset(offset);
        currentFrame.setNumLocal(numLocal);
        currentFrame.setNumStack(numStack);
        nextIndex = 0; // Reset the index for the new frame
        return nextIndex;
    }

    private class StackMapFrame {
        private int offset;
        private int numLocal;
        private int numStack;

        public void setOffset(int offset) {
            this.offset = offset;
        }

        public void setNumLocal(int numLocal) {
            this.numLocal = numLocal;
        }

        public void setNumStack(int numStack) {
            this.numStack = numStack;
        }
    }
}",english,english,none,spanish,
636767191a6d9265ec017c0f,"public class ByteVectorEnlarger {
    private byte[] byteArray;
    private int currentSize;

    public ByteVectorEnlarger(int initialSize) {
        this.byteArray = new byte[initialSize];
        this.currentSize = initialSize;
    }

    /**
     * Aumenta este vector de bytes para que pueda recibir una cantidad adicional de bytes definida por el argumento 'size'.
     * @param size número de bytes adicionales que este vector de bytes debería poder recibir.
     */
    private void enlarge(final int size) {
        if (size <= 0) {
            throw new IllegalArgumentException(""Size must be greater than zero."");
        }
        int newSize = currentSize + size;
        byte[] newByteArray = new byte[newSize];
        System.arraycopy(byteArray, 0, newByteArray, 0, currentSize);
        byteArray = newByteArray;
        currentSize = newSize;
    }

    public byte[] getByteArray() {
        return byteArray;
    }

    public static void main(String[] args) {
        ByteVectorEnlarger vector = new ByteVectorEnlarger(10);
        System.out.println(""Initial size: "" + vector.getByteArray().length);
        vector.enlarge(5);
        System.out.println(""New size after enlargement: "" + vector.getByteArray().length);
    }
}",none,english,english,spanish,
636767821a6d9265ec0183a0,"import java.io.File;

public class FileUtils {

    /** 
     * Elimina el archivo especificado si existe 
     */
    protected static void deleteFile(String fileName) {
        File file = new File(fileName);
        if (file.exists()) {
            if (file.delete()) {
                System.out.println(""Archivo eliminado: "" + fileName);
            } else {
                System.out.println(""No se pudo eliminar el archivo: "" + fileName);
            }
        } else {
            System.out.println(""El archivo no existe: "" + fileName);
        }
    }

    public static void main(String[] args) {
        // Ejemplo de uso
        deleteFile(""ruta/del/archivo.txt"");
    }
}",spanish,english,spanish,spanish,
