id,prompt,summary,code,translation,correction,correction_tag,generated_code
6367676d1a6d9265ec018229,"/** 
 * Trim the elements of the given String array, calling <code>String.trim()</code> on each of them.
 * @param array the original String array
 * @return the resulting array (of the same size) with trimmed elements
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
",Trim each element in the given string array and return the resulting array.,"public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}
","/** 
 * Recorta los elementos del arreglo de String dado, llamando a <code>String.trim()</code> en cada uno de ellos.
 * @param array el arreglo de String original
 * @return el arreglo resultante (del mismo tamaño) con elementos recortados
 */

public static String[] trimArrayElements(String[] array){
  if (Objects.isEmpty(array)) {
    return new String[0];
  }
  String[] result=new String[array.length];
  for (int i=0; i < array.length; i++) {
    String element=array[i];
    result[i]=(element != null ? element.trim() : null);
  }
  return result;
}","/** 
 * Recorta los elementos del arreglo de Strings dado, llamando a <code>String.trim()</code> en cada uno de ellos.
 * @param arreglo de Strings original
 * @return el arreglo resultante (del mismo tamaño) con elementos recortados
 */

public static String[] trimArrayElements(String[] array)",['FixTranslation'],
6367670b1a6d9265ec017a00,"/** 
 * <p>Checks whether two arrays are the same length, treating <code>null</code> arrays as length <code>0</code>.</p>
 * @param array1 the first array, may be <code>null</code>
 * @param array2 the second array, may be <code>null</code>
 * @return <code>true</code> if length of arrays matches, treating<code>null</code> as an empty array
 */

public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
",Check whether the length of the given two byte arrays is the same.,"public static boolean isSameLength(final byte[] array1,final byte[] array2){
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}
","/** 
 * <p>Verifica si dos arreglos tienen la misma longitud, tratando los arreglos <code>null</code> como longitud <code>0</code>.</p>
 * @param array1 el primer arreglo, puede ser <code>null</code>
 * @param array2 el segundo arreglo, puede ser <code>null</code>
 * @return <code>true</code> si la longitud de los arreglos coincide, tratando <code>null</code> como un arreglo vacío
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2) {
  if (array1 == null && array2 != null && array2.length > 0 || array2 == null && array1 != null && array1.length > 0 || array1 != null && array2 != null && array1.length != array2.length) {
    return false;
  }
  return true;
}","/** 
 * <p>Verifica si dos arreglos tienen la misma longitud, tratando los arreglos <code>null</code> como longitud <code>0</code>.</p>
 * @param array1 el primer arreglo, puede ser <code>null</code>
 * @param array2 el segundo arreglo, puede ser <code>null</code>
 * @return <code>true</code> si la longitud de los arreglos coincide, tratando <code>null</code> como un arreglo vacío
 */

public static boolean isSameLength(final byte[] array1, final byte[] array2)",[''],
636766a91a6d9265ec0175c2,"/** 
 * Pops an abstract type from the output frame stack and returns its value.
 * @return the abstract type that has been popped from the output frame stack.
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
",Pop an abstract type from the output frame stack and return its value.,"private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
 else {
    return STACK_KIND | -(--outputStackStart);
  }
}
","/** 
 * Extrae un tipo abstracto de la pila de marcos de salida y devuelve su valor.
 * @return el tipo abstracto que ha sido extraído de la pila de marcos de salida.
 */

private int pop(){
  if (outputStackTop > 0) {
    return outputStack[--outputStackTop];
  }
  else {
    return STACK_KIND | -(--outputStackStart);
  }
}","/** 
 * Extrae un tipo abstracto de la pila de marcos de salida y devuelve su valor.
 * @return el tipo abstracto que ha sido extraído de la pila de marcos de salida.
 */

private int pop()",[''],
636767081a6d9265ec017989,"/** 
 * <p>Converts an array of object Booleans to primitives.</p> <p>This method returns <code>null</code> for a <code>null</code> input array.</p>
 * @param array  a <code>Boolean</code> array, may be <code>null</code>
 * @return a <code>boolean</code> array, <code>null</code> if null array input
 * @throws NullPointerException if array content is <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","Convert the given Boolean array to primitives. Return ArrayUtils.EMPTY_BOOLEAN_ARRAY for an empty array, return null for null array.","public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
 else   if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result=new boolean[array.length];
  for (int i=0; i < array.length; i++) {
    result[i]=array[i].booleanValue();
  }
  return result;
}
","/** 
 * <p>Convierte un array de objetos Boolean a primitivos.</p> <p>Este método devuelve <code>null</code> para un array de entrada <code>null</code>.</p>
 * @param array  un array de <code>Boolean</code>, puede ser <code>null</code>
 * @return un array de <code>boolean</code>, <code>null</code> si el array de entrada es nulo
 * @throws NullPointerException si el contenido del array es <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array){
  if (array == null) {
    return null;
  }
  else if (array.length == 0) {
    return ArrayUtils.EMPTY_BOOLEAN_ARRAY;
  }
  final boolean[] result = new boolean[array.length];
  for (int i = 0; i < array.length; i++) {
    result[i] = array[i].booleanValue();
  }
  return result;
}","/** 
 * <p>Convierte un array de objetos Boolean a primitivos.</p> <p>Este método devuelve <code>null</code> para un array de entrada <code>null</code>.</p>
 * @param array  un array de <code>Boolean</code>, puede ser <code>null</code>
 * @return un array de <code>boolean</code>, <code>null</code> si el array de entrada es nulo
 * @throws NullPointerException si el contenido del array es <code>null</code>
 */

public static boolean[] toPrimitive(final Boolean[] array)",[''],
6367672d1a6d9265ec017c73,"/** 
 * Returns true if the message should be printed in the given timestamp, otherwise returns false. If this method returns false, the message will not be printed. The timestamp is in seconds granularity. 
 */

public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
"," If the message does not exist in the dict messages, or it exists but the timestamp (seconds) difference is bigger than 10, put the message and timestamp into messages and return true, otherwise return false.","public boolean shouldPrintMessage(int timestamp,String message){
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message,timestamp);
      return true;
    }
 else {
      return false;
    }
  }
 else {
    messages.put(message,timestamp);
    return true;
  }
}
","/** 
 * Devuelve verdadero si el mensaje debe imprimirse en la marca de tiempo dada, de lo contrario devuelve falso. Si este método devuelve falso, el mensaje no se imprimirá. La marca de tiempo está en granularidad de segundos. 
 */

public boolean shouldPrintMessage(int timestamp, String message) {
  if (messages.containsKey(message)) {
    if (timestamp - messages.get(message) >= 10) {
      messages.put(message, timestamp);
      return true;
    } else {
      return false;
    }
  } else {
    messages.put(message, timestamp);
    return true;
  }
}","/** 
 * Devuelve ""true"" si el mensaje debe imprimirse en la tiempo dada, de lo contrario devuelve falso. Si este método devuelve falso, el mensaje no se imprimirá. El tiempo está en segundos. 
 */

public boolean shouldPrintMessage(int timestamp, String message)",['FixTranslation'],
636766f81a6d9265ec01775c,"/** 
 * <p>Gets the <code>toString</code> of an <code>Object</code> returning an empty string ("""") if <code>null</code> input.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  the Object to <code>toString</code>, may be null
 * @return the passed in Object's toString, or nullStr if <code>null</code> input
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","Return the string representation of the given object, return an empty string if the object is null.","public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}
","/** 
 * <p>Obtiene el <code>toString</code> de un <code>Object</code> devolviendo una cadena vacía ("""") si la entrada es <code>null</code>.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  el Object a <code>toString</code>, puede ser null
 * @return el toString del Object pasado, o una cadena vacía si la entrada es <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj){
  return obj == null ? """" : obj.toString();
}","/** 
 * <p>Obtiene el <code>toString</code> de un <code>Object</code> devolviendo una cadena vacía ("""") si el argumento es <code>null</code>.</p> <pre> ObjectUtils.toString(null)         = """" ObjectUtils.toString("""")           = """" ObjectUtils.toString(""bat"")        = ""bat"" ObjectUtils.toString(Boolean.TRUE) = ""true"" </pre>
 * @see StringUtils#defaultString(String)
 * @see String#valueOf(Object)
 * @param obj  el objeto a procesar mediante <code>toString</code>, puede ser null
 * @return el resultado de aplicar la función ""toString"" al objeto pasado, o una cadena vacía si el argumento es <code>null</code>
 * @since 2.0
 */

public static String toString(Object obj)","['FixTranslation', 'AddQuotesForEnglishWordsInText']",
6367667f1a6d9265ec017457,"/** 
 * Decodes octets to characters using the UTF-8 decoding and appends the characters to a StringBuffer.
 * @return the index to the next unchecked character in the string to decode
 */

private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","Decode octets to characters with UTF-8, append them to the given StringBuilder, and return the index to the next unchecked character.","private static int decodeOctets(int i,ByteBuffer bb,StringBuilder sb){
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  }
 else {
    CharBuffer cb=UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}
","/** 
 * Decodifica octetos a caracteres utilizando la decodificación UTF-8 y agrega los caracteres a un StringBuffer.
 * @return el índice del siguiente carácter no verificado en la cadena para decodificar
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) {
  if (bb.limit() == 1 && (bb.get(0) & 0xFF) < 0x80) {
    sb.append((char)bb.get(0));
    return i + 2;
  } else {
    CharBuffer cb = UTF_8_CHARSET.decode(bb);
    sb.append(cb);
    return i + bb.limit() * 3 - 1;
  }
}","/** 
 * Decodifica octetos a caracteres utilizando la decodificación UTF-8 y agrega los caracteres a un StringBuffer.
 * @return el índice del siguiente carácter no verificado en la cadena para decodificar
 */

private static int decodeOctets(int i, ByteBuffer bb, StringBuilder sb) ",[''],
636766aa1a6d9265ec0175ce,"/** 
 * Starts the visit of a new stack map frame, stored in  {@link #currentFrame}.
 * @param offset   the bytecode offset of the instruction to which the frame corresponds.
 * @param numLocal the number of local variables in the frame.
 * @param numStack the number of stack elements in the frame.
 * @return the index of the next element to be written in this frame.
 */

int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","Init a currentFrame with the given offset, numLocal and numStack, return 3 finally.","int visitFrameStart(final int offset,final int numLocal,final int numStack){
  int frameLength=3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame=new int[frameLength];
  }
  currentFrame[0]=offset;
  currentFrame[1]=numLocal;
  currentFrame[2]=numStack;
  return 3;
}
","/** 
 * Inicia la visita de un nuevo marco de mapa de pila, almacenado en {@link #currentFrame}.
 * @param offset   el desplazamiento de bytecode de la instrucción a la que corresponde el marco.
 * @param numLocal el número de variables locales en el marco.
 * @param numStack el número de elementos en la pila en el marco.
 * @return el índice del siguiente elemento que se escribirá en este marco.
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack) {
  int frameLength = 3 + numLocal + numStack;
  if (currentFrame == null || currentFrame.length < frameLength) {
    currentFrame = new int[frameLength];
  }
  currentFrame[0] = offset;
  currentFrame[1] = numLocal;
  currentFrame[2] = numStack;
  return 3;
}","/** 
 * Inicia la visita de un nuevo ""stack map frame"", almacenado en {@link #currentFrame}.
 * @param offset   el desplazamiento de bytecode de la instrucción a la que corresponde el ""frame"".
 * @param numLocal el número de variables locales en el ""frame"".
 * @param numStack el número de elementos apilados en el ""frame"".
 * @return el índice del siguiente elemento que se escribirá en este ""frame"".
 */

int visitFrameStart(final int offset, final int numLocal, final int numStack)",[''],
636767191a6d9265ec017c0f,"/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */

private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","Enlarge the byte vector data, by increasing it by the given size.","private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/**
 * Aumenta este vector de bytes para que pueda recibir 'size' bytes adicionales.
 * @param size número de bytes adicionales que este vector de bytes debería poder recibir.
 */

private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}","/**
 * Aumenta este vector de bytes para que pueda recibir una cantidad adicional de bytes definida por el argumento 'size'.
 * @param size número de bytes adicionales que este vector de bytes debería poder recibir.
 */

private void enlarge(final int size)",['FixTranslation'],
636767821a6d9265ec0183a0,"/** 
 * Delete's the specified file if it exists 
 */

protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
",Delete the given file if it exists,"protected static void deleteFile(String fileName){
  File file=new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}
","/** 
 * Elimina el archivo especificado si existe 
 */

protected static void deleteFile(String fileName){
  File file = new File(fileName);
  if (file.exists()) {
    file.delete();
  }
}","/** 
 * Elimina el archivo especificado si existe 
 */

protected static void deleteFile(String fileName)",[''],
