model,category,Chinese,,,Hindi,,,Spanish,,,Italian,,
,,E,C,B,E,H,B,E,S,B,E,I,B
gpt,comments,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek,comments,0.24,0.24,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0
claude,comments,19.02,25.61,0.73,40.49,3.41,0.0,23.66,16.83,0.24,0.0,0.0,0.0
gpt,identifiers,100.0,0.0,0.0,100.0,0.0,0.0,99.76,0.0,0.0,99.27,0.24,0.0
deepseek,identifiers,100.0,0.0,0.0,100.0,0.0,0.0,99.51,0.0,0.0,99.27,0.24,0.0
claude,identifiers,100.0,0.0,0.0,99.76,0.0,0.0,99.27,0.73,0.0,97.56,0.98,0.0
gpt,literals,2.2,0.24,0.0,5.61,0.98,0.0,30.24,2.68,0.24,37.07,2.2,0.0
deepseek,literals,5.37,0.49,0.0,8.54,1.22,0.0,36.1,2.93,0.24,32.68,2.93,0.0
claude,literals,4.15,1.46,0.0,6.1,1.95,0.0,35.37,4.15,0.0,34.88,5.61,0.0
