language,model,total_methods,comments_E,comments_T,comments_B,comments_none,comments_other,identifiers_E,identifiers_T,identifiers_B,identifiers_none,identifiers_other,literals_E,literals_T,literals_B,literals_none,literals_other
chinese,claude,410,19.02,25.61,0.73,0.0,54.63,100.0,0.0,0.0,0.0,0.0,4.15,1.46,0.0,0.0,94.39
chinese,deepseek,410,0.24,0.24,0.0,0.0,99.51,100.0,0.0,0.0,0.0,0.0,5.37,0.49,0.0,0.0,94.15
chinese,gpt,410,0.24,0.0,0.0,0.0,99.76,100.0,0.0,0.0,0.0,0.0,2.2,0.24,0.0,0.0,97.56
hindi,claude,410,40.49,3.41,0.0,56.1,0.0,99.76,0.0,0.0,0.24,0.0,6.1,1.95,0.0,91.95,0.0
hindi,deepseek,410,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,8.54,1.22,0.0,90.24,0.0
hindi,gpt,410,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.61,0.98,0.0,93.41,0.0
italian,claude,410,0.0,0.0,0.0,0.0,100.0,97.56,0.98,0.0,0.0,1.46,34.88,5.61,0.0,0.0,59.51
italian,deepseek,410,0.0,0.0,0.0,0.0,100.0,99.27,0.24,0.0,0.0,0.49,32.68,2.93,0.0,0.0,64.39
italian,gpt,410,0.0,0.0,0.0,0.0,100.0,99.27,0.24,0.0,0.0,0.49,37.07,2.2,0.0,0.0,60.73
spanish,claude,410,23.66,16.83,0.24,0.0,59.27,99.27,0.73,0.0,0.0,0.0,35.37,4.15,0.0,0.0,60.49
spanish,deepseek,410,0.24,0.0,0.0,0.0,99.76,99.51,0.0,0.0,0.0,0.49,36.1,2.93,0.24,0.0,60.73
spanish,gpt,410,0.0,0.0,0.0,0.24,99.76,99.76,0.0,0.0,0.24,0.0,30.24,2.68,0.24,0.24,66.59
